Date,Value,Open,Close,High,Low
02/01/20,73400.0,0.36,0.385,0.39,0.36
06/01/20,1424200.0,0.415,0.425,0.47,0.4
07/01/20,332700.0,0.445,0.405,0.445,0.405
08/01/20,210050.0,0.4,0.4,0.4,0.39
09/01/20,44100.0,0.39,0.41,0.41,0.39
15/01/20,41000.0,0.41,0.41,0.41,0.41
16/01/20,19750.0,0.395,0.395,0.395,0.395
17/01/20,153650.0,0.395,0.405,0.41,0.395
20/01/20,202700.0,0.4,0.4,0.4,0.395
21/01/20,3149850.0,0.39,0.44,0.485,0.39
22/01/20,110050.0,0.44,0.45,0.45,0.415
23/01/20,248350.0,0.45,0.41,0.45,0.41
24/01/20,25750.0,0.405,0.435,0.435,0.405
27/01/20,240100.0,0.41,0.405,0.41,0.405
28/01/20,40950.0,0.405,0.405,0.42,0.405
29/01/20,64650.0,0.41,0.4,0.41,0.4
30/01/20,164450.0,0.405,0.4,0.405,0.4
31/01/20,1982650.0,0.4,0.435,0.48,0.4
03/02/20,784950.0,0.425,0.43,0.44,0.4
04/02/20,47250.0,0.425,0.43,0.435,0.415
05/02/20,1040200.0,0.44,0.445,0.47,0.435
06/02/20,305750.0,0.435,0.435,0.435,0.405
07/02/20,83950.0,0.41,0.43,0.435,0.41
10/02/20,44222850.0,0.41,0.64,0.64,0.405
11/02/20,29475700.0,0.68,0.53,0.7,0.52
12/02/20,12507090.0,0.53,0.48,0.6,0.48
13/02/20,1371000.0,0.47,0.455,0.475,0.455
14/02/20,5511200.0,0.45,0.465,0.54,0.45
17/02/20,2418400.0,0.47,0.49,0.49,0.45
18/02/20,1537500.0,0.495,0.46,0.495,0.46
19/02/20,499050.0,0.46,0.46,0.46,0.45
20/02/20,114450.0,0.46,0.46,0.465,0.455
21/02/20,606550.0,0.46,0.44,0.46,0.44
24/02/20,578100.0,0.44,0.445,0.46,0.44
26/02/20,1005050.0,0.455,0.435,0.455,0.4
27/02/20,159900.0,0.435,0.425,0.44,0.415
28/02/20,16340450.0,0.425,0.47,0.56,0.42
02/03/20,2991950.0,0.485,0.46,0.52,0.45
03/03/20,1315850.0,0.465,0.45,0.48,0.435
04/03/20,3555850.0,0.44,0.46,0.51,0.43
05/03/20,750700.0,0.49,0.45,0.49,0.445
06/03/20,119950.0,0.455,0.44,0.455,0.44
09/03/20,1347150.0,0.47,0.41,0.47,0.41
10/03/20,638850.0,0.405,0.405,0.41,0.39
11/03/20,222800.0,0.435,0.41,0.435,0.41
12/03/20,770600.0,0.4,0.39,0.42,0.39
13/03/20,322100.0,0.38,0.39,0.39,0.35
16/03/20,15000.0,0.37,0.37,0.39,0.37
19/03/20,182050.0,0.36,0.305,0.36,0.305
20/03/20,43200.0,0.305,0.31,0.31,0.305
23/03/20,19050.0,0.315,0.32,0.32,0.315
24/03/20,19100.0,0.315,0.325,0.325,0.315
25/03/20,79700.0,0.32,0.335,0.34,0.32
26/03/20,85700.0,0.335,0.36,0.36,0.335
27/03/20,54400.0,0.36,0.37,0.38,0.36
31/03/20,29650.0,0.37,0.37,0.375,0.37
01/04/20,74450.0,0.37,0.375,0.375,0.37
02/04/20,7350.0,0.37,0.365,0.37,0.365
03/04/20,25950.0,0.375,0.365,0.375,0.365
06/04/20,343950.0,0.38,0.365,0.38,0.34
07/04/20,25250.0,0.365,0.35,0.365,0.35
08/04/20,70250.0,0.35,0.375,0.375,0.35
14/04/20,281150.0,0.375,0.36,0.375,0.35
15/04/20,93600.0,0.365,0.365,0.38,0.365
17/04/20,284750.0,0.365,0.39,0.4,0.36
20/04/20,137950.0,0.39,0.365,0.39,0.365
22/04/20,133550.0,0.365,0.36,0.375,0.36
23/04/20,10900.0,0.365,0.36,0.365,0.36
24/04/20,104600.0,0.37,0.36,0.37,0.36
27/04/20,113550.0,0.36,0.35,0.375,0.35
28/04/20,21050.0,0.35,0.355,0.355,0.35
29/04/20,11100.0,0.37,0.37,0.37,0.37
04/05/20,35650.0,0.37,0.355,0.37,0.35
05/05/20,3550.0,0.355,0.355,0.355,0.355
06/05/20,887400.0,0.37,0.395,0.435,0.365
07/05/20,200350.0,0.4,0.385,0.4,0.375
08/05/20,133700.0,0.375,0.365,0.375,0.365
11/05/20,86000.0,0.38,0.39,0.4,0.38
13/05/20,129050.0,0.375,0.365,0.39,0.365
14/05/20,80550.0,0.375,0.365,0.375,0.365
15/05/20,139300.0,0.365,0.365,0.37,0.365
18/05/20,86400.0,0.36,0.36,0.36,0.36
19/05/20,21600.0,0.36,0.36,0.36,0.36
20/05/20,28900.0,0.36,0.365,0.365,0.36
21/05/20,18500.0,0.37,0.36,0.375,0.36
22/05/20,29550.0,0.36,0.37,0.375,0.36
26/05/20,33300.0,0.37,0.37,0.37,0.37
27/05/20,7200.0,0.36,0.36,0.36,0.36
28/05/20,14700.0,0.365,0.375,0.375,0.365
29/05/20,21900.0,0.365,0.365,0.365,0.365
01/06/20,3600.0,0.36,0.36,0.36,0.36
02/06/20,69200.0,0.365,0.36,0.375,0.36
03/06/20,10800.0,0.36,0.36,0.36,0.36
04/06/20,186450.0,0.36,0.375,0.375,0.36
05/06/20,34200.0,0.38,0.38,0.38,0.38
08/06/20,95750.0,0.365,0.37,0.375,0.365
09/06/20,64150.0,0.375,0.385,0.385,0.375
10/06/20,55500.0,0.37,0.37,0.37,0.37
11/06/20,10950.0,0.365,0.365,0.365,0.365
15/06/20,740200.0,0.365,0.38,0.43,0.365
16/06/20,95850.0,0.365,0.38,0.38,0.365
17/06/20,453100.0,0.375,0.37,0.375,0.37
18/06/20,266150.0,0.365,0.365,0.38,0.36
19/06/20,11150.0,0.365,0.385,0.385,0.365
22/06/20,227200.0,0.385,0.385,0.405,0.38
23/06/20,55550.0,0.37,0.37,0.375,0.37
24/06/20,87950.0,0.375,0.365,0.375,0.365
25/06/20,539400.0,0.365,0.36,0.365,0.36
