Date,Value,Open,Close,High,Low
02/01/20,35386490.0,302.8,316.0,316.0,301.0
03/01/20,45925674.0,312.8,312.4,318.8,310.4
06/01/20,29395682.0,313.0,311.0,314.8,310.8
07/01/20,39151972.0,314.8,309.0,314.8,305.0
08/01/20,52816442.0,309.0,301.8,309.0,300.4
09/01/20,50937370.0,302.0,301.0,306.6,300.4
10/01/20,52674228.0,303.6,308.0,308.0,301.0
14/01/20,64003964.0,302.0,304.8,307.8,302.0
15/01/20,75078194.0,304.8,292.4,306.0,287.0
16/01/20,52813922.0,295.0,295.0,299.8,290.0
17/01/20,57163154.0,295.0,291.0,298.0,291.0
20/01/20,101994336.0,295.0,281.0,295.0,280.4
21/01/20,40468374.0,281.0,279.2,284.8,279.2
22/01/20,65686428.0,276.4,290.0,290.0,276.0
23/01/20,91483156.0,290.0,302.0,302.0,285.2
24/01/20,35046060.0,299.8,302.4,302.4,290.0
27/01/20,73954632.0,302.2,294.0,302.2,291.0
28/01/20,47591650.0,293.0,282.0,298.0,282.0
29/01/20,81028230.0,296.0,275.0,296.0,275.0
30/01/20,51216934.0,280.0,277.4,285.0,276.0
31/01/20,160636492.0,277.4,256.0,280.0,256.0
03/02/20,73062030.0,264.0,259.0,264.0,256.0
04/02/20,43535850.0,260.0,266.8,274.0,259.8
05/02/20,29933154.0,268.2,274.8,274.8,268.2
06/02/20,75428152.0,275.0,291.0,291.0,275.0
07/02/20,30513644.0,286.0,288.8,288.8,282.8
10/02/20,47764420.0,288.8,279.0,288.8,279.0
11/02/20,22036166.0,279.0,277.0,282.0,277.0
12/02/20,72805102.0,276.8,263.8,277.4,263.8
13/02/20,83427972.0,264.2,263.2,268.0,262.0
14/02/20,76746282.0,263.2,262.0,270.4,262.0
17/02/20,7867240.0,266.8,266.0,268.0,264.0
18/02/20,28126892.0,268.8,268.8,268.8,266.0
19/02/20,39336976.0,269.0,279.0,279.0,267.6
20/02/20,42885996.0,278.8,279.0,281.6,275.4
21/02/20,45641630.0,279.0,270.0,280.0,270.0
24/02/20,96392744.0,262.0,262.0,263.2,260.4
26/02/20,155070206.0,261.0,257.0,265.8,255.2
27/02/20,105140556.0,257.2,260.0,261.8,256.6
28/02/20,106496834.0,257.0,269.8,269.8,256.4
02/03/20,145822894.0,265.0,257.0,266.0,257.0
03/03/20,99120116.0,261.0,257.8,264.0,257.4
04/03/20,69062774.0,260.0,267.4,267.4,257.6
05/03/20,77001880.0,269.0,267.0,269.8,265.0
06/03/20,51323922.0,267.0,269.0,269.0,264.2
09/03/20,58392422.0,268.0,258.0,268.0,258.0
10/03/20,94781410.0,257.0,253.0,257.0,251.0
11/03/20,110779156.0,254.0,256.0,264.8,254.0
12/03/20,153651962.0,255.4,230.2,255.4,230.0
13/03/20,144087740.0,220.0,240.0,253.0,210.2
16/03/20,116820318.0,253.0,243.0,253.0,231.0
19/03/20,146917974.0,218.8,210.0,230.0,189.7
20/03/20,145049251.0,220.0,200.0,226.0,196.1
23/03/20,112345506.0,200.0,218.0,218.0,199.0
24/03/20,101512252.0,214.0,208.0,214.0,206.0
25/03/20,81721478.0,218.0,212.4,220.0,210.2
26/03/20,112142644.0,216.6,216.2,224.8,212.6
27/03/20,86168524.0,225.0,220.0,230.0,218.2
30/03/20,65844206.0,220.0,214.4,221.8,210.0
31/03/20,83180356.0,221.2,225.0,225.0,213.0
01/04/20,87621522.0,223.0,231.2,236.2,220.4
02/04/20,28868664.0,231.2,232.0,234.0,222.2
03/04/20,45432114.0,232.0,240.0,240.0,227.0
06/04/20,109955446.0,241.0,260.0,260.0,240.0
07/04/20,121607674.0,270.0,266.2,275.0,251.0
08/04/20,86251898.0,253.0,266.2,268.0,253.0
13/04/20,81313492.0,266.2,267.0,267.0,258.0
14/04/20,97698324.0,267.0,268.0,277.0,260.8
15/04/20,71373074.0,277.8,278.0,278.0,268.4
16/04/20,166636786.0,274.0,260.0,274.6,260.0
17/04/20,105975384.0,263.0,269.0,270.2,262.0
20/04/20,56423146.0,269.0,261.8,275.0,261.8
21/04/20,57083348.0,264.0,257.6,266.0,257.6
22/04/20,66121594.0,255.0,270.0,270.0,252.2
23/04/20,68763244.0,268.0,258.4,268.0,258.4
24/04/20,37457966.0,258.0,256.0,262.4,255.0
27/04/20,54315126.0,255.0,252.0,255.0,251.2
28/04/20,39149962.0,252.2,262.2,263.8,252.2
29/04/20,53113332.0,264.0,261.8,264.0,255.2
30/04/20,89554478.0,264.2,254.4,266.0,254.4
04/05/20,71491154.0,255.0,254.6,257.8,252.8
05/05/20,55610162.0,257.0,256.0,260.0,255.0
06/05/20,71823600.0,256.2,253.2,258.8,253.2
07/05/20,40990244.0,256.4,256.0,256.8,252.2
08/05/20,61605100.0,254.0,252.0,256.6,252.0
11/05/20,16467488.0,252.2,255.4,256.2,252.2
12/05/20,92271914.0,255.8,264.0,264.0,255.4
13/05/20,452252372.0,264.0,270.0,270.0,259.2
14/05/20,155364260.0,269.8,275.0,275.0,265.2
15/05/20,121169958.0,274.0,274.4,275.4,265.4
18/05/20,55081498.0,274.4,275.0,275.0,266.2
19/05/20,98323774.0,272.0,272.2,275.4,270.0
20/05/20,43362144.0,272.2,271.0,272.2,266.2
21/05/20,125272808.0,267.4,276.0,276.0,266.0
22/05/20,48611664.0,275.8,276.0,276.0,271.2
26/05/20,80365808.0,275.6,274.0,275.6,267.0
27/05/20,51257260.0,274.0,275.0,275.0,270.4
28/05/20,49171370.0,275.0,272.0,275.0,271.8
29/05/20,199934764.0,273.4,283.0,283.0,270.4
01/06/20,151910624.0,281.8,292.0,293.0,276.8
02/06/20,84357292.0,292.0,289.0,292.0,285.2
03/06/20,93059612.0,289.0,292.0,293.2,285.0
04/06/20,151012826.0,286.0,293.4,293.4,285.4
05/06/20,57252806.0,292.0,288.4,294.0,286.2
08/06/20,69515548.0,290.0,285.0,293.6,285.0
09/06/20,57642110.0,289.8,291.0,291.0,285.2
10/06/20,84693972.0,291.0,292.0,294.8,287.0
11/06/20,76365600.0,292.0,292.0,292.0,286.2
15/06/20,179112694.0,292.0,285.0,292.0,280.0
16/06/20,174523880.0,285.0,283.0,285.0,277.0
17/06/20,168309558.0,283.0,278.2,285.0,277.4
18/06/20,71422924.0,278.2,276.6,280.0,276.6
19/06/20,261219020.0,276.0,265.0,284.6,265.0
