Date,Value,Open,Close,High,Low
02/01/20,99900.0,3.33,3.33,3.33,3.33
06/01/20,233100.0,3.33,3.33,3.33,3.33
07/01/20,6620.0,3.31,3.31,3.31,3.31
08/01/20,307830.0,3.31,3.31,3.31,3.31
09/01/20,813030.0,3.29,3.25,3.29,3.25
10/01/20,349260.0,3.24,3.23,3.24,3.23
14/01/20,2081450.0,3.22,3.21,3.22,3.19
15/01/20,388700.0,3.2,3.2,3.2,3.18
16/01/20,773650.0,3.17,3.15,3.17,3.15
17/01/20,61430.0,3.08,3.07,3.08,3.07
20/01/20,348590.0,3.08,3.01,3.08,3.01
23/01/20,12280.0,3.07,3.07,3.07,3.07
24/01/20,15750.0,3.15,3.15,3.15,3.15
27/01/20,746000.0,3.18,3.2,3.2,3.18
28/01/20,589410.0,3.0,3.15,3.15,3.0
29/01/20,368200.0,3.07,3.05,3.08,3.05
30/01/20,599650.0,3.1,3.06,3.1,3.05
31/01/20,527110.0,3.05,3.03,3.07,3.03
03/02/20,594510.0,3.03,3.01,3.03,3.01
05/02/20,106750.0,3.05,3.05,3.05,3.05
07/02/20,20650.0,2.95,2.95,2.95,2.95
10/02/20,275280.0,2.96,2.96,2.96,2.96
14/02/20,29700.0,2.97,2.97,2.97,2.97
19/02/20,301500.0,3.0,3.02,3.02,3.0
21/02/20,62150.0,2.95,2.96,2.96,2.95
28/02/20,819100.0,2.95,2.96,2.96,2.93
02/03/20,5860.0,2.93,2.93,2.93,2.93
05/03/20,48450.0,2.85,2.85,2.85,2.85
06/03/20,114840.0,2.8,2.74,2.8,2.6
10/03/20,65960.0,2.74,2.75,2.75,2.74
12/03/20,71500.0,2.5,2.3,2.5,2.3
13/03/20,59970.0,2.0,1.99,2.0,1.99
16/03/20,40000.0,2.0,2.0,2.0,2.0
23/03/20,40000.0,2.0,2.0,2.0,2.0
24/03/20,60000.0,2.0,2.0,2.0,2.0
25/03/20,16800.0,2.1,2.1,2.1,2.1
06/04/20,14900.0,1.7,1.6,1.7,1.6
07/04/20,82540.0,2.0,2.06,2.15,2.0
13/04/20,192800.0,2.1,2.0,2.2,2.0
14/04/20,182000.0,2.0,2.0,2.0,2.0
15/04/20,80250.0,2.05,2.0,2.05,2.0
16/04/20,114000.0,2.0,2.0,2.0,2.0
17/04/20,402000.0,2.0,2.0,2.0,2.0
22/04/20,4400.0,2.2,2.2,2.2,2.2
