Date,Value,Open,Close,High,Low
02/01/20,396208006.0,8.77,9.7,10.0,7.62
03/01/20,215551644.0,9.6,9.22,9.9,8.93
06/01/20,286530686.0,8.98,9.6,9.71,8.59
07/01/20,668238963.0,9.93,10.78,11.06,9.93
08/01/20,360379306.0,11.0,10.12,11.0,9.72
09/01/20,179597028.0,10.1,10.44,10.64,10.08
10/01/20,80451732.0,10.54,10.2,10.6,10.06
14/01/20,76157020.0,10.42,10.42,10.58,10.28
15/01/20,56268410.0,10.42,10.04,10.48,9.99
16/01/20,100979240.0,10.08,9.71,10.08,9.4
17/01/20,73054797.0,9.7,10.06,10.18,9.5
20/01/20,91800479.0,9.74,9.35,9.88,9.31
21/01/20,98817172.0,9.35,9.38,9.38,8.8
22/01/20,248941495.0,9.4,9.86,10.0,9.12
23/01/20,141471391.0,10.0,9.96,10.14,9.9
24/01/20,179313026.0,10.0,10.4,10.64,10.0
27/01/20,70131787.0,10.48,10.22,10.48,9.93
28/01/20,92262211.0,10.24,10.3,10.4,9.95
29/01/20,291485462.0,10.32,10.7,10.94,10.3
30/01/20,437706864.0,10.72,12.16,12.28,10.72
03/02/20,851459332.0,13.4,12.76,14.6,12.62
04/02/20,388671776.0,12.8,13.78,14.08,12.8
05/02/20,229254782.0,14.02,13.62,14.18,13.2
06/02/20,301292068.0,13.58,14.96,14.96,13.3
07/02/20,600558474.0,14.06,13.28,14.12,13.14
10/02/20,144574292.0,13.26,13.08,13.5,13.08
11/02/20,152519406.0,13.04,12.88,13.2,12.72
12/02/20,103098262.0,12.82,12.56,12.84,12.5
13/02/20,223090238.0,12.5,12.1,12.5,11.96
14/02/20,95059706.0,11.98,12.42,12.6,11.98
17/02/20,96620094.0,12.5,12.62,12.8,12.48
18/02/20,39641008.0,12.62,12.48,12.78,12.34
19/02/20,42749038.0,12.48,12.24,12.52,12.12
20/02/20,27014548.0,12.3,12.2,12.44,12.2
21/02/20,23001470.0,12.28,12.22,12.32,12.16
24/02/20,44283102.0,12.22,12.12,12.22,12.0
26/02/20,57344410.0,11.98,11.98,12.06,11.3
27/02/20,38936852.0,11.98,12.14,12.24,11.8
28/02/20,65364994.0,12.0,11.76,12.2,11.54
02/03/20,41849426.0,11.54,12.0,12.2,11.54
03/03/20,32672258.0,12.02,11.94,12.16,11.82
04/03/20,10873954.0,12.02,11.94,12.1,11.88
05/03/20,24715216.0,11.94,12.0,12.08,11.94
06/03/20,23426258.0,12.0,11.8,12.0,11.62
09/03/20,84775756.0,11.6,10.8,11.6,10.5
10/03/20,43364018.0,10.5,10.8,10.8,10.1
11/03/20,48682582.0,10.8,10.76,10.8,10.7
12/03/20,65750208.0,10.5,9.96,10.58,9.96
13/03/20,36348040.0,9.5,9.84,10.28,8.52
16/03/20,7859515.0,9.75,9.54,9.75,9.1
19/03/20,61352078.0,9.2,8.5,9.22,8.1
20/03/20,85746549.0,8.62,8.76,9.29,8.55
23/03/20,18784973.0,8.55,8.52,8.83,8.23
24/03/20,14189894.0,8.54,8.8,9.0,8.54
25/03/20,20001049.0,9.08,9.24,9.31,9.08
26/03/20,50849798.0,9.35,9.16,9.58,9.16
27/03/20,41047948.0,9.5,9.28,9.65,9.26
30/03/20,17582288.0,9.2,9.3,9.4,9.0
