Date,Value,Open,Close,High,Low
02/01/20,47120.0,0.98,0.98,0.99,0.97
03/01/20,254620.0,0.98,0.99,1.0,0.95
06/01/20,410730.0,0.98,0.9,0.99,0.9
07/01/20,184530.0,0.9,0.9,0.93,0.9
08/01/20,262600.0,0.9,0.9,0.9,0.81
09/01/20,39790.0,0.88,0.89,0.9,0.88
10/01/20,461550.0,0.86,0.9,0.91,0.86
14/01/20,10800.0,0.9,0.9,0.9,0.9
15/01/20,489160.0,0.9,0.89,0.91,0.89
16/01/20,183600.0,0.9,0.9,0.9,0.9
17/01/20,216240.0,0.89,0.88,0.89,0.87
20/01/20,817100.0,0.87,0.83,0.87,0.83
21/01/20,190600.0,0.84,0.84,0.86,0.81
22/01/20,990090.0,0.84,0.8,0.86,0.79
23/01/20,981020.0,0.82,0.81,0.82,0.8
24/01/20,360490.0,0.81,0.81,0.81,0.8
27/01/20,196980.0,0.8,0.81,0.85,0.8
28/01/20,127970.0,0.83,0.81,0.83,0.8
29/01/20,1062430.0,0.81,0.8,0.81,0.8
30/01/20,208600.0,0.8,0.8,0.82,0.79
31/01/20,145830.0,0.79,0.76,0.79,0.75
03/02/20,224880.0,0.75,0.75,0.76,0.75
04/02/20,119600.0,0.78,0.79,0.8,0.78
05/02/20,665590.0,0.75,0.8,0.81,0.75
06/02/20,60880.0,0.76,0.78,0.79,0.76
07/02/20,195710.0,0.76,0.78,0.79,0.7
10/02/20,4630.0,0.77,0.78,0.78,0.77
11/02/20,780.0,0.78,0.78,0.78,0.78
12/02/20,39000.0,0.78,0.78,0.78,0.78
13/02/20,42720.0,0.75,0.78,0.78,0.72
17/02/20,23150.0,0.72,0.77,0.78,0.72
18/02/20,670930.0,0.76,0.75,0.82,0.75
19/02/20,517470.0,0.77,0.72,0.77,0.7
20/02/20,216290.0,0.7,0.72,0.73,0.68
21/02/20,21720.0,0.7,0.72,0.72,0.7
24/02/20,45440.0,0.71,0.71,0.71,0.71
26/02/20,103710.0,0.71,0.69,0.71,0.65
27/02/20,163830.0,0.68,0.67,0.7,0.61
28/02/20,34180.0,0.67,0.67,0.68,0.67
02/03/20,42550.0,0.67,0.66,0.67,0.64
03/03/20,205330.0,0.66,0.63,0.66,0.6
04/03/20,61620.0,0.62,0.61,0.62,0.61
05/03/20,79370.0,0.61,0.61,0.61,0.57
06/03/20,7320.0,0.61,0.61,0.61,0.61
09/03/20,96330.0,0.58,0.56,0.58,0.56
10/03/20,17470.0,0.56,0.57,0.57,0.53
11/03/20,45680.0,0.58,0.57,0.62,0.57
12/03/20,65200.0,0.56,0.51,0.56,0.51
13/03/20,56580.0,0.51,0.56,0.56,0.51
16/03/20,11200.0,0.56,0.56,0.56,0.56
19/03/20,27980.0,0.52,0.53,0.53,0.51
20/03/20,84960.0,0.57,0.5,0.57,0.485
23/03/20,146035.0,0.52,0.5,0.56,0.45
24/03/20,96400.0,0.56,0.53,0.56,0.5
25/03/20,175660.0,0.54,0.53,0.56,0.5
26/03/20,182650.0,0.52,0.52,0.55,0.52
27/03/20,40240.0,0.53,0.54,0.55,0.52
30/03/20,1228630.0,0.54,0.55,0.55,0.54
31/03/20,480210.0,0.57,0.57,0.64,0.57
01/04/20,123990.0,0.57,0.59,0.62,0.57
02/04/20,7540.0,0.58,0.58,0.58,0.58
03/04/20,95700.0,0.58,0.58,0.58,0.58
06/04/20,215710.0,0.56,0.57,0.57,0.54
07/04/20,111470.0,0.59,0.56,0.59,0.54
08/04/20,158760.0,0.56,0.53,0.6,0.53
13/04/20,43650.0,0.55,0.56,0.57,0.54
14/04/20,185350.0,0.56,0.57,0.58,0.53
15/04/20,61480.0,0.57,0.6,0.6,0.56
16/04/20,20310.0,0.58,0.58,0.59,0.58
17/04/20,261000.0,0.59,0.57,0.59,0.55
20/04/20,93860.0,0.55,0.57,0.57,0.55
21/04/20,106910.0,0.56,0.53,0.56,0.53
22/04/20,99970.0,0.56,0.53,0.56,0.53
23/04/20,116710.0,0.56,0.56,0.56,0.54
24/04/20,185100.0,0.58,0.58,0.58,0.56
27/04/20,60070.0,0.6,0.6,0.61,0.58
28/04/20,218360.0,0.61,0.6,0.61,0.58
29/04/20,77430.0,0.59,0.58,0.6,0.58
30/04/20,35910.0,0.58,0.59,0.59,0.56
05/05/20,79640.0,0.57,0.58,0.59,0.55
06/05/20,39280.0,0.55,0.57,0.57,0.55
07/05/20,30810.0,0.56,0.56,0.57,0.56
08/05/20,560.0,0.56,0.56,0.56,0.56
11/05/20,90770.0,0.55,0.57,0.57,0.55
12/05/20,18830.0,0.55,0.57,0.57,0.55
14/05/20,570.0,0.57,0.57,0.57,0.57
15/05/20,5600.0,0.56,0.56,0.56,0.56
18/05/20,3240.0,0.54,0.54,0.54,0.54
19/05/20,52690.0,0.56,0.53,0.56,0.53
20/05/20,92660.0,0.52,0.54,0.54,0.5
22/05/20,3140.0,0.53,0.52,0.53,0.52
26/05/20,120520.0,0.51,0.5,0.51,0.5
27/05/20,13780.0,0.53,0.53,0.53,0.53
29/05/20,79040.0,0.53,0.55,0.56,0.53
01/06/20,166170.0,0.54,0.53,0.56,0.5
02/06/20,172690.0,0.51,0.53,0.53,0.51
03/06/20,257460.0,0.53,0.52,0.53,0.51
04/06/20,220840.0,0.52,0.51,0.53,0.51
05/06/20,631030.0,0.52,0.58,0.6,0.52
08/06/20,1173590.0,0.59,0.64,0.66,0.57
09/06/20,578160.0,0.67,0.65,0.7,0.65
10/06/20,242420.0,0.65,0.62,0.65,0.62
11/06/20,314080.0,0.62,0.61,0.63,0.6
15/06/20,99000.0,0.6,0.58,0.6,0.58
16/06/20,260300.0,0.58,0.56,0.59,0.53
17/06/20,615590.0,0.57,0.59,0.61,0.57
18/06/20,422390.0,0.6,0.59,0.6,0.56
19/06/20,40590.0,0.58,0.58,0.58,0.57
22/06/20,56750.0,0.57,0.59,0.59,0.56
23/06/20,704960.0,0.55,0.58,0.6,0.55
24/06/20,270800.0,0.61,0.58,0.61,0.58
25/06/20,17100.0,0.57,0.57,0.57,0.57
26/06/20,736290.0,0.58,0.6,0.61,0.56
29/06/20,8330560.0,0.59,0.6,0.6,0.55
30/06/20,818070.0,0.6,0.6,0.64,0.6
01/07/20,537440.0,0.6,0.6,0.63,0.6
02/07/20,231140.0,0.59,0.59,0.6,0.57
03/07/20,113630.0,0.59,0.59,0.59,0.57
06/07/20,1797170.0,0.59,0.67,0.7,0.58
07/07/20,1893860.0,0.64,0.65,0.77,0.62
08/07/20,528900.0,0.68,0.62,0.68,0.61
09/07/20,879610.0,0.62,0.63,0.65,0.6
10/07/20,216630.0,0.63,0.61,0.63,0.61
13/07/20,456550.0,0.62,0.63,0.65,0.6
14/07/20,171370.0,0.63,0.64,0.64,0.61
15/07/20,202510.0,0.63,0.62,0.63,0.6
16/07/20,7035200.0,0.61,0.65,0.66,0.61
17/07/20,240390.0,0.66,0.65,0.67,0.63
20/07/20,185610.0,0.63,0.65,0.65,0.63
21/07/20,696760.0,0.66,0.67,0.67,0.63
22/07/20,1175460.0,0.68,0.69,0.72,0.68
23/07/20,3152050.0,0.71,0.79,0.79,0.7
24/07/20,2557430.0,0.8,0.77,0.82,0.74
27/07/20,4715890.0,0.79,0.87,0.9,0.75
28/07/20,1966190.0,0.9,0.82,0.9,0.82
29/07/20,1383760.0,0.84,0.79,0.84,0.72
30/07/20,129580.0,0.82,0.82,0.82,0.8
03/08/20,1040730.0,0.81,0.74,0.81,0.71
04/08/20,1883250.0,0.81,0.82,0.84,0.8
05/08/20,2376700.0,0.84,0.85,0.88,0.84
06/08/20,1837270.0,0.86,0.85,0.88,0.82
07/08/20,103600100.0,0.85,1.01,1.07,0.85
10/08/20,7743850.0,1.01,0.97,1.02,0.93
11/08/20,3914600.0,0.98,0.95,0.99,0.94
12/08/20,5136230.0,0.94,0.91,0.94,0.9
13/08/20,2962820.0,0.91,0.92,0.94,0.89
14/08/20,4522580.0,0.94,0.95,0.96,0.91
17/08/20,4419270.0,0.97,0.95,0.98,0.94
18/08/20,1723240.0,0.95,0.94,0.96,0.93
19/08/20,1095990.0,0.94,0.94,0.94,0.92
20/08/20,1022270.0,0.91,0.92,0.93,0.91
24/08/20,1728060.0,0.9,0.93,0.96,0.9
25/08/20,1750190.0,0.94,0.93,0.96,0.91
26/08/20,1020940.0,0.94,0.94,0.94,0.92
27/08/20,20978700.0,0.95,1.01,1.05,0.94
28/08/20,16801470.0,1.02,1.04,1.09,1.01
01/09/20,7975380.0,1.06,1.05,1.08,1.04
02/09/20,7005900.0,1.06,1.01,1.06,0.99
03/09/20,3558690.0,1.03,1.01,1.03,0.99
04/09/20,4426670.0,0.98,0.99,1.0,0.98
07/09/20,3930280.0,1.0,1.0,1.01,0.98
08/09/20,7022670.0,1.0,0.95,1.0,0.95
09/09/20,4432440.0,0.91,0.92,0.95,0.9
10/09/20,1541590.0,0.92,0.95,0.95,0.92
11/09/20,2075180.0,0.95,0.92,0.95,0.92
14/09/20,2445740.0,0.94,0.96,0.97,0.94
15/09/20,1372180.0,0.96,0.94,0.96,0.93
16/09/20,764870.0,0.93,0.95,0.95,0.92
17/09/20,1221540.0,0.95,0.92,0.95,0.9
18/09/20,1436140.0,0.91,0.93,0.94,0.9
21/09/20,3532360.0,0.91,0.87,0.93,0.85
22/09/20,3716890.0,0.86,0.88,0.88,0.77
23/09/20,2165870.0,0.9,0.88,0.91,0.87
24/09/20,1507790.0,0.86,0.85,0.86,0.81
25/09/20,946530.0,0.85,0.87,0.87,0.85
28/09/20,1959920.0,0.85,0.85,0.86,0.84
29/09/20,1091900.0,0.84,0.83,0.85,0.82
30/09/20,980390.0,0.82,0.85,0.85,0.82
01/10/20,1237730.0,0.84,0.84,0.85,0.82
02/10/20,487770.0,0.82,0.84,0.84,0.82
05/10/20,725320.0,0.82,0.82,0.85,0.82
06/10/20,910460.0,0.82,0.81,0.83,0.81
07/10/20,1969910.0,0.82,0.87,0.87,0.81
08/10/20,9293440.0,0.91,0.91,0.98,0.91
09/10/20,3296320.0,0.92,0.94,0.95,0.92
12/10/20,5339250.0,0.95,0.96,0.99,0.95
13/10/20,1363900.0,0.97,0.94,0.97,0.93
14/10/20,2024260.0,0.94,0.94,0.95,0.92
15/10/20,3736950.0,0.95,0.95,0.97,0.94
16/10/20,3552180.0,0.95,0.97,0.97,0.95
19/10/20,5223940.0,0.97,0.95,0.98,0.95
20/10/20,2338980.0,0.95,0.95,0.97,0.94
21/10/20,2963610.0,0.96,0.94,0.97,0.94
22/10/20,20081600.0,0.98,1.01,1.03,0.98
23/10/20,5685100.0,1.02,0.99,1.02,0.97
26/10/20,9092660.0,0.98,0.95,0.99,0.95
27/10/20,1369660.0,0.94,0.96,0.97,0.94
28/10/20,3755760.0,0.96,0.96,0.96,0.95
29/10/20,1992430.0,0.94,0.95,0.95,0.93
30/10/20,1867130.0,0.95,0.92,0.95,0.92
03/11/20,1276820.0,0.92,0.94,0.95,0.91
04/11/20,2426400.0,0.94,0.96,0.96,0.92
05/11/20,2444650.0,0.96,0.95,0.97,0.94
06/11/20,1299750.0,0.96,0.96,0.97,0.95
09/11/20,18667080.0,0.98,1.05,1.05,0.97
10/11/20,5163840.0,1.06,1.03,1.06,1.02
11/11/20,8305110.0,1.03,1.04,1.04,1.02
13/11/20,105905850.0,1.05,1.15,1.15,1.04
16/11/20,9620710.0,1.16,1.17,1.17,1.11
17/11/20,10888300.0,1.17,1.12,1.18,1.1
18/11/20,6835190.0,1.12,1.12,1.14,1.09
19/11/20,4212340.0,1.12,1.1,1.12,1.1
20/11/20,14482210.0,1.06,1.08,1.1,1.02
23/11/20,8611140.0,1.11,1.12,1.15,1.11
24/11/20,41070170.0,1.13,1.16,1.16,1.1
25/11/20,19067170.0,1.18,1.27,1.28,1.18
26/11/20,10125240.0,1.28,1.2,1.29,1.13
27/11/20,21167800.0,1.35,1.27,1.39,1.26
01/12/20,9538000.0,1.29,1.3,1.34,1.2
02/12/20,2898610.0,1.29,1.27,1.34,1.27
03/12/20,4539420.0,1.27,1.25,1.27,1.22
04/12/20,4134410.0,1.26,1.23,1.27,1.22
07/12/20,8774990.0,1.24,1.24,1.27,1.23
09/12/20,9548150.0,1.23,1.29,1.33,1.22
10/12/20,11821870.0,1.3,1.3,1.38,1.3
11/12/20,9076080.0,1.34,1.31,1.37,1.3
14/12/20,17764370.0,1.31,1.48,1.49,1.31
15/12/20,8832840.0,1.48,1.48,1.5,1.41
16/12/20,5519200.0,1.49,1.57,1.58,1.45
17/12/20,16557710.0,1.57,1.46,1.66,1.4
18/12/20,4962000.0,1.54,1.47,1.54,1.46
21/12/20,3404740.0,1.47,1.46,1.48,1.41
22/12/20,8247980.0,1.49,1.42,1.49,1.35
23/12/20,4972490.0,1.35,1.43,1.43,1.32
28/12/20,6557000.0,1.45,1.47,1.48,1.37
29/12/20,8135430.0,1.5,1.46,1.53,1.42
04/01/21,12495290.0,1.5,1.62,1.65,1.47
05/01/21,11866750.0,1.67,1.7,1.75,1.67
06/01/21,18988270.0,1.75,1.82,1.95,1.67
07/01/21,9402460.0,1.82,1.84,1.86,1.75
08/01/21,6223100.0,1.86,1.85,1.86,1.82
11/01/21,10507740.0,1.82,1.75,1.82,1.71
