Date,Value,Open,Close,High,Low
02/01/20,621936.0,12.4,12.0,12.4,11.8
03/01/20,14735140.0,12.0,11.86,12.0,11.76
06/01/20,1155084.0,11.86,11.5,11.86,11.5
07/01/20,7181014.0,11.5,11.7,11.94,11.5
08/01/20,265334.0,11.7,11.52,11.94,11.4
09/01/20,10583882.0,11.5,11.4,11.5,11.3
10/01/20,141184.0,11.48,11.36,11.5,11.3
14/01/20,1596214.0,11.3,11.18,11.36,11.12
15/01/20,1205238.0,11.36,11.28,11.38,11.18
16/01/20,2745186.0,11.22,11.16,11.28,11.14
17/01/20,43274248.0,11.16,11.18,11.3,11.16
20/01/20,715078.0,11.36,11.16,11.38,11.16
21/01/20,2000270.0,11.3,10.92,11.3,10.9
22/01/20,629560.0,10.9,10.92,11.0,10.8
23/01/20,605884.0,10.9,10.9,11.2,10.82
24/01/20,292324.0,10.92,11.0,11.16,10.9
27/01/20,261300.0,11.0,10.94,11.1,10.92
28/01/20,1585648.0,11.14,11.0,11.14,11.0
29/01/20,654214.0,11.0,10.8,11.02,10.8
30/01/20,722598.0,10.7,10.7,10.8,10.5
31/01/20,2143706.0,10.5,10.0,10.98,10.0
03/02/20,925013.0,10.1,9.99,10.1,9.92
04/02/20,412875.0,9.99,9.99,10.0,9.96
05/02/20,959858.0,10.0,10.0,10.3,10.0
06/02/20,1708276.0,10.06,9.98,10.12,9.97
07/02/20,621379.0,10.0,10.0,10.0,9.97
10/02/20,489860522.0,10.0,10.0,10.0,9.8
11/02/20,7510074.0,10.0,10.2,10.26,10.0
12/02/20,5077046.0,10.22,10.2,10.44,10.16
13/02/20,3548654.0,10.2,9.98,10.38,9.98
14/02/20,2109345.0,9.98,9.82,9.98,9.82
17/02/20,965269.0,9.8,9.88,10.0,9.62
18/02/20,1779413.0,9.9,9.7,10.0,9.69
19/02/20,334657.0,9.79,9.68,9.79,9.65
20/02/20,874861.0,9.68,9.62,9.73,9.62
