Date,Value,Open,Close,High,Low
02/01/20,7219776.0,16.32,16.08,16.32,15.98
03/01/20,2801688.0,16.24,16.22,16.38,16.16
06/01/20,3108392.0,16.8,16.04,16.8,16.0
07/01/20,3507900.0,16.66,16.0,16.66,16.0
08/01/20,8306014.0,16.54,15.62,16.54,15.6
09/01/20,3125026.0,15.62,15.5,15.62,15.38
10/01/20,7671466.0,15.3,14.82,15.4,14.82
14/01/20,20396856.0,14.88,15.5,15.68,14.3
15/01/20,20392924.0,15.16,15.0,15.16,14.62
16/01/20,15751704.0,14.98,14.96,15.0,14.28
17/01/20,35989906.0,14.94,14.96,14.96,14.22
20/01/20,24942094.0,14.92,15.0,15.0,14.36
21/01/20,13668762.0,15.16,15.0,15.16,14.56
22/01/20,32876706.0,15.0,14.88,15.0,14.58
23/01/20,32632320.0,14.88,14.98,14.98,14.6
24/01/20,12129924.0,14.96,15.0,15.0,14.78
27/01/20,7461054.0,15.0,15.4,15.44,15.0
28/01/20,25244792.0,15.48,14.98,15.48,14.8
29/01/20,14464908.0,14.98,15.0,15.08,14.74
30/01/20,39876306.0,14.82,14.8,14.86,14.72
31/01/20,14572784.0,14.8,14.6,14.8,14.5
03/02/20,34970422.0,14.7,14.8,14.8,14.24
04/02/20,21895374.0,14.6,14.8,14.8,14.4
05/02/20,33629872.0,14.78,14.6,14.8,14.52
06/02/20,6670906.0,14.78,14.3,14.78,14.3
07/02/20,23904496.0,14.3,14.6,14.6,14.3
10/02/20,2804848.0,14.6,14.6,14.6,14.38
11/02/20,3445676.0,14.6,14.5,14.6,14.44
12/02/20,83875880.0,14.5,14.5,14.68,14.4
13/02/20,8039546.0,14.5,14.98,14.98,14.48
14/02/20,4820636.0,14.94,14.8,14.96,14.76
17/02/20,3620068.0,14.7,15.0,15.0,14.6
18/02/20,3950842.0,14.98,14.8,14.98,14.7
19/02/20,8525598.0,14.78,14.8,14.84,14.74
20/02/20,2113820.0,14.78,14.64,14.84,14.64
21/02/20,77685080.0,14.8,14.6,14.8,14.48
24/02/20,6764296.0,14.6,14.08,14.8,14.08
26/02/20,18093836.0,14.3,14.0,14.3,13.58
27/02/20,29185368.0,13.8,13.2,13.8,12.98
28/02/20,80770688.0,13.0,12.66,13.28,12.4
02/03/20,25061448.0,12.5,12.28,12.5,12.14
