Date,Value,Open,Close,High,Low
02/01/20,86339840.0,4.03,3.92,4.08,3.92
03/01/20,168137960.0,3.92,4.07,4.14,3.92
06/01/20,81879890.0,4.07,4.12,4.13,3.96
07/01/20,185438280.0,4.13,4.17,4.3,4.13
08/01/20,125493910.0,4.13,4.29,4.29,4.1
09/01/20,79972770.0,4.28,4.27,4.28,4.22
10/01/20,61023740.0,4.27,4.25,4.27,4.21
14/01/20,190022230.0,4.26,4.38,4.38,4.24
15/01/20,118293340.0,4.37,4.32,4.37,4.27
16/01/20,136370870.0,4.3,4.31,4.33,4.24
17/01/20,69153780.0,4.27,4.3,4.31,4.27
20/01/20,237115180.0,4.31,4.42,4.42,4.23
21/01/20,125023050.0,4.42,4.3,4.45,4.3
22/01/20,97929360.0,4.27,4.27,4.34,4.24
23/01/20,78472240.0,4.23,4.28,4.29,4.2
24/01/20,44029250.0,4.28,4.28,4.3,4.26
27/01/20,33715080.0,4.28,4.26,4.28,4.24
28/01/20,109548870.0,4.26,4.15,4.26,4.13
29/01/20,77726020.0,4.17,4.13,4.17,4.05
30/01/20,183856970.0,4.13,4.14,4.23,4.1
31/01/20,268941570.0,4.1,4.05,4.11,3.97
03/02/20,92064950.0,4.04,3.83,4.04,3.83
04/02/20,87487510.0,3.86,3.89,3.96,3.84
05/02/20,79292240.0,3.95,4.06,4.06,3.9
06/02/20,100865310.0,4.08,4.05,4.11,4.03
07/02/20,84722610.0,4.03,4.07,4.07,3.98
10/02/20,45913980.0,4.08,4.04,4.08,4.04
11/02/20,62420240.0,4.05,4.0,4.05,3.98
12/02/20,123334920.0,3.98,3.92,3.99,3.89
13/02/20,155317070.0,3.92,3.75,3.94,3.72
14/02/20,121411590.0,3.82,3.9,3.9,3.79
17/02/20,33218840.0,3.9,3.98,3.99,3.9
18/02/20,19503690.0,3.98,3.96,4.0,3.96
19/02/20,81782080.0,3.95,4.03,4.06,3.95
20/02/20,71513290.0,4.03,4.05,4.1,4.03
