Date,Value,Open,Close,High,Low
02/01/20,297200.0,0.95,0.95,0.95,0.9
03/01/20,3680.0,0.89,0.95,0.95,0.89
09/01/20,5700.0,0.95,0.95,0.95,0.95
15/01/20,40560.0,0.9,0.96,0.96,0.9
17/01/20,39820.0,0.94,0.96,0.96,0.94
20/01/20,16570.0,1.0,0.96,1.0,0.96
21/01/20,50880.0,0.96,0.96,0.96,0.96
22/01/20,87280.0,0.95,0.96,0.96,0.89
23/01/20,14300.0,1.0,1.0,1.0,0.93
24/01/20,26320.0,0.94,0.94,0.94,0.94
27/01/20,746460.0,0.95,1.0,1.15,0.95
28/01/20,862400.0,1.11,1.09,1.29,1.09
29/01/20,145480.0,1.09,1.07,1.14,1.01
30/01/20,64510.0,1.0,1.08,1.08,0.98
31/01/20,52310.0,1.11,1.05,1.15,0.96
03/02/20,564610.0,0.99,1.0,1.0,0.94
04/02/20,21430.0,0.93,1.05,1.05,0.93
05/02/20,71790.0,1.05,1.05,1.08,1.05
06/02/20,11580.0,0.96,1.02,1.02,0.95
07/02/20,32240.0,0.95,1.0,1.05,0.95
10/02/20,7070.0,1.07,1.06,1.07,0.98
11/02/20,40220.0,0.99,1.04,1.05,0.95
12/02/20,32600.0,0.98,1.06,1.06,0.98
14/02/20,8986770.0,1.05,1.28,1.55,1.05
17/02/20,637340.0,1.25,1.24,1.25,1.14
18/02/20,1357070.0,1.17,1.29,1.35,1.16
19/02/20,776980.0,1.3,1.24,1.31,1.16
20/02/20,153870.0,1.18,1.22,1.23,1.17
21/02/20,21840970.0,1.18,1.83,1.83,1.18
24/02/20,43732060.0,1.97,1.59,2.14,1.43
26/02/20,4985210.0,1.55,1.47,1.55,1.38
27/02/20,60548760.0,1.47,2.2,2.2,1.45
28/02/20,39057930.0,1.9,1.73,2.05,1.68
02/03/20,122761370.0,1.8,2.13,2.48,1.79
03/03/20,159850830.0,2.26,2.75,2.97,2.14
04/03/20,151509140.0,2.85,2.67,3.3,2.67
05/03/20,53755760.0,2.76,2.8,2.99,2.54
06/03/20,24962760.0,2.9,2.67,2.95,2.58
09/03/20,25323420.0,2.77,2.1,2.82,2.1
10/03/20,17945310.0,1.8,2.03,2.04,1.5
11/03/20,31814120.0,2.07,2.24,2.37,2.06
12/03/20,12314100.0,2.01,1.67,2.2,1.63
13/03/20,9680520.0,1.4,1.72,1.8,1.21
16/03/20,8127690.0,1.6,1.67,1.92,1.55
19/03/20,3008530.0,1.55,1.23,1.55,1.22
20/03/20,1859230.0,1.23,1.17,1.42,1.1
23/03/20,3681380.0,1.13,1.22,1.35,1.05
24/03/20,2874420.0,1.3,1.36,1.42,1.3
25/03/20,3572590.0,1.44,1.38,1.5,1.36
26/03/20,8008170.0,1.42,1.62,1.62,1.35
27/03/20,5301520.0,1.7,1.55,1.75,1.5
