Date,Value,Open,Close,High,Low
02/01/20,77920260.0,3.37,3.36,3.38,3.2
03/01/20,56399630.0,3.36,3.44,3.45,3.3
06/01/20,60660260.0,3.44,3.49,3.49,3.35
07/01/20,435552940.0,3.49,3.63,3.65,3.41
08/01/20,71841990.0,3.63,3.55,3.63,3.5
09/01/20,152444940.0,3.54,3.8,3.8,3.54
10/01/20,99100240.0,3.77,3.74,3.77,3.65
14/01/20,159395450.0,3.7,3.81,3.82,3.66
15/01/20,163404870.0,3.79,3.7,3.79,3.7
16/01/20,83963490.0,3.7,3.56,3.76,3.52
17/01/20,138796610.0,3.56,3.5,3.59,3.38
20/01/20,109404380.0,3.42,3.31,3.45,3.28
21/01/20,98463010.0,3.3,3.2,3.3,3.14
22/01/20,61666560.0,3.18,3.3,3.3,3.16
23/01/20,69542390.0,3.35,3.47,3.5,3.35
24/01/20,84903150.0,3.5,3.35,3.5,3.32
27/01/20,66748330.0,3.32,3.24,3.32,3.2
28/01/20,64488240.0,3.22,3.25,3.32,3.18
29/01/20,73248650.0,3.25,3.21,3.28,3.2
30/01/20,152948580.0,3.22,3.21,3.3,3.21
31/01/20,159001850.0,3.28,3.21,3.41,3.21
03/02/20,149454820.0,3.3,3.2,3.36,3.19
04/02/20,117212030.0,3.21,3.25,3.28,3.2
05/02/20,123728250.0,3.25,3.24,3.28,3.22
06/02/20,164175460.0,3.27,3.21,3.29,3.19
07/02/20,72292630.0,3.21,3.2,3.25,3.19
10/02/20,47642200.0,3.2,3.23,3.24,3.18
11/02/20,76492870.0,3.23,3.15,3.23,3.15
12/02/20,108870210.0,3.2,3.05,3.2,3.03
13/02/20,67459120.0,3.05,3.0,3.05,2.97
14/02/20,85481750.0,3.05,3.07,3.16,3.05
17/02/20,48402960.0,3.14,3.18,3.25,3.14
18/02/20,38196130.0,3.2,3.14,3.23,3.14
19/02/20,75342010.0,3.13,3.16,3.2,3.13
20/02/20,54627110.0,3.17,3.19,3.24,3.17
21/02/20,243888110.0,3.2,3.19,3.28,3.17
24/02/20,61634200.0,3.18,3.06,3.18,3.05
26/02/20,134531790.0,2.98,2.97,3.04,2.87
27/02/20,173705140.0,3.01,3.07,3.13,2.98
28/02/20,182815650.0,3.05,3.07,3.13,3.01
02/03/20,129651080.0,3.09,3.2,3.29,3.09
03/03/20,204189030.0,3.25,3.3,3.34,3.22
04/03/20,253210200.0,3.35,3.44,3.54,3.33
