Date,Value,Open,Close,High,Low
02/01/20,239640.0,2.12,2.11,2.12,2.09
03/01/20,825620.0,2.09,2.16,2.16,2.09
06/01/20,164110.0,2.18,2.16,2.18,2.14
07/01/20,740330.0,2.19,2.15,2.19,2.1
08/01/20,1326010.0,2.15,2.15,2.15,2.09
09/01/20,558010.0,2.15,2.12,2.15,2.1
10/01/20,1736240.0,2.11,2.12,2.15,2.11
14/01/20,2886590.0,2.12,2.09,2.16,2.09
15/01/20,1314470.0,2.09,2.09,2.1,2.08
16/01/20,1101220.0,2.1,2.09,2.1,2.07
17/01/20,489730.0,2.08,2.14,2.14,2.07
20/01/20,434010.0,2.14,2.1,2.14,2.08
21/01/20,562690.0,2.08,2.09,2.1,2.07
22/01/20,1921470.0,2.1,2.05,2.1,2.03
23/01/20,969800.0,2.03,2.05,2.05,2.02
24/01/20,977640.0,2.05,2.06,2.08,2.03
27/01/20,715870.0,2.1,2.06,2.1,2.04
28/01/20,659430.0,2.1,2.05,2.1,2.04
29/01/20,495810.0,2.05,2.05,2.05,2.02
30/01/20,938120.0,2.05,2.03,2.05,2.03
31/01/20,4567470.0,2.02,1.96,2.05,1.9
03/02/20,3607740.0,1.95,1.88,1.96,1.87
04/02/20,2529150.0,1.87,1.9,1.94,1.87
05/02/20,2598170.0,1.94,1.9,1.95,1.89
06/02/20,2325920.0,1.92,1.9,1.92,1.87
07/02/20,2022870.0,1.9,1.9,1.91,1.89
10/02/20,1751550.0,1.91,1.88,1.91,1.87
11/02/20,1655030.0,1.88,1.88,1.9,1.87
12/02/20,2732660.0,1.88,1.85,1.88,1.82
13/02/20,1660860.0,1.86,1.84,1.87,1.8
14/02/20,2108370.0,1.88,1.8,1.95,1.8
17/02/20,1118220.0,1.82,1.8,1.9,1.8
18/02/20,262670.0,1.86,1.82,1.86,1.82
19/02/20,429110.0,1.81,1.82,1.84,1.81
20/02/20,2482620.0,1.82,1.8,1.82,1.79
21/02/20,1396040.0,1.82,1.79,1.82,1.77
24/02/20,1088560.0,1.79,1.75,1.79,1.75
26/02/20,2144940.0,1.72,1.65,1.72,1.61
27/02/20,486360.0,1.67,1.65,1.69,1.65
28/02/20,3028080.0,1.65,1.59,1.65,1.58
02/03/20,1709270.0,1.58,1.65,1.78,1.58
03/03/20,1776560.0,1.7,1.62,1.7,1.6
04/03/20,4119610.0,1.61,1.59,1.62,1.58
05/03/20,2103440.0,1.58,1.57,1.6,1.56
06/03/20,6431270.0,1.58,1.58,1.65,1.57
09/03/20,6551190.0,1.57,1.52,1.57,1.45
10/03/20,5974800.0,1.52,1.47,1.52,1.42
11/03/20,2679230.0,1.5,1.49,1.5,1.46
12/03/20,9119110.0,1.48,1.4,1.5,1.38
13/03/20,4611620.0,1.38,1.35,1.42,1.16
16/03/20,1212060.0,1.24,1.35,1.35,1.2
19/03/20,1998310.0,1.3,1.25,1.3,1.24
20/03/20,6565550.0,1.25,1.25,1.4,1.25
23/03/20,2295070.0,1.24,1.16,1.25,1.16
24/03/20,475000.0,1.23,1.2,1.23,1.15
25/03/20,2884420.0,1.25,1.29,1.37,1.25
26/03/20,3905500.0,1.31,1.36,1.37,1.28
27/03/20,4684540.0,1.36,1.44,1.54,1.36
30/03/20,2171950.0,1.44,1.41,1.45,1.31
31/03/20,3637190.0,1.41,1.39,1.42,1.37
01/04/20,3063590.0,1.38,1.47,1.49,1.38
02/04/20,1025230.0,1.47,1.43,1.47,1.42
03/04/20,1576680.0,1.44,1.47,1.5,1.43
06/04/20,2866420.0,1.49,1.58,1.58,1.47
07/04/20,5762810.0,1.59,1.51,1.59,1.45
08/04/20,4461060.0,1.57,1.46,1.57,1.42
13/04/20,3893700.0,1.46,1.51,1.55,1.46
14/04/20,6662530.0,1.55,1.52,1.56,1.49
15/04/20,5292870.0,1.53,1.57,1.61,1.52
16/04/20,3726390.0,1.57,1.49,1.57,1.49
17/04/20,5944540.0,1.5,1.52,1.58,1.5
20/04/20,1769740.0,1.53,1.55,1.56,1.53
21/04/20,6977520.0,1.55,1.68,1.7,1.51
22/04/20,4648650.0,1.68,1.63,1.68,1.61
23/04/20,7353120.0,1.65,1.72,1.75,1.65
24/04/20,2787810.0,1.73,1.72,1.75,1.71
27/04/20,12639850.0,1.76,1.9,1.99,1.76
28/04/20,8779160.0,1.91,1.87,1.98,1.81
29/04/20,4224250.0,1.89,1.91,1.91,1.85
30/04/20,4961790.0,1.95,1.89,1.95,1.88
04/05/20,4540730.0,1.89,1.8,1.89,1.75
05/05/20,5836830.0,1.77,1.88,1.88,1.77
06/05/20,2488760.0,1.87,1.85,1.87,1.82
07/05/20,2295150.0,1.81,1.8,1.84,1.78
08/05/20,6202190.0,1.8,1.8,1.84,1.75
11/05/20,3570300.0,1.81,1.8,1.83,1.8
12/05/20,1744250.0,1.8,1.8,1.81,1.76
13/05/20,724320.0,1.78,1.78,1.8,1.78
14/05/20,4081690.0,1.77,1.73,1.77,1.71
15/05/20,8220010.0,1.77,1.66,1.82,1.65
18/05/20,5808770.0,1.66,1.59,1.66,1.54
19/05/20,3127870.0,1.62,1.63,1.68,1.61
20/05/20,3393510.0,1.68,1.67,1.68,1.64
21/05/20,1366410.0,1.67,1.65,1.71,1.65
22/05/20,5058430.0,1.68,1.61,1.68,1.6
26/05/20,4425190.0,1.6,1.55,1.6,1.46
27/05/20,2679750.0,1.55,1.5,1.55,1.5
28/05/20,2471870.0,1.51,1.53,1.54,1.51
29/05/20,2399920.0,1.54,1.52,1.57,1.52
01/06/20,2633220.0,1.54,1.53,1.55,1.52
02/06/20,4992270.0,1.54,1.56,1.6,1.53
03/06/20,3778540.0,1.6,1.6,1.63,1.58
04/06/20,7849710.0,1.63,1.65,1.65,1.59
05/06/20,5316010.0,1.68,1.61,1.69,1.59
08/06/20,7034300.0,1.64,1.65,1.67,1.63
09/06/20,14791280.0,1.66,1.75,1.76,1.66
10/06/20,17600460.0,1.77,1.62,1.79,1.6
11/06/20,7819440.0,1.6,1.6,1.61,1.54
15/06/20,10162510.0,1.59,1.53,1.59,1.53
16/06/20,5288090.0,1.54,1.56,1.59,1.54
17/06/20,15912550.0,1.6,1.66,1.68,1.59
