Date,Value,Open,Close,High,Low
02/01/20,181875777.5,65.85,65.0,66.1,64.9
03/01/20,219926854.5,64.8,65.0,65.95,64.7
06/01/20,115210270.5,64.95,64.55,64.95,64.3
07/01/20,87061285.5,64.5,65.1,65.45,64.25
08/01/20,125804499.0,64.5,64.6,64.95,64.1
09/01/20,98005925.5,64.85,65.9,65.9,64.85
10/01/20,65424719.5,65.9,67.0,67.0,65.35
14/01/20,318900616.5,66.5,65.8,66.5,65.0
15/01/20,192946793.5,65.8,65.0,65.8,64.95
16/01/20,112339739.0,64.7,65.0,65.4,64.4
17/01/20,204647704.0,65.0,65.05,65.4,64.85
20/01/20,185046455.0,65.05,65.0,65.2,64.2
21/01/20,210030683.5,64.2,63.95,64.5,63.8
22/01/20,125357409.5,63.5,64.95,64.95,63.45
23/01/20,185078422.0,64.9,64.8,64.9,64.1
24/01/20,177213529.5,64.7,64.55,64.75,64.0
27/01/20,37532438.0,64.55,64.8,65.0,64.5
28/01/20,167505240.5,64.65,64.6,64.75,64.45
29/01/20,108459590.5,64.6,64.0,64.8,62.85
30/01/20,130189055.0,64.0,61.3,64.0,61.3
31/01/20,430176938.0,60.6,57.35,62.35,57.15
03/02/20,242249798.5,57.45,56.05,58.95,56.0
04/02/20,492648096.5,56.65,56.65,58.4,56.65
05/02/20,235127131.5,58.1,59.8,59.8,58.0
06/02/20,142029543.0,60.0,61.55,61.55,60.0
07/02/20,92489485.5,60.95,60.9,61.3,60.8
10/02/20,140901806.5,60.8,58.8,61.15,58.6
11/02/20,59211947.5,59.75,58.3,60.5,58.3
12/02/20,118087441.5,58.5,58.3,59.5,58.3
13/02/20,114952215.5,59.0,59.35,59.7,58.45
14/02/20,176629592.5,59.3,58.0,59.85,58.0
17/02/20,112174620.5,58.35,59.0,59.1,58.1
18/02/20,151729367.5,58.5,58.6,59.5,58.5
19/02/20,90452428.5,58.35,59.0,59.3,58.35
20/02/20,364257875.5,59.0,60.6,60.9,59.0
21/02/20,149997070.0,61.0,60.85,61.1,60.6
24/02/20,122834076.0,60.85,60.1,61.0,59.35
26/02/20,257077654.5,59.0,59.1,59.2,57.2
27/02/20,152838480.0,59.1,57.25,60.0,57.2
28/02/20,249903969.0,57.25,56.05,57.3,56.05
02/03/20,143493882.0,56.1,55.1,57.45,55.1
03/03/20,234391762.5,56.2,53.5,56.35,53.5
04/03/20,148561497.0,54.7,56.1,56.1,53.75
05/03/20,69936649.5,56.1,56.0,56.75,55.5
