Date,Value,Open,Close,High,Low
02/01/20,612000.0,0.153,0.153,0.153,0.153
09/01/20,156800.0,0.16,0.16,0.16,0.16
10/01/20,25500.0,0.17,0.17,0.17,0.17
16/01/20,24040.0,0.176,0.17,0.176,0.17
20/01/20,17500.0,0.175,0.175,0.175,0.175
22/01/20,60200.0,0.175,0.182,0.182,0.175
06/02/20,171840.0,0.179,0.179,0.179,0.179
12/02/20,255020.0,0.172,0.168,0.172,0.168
13/02/20,180300.0,0.165,0.163,0.165,0.163
14/02/20,19560.0,0.163,0.163,0.163,0.163
17/02/20,81700.0,0.17,0.16,0.17,0.16
19/02/20,46800.0,0.156,0.156,0.156,0.156
20/02/20,26920.0,0.156,0.16,0.16,0.156
21/02/20,170340.0,0.154,0.162,0.162,0.154
24/02/20,107600.0,0.153,0.158,0.158,0.153
26/02/20,77500.0,0.155,0.155,0.155,0.155
27/02/20,93010.0,0.153,0.164,0.164,0.153
28/02/20,226300.0,0.155,0.155,0.155,0.155
02/03/20,75500.0,0.151,0.151,0.151,0.151
03/03/20,19500.0,0.15,0.15,0.15,0.15
04/03/20,62730.0,0.15,0.134,0.15,0.121
05/03/20,39760.0,0.142,0.142,0.142,0.142
06/03/20,10110.0,0.142,0.159,0.159,0.142
12/03/20,88220.0,0.124,0.153,0.153,0.121
13/03/20,35990.0,0.121,0.15,0.15,0.121
16/03/20,24000.0,0.12,0.12,0.12,0.12
20/03/20,1050.0,0.105,0.105,0.105,0.105
23/03/20,10450.0,0.103,0.106,0.106,0.103
24/03/20,48860.0,0.105,0.145,0.145,0.102
25/03/20,145000.0,0.145,0.145,0.145,0.145
27/03/20,4320.0,0.144,0.144,0.144,0.144
06/04/20,404640.0,0.112,0.144,0.144,0.112
07/04/20,115340.0,0.144,0.14,0.144,0.14
15/04/20,8400.0,0.14,0.14,0.14,0.14
20/04/20,31300.0,0.14,0.145,0.145,0.14
24/04/20,14670.0,0.115,0.144,0.144,0.115
29/04/20,6420.0,0.121,0.14,0.14,0.121
04/05/20,10280.0,0.14,0.126,0.14,0.126
05/05/20,6500.0,0.13,0.13,0.13,0.13
13/05/20,1400.0,0.14,0.14,0.14,0.14
18/05/20,7800.0,0.13,0.13,0.13,0.13
19/05/20,315250.0,0.125,0.122,0.128,0.12
21/05/20,21060.0,0.125,0.125,0.125,0.121
22/05/20,39810.0,0.12,0.143,0.143,0.115
26/05/20,2410.0,0.12,0.121,0.121,0.12
28/05/20,2300.0,0.115,0.115,0.115,0.115
03/06/20,1470.0,0.147,0.147,0.147,0.147
04/06/20,37720.0,0.12,0.122,0.122,0.12
05/06/20,14000.0,0.14,0.14,0.14,0.14
18/06/20,23090.0,0.116,0.12,0.13,0.116
19/06/20,116900.0,0.156,0.14,0.156,0.14
22/06/20,51430.0,0.139,0.139,0.139,0.139
23/06/20,36820.0,0.132,0.133,0.133,0.13
24/06/20,51360.0,0.138,0.135,0.138,0.135
