Date,Value,Open,Close,High,Low
02/01/20,2460.0,0.83,0.83,0.83,0.8
03/01/20,250340.0,0.8,0.83,0.83,0.8
06/01/20,87460.0,0.8,0.83,0.83,0.8
07/01/20,350990.0,0.81,0.78,0.83,0.78
08/01/20,148260.0,0.78,0.81,0.81,0.78
09/01/20,7270.0,0.79,0.82,0.82,0.79
10/01/20,37500.0,0.78,0.82,0.83,0.78
14/01/20,103200.0,0.81,0.8,0.81,0.78
16/01/20,32730.0,0.81,0.84,0.84,0.81
17/01/20,805840.0,0.85,0.9,0.9,0.85
20/01/20,61210.0,0.9,0.91,0.91,0.9
21/01/20,166960.0,0.9,0.88,0.9,0.84
22/01/20,73540.0,0.88,0.88,0.88,0.83
23/01/20,3370.0,0.83,0.88,0.88,0.83
24/01/20,162750.0,0.83,0.85,0.85,0.82
27/01/20,56560.0,0.86,0.85,0.86,0.85
28/01/20,145670.0,0.83,0.8,0.83,0.8
29/01/20,157750.0,0.78,0.84,0.84,0.76
30/01/20,176030.0,0.79,0.78,0.8,0.78
31/01/20,196380.0,0.76,0.77,0.81,0.75
03/02/20,66460.0,0.77,0.77,0.77,0.72
04/02/20,39020.0,0.74,0.79,0.8,0.74
05/02/20,42530.0,0.75,0.75,0.75,0.74
06/02/20,106670.0,0.75,0.79,0.79,0.75
07/02/20,52170.0,0.77,0.77,0.77,0.75
10/02/20,55780.0,0.78,0.79,0.79,0.77
11/02/20,9710.0,0.8,0.81,0.81,0.8
12/02/20,87200.0,0.74,0.79,0.81,0.74
14/02/20,5650.0,0.76,0.82,0.82,0.76
17/02/20,13590.0,0.75,0.82,0.82,0.75
19/02/20,31280.0,0.76,0.74,0.76,0.74
20/02/20,9000.0,0.75,0.75,0.75,0.75
21/02/20,115230.0,0.75,0.75,0.75,0.74
24/02/20,78000.0,0.75,0.75,0.75,0.75
26/02/20,281750.0,0.73,0.73,0.73,0.7
27/02/20,56330.0,0.74,0.72,0.75,0.72
28/02/20,39600.0,0.72,0.72,0.72,0.72
02/03/20,750.0,0.75,0.75,0.75,0.75
03/03/20,136830.0,0.73,0.73,0.74,0.71
04/03/20,46820.0,0.71,0.72,0.74,0.71
05/03/20,26900.0,0.7,0.7,0.73,0.7
06/03/20,2100.0,0.7,0.7,0.7,0.7
09/03/20,189620.0,0.71,0.68,0.71,0.68
10/03/20,57180.0,0.67,0.68,0.7,0.67
11/03/20,6050.0,0.67,0.68,0.68,0.67
12/03/20,148050.0,0.65,0.6,0.65,0.6
13/03/20,174270.0,0.55,0.58,0.6,0.54
16/03/20,24510.0,0.57,0.57,0.57,0.57
24/03/20,19560.0,0.57,0.68,0.68,0.57
26/03/20,2010.0,0.67,0.67,0.67,0.67
27/03/20,116620.0,0.67,0.68,0.68,0.67
31/03/20,11740.0,0.52,0.67,0.67,0.52
01/04/20,304990.0,0.67,0.67,0.67,0.61
03/04/20,84630.0,0.68,0.69,0.69,0.68
06/04/20,680.0,0.68,0.68,0.68,0.68
07/04/20,1980.0,0.62,0.68,0.68,0.62
08/04/20,30920.0,0.63,0.68,0.68,0.63
13/04/20,105300.0,0.65,0.65,0.65,0.65
14/04/20,12550.0,0.63,0.61,0.66,0.61
15/04/20,100330.0,0.62,0.64,0.64,0.61
16/04/20,12910.0,0.68,0.61,0.68,0.61
20/04/20,32390.0,0.67,0.61,0.67,0.61
21/04/20,29500.0,0.59,0.59,0.59,0.59
22/04/20,74800.0,0.67,0.65,0.67,0.65
24/04/20,6500.0,0.65,0.65,0.65,0.65
29/04/20,640.0,0.64,0.64,0.64,0.64
30/04/20,12800.0,0.64,0.64,0.64,0.64
04/05/20,3800.0,0.64,0.62,0.64,0.62
06/05/20,620.0,0.62,0.62,0.62,0.62
07/05/20,14360.0,0.59,0.6,0.6,0.59
08/05/20,973510.0,0.6,0.6,0.6,0.58
11/05/20,83960.0,0.58,0.6,0.6,0.58
12/05/20,61200.0,0.6,0.6,0.6,0.6
13/05/20,301280.0,0.6,0.64,0.64,0.6
14/05/20,1078550.0,0.63,0.7,0.72,0.61
15/05/20,1919680.0,0.68,0.72,0.72,0.63
18/05/20,155930.0,0.72,0.74,0.75,0.68
19/05/20,2095430.0,0.74,0.68,0.81,0.63
20/05/20,302520.0,0.63,0.66,0.67,0.63
21/05/20,30360.0,0.66,0.66,0.66,0.66
22/05/20,233450.0,0.66,0.64,0.66,0.6
26/05/20,424640.0,0.63,0.62,0.63,0.6
27/05/20,58000.0,0.63,0.64,0.64,0.6
28/05/20,4840.0,0.6,0.64,0.64,0.6
29/05/20,40180.0,0.61,0.63,0.64,0.6
01/06/20,37830.0,0.6,0.63,0.63,0.6
02/06/20,2560.0,0.64,0.64,0.64,0.64
03/06/20,5440.0,0.6,0.64,0.64,0.6
04/06/20,93560.0,0.62,0.64,0.65,0.61
05/06/20,37000.0,0.64,0.64,0.64,0.62
08/06/20,183320.0,0.62,0.64,0.64,0.62
09/06/20,1367270.0,0.64,0.61,0.64,0.57
10/06/20,238860.0,0.61,0.61,0.61,0.58
11/06/20,198620.0,0.6,0.59,0.61,0.58
15/06/20,357090.0,0.59,0.56,0.59,0.56
16/06/20,687690.0,0.56,0.57,0.58,0.56
17/06/20,331240.0,0.59,0.58,0.59,0.56
18/06/20,93680.0,0.58,0.59,0.59,0.56
19/06/20,73120.0,0.59,0.59,0.59,0.57
22/06/20,161260.0,0.59,0.59,0.59,0.56
23/06/20,56130.0,0.57,0.58,0.59,0.56
24/06/20,292050.0,0.55,0.57,0.57,0.55
25/06/20,75570.0,0.56,0.57,0.57,0.55
26/06/20,75250.0,0.55,0.55,0.55,0.54
29/06/20,58280.0,0.55,0.55,0.57,0.55
30/06/20,136300.0,0.56,0.56,0.56,0.55
01/07/20,256380.0,0.59,0.58,0.59,0.56
02/07/20,51070.0,0.59,0.58,0.59,0.58
03/07/20,107420.0,0.59,0.59,0.59,0.57
06/07/20,25810.0,0.59,0.59,0.59,0.56
07/07/20,64410.0,0.59,0.58,0.59,0.58
08/07/20,229360.0,0.59,0.57,0.59,0.57
09/07/20,16790.0,0.59,0.58,0.59,0.57
10/07/20,108930.0,0.59,0.58,0.59,0.57
13/07/20,11560.0,0.59,0.58,0.59,0.57
14/07/20,47660.0,0.59,0.59,0.59,0.57
15/07/20,1233860.0,0.59,0.61,0.63,0.59
16/07/20,45750.0,0.61,0.61,0.62,0.59
17/07/20,135070.0,0.59,0.59,0.6,0.58
20/07/20,78360.0,0.61,0.6,0.61,0.59
21/07/20,20460.0,0.62,0.6,0.62,0.6
22/07/20,11590.0,0.61,0.61,0.62,0.6
23/07/20,1810.0,0.61,0.6,0.61,0.6
24/07/20,278360.0,0.61,0.6,0.61,0.58
27/07/20,36050.0,0.6,0.6,0.6,0.58
28/07/20,2980.0,0.6,0.59,0.6,0.59
29/07/20,1210.0,0.61,0.6,0.61,0.6
30/07/20,15610.0,0.6,0.61,0.61,0.6
03/08/20,11240.0,0.61,0.6,0.61,0.58
04/08/20,26760.0,0.6,0.63,0.63,0.59
05/08/20,32130.0,0.63,0.6,0.63,0.6
06/08/20,289840.0,0.61,0.62,0.63,0.6
07/08/20,198290.0,0.62,0.63,0.63,0.6
10/08/20,117307730.0,0.63,0.64,0.68,0.6
11/08/20,545560.0,0.66,0.65,0.66,0.62
12/08/20,75480.0,0.64,0.64,0.65,0.61
13/08/20,123080.0,0.65,0.64,0.65,0.61
14/08/20,87480.0,0.64,0.65,0.65,0.63
17/08/20,336550.0,0.65,0.65,0.67,0.64
18/08/20,151270.0,0.67,0.64,0.67,0.63
19/08/20,58510.0,0.66,0.64,0.66,0.62
20/08/20,55490.0,0.65,0.64,0.65,0.63
24/08/20,2550.0,0.64,0.63,0.64,0.63
25/08/20,211870.0,0.63,0.63,0.64,0.61
26/08/20,39330.0,0.63,0.62,0.63,0.6
27/08/20,91840.0,0.62,0.62,0.62,0.6
28/08/20,1267360.0,0.62,0.6,0.62,0.57
01/09/20,13520.0,0.64,0.61,0.64,0.61
02/09/20,374640.0,0.61,0.61,0.64,0.58
03/09/20,101130.0,0.62,0.59,0.62,0.59
04/09/20,56450.0,0.63,0.6,0.63,0.59
07/09/20,74570.0,0.61,0.6,0.61,0.58
08/09/20,54650.0,0.61,0.61,0.61,0.59
09/09/20,2400.0,0.61,0.61,0.61,0.59
