Date,Value,Open,Close,High,Low
02/01/20,4030.0,1.02,1.02,1.02,0.98
03/01/20,3020.0,1.02,1.02,1.02,0.98
06/01/20,2030.0,1.02,1.01,1.02,1.01
07/01/20,5020.0,1.02,1.01,1.02,0.99
08/01/20,3030.0,1.02,1.02,1.02,0.99
09/01/20,11040.0,1.02,1.02,1.02,1.0
10/01/20,183060.0,1.02,1.02,1.02,1.0
14/01/20,32040.0,1.02,1.02,1.02,1.0
15/01/20,1416830.0,1.02,1.08,1.12,1.02
16/01/20,333440.0,1.04,1.06,1.09,1.01
17/01/20,51250.0,1.06,1.06,1.06,1.02
20/01/20,25410.0,1.07,1.06,1.07,1.02
21/01/20,47040.0,1.06,1.02,1.07,1.02
22/01/20,71970.0,1.02,1.04,1.06,1.02
23/01/20,3100.0,1.04,1.04,1.04,1.02
24/01/20,106200.0,1.04,1.04,1.04,1.01
27/01/20,3090.0,1.04,1.04,1.04,1.01
28/01/20,10320.0,1.03,1.05,1.05,1.03
29/01/20,3120.0,1.05,1.05,1.05,1.02
30/01/20,51390.0,1.05,1.04,1.05,1.0
31/01/20,87220.0,1.04,1.03,1.04,1.0
03/02/20,3060.0,1.03,1.01,1.03,1.01
04/02/20,3120.0,1.05,1.03,1.05,1.03
05/02/20,6160.0,1.03,1.03,1.03,1.01
06/02/20,55010.0,1.03,1.03,1.03,0.99
07/02/20,236520.0,1.03,1.02,1.03,0.98
10/02/20,17900.0,0.99,1.02,1.03,0.99
11/02/20,5010.0,1.02,1.02,1.02,0.99
12/02/20,10900.0,0.99,1.0,1.0,0.99
13/02/20,71640.0,1.0,1.02,1.02,0.98
14/02/20,2030.0,1.02,1.01,1.02,1.01
17/02/20,3020.0,1.01,1.01,1.01,1.0
18/02/20,3020.0,1.01,1.01,1.01,1.0
19/02/20,3020.0,1.01,1.01,1.01,1.0
20/02/20,5020.0,1.01,1.0,1.01,1.0
21/02/20,39640.0,1.01,1.01,1.01,0.99
24/02/20,36720.0,1.01,1.0,1.01,0.98
26/02/20,11810.0,1.01,1.0,1.01,0.98
27/02/20,21310.0,1.0,1.0,1.0,0.96
28/02/20,108800.0,0.95,0.93,0.99,0.93
02/03/20,477070.0,0.92,0.93,0.93,0.9
03/03/20,11700.0,0.98,0.93,0.98,0.93
05/03/20,24200.0,0.93,0.95,0.95,0.93
06/03/20,4830.0,0.95,0.97,0.97,0.95
09/03/20,1560090.0,0.95,0.84,0.95,0.84
10/03/20,68640.0,0.85,0.87,0.89,0.84
11/03/20,13850.0,0.87,0.85,0.87,0.85
12/03/20,1200900.0,0.85,0.8,0.85,0.8
13/03/20,87410.0,0.8,0.83,0.86,0.8
16/03/20,1680.0,0.83,0.85,0.85,0.83
19/03/20,230580.0,0.89,0.78,0.89,0.77
20/03/20,87690.0,0.79,0.78,0.79,0.77
23/03/20,119090.0,0.77,0.78,0.78,0.77
24/03/20,15134860.0,0.76,0.86,0.87,0.76
25/03/20,363870.0,0.86,0.85,0.89,0.83
26/03/20,27550.0,0.85,0.86,0.9,0.84
27/03/20,89100.0,0.91,0.85,0.91,0.85
30/03/20,52050.0,0.82,0.86,0.86,0.82
31/03/20,153320.0,0.87,0.9,0.96,0.87
01/04/20,8820.0,0.9,0.86,0.9,0.86
02/04/20,8840.0,0.89,0.87,0.89,0.87
03/04/20,58840.0,0.86,0.9,0.94,0.86
06/04/20,1185030.0,0.9,0.9,0.98,0.89
07/04/20,130990.0,0.9,0.91,0.94,0.9
08/04/20,144700.0,0.91,0.91,0.93,0.9
13/04/20,172360.0,0.91,0.91,0.95,0.91
14/04/20,89170.0,0.95,0.94,0.97,0.92
15/04/20,56060.0,0.98,0.95,1.0,0.95
16/04/20,119830.0,0.99,0.95,0.99,0.94
17/04/20,4790.0,0.95,0.95,0.99,0.95
20/04/20,108700.0,0.95,0.95,0.99,0.95
21/04/20,95240.0,0.96,0.95,0.99,0.95
22/04/20,15180.0,0.95,0.95,0.98,0.89
23/04/20,2810.0,0.95,0.96,0.96,0.9
24/04/20,11400.0,0.89,0.96,0.96,0.89
27/04/20,1870.0,0.91,0.96,0.96,0.91
28/04/20,12880.0,0.96,0.91,0.96,0.91
29/04/20,1870.0,0.96,0.91,0.96,0.91
30/04/20,144460.0,0.96,0.91,0.96,0.91
04/05/20,169370.0,0.92,0.95,1.06,0.92
05/05/20,136770.0,0.95,1.0,1.05,0.95
06/05/20,219680.0,0.98,1.0,1.06,0.97
07/05/20,47380.0,1.05,0.98,1.05,0.98
08/05/20,160830.0,0.98,0.99,1.06,0.98
11/05/20,30690.0,0.99,1.0,1.05,0.99
12/05/20,112300.0,1.0,1.0,1.03,1.0
13/05/20,102910.0,1.03,1.0,1.05,1.0
14/05/20,32040.0,1.05,0.99,1.05,0.99
15/05/20,816970.0,1.03,0.99,1.05,0.97
18/05/20,141900.0,0.97,0.98,1.04,0.97
19/05/20,16460.0,0.98,1.0,1.05,0.98
20/05/20,24110.0,1.0,1.0,1.03,1.0
21/05/20,58330.0,1.0,1.0,1.03,1.0
22/05/20,17040.0,1.02,1.01,1.02,1.0
26/05/20,86770.0,1.01,1.0,1.03,0.99
27/05/20,168920.0,1.02,1.0,1.03,0.99
28/05/20,197450.0,1.0,1.0,1.02,0.99
29/05/20,49000.0,0.98,1.0,1.01,0.98
01/06/20,69850.0,1.0,1.0,1.05,0.99
02/06/20,2030.0,1.03,1.0,1.03,1.0
03/06/20,52200.0,1.0,1.0,1.02,1.0
04/06/20,65130.0,1.0,1.0,1.03,1.0
05/06/20,23760.0,1.0,1.02,1.05,1.0
08/06/20,2981580.0,1.03,1.05,1.05,1.01
09/06/20,225540.0,1.05,1.07,1.07,1.03
10/06/20,23520.0,1.05,1.07,1.07,1.05
11/06/20,67190.0,1.06,1.05,1.08,1.05
15/06/20,56749100.0,1.05,1.2,1.37,1.05
16/06/20,30588570.0,1.21,1.21,1.26,1.16
17/06/20,37296860.0,1.2,1.3,1.43,1.19
18/06/20,1078190.0,1.32,1.25,1.32,1.22
19/06/20,595330.0,1.2,1.27,1.31,1.2
22/06/20,366390.0,1.25,1.24,1.29,1.21
23/06/20,703210.0,1.24,1.28,1.35,1.23
24/06/20,387000.0,1.29,1.33,1.35,1.26
25/06/20,477770.0,1.32,1.32,1.35,1.3
26/06/20,5081530.0,1.31,1.37,1.48,1.31
29/06/20,1868340.0,1.39,1.44,1.48,1.36
30/06/20,3298430.0,1.46,1.5,1.52,1.43
01/07/20,1173120.0,1.5,1.43,1.52,1.39
02/07/20,1004880.0,1.45,1.37,1.47,1.36
03/07/20,1439250.0,1.37,1.3,1.4,1.3
06/07/20,504210.0,1.35,1.29,1.35,1.28
07/07/20,632650.0,1.3,1.31,1.4,1.3
08/07/20,426380.0,1.36,1.33,1.36,1.29
09/07/20,901580.0,1.3,1.32,1.38,1.3
10/07/20,797230.0,1.35,1.38,1.45,1.32
13/07/20,1103190.0,1.37,1.39,1.45,1.37
14/07/20,593870.0,1.36,1.41,1.42,1.33
15/07/20,680920.0,1.35,1.39,1.41,1.34
16/07/20,232140.0,1.39,1.33,1.39,1.3
17/07/20,647570.0,1.26,1.25,1.37,1.2
20/07/20,380220.0,1.25,1.19,1.25,1.14
21/07/20,553320.0,1.2,1.22,1.29,1.17
22/07/20,354490.0,1.22,1.27,1.31,1.22
23/07/20,1782650.0,1.34,1.33,1.34,1.27
24/07/20,603310.0,1.34,1.31,1.38,1.29
27/07/20,538560.0,1.32,1.33,1.38,1.3
28/07/20,816820.0,1.36,1.35,1.4,1.33
29/07/20,415270.0,1.4,1.35,1.4,1.33
30/07/20,524810.0,1.4,1.4,1.42,1.36
03/08/20,868240.0,1.39,1.4,1.45,1.39
04/08/20,2453010.0,1.42,1.51,1.55,1.4
05/08/20,4654160.0,1.51,1.62,1.67,1.51
06/08/20,7617820.0,1.68,1.72,1.94,1.65
07/08/20,2849310.0,1.73,1.75,1.79,1.71
10/08/20,2960200.0,1.76,1.74,1.79,1.73
11/08/20,1390420.0,1.75,1.78,1.79,1.75
12/08/20,2443420.0,1.78,1.8,1.84,1.77
13/08/20,985990.0,1.8,1.78,1.81,1.76
14/08/20,778930.0,1.8,1.77,1.8,1.76
17/08/20,1036170.0,1.77,1.77,1.8,1.76
18/08/20,600970.0,1.78,1.79,1.8,1.77
19/08/20,4075390.0,1.79,1.85,1.93,1.79
20/08/20,3275410.0,1.86,1.91,1.93,1.86
24/08/20,4331410.0,1.94,2.03,2.06,1.91
25/08/20,2755620.0,2.04,1.99,2.1,1.98
26/08/20,1401900.0,2.03,2.01,2.08,1.98
27/08/20,4987300.0,2.0,2.12,2.16,1.98
28/08/20,3051250.0,2.12,2.14,2.2,2.1
01/09/20,1779310.0,2.12,2.15,2.19,2.1
02/09/20,1593980.0,2.16,2.15,2.2,2.14
03/09/20,3894020.0,2.16,2.21,2.23,2.15
04/09/20,4417990.0,2.18,2.14,2.18,2.08
07/09/20,5361690.0,2.14,2.06,2.2,2.02
08/09/20,1840680.0,2.05,2.08,2.1,2.05
09/09/20,2509730.0,2.08,2.03,2.08,2.0
10/09/20,1798450.0,2.03,2.08,2.1,2.03
11/09/20,1404220.0,2.1,2.05,2.1,2.05
14/09/20,878210.0,2.07,2.07,2.1,2.05
15/09/20,776180.0,2.08,2.08,2.11,2.07
16/09/20,1126180.0,2.08,2.08,2.12,2.08
17/09/20,613000.0,2.08,2.08,2.12,2.08
18/09/20,1027480.0,2.07,2.05,2.11,2.05
21/09/20,2432740.0,2.04,2.01,2.12,2.01
22/09/20,1212420.0,2.02,2.02,2.08,2.0
23/09/20,1100250.0,2.02,2.03,2.08,2.01
24/09/20,1974350.0,2.02,1.99,2.04,1.97
25/09/20,1107960.0,2.01,2.0,2.01,1.93
28/09/20,196280.0,2.0,1.99,2.0,1.96
29/09/20,274180.0,1.99,1.99,2.0,1.97
30/09/20,797630.0,2.0,1.99,2.0,1.97
01/10/20,620300.0,1.99,1.99,2.03,1.97
02/10/20,354990.0,1.97,1.99,2.0,1.97
05/10/20,543120.0,1.99,1.98,2.0,1.97
06/10/20,1137730.0,1.98,1.98,2.0,1.97
07/10/20,2662370.0,1.98,2.15,2.16,1.98
08/10/20,7621070.0,2.16,2.26,2.76,2.11
09/10/20,2853320.0,2.28,2.29,2.39,2.28
12/10/20,1423320.0,2.37,2.31,2.37,2.3
13/10/20,1468220.0,2.32,2.29,2.33,2.26
14/10/20,975660.0,2.28,2.32,2.33,2.26
15/10/20,3514760.0,2.32,2.46,2.5,2.32
16/10/20,2196430.0,2.47,2.53,2.6,2.43
19/10/20,1819890.0,2.54,2.56,2.7,2.53
20/10/20,1165200.0,2.56,2.53,2.58,2.52
21/10/20,1698930.0,2.56,2.63,2.68,2.56
