Date,Value,Open,Close,High,Low
02/01/20,18605340.0,3.46,3.25,3.48,3.16
03/01/20,14922990.0,3.2,3.15,3.24,3.1
06/01/20,16477840.0,3.06,3.16,3.16,3.0
07/01/20,10776970.0,3.16,3.06,3.16,3.06
08/01/20,22000520.0,3.03,3.15,3.15,2.96
09/01/20,24315140.0,3.15,3.3,3.3,3.15
10/01/20,57465170.0,3.3,3.11,3.3,3.11
14/01/20,43099500.0,3.18,3.05,3.25,3.05
15/01/20,21896330.0,3.06,3.19,3.19,3.04
16/01/20,34675990.0,3.21,3.35,3.35,3.21
17/01/20,27406200.0,3.29,3.45,3.45,3.22
20/01/20,20696260.0,3.44,3.41,3.46,3.37
21/01/20,28508240.0,3.41,3.37,3.41,3.15
22/01/20,5629740.0,3.3,3.23,3.3,3.2
23/01/20,10854050.0,3.23,3.15,3.24,3.14
24/01/20,9883790.0,3.12,3.17,3.24,3.1
27/01/20,13555160.0,3.2,3.2,3.2,3.02
28/01/20,15453420.0,3.09,3.15,3.17,3.04
29/01/20,3268810.0,3.13,3.09,3.13,3.07
30/01/20,10126310.0,3.1,3.0,3.1,3.0
31/01/20,33337290.0,3.0,2.86,3.0,2.75
03/02/20,41584760.0,2.77,2.8,2.84,2.66
04/02/20,25204390.0,2.79,2.7,2.82,2.68
05/02/20,10201960.0,2.7,2.71,2.77,2.69
06/02/20,14006490.0,2.71,2.78,2.84,2.71
07/02/20,10133100.0,2.78,2.74,2.83,2.71
10/02/20,32755930.0,2.74,2.55,2.74,2.5
11/02/20,18279490.0,2.51,2.68,2.68,2.51
12/02/20,6632170.0,2.68,2.64,2.68,2.61
13/02/20,3174030.0,2.66,2.58,2.66,2.56
14/02/20,2519580.0,2.56,2.56,2.6,2.55
17/02/20,1967300.0,2.53,2.58,2.59,2.52
18/02/20,3453230.0,2.58,2.61,2.64,2.58
19/02/20,24091870.0,2.63,2.57,2.69,2.57
20/02/20,2603070.0,2.56,2.58,2.64,2.56
21/02/20,2451010.0,2.58,2.59,2.63,2.56
24/02/20,6250560.0,2.55,2.5,2.55,2.5
26/02/20,8027770.0,2.47,2.45,2.47,2.28
27/02/20,7253930.0,2.39,2.43,2.45,2.39
28/02/20,18680210.0,2.41,2.18,2.41,2.18
02/03/20,40640840.0,2.18,2.18,2.21,2.06
