Date,Value,Open,Close,High,Low
02/01/20,4231640.0,2.52,2.5,2.62,2.41
03/01/20,2580640.0,2.51,2.54,2.59,2.51
06/01/20,3544020.0,2.59,2.56,2.62,2.54
07/01/20,3090810.0,2.57,2.51,2.6,2.51
08/01/20,3413580.0,2.5,2.45,2.51,2.42
09/01/20,2779330.0,2.48,2.47,2.48,2.39
10/01/20,2739260.0,2.43,2.48,2.53,2.42
14/01/20,6531310.0,2.49,2.63,2.63,2.49
15/01/20,4242990.0,2.68,2.57,2.68,2.53
16/01/20,2380250.0,2.57,2.54,2.63,2.54
17/01/20,2713680.0,2.53,2.58,2.58,2.47
20/01/20,5519640.0,2.58,2.49,2.65,2.43
21/01/20,3954880.0,2.45,2.42,2.49,2.41
22/01/20,2390230.0,2.42,2.42,2.46,2.4
23/01/20,1694260.0,2.42,2.44,2.45,2.39
24/01/20,5993430.0,2.45,2.55,2.56,2.42
27/01/20,6308270.0,2.54,2.52,2.6,2.47
28/01/20,6857150.0,2.48,2.37,2.56,2.36
29/01/20,2690370.0,2.38,2.38,2.45,2.36
30/01/20,3533930.0,2.38,2.37,2.47,2.36
31/01/20,7766060.0,2.37,2.23,2.38,2.2
03/02/20,4095500.0,2.18,2.3,2.3,2.14
04/02/20,1701910.0,2.29,2.28,2.3,2.2
05/02/20,3161790.0,2.28,2.22,2.33,2.2
06/02/20,3092480.0,2.22,2.21,2.28,2.19
07/02/20,3657370.0,2.2,2.2,2.27,2.18
10/02/20,2224100.0,2.2,2.18,2.25,2.18
11/02/20,3020510.0,2.17,2.18,2.21,2.13
12/02/20,3143890.0,2.2,2.13,2.24,2.13
13/02/20,5224240.0,2.13,2.04,2.15,2.02
14/02/20,949840.0,2.05,2.06,2.1,2.04
17/02/20,21907080.0,2.11,2.15,2.4,2.11
18/02/20,4350630.0,2.17,2.14,2.27,2.11
19/02/20,3921330.0,2.11,2.09,2.15,2.05
20/02/20,1779170.0,2.09,2.14,2.16,2.07
21/02/20,14717870.0,2.14,2.19,2.34,2.11
24/02/20,4151600.0,2.2,2.1,2.2,2.07
26/02/20,11817140.0,2.08,2.0,2.08,1.95
27/02/20,1631520.0,2.0,2.03,2.04,1.97
28/02/20,4529270.0,1.98,1.93,1.98,1.9
02/03/20,1482290.0,1.91,1.92,1.98,1.91
03/03/20,3161160.0,1.93,1.97,2.01,1.93
04/03/20,2037270.0,2.0,1.96,2.0,1.93
05/03/20,978320.0,2.0,1.96,2.01,1.96
06/03/20,1451620.0,1.96,1.92,1.96,1.92
09/03/20,7685500.0,1.9,1.6,1.9,1.53
10/03/20,3428880.0,1.54,1.49,1.54,1.42
11/03/20,2464150.0,1.54,1.52,1.68,1.5
12/03/20,4109670.0,1.5,1.24,1.5,1.22
13/03/20,4543580.0,1.16,1.36,1.38,1.0
16/03/20,2015020.0,1.28,1.25,1.33,1.2
19/03/20,1703520.0,1.18,1.1,1.18,1.06
20/03/20,1614600.0,1.11,1.13,1.21,1.11
23/03/20,461370.0,1.14,1.12,1.15,1.09
24/03/20,1529890.0,1.2,1.18,1.25,1.15
25/03/20,4799180.0,1.18,1.28,1.34,1.18
26/03/20,4698350.0,1.35,1.35,1.38,1.31
27/03/20,3734410.0,1.44,1.39,1.45,1.34
30/03/20,1308740.0,1.32,1.33,1.35,1.3
31/03/20,1877810.0,1.36,1.41,1.42,1.36
01/04/20,5947540.0,1.41,1.54,1.62,1.41
02/04/20,2502550.0,1.54,1.51,1.54,1.46
03/04/20,3785580.0,1.51,1.56,1.61,1.51
06/04/20,2006370.0,1.61,1.6,1.65,1.58
07/04/20,5885100.0,1.65,1.62,1.72,1.62
08/04/20,2228130.0,1.6,1.6,1.66,1.57
13/04/20,3282750.0,1.61,1.66,1.66,1.6
14/04/20,7441380.0,1.67,1.72,1.78,1.66
15/04/20,3578720.0,1.76,1.73,1.76,1.7
16/04/20,2370400.0,1.73,1.66,1.73,1.64
17/04/20,2042270.0,1.65,1.7,1.72,1.64
20/04/20,4710790.0,1.75,1.81,1.82,1.69
21/04/20,9301270.0,1.83,1.9,1.93,1.81
22/04/20,4568550.0,1.9,1.85,1.9,1.78
23/04/20,8375010.0,1.85,1.9,1.94,1.85
