Date,Value,Open,Close,High,Low
06/01/20,13500.0,0.45,0.45,0.45,0.45
07/01/20,60850.0,0.435,0.485,0.485,0.43
08/01/20,19200.0,0.48,0.48,0.48,0.48
14/01/20,365450.0,0.42,0.425,0.425,0.42
15/01/20,16950.0,0.42,0.425,0.425,0.42
16/01/20,22500.0,0.45,0.45,0.45,0.45
17/01/20,45800.0,0.45,0.465,0.465,0.45
21/01/20,51650.0,0.43,0.475,0.475,0.43
22/01/20,79000.0,0.44,0.45,0.45,0.435
23/01/20,67600.0,0.44,0.45,0.46,0.44
24/01/20,4500.0,0.45,0.45,0.45,0.45
27/01/20,69650.0,0.46,0.465,0.47,0.46
03/02/20,4400.0,0.44,0.44,0.44,0.44
05/02/20,30800.0,0.44,0.44,0.44,0.44
06/02/20,9000.0,0.45,0.45,0.45,0.45
10/02/20,27750.0,0.45,0.465,0.465,0.45
11/02/20,787550.0,0.465,0.48,0.56,0.465
12/02/20,51500.0,0.465,0.5,0.5,0.465
13/02/20,520.0,0.52,0.52,0.52,0.52
14/02/20,14405.0,0.46,0.47,0.49,0.46
17/02/20,350300.0,0.47,0.45,0.47,0.45
19/02/20,315800.0,0.45,0.45,0.45,0.44
28/02/20,35250.0,0.445,0.44,0.445,0.44
03/03/20,16850.0,0.42,0.425,0.425,0.42
05/03/20,21700.0,0.45,0.425,0.45,0.425
06/03/20,22500.0,0.45,0.45,0.45,0.45
09/03/20,453500.0,0.425,0.42,0.425,0.4
10/03/20,43000.0,0.43,0.43,0.43,0.43
19/03/20,2750.0,0.275,0.275,0.275,0.275
25/03/20,9600.0,0.31,0.33,0.33,0.31
26/03/20,22200.0,0.35,0.39,0.39,0.35
27/03/20,3900.0,0.39,0.39,0.39,0.39
06/04/20,527000.0,0.34,0.34,0.34,0.34
08/04/20,49700.0,0.355,0.355,0.355,0.355
14/04/20,3550.0,0.355,0.355,0.355,0.355
17/04/20,21000.0,0.35,0.35,0.35,0.35
27/04/20,15600.0,0.39,0.39,0.39,0.39
29/04/20,15950.0,0.395,0.4,0.4,0.395
30/04/20,8000.0,0.4,0.4,0.4,0.4
05/05/20,16800.0,0.41,0.43,0.43,0.41
08/05/20,8000.0,0.4,0.4,0.4,0.4
22/05/20,3800.0,0.38,0.38,0.38,0.38
28/05/20,36000.0,0.36,0.36,0.36,0.36
02/06/20,326350.0,0.355,0.36,0.37,0.33
