Date,Value,Open,Close,High,Low
02/01/20,18310.0,0.74,0.74,0.74,0.72
03/01/20,99160.0,0.73,0.7,0.74,0.7
06/01/20,78110.0,0.72,0.71,0.72,0.71
07/01/20,740.0,0.74,0.74,0.74,0.74
08/01/20,449840.0,0.72,0.72,0.72,0.67
09/01/20,28890.0,0.68,0.71,0.72,0.68
10/01/20,226490.0,0.72,0.75,0.75,0.69
14/01/20,4550.0,0.76,0.75,0.76,0.75
15/01/20,40040.0,0.75,0.76,0.76,0.74
16/01/20,2280.0,0.76,0.76,0.76,0.76
17/01/20,7520.0,0.76,0.75,0.76,0.75
20/01/20,37170.0,0.73,0.74,0.74,0.72
21/01/20,13110.0,0.72,0.74,0.74,0.72
22/01/20,1480.0,0.74,0.74,0.74,0.74
24/01/20,37820.0,0.72,0.73,0.73,0.69
27/01/20,78130.0,0.73,0.74,0.74,0.7
30/01/20,33170.0,0.74,0.71,0.74,0.7
31/01/20,39290.0,0.7,0.7,0.73,0.7
03/02/20,20140.0,0.69,0.7,0.7,0.69
04/02/20,87370.0,0.69,0.69,0.69,0.66
06/02/20,63000.0,0.68,0.67,0.68,0.67
07/02/20,68360.0,0.67,0.67,0.68,0.67
10/02/20,138550.0,0.66,0.66,0.66,0.64
11/02/20,87820.0,0.65,0.68,0.7,0.64
12/02/20,29410.0,0.69,0.67,0.69,0.63
13/02/20,1360.0,0.68,0.68,0.68,0.68
17/02/20,54010.0,0.65,0.68,0.68,0.64
20/02/20,2630.0,0.65,0.68,0.68,0.65
21/02/20,153120.0,0.66,0.63,0.68,0.63
24/02/20,49820.0,0.67,0.62,0.67,0.62
26/02/20,18950.0,0.61,0.65,0.65,0.61
27/02/20,62000.0,0.64,0.62,0.64,0.59
28/02/20,73260.0,0.58,0.62,0.62,0.58
02/03/20,35920.0,0.59,0.62,0.62,0.59
03/03/20,88670.0,0.62,0.62,0.62,0.59
05/03/20,113790.0,0.59,0.63,0.64,0.58
06/03/20,8020.0,0.59,0.63,0.63,0.59
09/03/20,236440.0,0.61,0.58,0.61,0.52
10/03/20,38690.0,0.52,0.56,0.56,0.52
12/03/20,103990.0,0.51,0.54,0.54,0.5
13/03/20,21245.0,0.495,0.495,0.495,0.49
16/03/20,30150.0,0.495,0.54,0.54,0.495
19/03/20,42900.0,0.56,0.45,0.56,0.43
23/03/20,37850.0,0.435,0.445,0.445,0.4
24/03/20,51250.0,0.51,0.43,0.51,0.43
25/03/20,36000.0,0.45,0.45,0.45,0.45
26/03/20,51900.0,0.53,0.46,0.53,0.46
27/03/20,68850.0,0.48,0.44,0.48,0.44
31/03/20,23200.0,0.475,0.465,0.475,0.46
01/04/20,46650.0,0.46,0.475,0.475,0.46
02/04/20,32650.0,0.475,0.46,0.475,0.46
03/04/20,18450.0,0.465,0.46,0.465,0.46
06/04/20,974150.0,0.46,0.455,0.46,0.455
07/04/20,50900.0,0.46,0.47,0.47,0.46
08/04/20,222700.0,0.475,0.45,0.475,0.45
13/04/20,36800.0,0.46,0.46,0.46,0.46
14/04/20,83900.0,0.46,0.465,0.47,0.455
15/04/20,344950.0,0.465,0.485,0.485,0.46
16/04/20,75500.0,0.475,0.47,0.475,0.47
17/04/20,64300.0,0.48,0.5,0.51,0.48
20/04/20,95225.0,0.495,0.52,0.52,0.495
21/04/20,105170.0,0.5,0.52,0.52,0.495
22/04/20,89380.0,0.52,0.52,0.52,0.49
23/04/20,110295.0,0.5,0.495,0.52,0.495
24/04/20,236400.0,0.495,0.48,0.495,0.48
27/04/20,90650.0,0.475,0.475,0.5,0.475
28/04/20,9700.0,0.475,0.495,0.495,0.475
29/04/20,40700.0,0.51,0.49,0.52,0.49
30/04/20,9950.0,0.495,0.5,0.5,0.495
04/05/20,60120.0,0.49,0.5,0.51,0.49
05/05/20,45470.0,0.51,0.53,0.53,0.5
06/05/20,31150.0,0.53,0.52,0.53,0.5
07/05/20,10550.0,0.54,0.52,0.54,0.52
11/05/20,3020.0,0.5,0.52,0.52,0.5
12/05/20,5210.0,0.53,0.52,0.53,0.52
14/05/20,12530.0,0.51,0.5,0.51,0.5
