Date,Value,Open,Close,High,Low
02/01/20,16361.0,7.85,7.79,7.85,7.11
03/01/20,38029.0,7.79,7.21,7.79,7.21
06/01/20,47143.0,7.85,7.42,7.85,7.38
07/01/20,7015.0,7.8,7.75,7.8,7.75
08/01/20,9973.0,7.75,7.65,7.75,7.65
09/01/20,47002.0,7.21,7.5,7.65,7.21
10/01/20,37830.0,7.8,7.5,7.8,7.5
14/01/20,106694.0,7.5,7.5,7.5,7.31
15/01/20,48305.0,7.5,7.85,7.85,7.3
16/01/20,8430.0,7.9,7.5,7.9,7.4
17/01/20,106537.0,7.4,7.4,7.4,7.39
20/01/20,68830.0,7.4,7.45,7.45,7.4
21/01/20,48840.0,7.4,7.4,7.4,7.4
22/01/20,80886.0,7.4,7.3,7.4,7.3
23/01/20,15747.0,7.98,7.5,7.98,7.5
24/01/20,25480.0,7.4,7.5,7.5,7.4
27/01/20,45658.0,7.4,7.4,7.4,7.35
28/01/20,28227.0,7.36,7.4,7.5,7.35
29/01/20,54949.0,7.35,7.3,7.59,7.25
30/01/20,37470.0,7.3,7.3,7.5,7.3
31/01/20,74541.0,7.2,7.4,7.4,7.01
03/02/20,191996.0,7.01,7.3,7.3,6.95
04/02/20,125529.0,7.3,7.1,7.39,7.0
05/02/20,29635.0,7.15,7.35,7.4,7.0
06/02/20,62500.0,7.3,7.2,7.4,7.1
07/02/20,2960.0,7.4,7.4,7.4,7.4
10/02/20,53970.0,7.4,7.15,7.4,7.15
11/02/20,21013.0,7.15,7.35,7.35,7.15
12/02/20,11840.0,7.4,7.4,7.4,7.4
13/02/20,58780.0,7.35,7.3,7.4,7.3
14/02/20,19245.0,7.3,7.0,7.3,7.0
17/02/20,740.0,7.4,7.4,7.4,7.4
18/02/20,21265.0,7.25,7.4,7.4,7.25
19/02/20,60194.0,7.49,7.3,7.49,7.1
20/02/20,34643.0,7.0,7.2,7.3,7.0
21/02/20,27422.0,7.3,7.0,7.3,7.0
24/02/20,143430.0,7.0,7.0,7.3,6.9
26/02/20,170950.0,7.3,6.95,7.3,6.95
27/02/20,14625.0,6.95,7.0,7.0,6.95
28/02/20,61213.0,6.92,6.9,6.92,6.5
02/03/20,260382.0,6.9,6.6,6.9,6.5
03/03/20,103950.0,6.64,6.8,6.8,6.6
04/03/20,38970.0,6.8,6.8,6.8,6.7
05/03/20,33310.0,6.8,6.8,6.8,6.7
06/03/20,134120.0,6.8,6.8,6.8,6.5
09/03/20,77222.0,6.5,6.48,6.8,6.3
10/03/20,262514.0,6.35,5.99,6.35,5.76
11/03/20,120244.0,6.1,6.25,6.25,5.76
12/03/20,194478.0,6.2,6.2,6.2,5.75
13/03/20,182313.0,6.1,5.99,6.2,5.5
16/03/20,69046.0,5.98,5.99,5.99,5.85
19/03/20,280599.0,6.0,5.0,6.0,5.0
20/03/20,99455.0,5.0,6.05,6.05,5.0
23/03/20,101889.0,6.0,5.5,6.0,5.5
24/03/20,97490.0,6.0,6.1,6.3,5.6
25/03/20,142710.0,5.61,6.5,6.5,5.61
26/03/20,338865.0,6.8,6.3,6.8,6.25
27/03/20,124079.0,6.78,6.6,6.78,6.31
30/03/20,77779.0,6.75,6.69,6.75,6.5
31/03/20,78818.0,6.69,6.6,6.69,6.3
01/04/20,40605.0,6.6,6.6,6.6,6.5
02/04/20,35810.0,6.6,6.6,6.65,6.0
03/04/20,121300.0,6.6,6.49,6.6,6.0
06/04/20,357603.0,6.49,6.75,6.8,6.38
07/04/20,322721.0,6.5,6.75,6.75,6.5
08/04/20,61950.0,6.75,6.7,6.75,6.7
13/04/20,545630.0,6.7,7.0,7.0,6.6
14/04/20,169830.0,7.0,7.0,7.1,6.9
15/04/20,95500.0,7.1,7.1,7.2,7.1
16/04/20,94626.0,7.19,7.1,7.19,7.0
17/04/20,29043.0,7.1,7.19,7.2,7.0
20/04/20,155052.0,7.19,7.2,7.2,6.8
21/04/20,44820.0,7.2,7.0,7.2,6.76
22/04/20,52989.0,7.2,6.85,7.2,6.8
23/04/20,655310.0,7.1,7.28,7.32,7.0
24/04/20,122763.0,7.29,7.3,7.35,7.0
27/04/20,363573.0,7.3,7.3,7.3,6.77
28/04/20,105067.0,7.3,7.1,7.3,7.0
29/04/20,64571.0,7.2,7.25,7.3,7.0
30/04/20,44367.0,7.3,7.25,7.3,7.25
04/05/20,121108.0,7.19,7.19,7.2,6.7
05/05/20,97545.0,7.0,7.05,7.2,7.0
06/05/20,204320.0,7.24,7.05,7.24,7.0
07/05/20,324953.0,7.05,7.0,7.1,6.88
08/05/20,61610.0,7.2,6.95,7.2,6.95
11/05/20,456409.0,7.1,7.07,7.1,6.88
12/05/20,115515.0,7.04,7.01,7.05,6.9
13/05/20,68461.0,6.95,6.92,7.0,6.91
14/05/20,30633.0,6.93,6.96,7.0,6.93
15/05/20,125645.0,6.98,6.95,7.0,6.9
18/05/20,63181.0,7.0,6.98,7.0,6.9
19/05/20,61939.0,6.98,6.94,7.0,6.93
20/05/20,56469.0,6.7,6.95,6.97,6.7
21/05/20,246856.0,6.7,6.61,6.75,6.6
22/05/20,649997.0,6.6,6.28,6.6,5.99
26/05/20,110295.0,6.28,6.15,6.28,6.0
27/05/20,228958.0,6.0,6.0,6.18,6.0
28/05/20,266190.0,6.2,6.05,6.48,6.0
29/05/20,1374348.0,6.0,6.71,7.05,6.0
01/06/20,1741196.0,6.92,7.11,7.15,6.92
02/06/20,777686.0,7.12,7.0,7.25,7.0
03/06/20,905851.0,7.11,7.3,7.3,7.11
04/06/20,451430.0,7.35,7.08,7.35,7.0
05/06/20,1015619.0,7.35,7.26,7.4,7.1
08/06/20,664883.0,7.25,7.23,7.25,7.05
09/06/20,244829.0,7.23,7.17,7.23,7.15
10/06/20,226502.0,7.16,7.11,7.16,7.0
11/06/20,621023.0,7.14,7.15,7.15,7.0
15/06/20,74777.0,7.15,7.0,7.15,6.9
16/06/20,1058096.0,6.89,6.9,7.0,6.5
17/06/20,350815.0,6.95,6.8,7.0,6.6
18/06/20,184760.0,6.8,6.88,6.9,6.75
19/06/20,85910.0,6.89,6.75,6.89,6.75
22/06/20,116152.0,6.75,6.7,6.75,6.6
23/06/20,176965.0,6.75,6.6,6.75,6.55
24/06/20,383151.0,6.6,6.9,7.0,6.6
25/06/20,100120.0,6.6,6.7,6.8,6.6
26/06/20,363129.0,6.6,6.55,6.8,6.5
29/06/20,446309.0,6.55,6.56,7.05,6.55
30/06/20,38015.0,6.6,6.8,6.9,6.5
01/07/20,132341.0,6.8,6.55,6.8,6.4
02/07/20,1042914.0,6.8,6.5,6.8,6.5
03/07/20,267292.0,6.8,6.7,6.8,6.5
06/07/20,502366.0,6.74,6.68,6.75,6.68
07/07/20,1208498.0,6.7,6.6,6.7,6.6
08/07/20,452013.0,6.7,6.6,6.7,6.55
09/07/20,67367.0,6.52,6.6,6.65,6.5
10/07/20,99502.0,6.5,6.48,6.6,6.1
13/07/20,209478.0,6.13,6.4,6.5,6.13
14/07/20,520858.0,6.3,6.12,6.3,6.11
15/07/20,119339.0,6.12,6.15,6.19,6.1
16/07/20,301044.0,6.15,6.2,6.58,6.15
17/07/20,180578.0,6.1,6.25,6.5,6.1
20/07/20,158650.0,6.48,6.3,6.5,6.15
21/07/20,164506.0,6.15,6.4,6.43,6.1
22/07/20,38980.0,6.1,6.3,6.3,6.1
23/07/20,79043.0,6.3,6.11,6.3,6.1
24/07/20,208445.0,6.3,6.2,6.68,6.12
27/07/20,375575.0,6.2,6.1,6.5,5.8
28/07/20,13420.0,6.1,6.1,6.1,6.1
29/07/20,204408.0,6.12,6.12,6.12,6.12
30/07/20,52494.0,6.25,6.36,6.4,6.0
03/08/20,578916.0,6.0,6.0,6.0,5.9
04/08/20,615047.0,5.95,5.9,5.95,5.89
