Date,Value,Open,Close,High,Low
02/01/20,22450.0,44.9,44.9,44.9,44.9
06/01/20,49550.0,45.0,45.5,45.5,45.0
20/01/20,14835.0,49.45,49.45,49.45,49.45
04/05/20,18000.0,45.0,45.0,45.0,45.0
21/05/20,26970.0,44.95,44.95,44.95,44.95
26/05/20,85405.0,44.95,44.95,44.95,44.95
01/06/20,54400.0,46.0,45.0,46.5,44.0
03/07/20,3155.0,31.55,31.55,31.55,31.55
06/07/20,25915.0,37.05,37.0,37.05,37.0
07/07/20,108465.0,44.95,40.05,44.95,40.0
08/07/20,24120.0,40.05,41.0,41.0,40.0
09/07/20,20200.0,40.0,41.0,41.0,40.0
17/07/20,18515.0,37.05,37.0,37.05,37.0
24/07/20,29640.0,37.05,37.05,37.05,37.05
27/07/20,3705.0,37.05,37.05,37.05,37.05
30/07/20,48000.0,40.0,40.0,40.0,40.0
03/08/20,11145.0,37.15,37.15,37.15,37.15
11/08/20,12000.0,40.0,40.0,40.0,40.0
13/08/20,7810.0,39.05,39.05,39.05,39.05
06/10/20,20040.0,40.05,40.1,40.1,40.05
27/10/20,12030.0,40.1,40.1,40.1,40.1
28/10/20,28070.0,40.1,40.1,40.1,40.1
29/10/20,12015.0,40.05,40.05,40.05,40.05
16/11/20,160050.0,40.15,40.0,40.15,40.0
18/11/20,220600.0,39.0,37.0,39.0,37.0
23/11/20,0.0,0.0,0.0,0.0,0.0
07/12/20,3810.0,38.1,38.1,38.1,38.1
09/12/20,191525.0,44.8,46.0,48.0,44.8
11/12/20,17560.0,44.0,44.5,44.5,43.1
16/12/20,771470.0,43.1,40.15,43.1,40.15
18/12/20,16870.0,42.2,42.15,42.2,42.15
04/01/21,47500.0,47.5,47.5,47.5,47.5
07/01/21,9000.0,45.0,45.0,45.0,45.0
11/01/21,389760.0,40.6,40.6,40.6,40.6
