Date,Value,Open,Close,High,Low
02/01/20,25000.0,2.5,2.5,2.5,2.5
03/01/20,10000.0,2.5,2.5,2.5,2.5
06/01/20,12500.0,2.5,2.5,2.5,2.5
07/01/20,50000.0,2.5,2.5,2.5,2.5
08/01/20,186000.0,2.5,2.46,2.5,2.46
09/01/20,153570.0,2.45,2.43,2.45,2.43
10/01/20,96000.0,2.4,2.4,2.4,2.4
14/01/20,82510.0,2.4,2.34,2.4,2.34
15/01/20,213660.0,2.34,2.3,2.34,2.2
16/01/20,4620.0,2.31,2.31,2.31,2.31
17/01/20,122170.0,2.28,2.27,2.28,2.15
20/01/20,111150.0,2.27,2.25,2.27,2.1
21/01/20,169160.0,2.18,2.17,2.18,2.16
22/01/20,146460.0,2.16,2.16,2.16,2.14
23/01/20,49550.0,2.16,2.17,2.17,2.15
24/01/20,12948450.0,2.13,2.72,3.15,2.12
27/01/20,5616190.0,2.7,2.26,2.71,2.2
28/01/20,1444120.0,2.28,2.1,2.28,2.1
29/01/20,154160.0,2.1,2.12,2.15,2.1
30/01/20,154070.0,2.13,2.2,2.2,2.12
31/01/20,609700.0,2.19,2.12,2.19,2.0
03/02/20,574660.0,2.1,2.06,2.1,1.98
04/02/20,265720.0,1.99,2.04,2.19,1.98
05/02/20,122350.0,2.1,2.09,2.18,2.02
06/02/20,124920.0,2.09,2.1,2.1,2.04
07/02/20,116730.0,2.14,2.05,2.14,2.03
10/02/20,70390.0,2.05,2.1,2.1,2.03
11/02/20,35050.0,2.09,2.09,2.09,2.03
12/02/20,137840.0,2.09,2.0,2.09,2.0
13/02/20,142370.0,2.0,2.0,2.01,1.94
14/02/20,266420.0,1.97,2.06,2.09,1.9
17/02/20,113330.0,2.06,2.04,2.06,1.98
18/02/20,108810.0,2.05,2.0,2.05,2.0
19/02/20,52700.0,2.0,2.05,2.05,2.0
20/02/20,44220.0,2.0,2.01,2.05,2.0
21/02/20,4030.0,1.99,2.04,2.04,1.99
24/02/20,10230.0,2.04,2.05,2.05,2.04
26/02/20,1061890.0,1.95,2.04,2.04,1.84
27/02/20,60590.0,1.88,2.0,2.0,1.88
28/02/20,61720.0,1.9,1.98,1.98,1.88
02/03/20,80490.0,1.88,1.96,1.96,1.87
03/03/20,29530.0,1.96,1.98,2.03,1.95
04/03/20,3960.0,1.98,1.98,1.98,1.98
06/03/20,51120.0,1.98,1.98,1.98,1.95
09/03/20,32200.0,1.94,1.93,1.94,1.86
10/03/20,38940.0,1.85,1.9,1.9,1.84
11/03/20,3800.0,1.9,1.9,1.9,1.9
12/03/20,81230.0,1.84,1.89,1.89,1.8
13/03/20,99610.0,1.8,1.73,1.8,1.7
19/03/20,16520.0,1.75,1.57,1.75,1.57
20/03/20,31000.0,1.58,1.54,1.58,1.53
23/03/20,85540.0,1.52,1.5,1.52,1.49
24/03/20,9600.0,1.6,1.6,1.6,1.6
26/03/20,53450.0,1.6,1.6,1.6,1.5
27/03/20,11200.0,1.6,1.6,1.6,1.6
01/04/20,3200.0,1.6,1.6,1.6,1.6
03/04/20,1600.0,1.6,1.6,1.6,1.6
06/04/20,69790.0,1.7,1.79,1.79,1.7
07/04/20,70600.0,1.78,1.75,1.79,1.75
08/04/20,3540.0,1.79,1.75,1.79,1.75
13/04/20,19250.0,1.75,1.75,1.75,1.75
14/04/20,210950.0,1.75,1.72,1.79,1.72
15/04/20,224410.0,1.72,1.71,1.72,1.6
16/04/20,28920.0,1.71,1.7,1.71,1.7
17/04/20,20290.0,1.7,1.69,1.7,1.69
20/04/20,75620.0,1.7,1.68,1.7,1.68
21/04/20,62760.0,1.68,1.74,1.74,1.68
22/04/20,5220.0,1.74,1.74,1.74,1.74
23/04/20,189820.0,1.7,1.74,1.74,1.67
24/04/20,348770.0,1.68,1.69,1.69,1.65
27/04/20,36120.0,1.7,1.66,1.75,1.66
28/04/20,1650.0,1.65,1.65,1.65,1.65
30/04/20,103890.0,1.74,1.73,1.75,1.7
04/05/20,1248940.0,1.75,2.0,2.14,1.75
05/05/20,301590.0,2.09,2.02,2.09,1.95
06/05/20,270970.0,1.95,2.0,2.0,1.9
07/05/20,55860.0,1.95,2.0,2.0,1.95
08/05/20,64560.0,1.96,2.0,2.01,1.95
11/05/20,81680.0,1.95,1.94,1.95,1.94
12/05/20,27210.0,1.95,1.94,1.95,1.94
13/05/20,77540.0,1.94,1.95,1.95,1.93
14/05/20,95740.0,1.93,1.95,1.95,1.87
15/05/20,31960.0,1.88,1.88,1.88,1.88
18/05/20,135100.0,1.87,1.87,1.87,1.84
19/05/20,98920.0,1.83,1.85,1.85,1.83
20/05/20,51380.0,1.9,1.91,1.92,1.9
21/05/20,1910.0,1.91,1.91,1.91,1.91
22/05/20,5630.0,1.86,1.91,1.91,1.86
26/05/20,21930.0,1.82,1.91,1.91,1.82
27/05/20,9500.0,1.9,1.9,1.9,1.9
28/05/20,54370.0,1.69,1.89,1.89,1.67
29/05/20,17010.0,1.89,1.89,1.89,1.89
