Date,Value,Open,Close,High,Low
02/01/20,396520.0,4.69,4.3,4.69,4.22
03/01/20,4450.0,4.45,4.45,4.45,4.45
06/01/20,56380.0,4.5,4.45,4.5,4.22
08/01/20,283070.0,4.24,4.19,4.25,4.04
09/01/20,36950.0,4.08,4.24,4.24,4.03
10/01/20,585870.0,4.24,4.7,4.88,4.21
14/01/20,1062940.0,4.88,5.04,5.04,4.68
15/01/20,478222.0,5.04,5.0,5.17,4.9
16/01/20,139377.0,5.0,4.8,5.0,4.5
17/01/20,192370.0,4.5,4.4,4.79,4.2
20/01/20,98630.0,4.4,4.33,4.4,4.25
21/01/20,193830.0,4.7,4.34,4.7,4.34
23/01/20,30750.0,4.34,4.7,4.7,4.34
24/01/20,74630.0,4.32,4.63,4.64,4.32
27/01/20,26700.0,4.45,4.45,4.45,4.45
28/01/20,3444950.0,4.45,5.82,6.1,4.45
29/01/20,1969244.0,5.89,5.3,6.2,5.2
30/01/20,576907.0,5.31,5.02,5.48,5.02
31/01/20,435217.0,4.93,4.51,5.21,4.15
03/02/20,1101180.0,4.3,5.12,5.14,4.3
04/02/20,65389.0,5.0,4.99,5.0,4.43
05/02/20,110050.0,5.0,5.0,5.01,5.0
06/02/20,61049.0,5.0,4.99,5.0,4.7
10/02/20,21300.0,4.22,4.4,4.4,4.21
11/02/20,21400.0,4.28,4.28,4.28,4.28
12/02/20,60720.0,4.32,4.38,4.38,4.32
14/02/20,48480.0,4.33,4.5,4.5,4.33
17/02/20,50990.0,4.7,4.7,4.79,4.5
18/02/20,26950.0,4.8,4.43,4.8,4.43
19/02/20,8750.0,4.37,4.38,4.38,4.37
20/02/20,56480.0,4.35,4.48,4.48,4.31
21/02/20,123780.0,4.31,4.28,4.31,4.25
24/02/20,59590.0,4.26,4.25,4.26,4.25
26/02/20,233160.0,4.22,4.22,4.22,4.0
27/02/20,24000.0,4.0,4.0,4.0,4.0
28/02/20,20100.0,4.02,4.02,4.02,4.02
02/03/20,8100.0,4.0,4.1,4.1,4.0
03/03/20,180470.0,4.36,4.0,4.36,4.0
04/03/20,56100.0,4.38,4.29,4.38,4.15
09/03/20,67350.0,4.05,3.76,4.05,3.76
10/03/20,121160.0,3.75,3.47,3.75,3.45
11/03/20,245560.0,3.2,3.3,3.5,3.2
12/03/20,245830.0,3.3,3.0,3.3,3.0
13/03/20,87080.0,2.4,2.63,2.7,2.4
16/03/20,11600.0,3.9,3.8,3.9,3.8
19/03/20,5200.0,2.6,2.6,2.6,2.6
20/03/20,2750.0,2.75,2.75,2.75,2.75
23/03/20,8100.0,2.7,2.7,2.7,2.7
24/03/20,71500.0,3.5,2.7,3.5,2.7
25/03/20,56300.0,2.6,2.7,2.7,2.6
26/03/20,22000.0,2.75,2.75,2.75,2.75
27/03/20,41410.0,2.76,2.76,2.77,2.76
30/03/20,2750.0,2.75,2.75,2.75,2.75
01/04/20,5740.0,2.99,2.75,2.99,2.75
06/04/20,5500.0,2.75,2.75,2.75,2.75
07/04/20,8250.0,2.75,2.75,2.75,2.75
08/04/20,21770.0,2.71,2.8,2.8,2.71
13/04/20,3200.0,3.2,3.2,3.2,3.2
16/04/20,3190.0,3.19,3.19,3.19,3.19
20/04/20,109670.0,2.71,2.65,2.71,2.4
21/04/20,49510.0,3.15,3.14,3.16,2.85
22/04/20,3140.0,3.14,3.14,3.14,3.14
24/04/20,59300.0,3.15,3.11,3.15,3.11
27/04/20,20480.0,2.8,3.02,3.02,2.8
29/04/20,6010.0,2.9,3.11,3.11,2.9
13/05/20,33250.0,3.0,3.1,3.1,3.0
14/05/20,3100.0,3.1,3.1,3.1,3.1
26/05/20,70790.0,2.63,2.62,2.63,2.62
28/05/20,5600.0,2.8,2.8,2.8,2.8
29/05/20,24300.0,2.7,2.7,2.7,2.7
01/06/20,23800.0,2.64,2.65,2.65,2.64
02/06/20,5640.0,2.66,2.98,2.98,2.66
03/06/20,2980.0,2.98,2.98,2.98,2.98
04/06/20,13700.0,2.66,2.72,2.8,2.66
05/06/20,43620.0,2.73,2.72,2.73,2.72
08/06/20,8240.0,2.72,2.76,2.76,2.72
09/06/20,839030.0,2.9,3.15,3.3,2.9
10/06/20,109700.0,3.15,3.03,3.15,3.0
15/06/20,71460.0,3.03,2.89,3.03,2.89
18/06/20,28900.0,2.89,2.89,2.89,2.89
19/06/20,28900.0,2.89,2.89,2.89,2.89
22/06/20,25940.0,2.88,2.88,2.9,2.88
26/06/20,262280.0,2.9,2.88,2.9,2.88
29/06/20,16390.0,2.7,2.89,2.89,2.7
30/06/20,2890.0,2.89,2.89,2.89,2.89
01/07/20,2890.0,2.89,2.89,2.89,2.89
02/07/20,27000.0,3.0,3.0,3.0,3.0
08/07/20,19850.0,2.9,2.75,2.9,2.75
09/07/20,1592100.0,2.75,3.25,3.8,2.73
10/07/20,379900.0,3.05,3.14,3.49,2.85
13/07/20,162760.0,2.85,2.98,3.05,2.8
14/07/20,121580.0,2.83,3.06,3.06,2.82
15/07/20,293120.0,3.05,3.29,3.35,3.05
16/07/20,182990.0,3.25,3.19,3.25,3.0
17/07/20,37580.0,3.2,3.18,3.2,3.02
20/07/20,93850.0,2.89,3.0,3.01,2.89
21/07/20,223650.0,2.89,3.0,3.09,2.89
22/07/20,88490.0,3.09,3.08,3.09,2.91
23/07/20,35080.0,2.91,3.07,3.07,2.89
27/07/20,43730.0,2.89,3.08,3.08,2.89
30/07/20,150410.0,2.9,2.99,2.99,2.88
04/08/20,3060.0,3.06,3.06,3.06,3.06
06/08/20,3120.0,3.12,3.12,3.12,3.12
07/08/20,28940.0,2.85,3.04,3.04,2.81
10/08/20,5325240.0,2.82,3.0,3.0,2.82
11/08/20,23460.0,2.91,2.97,2.97,2.91
12/08/20,47860.0,2.91,3.1,3.12,2.91
13/08/20,83980.0,3.0,3.08,3.09,2.91
18/08/20,86800.0,2.99,3.05,3.05,2.99
20/08/20,11620.0,2.88,2.98,2.98,2.88
24/08/20,8800.0,2.88,3.04,3.04,2.88
25/08/20,94800.0,2.87,2.98,2.98,2.86
27/08/20,5960.0,2.98,2.98,2.98,2.98
28/08/20,11840.0,2.87,3.05,3.05,2.87
08/09/20,51040.0,3.0,3.04,3.04,3.0
16/09/20,69770.0,2.91,3.04,3.04,2.9
18/09/20,32050.0,2.91,3.02,3.02,2.9
22/09/20,20880.0,3.0,2.98,3.0,2.9
23/09/20,68900.0,2.9,3.0,3.0,2.9
28/09/20,17460.0,2.91,2.91,2.91,2.91
29/09/20,118990.0,2.91,2.9,2.91,2.9
30/09/20,43540.0,2.91,2.9,2.91,2.9
01/10/20,11600.0,2.9,2.9,2.9,2.9
02/10/20,2920.0,2.92,2.92,2.92,2.92
05/10/20,31900.0,2.9,2.9,2.9,2.9
06/10/20,40600.0,2.9,2.9,2.9,2.9
08/10/20,531560.0,2.99,3.5,3.84,2.99
09/10/20,62160.0,3.46,3.06,3.46,3.01
12/10/20,27540.0,3.05,3.01,3.16,3.0
13/10/20,12040.0,3.01,3.01,3.01,3.01
14/10/20,9000.0,3.0,3.0,3.0,3.0
15/10/20,324450.0,3.0,3.0,3.1,3.0
16/10/20,15050.0,3.01,3.01,3.01,3.01
19/10/20,79250.0,3.17,3.17,3.17,3.17
20/10/20,46030.0,3.05,3.19,3.19,3.05
21/10/20,195270.0,3.14,3.15,3.15,3.14
22/10/20,9540.0,3.18,3.18,3.18,3.18
26/10/20,20100.0,3.35,3.35,3.35,3.35
28/10/20,136500.0,3.5,3.5,3.5,3.5
29/10/20,15740.0,3.25,3.08,3.25,3.08
30/10/20,24880.0,3.11,3.11,3.11,3.11
03/11/20,6220.0,3.11,3.11,3.11,3.11
04/11/20,97250.0,3.42,3.47,3.49,3.42
06/11/20,686980.0,3.47,3.95,4.3,3.47
09/11/20,123260.0,3.95,3.99,4.0,3.95
11/11/20,479240.0,3.9,4.08,4.08,3.9
13/11/20,493920.0,4.0,4.18,4.18,4.0
16/11/20,210260.0,4.18,4.35,4.35,4.18
17/11/20,47520.0,4.44,4.35,4.44,4.18
18/11/20,1326680.0,4.0,4.3,4.34,4.0
19/11/20,30100.0,4.3,4.3,4.3,4.3
20/11/20,106820.0,4.15,4.4,4.4,4.15
23/11/20,72430.0,4.39,4.35,4.39,4.2
24/11/20,349450.0,4.25,4.2,4.25,4.2
25/11/20,402520.0,4.2,4.34,4.34,4.15
26/11/20,254050.0,4.3,4.15,4.3,4.15
27/11/20,350450.0,4.2,4.01,4.2,4.0
01/12/20,469830.0,4.01,4.09,4.1,4.0
02/12/20,24200.0,4.1,4.02,4.1,4.02
03/12/20,847150.0,4.08,3.93,4.08,3.9
04/12/20,267430.0,4.1,3.9,4.1,3.9
07/12/20,189630.0,3.9,3.85,3.9,3.84
09/12/20,743510.0,3.85,3.86,3.86,3.83
10/12/20,123500.0,3.86,3.86,3.86,3.85
11/12/20,1181980.0,3.86,3.78,3.86,3.78
14/12/20,2838180.0,3.78,3.6,3.8,3.6
15/12/20,5348900.0,3.64,3.49,3.68,3.4
16/12/20,6402320.0,3.55,3.85,4.01,3.55
17/12/20,1799510.0,3.95,3.9,3.99,3.87
18/12/20,5054990.0,3.95,3.76,4.04,3.6
21/12/20,1165320.0,3.99,3.8,3.99,3.7
22/12/20,1295840.0,3.7,3.61,3.8,3.6
23/12/20,664990.0,3.62,3.64,3.64,3.5
28/12/20,851030.0,3.52,3.4,3.52,3.4
29/12/20,1145220.0,3.4,3.19,3.41,3.02
04/01/21,203000.0,3.16,3.21,3.38,3.16
05/01/21,629890.0,3.21,3.15,3.21,3.12
06/01/21,244980.0,3.12,3.08,3.13,3.06
07/01/21,247860.0,3.1,3.12,3.3,3.1
08/01/21,241450.0,3.13,3.35,3.35,3.13
11/01/21,694450.0,3.35,3.5,3.7,3.35
