Date,Value,Open,Close,High,Low
02/01/20,90300.0,5.43,5.0,5.43,5.0
06/01/20,6500.0,5.0,5.0,5.0,5.0
07/01/20,539.0,5.39,5.39,5.39,5.39
10/01/20,10760.0,5.38,5.38,5.38,5.38
14/01/20,8085.0,5.39,5.39,5.39,5.39
16/01/20,20440.0,5.11,5.11,5.11,5.11
17/01/20,17743.0,5.38,5.34,5.38,5.34
20/01/20,312479.0,5.3,5.1,5.3,4.57
22/01/20,56460.0,5.0,5.0,5.0,4.99
23/01/20,38218.0,5.1,4.74,5.1,4.66
24/01/20,58410.0,5.2,5.37,5.7,5.0
27/01/20,33800.0,4.84,4.85,4.85,4.8
30/01/20,5290.0,5.29,5.29,5.29,5.29
03/02/20,89015.0,5.23,5.24,5.24,5.22
05/02/20,9893.0,4.66,5.19,5.19,4.66
10/02/20,529.0,5.29,5.29,5.29,5.29
13/02/20,5239.0,4.71,5.29,5.29,4.71
14/02/20,5200.0,5.2,5.2,5.2,5.2
18/02/20,11067.0,5.27,5.27,5.27,5.27
20/02/20,19090.0,5.1,5.2,5.2,5.1
24/02/20,2525.0,5.05,5.05,5.05,5.05
26/02/20,43025.0,4.71,4.65,4.71,4.65
11/03/20,15270.0,5.09,5.09,5.09,5.09
13/03/20,4078.0,2.56,4.98,4.98,2.56
20/03/20,4950.0,4.95,4.95,4.95,4.95
24/03/20,9880.0,4.94,4.94,4.94,4.94
31/03/20,9800.0,4.9,4.9,4.9,4.9
08/04/20,4940.0,4.94,4.94,4.94,4.94
16/04/20,262500.0,3.5,3.5,3.5,3.5
17/04/20,20020.0,4.01,4.0,4.01,4.0
28/04/20,8600.0,4.3,4.3,4.3,4.3
30/04/20,32930.0,4.3,4.3,4.3,3.81
04/05/20,15320.0,3.83,3.83,3.83,3.83
08/05/20,4020.0,4.02,4.02,4.02,4.02
11/05/20,39270.0,4.94,4.9,4.94,4.89
12/05/20,29390.0,4.9,4.89,4.9,4.89
13/05/20,9690.0,4.89,4.8,4.89,4.8
15/05/20,33250.0,4.75,4.75,4.75,4.75
18/05/20,36970.0,4.7,4.55,4.7,3.96
21/05/20,427250.0,4.55,4.6,4.6,4.0
27/05/20,23000.0,4.6,4.6,4.6,4.6
28/05/20,8000.0,4.0,4.0,4.0,4.0
29/05/20,9000.0,4.5,4.5,4.5,4.5
04/06/20,4050.0,4.05,4.05,4.05,4.05
05/06/20,4130.0,4.13,4.13,4.13,4.13
09/06/20,46660.0,4.21,4.28,4.28,4.21
15/06/20,23820.0,3.97,3.97,3.97,3.97
17/06/20,16040.0,4.01,4.01,4.01,4.01
18/06/20,32800.0,4.1,4.1,4.1,4.1
19/06/20,4200.0,4.2,4.2,4.2,4.2
30/06/20,24060.0,4.01,4.01,4.01,4.01
02/07/20,8100.0,4.05,4.05,4.05,4.05
06/07/20,1491160.0,4.5,6.07,6.07,4.5
07/07/20,3285461.0,6.97,5.24,6.98,5.14
08/07/20,694415.0,4.74,4.72,5.2,4.72
09/07/20,158760.0,4.73,4.5,4.73,4.47
10/07/20,466080.0,4.51,4.89,5.1,4.51
13/07/20,303540.0,4.99,4.86,4.99,4.41
14/07/20,79960.0,4.44,4.43,4.46,4.43
15/07/20,75690.0,4.42,4.56,4.57,4.41
16/07/20,28030.0,4.56,4.89,4.89,4.56
20/07/20,108300.0,4.3,4.68,4.78,4.22
21/07/20,23050.0,4.86,4.73,4.86,4.3
23/07/20,174770.0,4.72,4.88,5.48,4.36
27/07/20,13480.0,4.01,4.87,4.87,4.01
03/08/20,21470.0,4.01,4.83,4.83,4.01
05/08/20,13400.0,4.01,4.78,4.78,4.01
07/08/20,13070.0,4.16,4.75,4.75,4.16
10/08/20,9390.0,4.69,4.7,4.7,4.69
11/08/20,9400.0,4.73,4.67,4.73,4.67
12/08/20,14280.0,4.76,4.76,4.76,4.76
20/08/20,17420.0,4.25,4.68,4.68,4.24
24/08/20,4640.0,4.64,4.64,4.64,4.64
25/08/20,13490.0,4.25,4.62,4.62,4.25
27/08/20,83890.0,4.26,4.71,4.71,4.26
28/08/20,69720.0,4.22,4.64,4.64,4.22
01/09/20,234620.0,4.31,4.39,4.39,4.26
02/09/20,82810.0,4.46,4.43,4.54,4.26
03/09/20,35690.0,4.4,4.69,4.69,4.4
08/09/20,235590.0,4.62,4.96,5.0,4.62
14/09/20,4940.0,4.94,4.94,4.94,4.94
16/09/20,4900.0,4.9,4.9,4.9,4.9
21/09/20,18690.0,4.41,4.88,4.91,4.41
23/09/20,19520.0,4.88,4.88,4.88,4.88
28/09/20,9470.0,4.6,4.87,4.87,4.6
30/09/20,9580.0,4.79,4.79,4.79,4.79
02/10/20,193040.0,4.79,4.93,4.97,4.79
05/10/20,35110.0,4.97,5.27,5.27,4.97
