Date,Value,Open,Close,High,Low
16/01/20,2880.0,2.88,2.88,2.88,2.88
31/01/20,23130.0,2.66,2.97,2.97,2.66
06/02/20,5890.0,2.93,2.96,2.96,2.93
07/02/20,2960.0,2.96,2.96,2.96,2.96
10/02/20,5920.0,2.96,2.96,2.96,2.96
12/02/20,8830.0,2.93,2.97,2.97,2.93
18/02/20,2970.0,2.97,2.97,2.97,2.97
28/02/20,14710.0,2.94,2.97,2.97,2.92
04/03/20,2970.0,2.97,2.97,2.97,2.97
05/03/20,19050.0,2.67,2.94,2.94,2.67
09/03/20,42680.0,2.66,2.89,2.89,2.65
30/03/20,6090.0,2.03,2.03,2.03,2.03
01/04/20,12750.0,2.1,2.13,2.13,2.1
03/04/20,6970.0,2.13,2.42,2.42,2.13
06/04/20,32160.0,2.14,2.2,2.2,2.14
07/04/20,6420.0,2.14,2.14,2.14,2.14
13/04/20,6390.0,2.13,2.13,2.13,2.13
14/04/20,73700.0,2.04,2.08,2.08,2.04
21/04/20,136360.0,2.06,2.06,2.1,2.06
23/04/20,10500.0,2.1,2.1,2.1,2.1
27/04/20,100800.0,2.03,2.0,2.03,2.0
28/04/20,20100.0,2.01,2.01,2.01,2.01
04/05/20,39660.0,2.09,2.06,2.1,2.06
08/05/20,18900.0,2.1,2.1,2.1,2.1
11/05/20,6360.0,2.12,2.12,2.12,2.12
12/05/20,8480.0,2.12,2.12,2.12,2.12
14/05/20,2120.0,2.12,2.12,2.12,2.12
20/05/20,10750.0,2.15,2.15,2.15,2.15
21/05/20,32600.0,2.15,2.19,2.19,2.15
26/05/20,17120.0,2.14,2.14,2.14,2.14
27/05/20,14980.0,2.14,2.14,2.14,2.14
28/05/20,10950.0,2.19,2.19,2.19,2.19
03/06/20,13680.0,2.28,2.28,2.28,2.28
22/06/20,6360.0,2.12,2.12,2.12,2.12
25/06/20,2090.0,2.09,2.09,2.09,2.09
10/07/20,6270.0,2.09,2.09,2.09,2.09
15/07/20,29350.0,2.1,2.09,2.1,2.09
24/08/20,164000.0,2.05,2.05,2.05,2.05
25/08/20,114240.0,2.04,2.04,2.04,2.04
28/08/20,30600.0,2.04,2.04,2.04,2.04
04/09/20,6090.0,2.03,2.03,2.03,2.03
07/09/20,8240.0,2.06,2.06,2.06,2.06
09/09/20,32480.0,2.03,2.03,2.03,2.03
16/09/20,10190.0,2.04,2.03,2.04,2.03
17/09/20,26680.0,2.05,2.06,2.06,2.05
21/09/20,10180.0,2.02,2.06,2.06,2.02
01/10/20,61800.0,2.06,2.06,2.06,2.06
02/10/20,24240.0,2.02,2.02,2.02,2.02
27/10/20,48070.0,2.09,2.09,2.09,2.09
03/11/20,25800.0,2.15,2.15,2.15,2.15
04/11/20,4300.0,2.15,2.15,2.15,2.15
05/11/20,48260.0,2.11,2.09,2.11,2.09
06/11/20,2090.0,2.09,2.09,2.09,2.09
10/11/20,2190.0,2.19,2.19,2.19,2.19
18/11/20,8720.0,2.18,2.18,2.18,2.18
20/11/20,136480.0,2.18,2.3,2.3,2.18
23/11/20,6750.0,2.25,2.25,2.25,2.25
24/11/20,11250.0,2.25,2.25,2.25,2.25
27/11/20,118560.0,2.34,2.26,2.49,2.26
01/12/20,4540.0,2.27,2.27,2.27,2.27
02/12/20,18400.0,2.3,2.3,2.3,2.3
03/12/20,11750.0,2.35,2.35,2.35,2.35
04/12/20,4660.0,2.31,2.35,2.35,2.31
07/12/20,34650.0,2.31,2.31,2.31,2.31
11/12/20,18570.0,2.3,2.47,2.47,2.3
16/12/20,7080.0,2.36,2.36,2.36,2.36
18/12/20,53830.0,2.4,2.48,2.48,2.4
22/12/20,9400.0,2.35,2.35,2.35,2.35
28/12/20,2350.0,2.35,2.35,2.35,2.35
04/01/21,23500.0,2.35,2.35,2.35,2.35
08/01/21,4600.0,2.3,2.3,2.3,2.3
11/01/21,4600.0,2.3,2.3,2.3,2.3
