Date,Value,Open,Close,High,Low
02/01/20,45210180.0,1.91,1.91,1.92,1.91
03/01/20,14593410.0,1.91,1.91,1.92,1.91
06/01/20,5565790.0,1.91,1.91,1.92,1.91
07/01/20,3480400.0,1.92,1.91,1.92,1.91
08/01/20,2871410.0,1.91,1.92,1.92,1.91
09/01/20,3968820.0,1.92,1.92,1.93,1.92
10/01/20,7109750.0,1.92,1.92,1.93,1.92
14/01/20,1068060.0,1.91,1.91,1.92,1.91
15/01/20,1327820.0,1.91,1.84,1.91,1.8
16/01/20,1720630.0,1.82,1.7,1.82,1.6
17/01/20,822930.0,1.64,1.61,1.68,1.6
20/01/20,414660.0,1.62,1.64,1.65,1.61
21/01/20,244140.0,1.64,1.59,1.65,1.59
22/01/20,198680.0,1.6,1.6,1.65,1.6
23/01/20,758580.0,1.61,1.85,1.85,1.61
24/01/20,1466800.0,1.87,1.85,1.89,1.85
27/01/20,256170.0,1.85,1.82,1.85,1.82
28/01/20,270680.0,1.82,1.82,1.87,1.82
29/01/20,73740.0,1.82,1.83,1.86,1.82
30/01/20,93230.0,1.83,1.82,1.85,1.82
31/01/20,712840.0,1.65,1.85,1.85,1.65
03/02/20,150910.0,1.88,1.86,1.88,1.85
04/02/20,297770.0,1.86,1.86,1.88,1.86
05/02/20,4509160.0,1.77,1.81,1.84,1.67
06/02/20,7136540.0,1.75,1.8,1.81,1.75
07/02/20,1571340.0,1.8,1.82,1.83,1.8
10/02/20,2889930.0,1.82,1.84,1.86,1.82
11/02/20,320190.0,1.83,1.84,1.85,1.83
12/02/20,1985930.0,1.84,1.84,1.85,1.77
13/02/20,663480.0,1.84,1.84,1.85,1.84
14/02/20,1165910.0,1.84,1.83,1.85,1.83
17/02/20,1257670.0,1.83,1.83,1.84,1.83
18/02/20,789940.0,1.84,1.84,1.84,1.83
19/02/20,279810.0,1.85,1.83,1.85,1.83
20/02/20,6661940.0,1.83,1.83,1.86,1.81
21/02/20,201000.0,1.82,1.83,1.83,1.82
24/02/20,1224190.0,1.83,1.82,1.83,1.81
26/02/20,807330.0,1.77,1.79,1.82,1.77
27/02/20,3540790.0,1.82,1.85,1.86,1.8
28/02/20,3850170.0,1.8,1.85,1.86,1.8
02/03/20,4895220.0,1.85,1.85,1.85,1.77
