Date,Value,Open,Close,High,Low
02/01/20,43780.0,3.8,4.1,4.1,3.8
03/01/20,77900.0,4.1,4.1,4.1,4.1
06/01/20,78650.0,4.1,4.25,4.28,4.0
07/01/20,55270.0,4.26,4.25,4.26,4.25
08/01/20,60240.0,4.0,4.24,4.24,4.0
14/01/20,8500.0,4.25,4.25,4.25,4.25
15/01/20,8500.0,4.25,4.25,4.25,4.25
21/01/20,28010.0,3.86,4.14,4.15,3.86
23/01/20,8290.0,4.14,4.15,4.15,4.14
27/01/20,12350.0,4.1,4.15,4.15,4.1
28/01/20,8300.0,4.15,4.15,4.15,4.15
30/01/20,42460.0,3.86,3.86,3.86,3.86
31/01/20,204400.0,4.12,4.09,4.13,3.92
03/02/20,77560.0,3.86,4.08,4.08,3.85
06/02/20,147090.0,4.08,4.09,4.09,4.08
07/02/20,62280.0,3.87,3.9,3.9,3.87
10/02/20,332930.0,3.87,4.0,4.0,3.77
12/02/20,1511440.0,3.71,3.78,3.94,3.0
13/02/20,37800.0,3.78,3.78,3.78,3.78
14/02/20,190740.0,3.74,3.74,3.74,3.74
17/02/20,59840.0,3.74,3.74,3.74,3.74
18/02/20,68760.0,3.6,3.72,3.72,3.6
19/02/20,258070.0,3.2,3.55,3.55,3.2
20/02/20,326190.0,3.5,3.74,3.74,3.5
24/02/20,99260.0,3.48,3.74,3.74,3.48
26/02/20,119610.0,3.4,3.48,3.49,3.4
27/02/20,37240.0,3.74,3.7,3.74,3.7
28/02/20,14080.0,3.52,3.52,3.52,3.52
03/03/20,118290.0,3.75,3.24,3.75,3.24
04/03/20,83100.0,3.26,3.58,3.58,3.26
05/03/20,22470.0,3.75,3.74,3.75,3.74
09/03/20,71230.0,3.74,3.8,3.8,3.74
10/03/20,33120.0,3.25,3.46,3.46,3.25
11/03/20,30460.0,3.76,3.25,3.76,3.25
12/03/20,364600.0,3.24,3.0,3.24,3.0
13/03/20,9900.0,3.3,3.3,3.3,3.3
16/03/20,29610.0,3.29,3.29,3.29,3.29
20/03/20,66460.0,2.7,3.15,3.28,2.7
23/03/20,6560.0,3.28,3.28,3.28,3.28
24/03/20,34120.0,2.73,3.0,3.01,2.73
25/03/20,17730.0,3.0,2.73,3.0,2.73
26/03/20,8850.0,2.95,2.95,2.95,2.95
27/03/20,141000.0,3.0,3.0,3.0,3.0
30/03/20,36980.0,2.99,2.5,2.99,2.5
31/03/20,80000.0,2.5,2.5,2.5,2.5
01/04/20,736290.0,2.42,2.38,2.45,2.02
02/04/20,92340.0,2.55,2.3,2.55,2.2
03/04/20,9340.0,2.3,2.44,2.44,2.3
06/04/20,29600.0,2.55,2.44,2.55,2.4
07/04/20,31720.0,2.44,2.44,2.44,2.44
08/04/20,94540.0,2.4,2.42,2.45,2.4
13/04/20,53210.0,2.63,2.5,2.63,2.49
14/04/20,89620.0,2.4,2.5,2.5,2.4
15/04/20,352820.0,2.58,2.45,2.64,2.03
16/04/20,29010.0,2.43,2.4,2.43,2.4
17/04/20,268190.0,2.4,2.35,2.4,2.28
20/04/20,85850.0,2.4,2.31,2.4,2.31
21/04/20,177650.0,2.37,2.57,2.57,2.26
22/04/20,94810.0,2.33,2.56,2.56,2.33
23/04/20,126630.0,2.56,2.5,2.63,2.5
24/04/20,59050.0,2.5,2.35,2.5,2.35
27/04/20,66200.0,2.5,2.4,2.5,2.4
28/04/20,49130.0,2.4,2.39,2.4,2.31
29/04/20,43300.0,2.47,2.4,2.47,2.4
30/04/20,64730.0,2.44,2.45,2.47,2.38
04/05/20,149230.0,2.42,2.5,2.5,2.42
05/05/20,39480.0,2.5,2.46,2.5,2.45
06/05/20,47500.0,2.58,2.48,2.58,2.47
07/05/20,12400.0,2.48,2.48,2.48,2.48
08/05/20,134960.0,2.48,2.51,2.51,2.48
11/05/20,63730.0,2.52,2.57,2.58,2.52
12/05/20,60350.0,2.58,2.5,2.59,2.5
13/05/20,280250.0,2.62,2.32,2.62,2.12
14/05/20,108920.0,2.44,2.5,2.62,2.4
15/05/20,225950.0,2.5,2.43,2.5,2.25
18/05/20,103920.0,2.43,2.33,2.43,2.2
19/05/20,26360.0,2.4,2.38,2.4,2.38
20/05/20,47980.0,2.38,2.4,2.4,2.38
21/05/20,21650.0,2.39,2.46,2.46,2.38
22/05/20,74430.0,2.4,2.42,2.42,2.4
26/05/20,374220.0,2.46,2.43,2.46,2.38
28/05/20,72600.0,2.42,2.42,2.42,2.42
29/05/20,622430.0,2.42,2.4,2.46,2.4
01/06/20,48830.0,2.21,2.43,2.43,2.2
02/06/20,16610.0,2.45,2.45,2.45,2.27
03/06/20,199690.0,2.46,2.48,2.48,2.45
04/06/20,100680.0,2.49,2.55,2.55,2.4
05/06/20,132020.0,2.6,2.54,2.6,2.4
08/06/20,841250.0,2.6,2.6,2.6,2.52
09/06/20,137140.0,2.6,2.65,2.69,2.55
10/06/20,55900.0,2.54,2.55,2.55,2.54
11/06/20,161760.0,2.6,2.89,2.9,2.5
15/06/20,209730.0,2.89,2.75,2.89,2.6
16/06/20,163570.0,2.8,2.75,2.95,2.75
17/06/20,984120.0,2.99,2.93,2.99,2.66
18/06/20,88670.0,2.99,2.93,2.99,2.92
19/06/20,122870.0,2.9,2.93,2.93,2.75
22/06/20,86950.0,2.99,2.99,2.99,2.7
23/06/20,27990.0,2.75,2.96,2.98,2.75
24/06/20,119650.0,2.9,2.95,2.96,2.85
25/06/20,88580.0,2.86,2.85,2.88,2.85
26/06/20,56410.0,2.7,2.96,2.97,2.7
29/06/20,50700.0,2.98,2.9,2.98,2.72
30/06/20,635240.0,2.9,3.0,3.29,2.9
01/07/20,406750.0,3.05,3.0,3.2,3.0
02/07/20,65900.0,3.25,3.2,3.25,3.0
03/07/20,669410.0,3.2,3.15,3.2,3.0
06/07/20,1505510.0,3.17,3.28,3.29,3.15
07/07/20,55390.0,3.01,3.19,3.19,3.0
08/07/20,363410.0,3.2,3.26,3.49,3.02
09/07/20,990110.0,3.26,3.3,3.3,3.05
10/07/20,368560.0,3.12,3.22,3.22,3.12
13/07/20,449340.0,3.22,3.05,3.29,3.05
14/07/20,132940.0,3.09,3.18,3.22,3.08
15/07/20,177300.0,3.11,3.24,3.24,3.1
16/07/20,175140.0,3.3,3.34,3.34,3.3
17/07/20,439250.0,3.33,3.28,3.35,3.17
20/07/20,35840.0,3.29,3.3,3.3,3.17
21/07/20,343250.0,3.3,3.4,3.4,3.3
22/07/20,266390.0,3.4,3.39,3.45,3.3
23/07/20,321010.0,3.42,3.4,3.42,3.3
24/07/20,394000.0,3.45,3.39,3.45,3.3
27/07/20,676940.0,3.39,3.35,3.39,3.3
28/07/20,33380.0,3.37,3.38,3.38,3.3
29/07/20,37260.0,3.39,3.38,3.4,3.37
30/07/20,330160.0,3.38,3.33,3.38,3.3
03/08/20,387830.0,3.3,3.31,3.4,3.3
04/08/20,160440.0,3.42,3.3,3.42,3.18
05/08/20,118060.0,3.42,3.18,3.42,3.16
06/08/20,299430.0,3.2,3.12,3.32,3.12
07/08/20,1144600.0,3.28,3.38,3.38,3.25
10/08/20,291540.0,3.38,3.35,3.38,3.3
11/08/20,19590.0,3.16,3.19,3.35,3.16
12/08/20,9600.0,3.2,3.2,3.2,3.2
13/08/20,6680.0,3.34,3.34,3.34,3.34
14/08/20,181840.0,3.36,3.25,3.36,3.2
17/08/20,124800.0,3.2,3.2,3.2,3.2
19/08/20,13100.0,3.2,3.35,3.35,3.2
24/08/20,97860.0,3.16,3.3,3.3,3.15
25/08/20,85790.0,3.13,3.27,3.27,3.0
28/08/20,32500.0,3.25,3.25,3.25,3.25
01/09/20,59730.0,3.06,3.25,3.25,3.06
02/09/20,49040.0,3.32,3.25,3.32,3.25
07/09/20,26070.0,3.25,3.26,3.26,3.25
08/09/20,19850.0,3.26,3.31,3.32,3.26
09/09/20,6490.0,3.2,3.29,3.29,3.2
10/09/20,15970.0,3.13,3.29,3.29,3.13
14/09/20,6620.0,3.3,3.32,3.32,3.3
15/09/20,3150.0,3.15,3.15,3.15,3.15
16/09/20,6640.0,3.32,3.32,3.32,3.32
17/09/20,132870.0,3.11,3.0,3.11,3.0
18/09/20,134510.0,3.29,3.26,3.3,3.09
21/09/20,84810.0,3.12,3.12,3.24,3.12
22/09/20,38940.0,3.3,3.25,3.3,3.14
23/09/20,37460.0,3.26,3.1,3.26,3.1
24/09/20,38330.0,3.13,3.2,3.2,3.13
