Date,Value,Open,Close,High,Low
02/01/20,2338780.0,3.86,3.95,4.0,3.83
03/01/20,7019220.0,4.01,4.18,4.22,4.0
06/01/20,37225400.0,4.31,4.26,4.63,4.24
07/01/20,8432910.0,4.37,4.27,4.37,4.21
08/01/20,13163800.0,4.31,4.21,4.35,4.2
09/01/20,14214820.0,4.2,4.12,4.25,4.1
10/01/20,5597710.0,4.11,4.04,4.11,4.02
14/01/20,6930920.0,4.04,4.03,4.08,4.02
15/01/20,4780110.0,4.03,3.99,4.03,3.95
16/01/20,1193280.0,3.97,3.97,3.99,3.97
17/01/20,4261640.0,3.99,3.93,4.0,3.9
20/01/20,6505550.0,3.9,3.84,3.93,3.83
21/01/20,3882220.0,3.86,3.92,3.95,3.84
22/01/20,2653290.0,3.95,3.97,3.97,3.9
23/01/20,9346490.0,3.98,4.0,4.06,3.98
24/01/20,6479550.0,4.0,4.0,4.04,3.9
27/01/20,4812140.0,4.03,3.9,4.03,3.9
28/01/20,3214870.0,3.9,3.86,3.9,3.85
29/01/20,3218690.0,3.9,3.85,3.9,3.85
30/01/20,3817120.0,3.86,3.81,3.88,3.81
31/01/20,11779780.0,3.81,3.62,3.89,3.6
03/02/20,15412420.0,3.62,3.43,3.62,3.43
04/02/20,2839100.0,3.49,3.49,3.51,3.45
05/02/20,1601480.0,3.55,3.5,3.57,3.49
06/02/20,2802890.0,3.5,3.5,3.59,3.5
07/02/20,2273120.0,3.55,3.5,3.56,3.48
10/02/20,2566760.0,3.54,3.48,3.54,3.48
11/02/20,1581020.0,3.49,3.59,3.59,3.46
12/02/20,3752870.0,3.59,3.49,3.6,3.49
13/02/20,717820.0,3.49,3.48,3.58,3.47
14/02/20,1597840.0,3.5,3.46,3.5,3.46
17/02/20,1460130.0,3.5,3.48,3.52,3.46
18/02/20,3150400.0,3.48,3.46,3.49,3.46
19/02/20,7548430.0,3.47,3.48,3.55,3.47
20/02/20,4396740.0,3.5,3.49,3.5,3.46
21/02/20,1858130.0,3.49,3.46,3.5,3.46
24/02/20,3753290.0,3.46,3.46,3.5,3.44
26/02/20,3140680.0,3.46,3.36,3.46,3.36
27/02/20,3075950.0,3.4,3.37,3.4,3.36
28/02/20,6482820.0,3.36,3.36,3.4,3.35
02/03/20,4343540.0,3.35,3.38,3.39,3.35
03/03/20,8485790.0,3.38,3.38,3.44,3.37
04/03/20,6936780.0,3.38,3.37,3.39,3.37
05/03/20,3628450.0,3.38,3.38,3.4,3.37
06/03/20,2910360.0,3.38,3.37,3.39,3.35
09/03/20,15070850.0,3.3,3.13,3.3,3.13
10/03/20,8473040.0,3.1,3.07,3.1,3.0
11/03/20,9155660.0,3.07,3.07,3.11,3.05
12/03/20,11670870.0,3.05,2.85,3.05,2.83
13/03/20,11593510.0,2.76,2.66,2.76,2.56
16/03/20,5860060.0,2.63,2.49,2.63,2.4
19/03/20,9016650.0,2.45,2.05,2.45,2.01
20/03/20,8415130.0,2.1,2.1,2.31,2.08
23/03/20,10388580.0,2.09,2.04,2.09,2.0
24/03/20,11412350.0,2.04,2.05,2.12,2.04
25/03/20,7840410.0,2.11,2.1,2.17,2.09
26/03/20,6772400.0,2.15,2.26,2.28,2.13
27/03/20,25913970.0,2.29,2.4,2.69,2.29
30/03/20,4162110.0,2.3,2.4,2.4,2.17
31/03/20,7692560.0,2.4,2.53,2.53,2.37
