Date,Value,Open,Close,High,Low
02/01/20,375330.0,2.56,2.52,2.6,2.49
03/01/20,2952690.0,2.52,2.5,2.52,2.35
06/01/20,633550.0,2.48,2.43,2.48,2.4
07/01/20,634300.0,2.4,2.43,2.52,2.38
08/01/20,4091770.0,2.42,2.55,2.63,2.42
09/01/20,589400.0,2.55,2.53,2.59,2.52
10/01/20,1685330.0,2.52,2.58,2.7,2.52
14/01/20,2492980.0,2.58,2.65,2.71,2.58
15/01/20,1134500.0,2.69,2.61,2.7,2.61
16/01/20,1642050.0,2.65,2.6,2.65,2.56
17/01/20,2405740.0,2.56,2.65,2.74,2.55
20/01/20,410950.0,2.73,2.64,2.73,2.61
21/01/20,717940.0,2.62,2.62,2.62,2.55
22/01/20,1872520.0,2.62,2.59,2.62,2.55
23/01/20,1054780.0,2.57,2.53,2.58,2.53
24/01/20,121968560.0,2.59,3.79,3.79,2.59
27/01/20,480354860.0,4.3,4.12,5.17,4.02
28/01/20,122211720.0,4.0,3.83,4.25,3.79
29/01/20,52234860.0,3.88,3.67,4.18,3.65
30/01/20,26884090.0,3.72,3.75,3.83,3.56
31/01/20,38908010.0,3.85,3.45,4.0,3.25
03/02/20,25987490.0,3.43,3.32,3.58,3.12
04/02/20,65196730.0,3.4,3.79,4.1,3.3
05/02/20,18018880.0,3.87,3.65,3.97,3.6
06/02/20,25077540.0,3.65,3.84,4.03,3.65
07/02/20,13524920.0,3.84,3.55,3.94,3.54
10/02/20,10489120.0,3.53,3.38,3.53,3.31
11/02/20,10770770.0,3.4,3.42,3.7,3.4
12/02/20,4567780.0,3.43,3.36,3.49,3.34
13/02/20,11297130.0,3.34,3.18,3.48,3.07
14/02/20,3250200.0,3.18,3.25,3.26,3.11
17/02/20,4573750.0,3.3,3.32,3.32,3.2
18/02/20,4034600.0,3.35,3.28,3.39,3.15
19/02/20,2687210.0,3.25,3.24,3.27,3.16
20/02/20,2629220.0,3.25,3.24,3.25,3.14
21/02/20,4123540.0,3.24,3.21,3.32,3.15
24/02/20,10244860.0,3.18,2.86,3.18,2.85
26/02/20,7147640.0,2.79,2.58,2.79,2.46
27/02/20,4864880.0,2.68,2.6,2.77,2.58
28/02/20,8731870.0,2.5,2.4,2.54,2.39
02/03/20,2906550.0,2.38,2.36,2.44,2.3
03/03/20,2442960.0,2.42,2.39,2.46,2.3
04/03/20,2815230.0,2.3,2.3,2.34,2.26
05/03/20,1375860.0,2.35,2.3,2.37,2.29
06/03/20,1068570.0,2.32,2.3,2.32,2.25
09/03/20,3716940.0,2.29,1.98,2.29,1.9
10/03/20,2204530.0,1.89,1.98,2.03,1.84
11/03/20,10943780.0,2.0,1.93,2.06,1.88
12/03/20,3410770.0,1.88,1.52,1.99,1.52
13/03/20,3955480.0,1.49,1.48,1.49,1.2
16/03/20,1103010.0,1.34,1.34,1.39,1.27
19/03/20,1036660.0,1.2,1.12,1.27,1.1
20/03/20,1502360.0,1.26,1.3,1.48,1.26
23/03/20,817900.0,1.3,1.25,1.35,1.2
24/03/20,497220.0,1.3,1.31,1.33,1.27
25/03/20,1561620.0,1.4,1.42,1.42,1.32
26/03/20,6075030.0,1.45,1.6,1.68,1.4
27/03/20,3628460.0,1.65,1.6,1.77,1.54
30/03/20,2179800.0,1.6,1.44,1.6,1.41
31/03/20,2050730.0,1.51,1.56,1.6,1.51
01/04/20,1431140.0,1.56,1.55,1.56,1.48
02/04/20,1094040.0,1.5,1.58,1.59,1.5
03/04/20,959810.0,1.63,1.58,1.63,1.53
06/04/20,491960.0,1.55,1.57,1.58,1.5
07/04/20,2416580.0,1.59,1.69,1.69,1.58
08/04/20,25594000.0,1.75,1.96,2.22,1.7
13/04/20,21294090.0,2.01,2.32,2.33,2.01
14/04/20,16278520.0,2.4,2.52,2.57,2.4
15/04/20,6001210.0,2.52,2.44,2.57,2.41
16/04/20,6760910.0,2.4,2.32,2.4,2.2
17/04/20,4648200.0,2.34,2.38,2.55,2.34
20/04/20,8468080.0,2.38,2.69,2.69,2.35
21/04/20,12166540.0,2.8,2.61,2.82,2.45
22/04/20,15652030.0,2.58,2.59,2.78,2.4
23/04/20,8075490.0,2.6,2.62,2.71,2.55
24/04/20,5648290.0,2.6,2.45,2.6,2.42
27/04/20,7907100.0,2.42,2.3,2.42,2.23
28/04/20,4022590.0,2.33,2.28,2.45,2.27
29/04/20,2876800.0,2.3,2.35,2.39,2.3
30/04/20,4604210.0,2.38,2.36,2.44,2.35
04/05/20,63452000.0,2.62,2.75,2.89,2.62
05/05/20,27843210.0,2.78,2.65,2.9,2.53
06/05/20,10300400.0,2.57,2.59,2.69,2.54
07/05/20,7046210.0,2.59,2.47,2.59,2.46
08/05/20,6335210.0,2.49,2.5,2.58,2.41
11/05/20,5623790.0,2.5,2.42,2.56,2.31
12/05/20,2779120.0,2.42,2.4,2.45,2.38
13/05/20,3689640.0,2.38,2.34,2.42,2.32
14/05/20,3639890.0,2.35,2.3,2.35,2.25
15/05/20,5480090.0,2.3,2.43,2.48,2.27
18/05/20,5543720.0,2.44,2.34,2.54,2.33
19/05/20,3447290.0,2.43,2.31,2.43,2.28
20/05/20,1209460.0,2.36,2.32,2.36,2.29
21/05/20,828510.0,2.3,2.35,2.35,2.29
22/05/20,1062510.0,2.36,2.32,2.36,2.3
26/05/20,4753830.0,2.31,2.14,2.34,2.1
27/05/20,1944500.0,2.14,2.15,2.18,2.06
28/05/20,2608030.0,2.18,2.11,2.18,2.04
29/05/20,4125980.0,2.1,2.21,2.29,2.04
01/06/20,2225190.0,2.23,2.22,2.23,2.15
02/06/20,2858590.0,2.24,2.29,2.31,2.22
03/06/20,2942880.0,2.35,2.32,2.35,2.29
04/06/20,6561220.0,2.35,2.45,2.46,2.33
05/06/20,5411150.0,2.48,2.44,2.5,2.35
08/06/20,7183010.0,2.45,2.52,2.56,2.38
09/06/20,6110370.0,2.55,2.55,2.65,2.49
10/06/20,6242920.0,2.57,2.51,2.6,2.47
11/06/20,4538390.0,2.5,2.42,2.5,2.36
15/06/20,3238570.0,2.39,2.36,2.4,2.32
16/06/20,2770130.0,2.36,2.38,2.43,2.3
17/06/20,2970330.0,2.43,2.36,2.44,2.36
18/06/20,4460210.0,2.31,2.34,2.37,2.23
19/06/20,1740400.0,2.32,2.32,2.34,2.26
22/06/20,4651580.0,2.31,2.32,2.4,2.22
23/06/20,2410170.0,2.3,2.27,2.33,2.24
24/06/20,1741930.0,2.27,2.32,2.36,2.25
25/06/20,2493240.0,2.3,2.29,2.3,2.26
26/06/20,1384820.0,2.31,2.29,2.33,2.26
29/06/20,4265910.0,2.23,2.21,2.24,2.2
30/06/20,1477090.0,2.18,2.2,2.24,2.18
01/07/20,1735550.0,2.22,2.19,2.22,2.11
02/07/20,1521010.0,2.18,2.19,2.2,2.13
03/07/20,1282840.0,2.2,2.19,2.21,2.16
06/07/20,2140000.0,2.19,2.19,2.25,2.18
07/07/20,2477420.0,2.17,2.14,2.19,2.08
08/07/20,2654430.0,2.13,2.06,2.13,2.03
09/07/20,1369740.0,2.06,2.09,2.1,2.04
10/07/20,988350.0,2.06,2.05,2.06,2.02
13/07/20,3455710.0,2.05,1.97,2.05,1.95
14/07/20,2135810.0,1.96,1.85,1.96,1.82
15/07/20,861580.0,1.85,1.91,1.93,1.85
16/07/20,5164380.0,1.98,1.99,2.13,1.93
17/07/20,830380.0,2.02,1.98,2.06,1.95
20/07/20,561930.0,1.98,1.98,1.98,1.9
21/07/20,517160.0,1.98,1.98,2.02,1.94
22/07/20,2519830.0,1.98,2.03,2.12,1.94
23/07/20,2176730.0,2.03,1.88,2.07,1.85
24/07/20,481470.0,1.88,1.9,1.93,1.85
27/07/20,1485800.0,1.85,1.84,1.87,1.82
28/07/20,973270.0,1.84,1.84,1.84,1.8
29/07/20,904070.0,1.84,1.8,1.85,1.79
30/07/20,827620.0,1.8,1.9,1.92,1.8
03/08/20,1345480.0,1.82,1.8,1.85,1.8
04/08/20,958210.0,1.83,1.86,1.87,1.83
05/08/20,441510.0,1.86,1.87,1.87,1.83
06/08/20,1986360.0,1.87,1.97,2.04,1.87
07/08/20,1419810.0,1.97,1.97,1.97,1.88
10/08/20,862650.0,1.91,1.94,1.97,1.89
11/08/20,1054210.0,1.96,2.0,2.02,1.95
12/08/20,872550.0,1.99,1.94,2.0,1.92
13/08/20,421200.0,1.93,1.95,1.95,1.92
14/08/20,553450.0,1.95,1.96,2.0,1.93
17/08/20,1054440.0,1.98,1.96,2.0,1.96
18/08/20,725690.0,2.0,1.99,2.0,1.95
19/08/20,336990.0,1.98,1.95,1.98,1.95
20/08/20,796600.0,1.95,1.94,1.95,1.9
24/08/20,761870.0,1.91,1.9,1.91,1.89
25/08/20,906350.0,1.87,1.86,1.9,1.86
26/08/20,99100.0,1.86,1.87,1.87,1.86
27/08/20,159560.0,1.88,1.9,1.92,1.88
28/08/20,1239700.0,1.89,1.97,2.0,1.89
01/09/20,1132630.0,1.99,2.01,2.04,1.99
02/09/20,5093910.0,2.01,2.18,2.23,2.0
03/09/20,7338200.0,2.15,2.25,2.28,2.15
04/09/20,2619960.0,2.25,2.18,2.25,2.1
07/09/20,1124120.0,2.18,2.19,2.25,2.16
08/09/20,2606720.0,2.16,2.31,2.31,2.15
09/09/20,1963020.0,2.31,2.25,2.31,2.18
10/09/20,1780230.0,2.25,2.26,2.29,2.21
11/09/20,412310.0,2.25,2.22,2.26,2.22
14/09/20,2972700.0,2.25,2.31,2.33,2.22
15/09/20,5085290.0,2.31,2.4,2.44,2.3
16/09/20,1972370.0,2.38,2.35,2.43,2.34
17/09/20,3486530.0,2.33,2.24,2.39,2.2
18/09/20,1779790.0,2.21,2.27,2.27,2.16
21/09/20,1521880.0,2.27,2.2,2.3,2.19
22/09/20,1971050.0,2.19,2.12,2.19,2.1
23/09/20,972290.0,2.14,2.14,2.2,2.13
24/09/20,648010.0,2.11,2.14,2.16,2.08
25/09/20,1153250.0,2.14,2.2,2.27,2.12
28/09/20,1058820.0,2.2,2.19,2.21,2.16
29/09/20,885390.0,2.19,2.12,2.21,2.11
30/09/20,1648500.0,2.15,2.11,2.15,2.11
01/10/20,949880.0,2.12,2.18,2.18,2.12
02/10/20,853250.0,2.18,2.13,2.18,2.12
05/10/20,3714650.0,2.12,2.06,2.14,2.04
06/10/20,2996010.0,2.06,2.1,2.13,2.0
07/10/20,95303220.0,2.09,2.22,2.3,2.03
08/10/20,4810100.0,2.3,2.31,2.34,2.23
09/10/20,24223960.0,2.36,2.45,2.58,2.35
12/10/20,10815790.0,2.45,2.34,2.48,2.28
13/10/20,33005560.0,2.34,2.47,2.85,2.34
14/10/20,8027950.0,2.5,2.48,2.65,2.46
15/10/20,4991190.0,2.48,2.51,2.6,2.48
16/10/20,9980810.0,2.5,2.65,2.7,2.48
19/10/20,7688540.0,2.68,2.62,2.7,2.55
20/10/20,8513870.0,2.7,2.65,2.75,2.62
21/10/20,5499750.0,2.64,2.64,2.65,2.57
22/10/20,4140500.0,2.64,2.58,2.64,2.53
23/10/20,2858310.0,2.55,2.58,2.63,2.53
26/10/20,1969430.0,2.59,2.6,2.61,2.54
27/10/20,18350870.0,2.6,2.94,2.95,2.56
28/10/20,20584610.0,2.99,2.85,3.09,2.77
29/10/20,7022700.0,2.8,2.85,2.91,2.7
30/10/20,4166290.0,2.85,2.84,2.92,2.8
03/11/20,4582750.0,2.87,2.96,2.96,2.84
04/11/20,20838130.0,3.07,2.97,3.18,2.97
05/11/20,8320840.0,3.0,2.95,3.0,2.83
06/11/20,4928720.0,2.96,3.01,3.09,2.88
09/11/20,4914490.0,3.02,3.04,3.13,2.99
10/11/20,2783940.0,3.06,3.03,3.06,2.95
11/11/20,4644530.0,3.03,2.94,3.03,2.89
13/11/20,6752430.0,2.94,2.94,3.05,2.88
16/11/20,4803110.0,2.94,2.91,2.98,2.88
17/11/20,5881740.0,2.9,3.01,3.01,2.9
18/11/20,8671680.0,3.02,3.09,3.2,3.01
19/11/20,7557570.0,3.14,3.01,3.14,2.92
20/11/20,5959150.0,3.0,3.1,3.12,2.98
23/11/20,11962020.0,3.15,3.19,3.24,3.1
24/11/20,7729750.0,3.25,3.14,3.3,3.14
25/11/20,4265770.0,3.15,3.09,3.19,3.09
26/11/20,13183280.0,3.08,2.96,3.08,2.86
27/11/20,2090300.0,2.95,2.93,2.95,2.88
01/12/20,1997150.0,2.92,3.0,3.01,2.91
02/12/20,2763440.0,2.99,2.95,3.05,2.95
03/12/20,2128090.0,2.94,2.98,3.0,2.92
04/12/20,2234640.0,2.94,2.94,2.97,2.89
07/12/20,4673940.0,2.98,2.99,2.99,2.92
09/12/20,7879850.0,3.0,3.06,3.13,3.0
10/12/20,7415490.0,3.12,3.09,3.15,3.03
11/12/20,6724320.0,3.09,3.15,3.15,3.03
14/12/20,9318510.0,3.17,3.19,3.25,3.08
15/12/20,20802360.0,3.22,3.36,3.45,3.21
16/12/20,10167550.0,3.41,3.24,3.45,3.23
17/12/20,8025010.0,3.23,3.19,3.32,3.19
18/12/20,5168610.0,3.19,3.15,3.28,3.13
21/12/20,8914270.0,3.18,3.1,3.21,3.06
22/12/20,10024950.0,3.16,3.03,3.16,3.01
23/12/20,6855010.0,3.03,3.01,3.05,2.95
28/12/20,10898930.0,2.96,2.9,2.99,2.9
29/12/20,7447580.0,2.91,2.89,2.91,2.84
04/01/21,3696470.0,2.89,3.08,3.1,2.85
05/01/21,4238160.0,3.08,2.95,3.08,2.95
06/01/21,6381530.0,2.97,2.9,3.18,2.84
07/01/21,2083560.0,2.88,2.91,2.95,2.88
08/01/21,1957580.0,2.86,2.93,2.95,2.85
11/01/21,2652900.0,2.93,2.94,2.95,2.9
