Date,Value,Open,Close,High,Low
02/01/20,1606310.0,2.84,2.85,2.85,2.81
03/01/20,1523300.0,2.86,2.92,2.93,2.86
06/01/20,3529670.0,3.1,3.15,3.2,3.0
07/01/20,2818370.0,3.18,3.08,3.2,3.07
08/01/20,5625900.0,3.21,3.3,3.31,3.21
09/01/20,3268310.0,3.25,3.21,3.25,3.18
10/01/20,2030860.0,3.25,3.2,3.31,3.18
14/01/20,1492300.0,3.21,3.05,3.21,3.05
15/01/20,2107330.0,3.05,2.96,3.05,2.96
16/01/20,1623820.0,2.98,2.96,3.01,2.96
17/01/20,1718980.0,2.98,2.96,2.99,2.92
20/01/20,1397030.0,2.97,2.94,2.97,2.92
21/01/20,404040.0,2.92,2.95,2.95,2.92
22/01/20,760540.0,2.93,2.92,2.93,2.9
23/01/20,1878780.0,2.9,2.87,2.95,2.86
24/01/20,598310.0,2.92,2.95,2.95,2.9
27/01/20,1571690.0,2.94,3.1,3.2,2.94
28/01/20,2391180.0,3.11,2.95,3.17,2.94
29/01/20,2383050.0,2.95,2.82,2.95,2.8
30/01/20,1446150.0,2.9,2.95,2.98,2.9
31/01/20,694880.0,2.85,2.88,2.95,2.84
03/02/20,1291500.0,2.85,2.83,2.85,2.82
04/02/20,776010.0,2.85,2.85,2.95,2.85
05/02/20,1133230.0,2.8,2.88,2.92,2.8
06/02/20,495860.0,2.88,2.85,2.9,2.83
07/02/20,826380.0,2.86,2.84,2.89,2.84
10/02/20,299910.0,2.85,2.83,2.85,2.79
11/02/20,1345610.0,2.85,2.89,2.89,2.8
12/02/20,174220.0,2.89,2.85,2.89,2.83
13/02/20,410460.0,2.85,2.87,2.88,2.82
14/02/20,230090.0,2.88,2.86,2.88,2.82
17/02/20,990430.0,2.86,2.83,2.86,2.79
18/02/20,45940.0,2.86,2.88,2.89,2.83
19/02/20,5643170.0,2.9,3.02,3.15,2.9
20/02/20,1830220.0,3.02,2.96,3.04,2.93
21/02/20,3066070.0,3.07,3.02,3.07,3.0
24/02/20,5521680.0,3.03,3.08,3.17,3.01
26/02/20,895820.0,3.04,3.05,3.05,2.95
27/02/20,1027640.0,3.0,2.95,3.02,2.92
28/02/20,887620.0,2.91,2.9,2.91,2.83
02/03/20,2434280.0,2.8,2.8,2.85,2.78
03/03/20,347530.0,2.8,2.9,2.94,2.8
04/03/20,1452270.0,2.9,2.8,2.9,2.8
05/03/20,1269940.0,2.8,2.85,2.89,2.79
06/03/20,1906530.0,2.89,2.81,2.89,2.81
09/03/20,5583140.0,2.85,2.6,2.85,2.6
10/03/20,1754820.0,2.6,2.59,2.69,2.53
11/03/20,2231470.0,2.57,2.55,2.67,2.54
12/03/20,2340830.0,2.52,2.33,2.52,2.0
13/03/20,2215980.0,2.1,2.24,2.24,2.0
16/03/20,643590.0,2.18,2.2,2.42,2.08
19/03/20,2188840.0,2.11,1.97,2.15,1.96
20/03/20,1702140.0,1.98,1.9,1.98,1.89
23/03/20,664890.0,1.9,1.85,1.93,1.85
24/03/20,255510.0,1.95,1.99,1.99,1.95
25/03/20,667160.0,2.02,2.05,2.1,2.02
26/03/20,137560.0,2.07,2.03,2.07,2.03
27/03/20,1099440.0,2.07,2.02,2.08,2.0
30/03/20,504000.0,2.0,2.0,2.0,2.0
31/03/20,1588640.0,2.05,2.04,2.06,2.0
01/04/20,262790.0,2.04,2.02,2.06,2.02
02/04/20,1221350.0,2.06,2.0,2.06,1.97
03/04/20,2289210.0,2.03,2.0,2.03,1.99
06/04/20,2653570.0,2.05,2.02,2.05,2.01
07/04/20,798380.0,2.07,2.0,2.1,2.0
08/04/20,525350.0,2.0,2.04,2.07,2.0
13/04/20,1126880.0,2.12,2.09,2.12,2.06
14/04/20,1691460.0,2.12,2.2,2.25,2.12
15/04/20,656700.0,2.3,2.2,2.3,2.18
16/04/20,1912530.0,2.21,2.22,2.35,2.2
17/04/20,1579610.0,2.3,2.25,2.3,2.22
20/04/20,760450.0,2.11,2.23,2.23,2.1
21/04/20,503580.0,2.22,2.19,2.22,2.13
22/04/20,109730.0,2.2,2.19,2.2,2.15
23/04/20,2222300.0,2.29,2.31,2.4,2.29
24/04/20,1306660.0,2.33,2.32,2.34,2.29
27/04/20,120130.0,2.39,2.37,2.39,2.3
28/04/20,1578720.0,2.39,2.3,2.4,2.3
29/04/20,247120.0,2.3,2.3,2.35,2.3
30/04/20,1044310.0,2.31,2.29,2.31,2.29
04/05/20,644450.0,2.34,2.31,2.39,2.31
