Date,Value,Open,Close,High,Low
02/01/20,1950603.0,8.64,8.5,8.64,8.41
03/01/20,12642796.0,8.5,8.98,9.2,8.47
06/01/20,9134567.0,9.57,9.12,9.58,9.0
07/01/20,6953441.0,9.12,9.0,9.27,9.0
08/01/20,5187625.0,9.3,9.01,9.3,8.82
09/01/20,17920121.0,9.01,10.06,10.06,8.89
10/01/20,19600808.0,10.32,10.22,10.7,10.2
14/01/20,10080088.0,10.16,9.59,10.16,9.52
15/01/20,4220460.0,9.62,9.33,9.62,9.2
16/01/20,2560591.0,9.3,9.39,9.48,9.3
17/01/20,7682604.0,9.39,9.35,9.6,9.25
20/01/20,7182912.0,9.3,8.92,9.5,8.9
21/01/20,4509219.0,8.93,9.09,9.2,8.72
22/01/20,2115989.0,9.0,8.94,9.06,8.84
23/01/20,9891840.0,9.05,9.0,9.2,8.88
24/01/20,3227109.0,9.0,8.93,9.0,8.8
27/01/20,4292579.0,8.93,9.12,9.12,8.75
28/01/20,68617341.0,9.1,9.76,10.34,8.77
29/01/20,9201002.0,9.8,9.35,9.8,9.3
30/01/20,9913156.0,9.35,8.91,9.43,8.9
31/01/20,6671481.0,8.95,8.61,9.33,8.5
03/02/20,10861353.0,8.5,8.25,8.78,8.25
04/02/20,3932326.0,8.24,8.41,8.65,8.23
05/02/20,2031693.0,8.5,8.6,8.78,8.5
06/02/20,1493642.0,8.64,8.7,8.9,8.64
07/02/20,1331754.0,8.67,8.65,8.74,8.61
10/02/20,1790935.0,8.67,8.5,8.67,8.3
11/02/20,1918401.0,8.6,8.5,8.6,8.39
12/02/20,4391014.0,8.43,8.45,9.1,8.41
13/02/20,1925006.0,8.45,8.4,8.7,8.4
14/02/20,522387.0,8.43,8.45,8.58,8.41
17/02/20,20710141.0,8.35,7.8,8.4,7.6
18/02/20,2505729.0,7.85,7.7,7.85,7.62
19/02/20,2964172.0,7.69,7.7,7.8,7.65
20/02/20,1317290.0,7.62,7.7,7.75,7.61
21/02/20,2628056.0,7.66,7.6,7.68,7.59
24/02/20,4763358.0,7.6,7.24,7.6,7.2
26/02/20,2987782.0,7.24,6.87,7.24,6.75
27/02/20,1373482.0,6.87,6.88,6.88,6.8
28/02/20,4247854.0,6.8,6.36,6.8,6.35
02/03/20,7644155.0,6.36,6.15,6.36,5.8
03/03/20,1933403.0,6.15,6.12,6.35,6.05
04/03/20,651165.0,6.4,6.18,6.5,6.05
05/03/20,1131540.0,6.2,6.32,6.34,6.18
06/03/20,2838026.0,6.32,6.01,6.44,5.98
09/03/20,7441459.0,5.9,5.05,5.9,5.0
10/03/20,2811543.0,5.01,4.91,5.03,4.4
11/03/20,1759600.0,5.9,5.0,5.9,4.85
12/03/20,3384193.0,4.7,4.7,5.25,4.55
13/03/20,2708960.0,4.3,4.5,4.8,4.1
16/03/20,1416170.0,4.28,4.42,4.5,4.28
19/03/20,1605610.0,4.3,3.95,4.3,3.65
20/03/20,1484710.0,3.95,3.95,4.5,3.95
23/03/20,1183230.0,3.94,3.7,3.94,3.65
24/03/20,3042860.0,3.7,3.7,3.75,3.5
25/03/20,2724000.0,3.85,3.8,3.9,3.7
26/03/20,3585290.0,3.85,4.09,4.2,3.8
27/03/20,3940780.0,4.29,4.24,4.3,3.88
30/03/20,1442490.0,4.19,3.95,4.19,3.88
31/03/20,846720.0,4.1,4.1,4.12,4.0
01/04/20,1359910.0,4.14,4.04,4.18,4.04
02/04/20,818680.0,4.0,4.0,4.1,3.96
03/04/20,3289870.0,4.2,4.0,4.4,3.97
