Date,Value,Open,Close,High,Low
02/01/20,325580.0,20.45,20.3,20.45,20.3
03/01/20,53040.0,20.4,20.4,20.4,20.4
06/01/20,122900.0,20.5,20.4,20.5,20.4
10/01/20,406910.0,20.45,20.0,20.45,20.0
14/01/20,8200.0,20.5,20.5,20.5,20.5
15/01/20,29120.0,20.8,20.8,20.8,20.8
16/01/20,8200.0,20.5,20.5,20.5,20.5
17/01/20,102500.0,20.5,20.5,20.5,20.5
20/01/20,41000.0,20.5,20.5,20.5,20.5
22/01/20,205000.0,20.5,20.5,20.5,20.5
24/01/20,205000.0,20.5,20.5,20.5,20.5
27/01/20,204500.0,20.45,20.45,20.45,20.45
28/01/20,248640.0,20.0,20.8,20.8,20.0
10/02/20,3804.0,19.02,19.02,19.02,19.02
19/02/20,285012.0,19.02,19.0,19.02,19.0
20/02/20,7560.0,18.9,18.9,18.9,18.9
21/02/20,1900.0,19.0,19.0,19.0,19.0
09/03/20,409210.0,19.0,18.0,19.0,18.0
10/03/20,68400.0,18.0,18.0,18.0,18.0
12/03/20,19800.0,18.0,18.0,18.0,18.0
13/03/20,73100.0,17.0,17.0,17.0,17.0
16/03/20,23800.0,17.0,17.0,17.0,17.0
19/03/20,4800.0,16.0,16.0,16.0,16.0
26/03/20,23808.0,17.02,17.0,17.02,17.0
02/04/20,4876410.0,16.02,16.0,16.02,16.0
08/04/20,3200.0,16.0,16.0,16.0,16.0
13/04/20,3204.0,16.02,16.02,16.02,16.02
14/04/20,80020.0,16.02,16.0,16.02,16.0
20/04/20,320012.0,16.02,16.0,16.02,16.0
21/04/20,36800.0,18.0,18.0,18.0,17.0
23/04/20,1800.0,18.0,18.0,18.0,18.0
27/04/20,48570.0,17.9,18.0,18.0,17.9
28/04/20,82590.0,16.58,16.5,16.58,16.5
29/04/20,11650.0,16.7,16.5,16.7,16.5
30/04/20,3340.0,16.7,16.7,16.7,16.7
06/05/20,240054.0,16.04,16.0,16.04,16.0
07/05/20,19738.0,17.9,17.98,17.98,17.9
11/05/20,122260.0,16.04,18.0,18.0,16.04
12/05/20,269852.0,16.06,16.5,16.5,16.06
20/05/20,873970.0,18.0,20.8,24.0,18.0
21/05/20,54318.0,17.5,19.48,19.48,17.2
22/05/20,53842.0,17.6,19.0,19.0,17.58
26/05/20,1766.0,17.66,17.66,17.66,17.66
27/05/20,3772.0,18.86,18.86,18.86,18.86
28/05/20,1690.0,16.9,16.9,16.9,16.9
29/05/20,5100.0,17.0,17.0,17.0,17.0
02/06/20,17080.0,17.08,17.08,17.08,17.08
04/06/20,3404.0,17.02,17.02,17.02,17.02
09/06/20,36690.0,19.8,18.9,19.8,18.9
11/06/20,37788.0,18.88,18.9,18.9,18.88
16/06/20,33240.0,17.32,18.5,18.5,17.04
17/06/20,17884.0,17.4,18.36,18.36,17.4
19/06/20,1848.0,18.48,18.48,18.48,18.48
22/06/20,1764.0,17.64,17.64,17.64,17.64
23/06/20,29372.0,18.18,19.0,19.0,18.18
29/06/20,40072.0,18.98,19.6,19.6,18.98
30/06/20,1076162.0,19.0,17.36,19.0,16.0
01/07/20,92398.0,17.4,17.0,17.4,16.9
02/07/20,116750.0,16.92,17.0,18.0,16.8
03/07/20,1744.0,17.44,17.44,17.44,17.44
06/07/20,42740.0,17.16,17.0,17.16,17.0
07/07/20,34512.0,17.2,17.3,17.3,17.2
10/07/20,64670.0,17.48,17.48,17.5,17.4
13/07/20,135224.0,17.48,17.3,17.48,17.0
14/07/20,10212.0,17.02,17.02,17.02,17.02
15/07/20,15340.0,17.06,17.02,17.06,17.02
17/07/20,3408.0,17.04,17.04,17.04,17.04
21/07/20,7152.0,17.88,17.88,17.88,17.88
22/07/20,88900.0,17.78,17.78,17.78,17.78
29/07/20,11972.0,17.12,17.1,17.12,17.1
12/08/20,3424.0,17.12,17.12,17.12,17.12
13/08/20,11972.0,17.12,17.1,17.12,17.1
24/08/20,1746.0,17.46,17.46,17.46,17.46
04/09/20,10464.0,17.44,17.44,17.44,17.44
10/09/20,1736.0,17.36,17.36,17.36,17.36
14/09/20,1738.0,17.38,17.38,17.38,17.38
15/09/20,1738.0,17.38,17.38,17.38,17.38
29/09/20,336636.0,17.14,16.7,17.14,16.7
02/10/20,33390.0,16.7,16.7,16.72,16.68
06/10/20,1670.0,16.7,16.7,16.7,16.7
08/10/20,34800.0,17.4,17.4,17.4,17.4
12/10/20,3472.0,17.36,17.36,17.36,17.36
13/10/20,1738.0,17.38,17.38,17.38,17.38
14/10/20,1748.0,17.48,17.48,17.48,17.48
15/10/20,1748.0,17.48,17.48,17.48,17.48
19/10/20,828726.0,16.76,16.5,16.76,16.5
21/10/20,55616.0,17.46,16.74,17.5,16.74
22/10/20,6664.0,16.66,16.66,16.66,16.66
26/10/20,131710.0,17.3,16.78,17.3,16.76
28/10/20,179758.0,16.82,16.74,16.82,16.74
30/10/20,16820.0,16.82,16.82,16.82,16.82
03/11/20,1710.0,17.1,17.1,17.1,17.1
10/11/20,90058.0,16.86,17.0,17.0,16.86
11/11/20,54400.0,17.0,17.0,17.0,17.0
16/11/20,310980.0,17.56,19.9,20.5,17.56
17/11/20,232216.0,19.5,19.88,19.88,19.5
18/11/20,15898.0,19.86,19.88,19.88,19.86
19/11/20,57624.0,19.86,19.88,19.88,19.86
20/11/20,10200.0,20.4,20.4,20.4,20.4
23/11/20,986800.0,20.5,22.0,22.0,20.5
24/11/20,1958.0,19.58,19.58,19.58,19.58
26/11/20,19870.0,19.74,20.0,20.0,19.74
04/12/20,2027850.0,19.9,19.9,20.0,19.9
07/12/20,268435.0,20.7,22.9,23.0,20.7
10/12/20,83470.0,20.9,21.4,21.95,20.15
11/12/20,25220.0,21.3,20.85,21.3,20.85
14/12/20,4170.0,20.85,20.85,20.85,20.85
15/12/20,10525.0,21.05,21.05,21.05,21.05
18/12/20,2130.0,21.3,21.3,21.3,21.3
22/12/20,8420.0,21.05,21.05,21.05,21.05
08/01/21,41120.0,21.05,22.95,22.95,21.05
11/01/21,4580.0,22.9,22.9,22.9,22.9
