Date,Value,Open,Close,High,Low
06/01/20,500000.0,12.5,12.5,12.5,12.5
07/01/20,1008224.0,12.5,12.5,12.5,12.02
08/01/20,308750.0,12.5,12.5,12.5,12.5
09/01/20,878090.0,12.02,12.5,12.98,12.02
10/01/20,304100.0,12.02,12.2,12.2,12.02
14/01/20,610000.0,12.2,12.2,12.2,12.2
15/01/20,548112.0,12.02,12.02,12.02,12.02
16/01/20,610000.0,12.2,12.2,12.2,12.2
17/01/20,304100.0,12.02,12.2,12.2,12.02
20/01/20,266814.0,12.2,12.0,12.2,12.0
21/01/20,857900.0,12.0,12.1,12.2,12.0
22/01/20,492470.0,12.1,12.1,12.1,12.1
23/01/20,4800.0,12.0,12.0,12.0,12.0
27/01/20,2697600.0,12.0,12.0,12.0,12.0
03/02/20,214700.0,12.0,12.0,12.0,11.98
04/02/20,359500.0,12.0,12.0,12.0,11.94
06/02/20,719020.0,12.0,11.9,12.0,11.9
14/02/20,826940.0,10.78,11.2,11.5,10.78
17/02/20,803960.0,11.5,11.2,11.5,11.18
18/02/20,360148.0,11.2,11.66,11.7,11.2
19/02/20,62410.0,11.66,12.1,12.1,11.66
20/02/20,217704.0,12.1,12.08,12.1,12.08
21/02/20,716624.0,12.48,13.3,13.3,12.48
24/02/20,56680.0,12.5,12.04,12.5,12.04
26/02/20,250316.0,12.04,12.02,12.04,12.02
27/02/20,120000.0,12.0,12.0,12.0,12.0
28/02/20,76800.0,12.0,12.0,12.0,12.0
02/03/20,176400.0,12.0,12.0,12.0,12.0
04/03/20,47920.0,11.98,11.98,11.98,11.98
05/03/20,139100.0,11.8,11.5,11.8,11.5
06/03/20,1543018.0,11.8,11.5,11.8,11.5
09/03/20,712246.0,11.22,11.2,11.3,11.2
10/03/20,93836.0,11.0,10.62,11.0,10.62
11/03/20,33002.0,10.7,10.62,10.7,10.62
12/03/20,631760.0,10.64,10.6,10.64,10.6
13/03/20,1506949.0,10.22,10.6,10.6,5.32
16/03/20,600712.0,9.4,9.4,9.42,9.4
19/03/20,221400.0,8.2,8.2,8.2,8.2
20/03/20,122206.0,8.2,8.0,8.2,8.0
23/03/20,186002.0,8.0,8.2,8.2,8.0
26/03/20,781.0,7.81,7.81,7.81,7.81
27/03/20,59257.0,8.1,8.9,9.0,8.1
02/04/20,850.0,8.5,8.5,8.5,8.5
07/04/20,9487.0,8.61,8.65,8.65,8.61
08/04/20,34631.0,8.71,8.65,8.71,8.65
13/04/20,5190.0,8.65,8.65,8.65,8.65
14/04/20,208465.0,8.65,8.65,8.65,8.65
16/04/20,463800.0,8.8,8.8,8.95,8.8
20/04/20,144933.0,8.21,8.79,8.79,8.21
21/04/20,25586.0,8.24,8.26,8.26,8.24
23/04/20,233779.0,8.4,8.5,8.65,8.4
24/04/20,223027.0,8.65,8.5,8.65,8.5
27/04/20,61202.0,8.52,8.5,8.52,8.5
30/04/20,90950.0,8.5,8.5,8.5,8.5
06/05/20,1729.0,8.5,8.79,8.79,8.5
11/05/20,403231.0,8.79,9.0,9.0,8.79
12/05/20,2000.0,10.0,10.0,10.0,10.0
13/05/20,11988.0,10.0,9.94,10.0,9.94
22/05/20,369633.0,9.02,9.0,9.07,9.0
26/05/20,2876.0,9.63,9.5,9.63,9.5
27/05/20,1969.0,9.89,9.8,9.89,9.8
28/05/20,95439.0,9.02,8.9,9.06,8.9
29/05/20,106339.0,8.75,9.89,9.89,8.75
01/06/20,27480.0,9.88,9.02,9.88,9.0
02/06/20,168732.0,9.89,9.77,9.89,9.14
04/06/20,204755.0,9.5,9.11,9.58,9.06
05/06/20,1901618.0,9.5,9.31,9.8,9.11
08/06/20,81378.0,9.45,9.47,9.8,9.45
09/06/20,815093.0,9.33,9.38,9.38,9.33
10/06/20,1902.0,9.51,9.51,9.51,9.51
11/06/20,27553.0,9.81,9.88,9.88,9.81
15/06/20,3931.0,9.88,9.79,9.88,9.79
16/06/20,21193.0,9.89,9.5,9.89,9.5
17/06/20,558125.0,9.35,9.3,9.35,9.3
18/06/20,8713.0,9.86,9.32,9.87,9.32
19/06/20,1864.0,9.32,9.32,9.32,9.32
22/06/20,20460.0,9.3,9.3,9.3,9.3
23/06/20,115859.0,9.0,8.66,9.0,8.64
25/06/20,26255.0,9.89,9.0,9.89,9.0
01/07/20,41589.0,9.1,8.72,9.1,8.72
02/07/20,297353.0,8.7,8.5,8.7,8.5
03/07/20,8520.0,8.52,8.52,8.52,8.52
07/07/20,809308.0,8.54,8.2,8.54,8.2
08/07/20,2509.0,8.37,8.35,8.37,8.35
09/07/20,52282.0,9.14,9.1,9.19,9.1
10/07/20,1583984.0,9.09,9.22,9.22,8.4
13/07/20,18037.0,8.5,8.5,8.5,8.11
14/07/20,840.0,8.4,8.4,8.4,8.4
21/07/20,573514.0,8.4,8.2,8.4,8.2
23/07/20,374428.0,8.14,8.0,8.14,8.0
24/07/20,400003.0,8.01,8.0,8.01,8.0
27/07/20,39692.0,8.11,8.1,8.11,8.1
28/07/20,366930.0,8.1,8.1,8.1,8.1
30/07/20,7380.0,8.2,8.2,8.2,8.2
03/08/20,1640.0,8.2,8.2,8.2,8.2
04/08/20,374400.0,8.0,8.0,8.0,8.0
05/08/20,48002.0,8.01,8.0,8.01,8.0
06/08/20,89600.0,8.0,8.0,8.0,8.0
07/08/20,67930.0,8.1,8.1,8.1,8.0
12/08/20,7290.0,8.1,8.1,8.1,8.1
18/08/20,1024030.0,8.2,8.45,8.5,8.2
20/08/20,2246804.0,8.12,8.12,8.12,8.12
25/08/20,123150.0,8.21,8.21,8.21,8.21
01/09/20,24196.0,8.21,7.88,8.21,7.88
02/09/20,317981.0,7.89,7.9,7.9,7.89
03/09/20,20376.0,8.49,8.49,8.49,8.49
04/09/20,109614.0,7.9,8.79,8.8,7.9
07/09/20,19432.0,8.79,8.88,8.9,8.79
09/09/20,17750.0,8.87,8.88,8.88,8.87
10/09/20,35017.0,8.88,8.99,8.99,8.88
11/09/20,63856.0,8.68,9.88,9.88,8.68
14/09/20,294303.0,9.19,9.86,9.86,9.18
15/09/20,978798.0,9.82,8.88,9.82,8.01
16/09/20,39958.0,8.87,9.11,9.11,8.87
17/09/20,157384.0,9.09,9.11,9.11,9.09
18/09/20,188549.0,9.1,9.55,9.68,9.1
21/09/20,211875.0,9.45,9.49,9.49,9.44
22/09/20,51565.0,9.45,9.0,9.49,9.0
23/09/20,130682.0,9.49,9.48,9.49,8.9
24/09/20,362509.0,9.48,9.47,9.49,9.25
25/09/20,70822.0,9.46,9.46,9.46,9.3
28/09/20,112261.0,9.31,9.35,9.47,9.31
29/09/20,119025.0,9.31,9.46,9.46,7.92
30/09/20,156118.0,8.8,9.48,9.48,8.8
01/10/20,1896.0,9.48,9.48,9.48,9.48
02/10/20,94800.0,9.48,9.48,9.48,9.48
05/10/20,60618.0,9.48,9.47,9.48,9.47
06/10/20,4725.0,9.45,9.45,9.45,9.45
07/10/20,101581.0,8.57,9.39,9.39,8.57
09/10/20,19900.0,9.0,9.25,9.25,9.0
12/10/20,2651.0,8.57,8.97,8.97,8.57
13/10/20,53802.0,8.99,9.42,9.42,8.99
16/10/20,101631.0,9.4,9.41,9.42,9.4
19/10/20,638440.0,9.41,9.41,9.49,9.41
20/10/20,245427.0,9.3,9.5,9.5,9.2
21/10/20,232152.0,9.54,9.92,9.92,9.54
22/10/20,202600.0,9.5,9.31,9.7,9.21
