Date,Value,Open,Close,High,Low
03/01/20,8350.0,0.42,0.415,0.42,0.415
06/01/20,4300.0,0.43,0.43,0.43,0.43
07/01/20,176400.0,0.43,0.43,0.43,0.4
08/01/20,296750.0,0.405,0.4,0.425,0.4
10/01/20,29150.0,0.415,0.415,0.42,0.415
14/01/20,16800.0,0.42,0.42,0.42,0.42
15/01/20,12300.0,0.41,0.41,0.41,0.41
16/01/20,4200.0,0.42,0.42,0.42,0.42
17/01/20,82000.0,0.41,0.41,0.41,0.41
20/01/20,45200.0,0.42,0.41,0.42,0.41
22/01/20,1091150.0,0.415,0.42,0.42,0.395
23/01/20,218900.0,0.41,0.405,0.41,0.405
24/01/20,36450.0,0.405,0.405,0.405,0.405
27/01/20,328000.0,0.4,0.4,0.4,0.4
28/01/20,795000.0,0.395,0.4,0.4,0.395
30/01/20,15200.0,0.38,0.38,0.38,0.38
31/01/20,304000.0,0.38,0.38,0.38,0.38
03/02/20,102600.0,0.38,0.38,0.38,0.38
04/02/20,323000.0,0.4,0.405,0.41,0.4
05/02/20,15650.0,0.38,0.395,0.395,0.38
07/02/20,7750.0,0.385,0.39,0.39,0.385
12/02/20,9796150.0,0.395,0.45,0.45,0.395
13/02/20,2642100.0,0.44,0.44,0.465,0.44
14/02/20,304500.0,0.425,0.46,0.46,0.425
17/02/20,82650.0,0.435,0.435,0.435,0.435
18/02/20,324200.0,0.44,0.435,0.44,0.42
19/02/20,105600.0,0.44,0.44,0.44,0.44
20/02/20,30900.0,0.45,0.43,0.45,0.43
21/02/20,5239650.0,0.445,0.455,0.455,0.445
24/02/20,11460450.0,0.44,0.455,0.455,0.435
26/02/20,542500.0,0.45,0.44,0.455,0.44
27/02/20,303450.0,0.435,0.405,0.435,0.395
28/02/20,180500.0,0.41,0.42,0.42,0.405
02/03/20,182000.0,0.41,0.41,0.435,0.41
03/03/20,192600.0,0.41,0.4,0.41,0.395
04/03/20,50950.0,0.395,0.43,0.43,0.395
05/03/20,4000.0,0.4,0.4,0.4,0.4
09/03/20,9865150.0,0.4,0.365,0.4,0.36
10/03/20,14300.0,0.36,0.35,0.36,0.35
11/03/20,2078900.0,0.325,0.34,0.395,0.32
12/03/20,28800.0,0.32,0.32,0.32,0.32
13/03/20,1167900.0,0.3,0.36,0.36,0.3
16/03/20,105000.0,0.35,0.35,0.35,0.35
20/03/20,39600.0,0.3,0.32,0.32,0.3
25/03/20,3000.0,0.3,0.3,0.3,0.3
26/03/20,6200.0,0.31,0.31,0.31,0.31
27/03/20,69300.0,0.315,0.315,0.315,0.315
30/03/20,6100.0,0.305,0.305,0.305,0.305
01/04/20,1082500.0,0.38,0.35,0.38,0.35
02/04/20,19000.0,0.38,0.38,0.38,0.38
06/04/20,59200.0,0.37,0.37,0.37,0.37
07/04/20,361400.0,0.33,0.34,0.365,0.33
13/04/20,3200.0,0.32,0.32,0.32,0.32
14/04/20,89300.0,0.315,0.32,0.32,0.315
16/04/20,700600.0,0.34,0.33,0.34,0.33
17/04/20,6600.0,0.33,0.33,0.33,0.33
22/04/20,644300.0,0.33,0.33,0.33,0.32
23/04/20,320500.0,0.33,0.325,0.33,0.3
24/04/20,3250.0,0.325,0.325,0.325,0.325
27/04/20,681000.0,0.33,0.305,0.33,0.3
28/04/20,41650.0,0.325,0.32,0.325,0.32
29/04/20,6200.0,0.32,0.3,0.32,0.3
30/04/20,69800.0,0.325,0.31,0.325,0.3
04/05/20,129900.0,0.33,0.31,0.33,0.3
05/05/20,24800.0,0.31,0.31,0.31,0.31
06/05/20,18150.0,0.315,0.3,0.315,0.3
08/05/20,69000.0,0.3,0.3,0.3,0.3
11/05/20,3150.0,0.315,0.315,0.315,0.315
13/05/20,405550.0,0.3,0.315,0.315,0.3
14/05/20,2850.0,0.285,0.285,0.285,0.285
18/05/20,303200.0,0.3,0.31,0.31,0.29
19/05/20,140550.0,0.285,0.3,0.3,0.26
20/05/20,31000.0,0.31,0.31,0.31,0.31
22/05/20,101600.0,0.28,0.285,0.285,0.28
26/05/20,79250.0,0.27,0.285,0.29,0.255
27/05/20,5550.0,0.265,0.29,0.29,0.265
28/05/20,5550.0,0.265,0.29,0.29,0.265
02/06/20,17200.0,0.285,0.295,0.295,0.285
03/06/20,65550.0,0.285,0.285,0.285,0.285
04/06/20,256250.0,0.28,0.315,0.32,0.28
08/06/20,70300.0,0.315,0.32,0.32,0.315
17/06/20,183900.0,0.31,0.3,0.31,0.3
18/06/20,6000.0,0.3,0.3,0.3,0.3
19/06/20,18000.0,0.3,0.3,0.3,0.3
22/06/20,178500.0,0.31,0.295,0.31,0.295
24/06/20,14750.0,0.295,0.295,0.295,0.295
26/06/20,94500.0,0.315,0.315,0.315,0.315
01/07/20,153000.0,0.3,0.3,0.3,0.3
03/07/20,145000.0,0.29,0.29,0.29,0.29
07/07/20,60900.0,0.29,0.29,0.29,0.29
10/07/20,14250.0,0.285,0.285,0.285,0.285
13/07/20,5600.0,0.28,0.28,0.28,0.28
14/07/20,98950.0,0.285,0.285,0.305,0.285
15/07/20,17100.0,0.285,0.285,0.285,0.285
17/07/20,15500.0,0.31,0.31,0.31,0.31
20/07/20,2900.0,0.29,0.29,0.29,0.29
22/07/20,31900.0,0.29,0.29,0.29,0.29
23/07/20,281300.0,0.29,0.29,0.29,0.29
24/07/20,90000.0,0.3,0.3,0.3,0.3
27/07/20,8700.0,0.29,0.29,0.29,0.29
28/07/20,292750.0,0.29,0.31,0.34,0.29
29/07/20,8700.0,0.29,0.29,0.29,0.29
30/07/20,124700.0,0.29,0.29,0.29,0.29
03/08/20,258050.0,0.29,0.29,0.29,0.285
05/08/20,26100.0,0.29,0.29,0.29,0.29
07/08/20,26100.0,0.29,0.29,0.29,0.29
10/08/20,30000.0,0.3,0.3,0.3,0.3
11/08/20,30000.0,0.3,0.3,0.3,0.3
12/08/20,60000.0,0.3,0.3,0.3,0.3
13/08/20,90000.0,0.3,0.3,0.3,0.3
18/08/20,14500.0,0.29,0.29,0.29,0.29
19/08/20,20300.0,0.29,0.29,0.29,0.29
20/08/20,170500.0,0.3,0.285,0.3,0.285
25/08/20,17100.0,0.285,0.285,0.285,0.285
26/08/20,8900.0,0.31,0.29,0.31,0.29
27/08/20,8550.0,0.285,0.285,0.285,0.285
02/09/20,19950.0,0.285,0.285,0.285,0.285
04/09/20,28500.0,0.285,0.285,0.285,0.285
07/09/20,171000.0,0.285,0.285,0.285,0.285
08/09/20,5700.0,0.285,0.285,0.285,0.285
09/09/20,42750.0,0.285,0.285,0.285,0.285
11/09/20,22800.0,0.285,0.285,0.285,0.285
15/09/20,3050.0,0.305,0.305,0.305,0.305
16/09/20,8800.0,0.31,0.285,0.31,0.285
17/09/20,43500.0,0.29,0.29,0.29,0.29
18/09/20,59900.0,0.285,0.29,0.29,0.285
21/09/20,5600.0,0.28,0.28,0.28,0.28
22/09/20,22400.0,0.28,0.28,0.28,0.28
23/09/20,69600.0,0.29,0.29,0.29,0.29
24/09/20,44000.0,0.29,0.295,0.295,0.29
28/09/20,105000.0,0.3,0.3,0.3,0.3
29/09/20,73550.0,0.29,0.3,0.3,0.29
30/09/20,30000.0,0.3,0.3,0.3,0.3
07/10/20,3100.0,0.31,0.31,0.31,0.31
08/10/20,178200.0,0.285,0.345,0.345,0.285
09/10/20,13000.0,0.34,0.31,0.34,0.31
13/10/20,288000.0,0.32,0.32,0.32,0.32
14/10/20,19200.0,0.32,0.32,0.32,0.32
15/10/20,160000.0,0.32,0.32,0.32,0.32
19/10/20,6400.0,0.32,0.32,0.32,0.32
20/10/20,16000.0,0.32,0.32,0.32,0.32
21/10/20,64000.0,0.32,0.32,0.32,0.32
22/10/20,91500.0,0.32,0.33,0.33,0.32
23/10/20,16600.0,0.34,0.33,0.34,0.33
