Date,Value,Open,Close,High,Low
02/01/20,2531320.0,5.0,5.0,5.0,4.8
03/01/20,117641.0,4.52,5.14,5.14,4.51
08/01/20,1028.0,5.14,5.14,5.14,5.14
14/01/20,90826.0,4.46,4.75,5.0,4.46
15/01/20,9000.0,4.5,4.5,4.5,4.5
16/01/20,41400.0,4.6,4.6,4.6,4.6
17/01/20,54180.0,4.52,4.51,4.52,4.51
21/01/20,249230.0,4.51,4.44,4.51,4.43
22/01/20,205330.0,4.41,4.31,4.41,4.3
23/01/20,42600.0,4.26,4.26,4.26,4.26
24/01/20,4900.0,4.9,4.9,4.9,4.9
27/01/20,8600.0,4.3,4.3,4.3,4.3
28/01/20,4300.0,4.3,4.3,4.3,4.3
29/01/20,38700.0,4.3,4.3,4.3,4.3
31/01/20,63900.0,4.26,4.26,4.26,4.26
04/02/20,22900.0,4.8,4.5,4.8,4.5
05/02/20,9500.0,4.9,4.6,4.9,4.6
06/02/20,22750.0,4.55,4.55,4.55,4.55
07/02/20,14340.0,4.8,4.69,4.85,4.69
10/02/20,9000.0,4.5,4.5,4.5,4.5
11/02/20,112790.0,4.0,4.5,4.5,4.0
17/02/20,48400.0,4.4,4.4,4.4,4.4
19/02/20,24000.0,4.8,4.8,4.8,4.8
26/02/20,8040.0,4.02,4.02,4.02,4.02
28/02/20,32080.0,4.03,3.97,4.03,3.97
02/03/20,393810.0,4.0,4.7,4.7,3.9
03/03/20,9400.0,4.7,4.7,4.7,4.7
09/03/20,26740.0,4.0,4.55,4.55,4.0
10/03/20,78000.0,3.45,3.75,4.4,3.45
11/03/20,165500.0,3.25,4.17,4.17,3.2
12/03/20,70590.0,3.26,3.95,3.95,3.26
13/03/20,73890.0,3.21,3.22,3.22,3.2
19/03/20,80400.0,3.2,3.2,3.2,3.0
20/03/20,12640.0,3.1,3.22,3.22,3.1
23/03/20,19720.0,3.22,4.5,4.5,3.22
24/03/20,146810.0,4.3,4.0,4.3,3.25
25/03/20,19570.0,3.8,3.99,3.99,3.8
26/03/20,19800.0,3.96,3.96,3.96,3.96
27/03/20,50420.0,3.93,3.8,3.93,3.8
30/03/20,45990.0,3.8,3.94,3.94,3.8
31/03/20,207520.0,3.94,4.0,4.0,3.9
01/04/20,4000.0,4.0,4.0,4.0,4.0
06/04/20,3990.0,3.99,3.99,3.99,3.99
07/04/20,25180.0,3.41,4.0,4.0,3.41
08/04/20,18780.0,3.6,3.99,3.99,3.6
13/04/20,171360.0,3.35,3.55,3.55,3.34
