Date,Value,Open,Close,High,Low
02/01/20,3574365.0,35.0,35.7,36.0,34.5
03/01/20,8878560.0,35.7,36.0,36.7,35.7
06/01/20,13191310.0,36.1,35.7,36.25,35.7
07/01/20,5477415.0,36.65,34.85,36.65,34.75
08/01/20,7427005.0,34.85,34.25,34.85,34.2
09/01/20,5993075.0,34.25,34.05,34.8,34.05
10/01/20,16865145.0,34.95,33.85,34.95,33.7
14/01/20,15932570.0,34.0,33.2,34.0,33.05
15/01/20,21049485.0,33.2,32.1,33.95,32.1
16/01/20,15568810.0,32.1,31.8,32.35,31.8
17/01/20,18708000.0,31.8,31.7,31.85,31.5
20/01/20,4618700.0,31.65,31.7,32.25,31.5
21/01/20,9777135.0,31.7,31.15,32.0,31.05
22/01/20,14660645.0,31.2,31.15,31.3,31.0
23/01/20,28688640.0,31.1,30.8,31.35,30.8
24/01/20,29473810.0,30.95,31.2,31.4,30.8
27/01/20,19591350.0,31.95,33.0,33.2,31.9
28/01/20,24594270.0,33.3,33.6,34.3,33.1
29/01/20,13516645.0,33.95,32.2,34.05,32.2
30/01/20,5970235.0,32.2,32.2,32.85,32.05
31/01/20,15837305.0,32.25,31.8,32.4,31.35
03/02/20,6787590.0,31.6,31.3,31.6,30.8
04/02/20,5740735.0,31.3,31.15,31.5,31.1
05/02/20,2689305.0,31.3,31.25,32.0,31.05
06/02/20,4331105.0,31.7,31.6,32.0,31.5
07/02/20,3716875.0,31.6,32.05,32.9,31.6
10/02/20,27927705.0,32.0,32.4,32.5,31.8
11/02/20,5685590.0,32.05,32.0,33.0,31.8
12/02/20,3159925.0,32.45,31.8,32.45,31.8
13/02/20,3906770.0,31.8,31.85,32.4,31.6
14/02/20,8686955.0,32.0,32.0,32.2,32.0
17/02/20,11997765.0,32.0,31.9,32.2,31.9
18/02/20,15577240.0,31.95,32.0,32.05,31.95
19/02/20,28442010.0,32.15,32.0,32.25,31.85
20/02/20,7054925.0,32.45,32.95,33.5,32.45
21/02/20,14982790.0,33.0,31.85,33.15,31.85
24/02/20,5456955.0,31.85,31.2,31.85,31.15
26/02/20,8273055.0,31.15,30.0,31.15,28.9
27/02/20,10059510.0,30.2,29.9,30.5,29.7
28/02/20,15129110.0,29.9,29.25,30.0,28.55
02/03/20,5456370.0,28.65,28.25,28.65,27.9
03/03/20,10152535.0,28.6,28.15,28.6,28.1
04/03/20,15182175.0,28.15,28.15,28.25,27.85
05/03/20,13586935.0,28.2,28.2,28.35,28.1
06/03/20,5023150.0,28.95,28.0,28.95,28.0
09/03/20,4343185.0,28.0,26.9,28.0,26.4
10/03/20,3749735.0,26.5,26.9,27.35,25.0
11/03/20,1559055.0,27.8,27.5,28.0,27.0
12/03/20,23773400.0,27.7,25.6,27.7,25.5
13/03/20,27026590.0,25.0,24.35,25.0,22.0
16/03/20,3774325.0,24.15,24.0,24.35,23.0
19/03/20,13377770.0,23.0,20.45,23.0,19.9
20/03/20,8338353.0,24.7,20.0,24.7,19.0
23/03/20,14047296.0,20.0,18.6,20.0,18.5
24/03/20,44742660.0,20.8,18.54,20.9,18.5
25/03/20,7910892.0,18.8,19.24,19.46,18.8
26/03/20,2805867.0,19.46,19.98,20.05,19.42
27/03/20,14316815.0,20.0,20.0,21.5,19.82
30/03/20,1836576.0,21.0,19.62,21.0,19.62
31/03/20,14373375.0,20.1,20.05,20.75,19.9
01/04/20,26853342.0,20.2,19.42,20.95,19.42
02/04/20,6704820.0,19.44,19.12,19.44,18.8
03/04/20,58295204.0,19.12,19.0,19.2,18.9
06/04/20,7178658.0,19.46,19.4,19.5,19.08
07/04/20,9077000.0,19.52,19.82,20.2,19.52
08/04/20,28942460.0,19.98,19.86,20.15,19.6
13/04/20,13601480.0,20.0,21.0,21.9,20.0
14/04/20,15838310.0,21.1,22.85,23.3,21.1
15/04/20,49785940.0,23.0,24.0,24.2,23.0
16/04/20,19435715.0,23.9,23.8,24.0,22.5
17/04/20,27657605.0,23.8,24.75,24.8,23.8
20/04/20,8276175.0,25.1,24.9,25.6,24.55
21/04/20,11695140.0,24.6,24.2,24.6,23.5
22/04/20,4525540.0,23.7,23.5,23.7,23.0
23/04/20,6041025.0,23.6,23.4,24.5,23.05
24/04/20,1614620.0,23.4,23.5,23.9,23.4
27/04/20,4105520.0,23.4,22.75,23.5,22.6
28/04/20,1515900.0,22.85,23.15,23.25,22.8
29/04/20,247330.0,23.15,23.4,23.4,23.15
30/04/20,3641100.0,23.5,23.8,24.0,23.5
04/05/20,5783505.0,23.5,22.85,23.5,22.8
05/05/20,931460.0,22.85,22.9,23.5,22.8
06/05/20,1738150.0,23.0,23.1,23.3,22.8
07/05/20,1777170.0,23.15,22.6,23.15,22.6
08/05/20,1906360.0,23.15,22.85,23.15,22.75
11/05/20,1241885.0,22.85,22.85,23.1,22.75
12/05/20,5186795.0,22.8,22.25,22.8,22.2
13/05/20,4780415.0,23.0,21.75,23.0,21.7
14/05/20,9953340.0,22.4,21.0,22.4,20.75
15/05/20,9317455.0,21.0,20.5,22.1,20.5
18/05/20,1166525.0,21.2,20.5,21.2,20.4
19/05/20,11339395.0,20.85,20.75,21.1,20.75
20/05/20,13947460.0,21.2,20.2,21.2,19.12
21/05/20,4985990.0,20.45,20.05,20.75,20.0
22/05/20,3554050.0,20.1,20.0,20.55,20.0
26/05/20,2475970.0,20.3,19.56,20.5,19.5
27/05/20,1799416.0,19.7,19.62,19.7,19.5
28/05/20,1713463.0,19.7,20.75,20.8,19.7
29/05/20,3552670.0,20.85,21.5,21.95,20.8
01/06/20,4667585.0,21.75,21.7,21.9,21.6
02/06/20,6186070.0,22.0,21.3,22.0,21.3
03/06/20,10266930.0,21.3,22.8,22.8,21.3
04/06/20,36458870.0,23.0,23.1,24.2,22.95
05/06/20,18946905.0,23.9,23.45,23.9,22.5
08/06/20,36685395.0,23.8,23.3,23.9,22.2
