Date,Value,Open,Close,High,Low
28/01/20,26499.0,8.03,8.03,8.03,8.03
29/01/20,121690.0,8.03,8.0,8.03,8.0
06/02/20,27394.0,8.97,8.0,8.97,8.0
10/02/20,16000.0,8.0,8.0,8.0,8.0
12/02/20,1792.0,8.96,8.96,8.96,8.96
13/02/20,800.0,8.0,8.0,8.0,8.0
14/02/20,896.0,8.96,8.96,8.96,8.96
17/02/20,4466.0,8.96,8.84,8.96,8.84
18/02/20,894.0,8.94,8.94,8.94,8.94
19/02/20,9301.0,8.01,8.5,8.5,8.01
28/02/20,11282.0,8.6,8.94,8.94,8.6
02/03/20,7349082.0,8.94,8.0,8.94,8.0
06/03/20,51361126.0,8.0,7.98,8.0,7.98
09/03/20,74214.0,7.98,7.98,7.98,7.98
11/03/20,1324660.0,7.98,7.9,7.98,7.9
12/03/20,79000.0,7.9,7.9,7.9,7.9
13/03/20,17592.0,7.9,8.96,8.96,7.9
16/03/20,7840.0,7.84,7.84,7.84,7.84
19/03/20,11760.0,7.84,7.84,7.84,7.84
20/03/20,6080.0,7.6,7.6,7.6,7.6
25/03/20,3800.0,7.6,7.6,7.6,7.6
27/03/20,3800.0,7.6,7.6,7.6,7.6
31/03/20,4850.0,8.0,8.5,8.5,8.0
06/04/20,25810.0,7.8,8.5,8.5,7.8
13/04/20,8500.0,8.5,8.5,8.5,8.5
27/05/20,705.0,7.05,7.05,7.05,7.05
28/05/20,5873.0,8.39,8.39,8.39,8.39
01/06/20,3000.0,7.5,7.5,7.5,7.5
04/06/20,8200.0,8.2,8.2,8.2,8.2
05/06/20,368800.0,8.0,8.0,8.0,8.0
15/06/20,4039.0,8.0,8.39,8.39,8.0
30/06/20,839.0,8.39,8.39,8.39,8.39
03/07/20,444010.0,8.01,8.0,8.01,8.0
06/07/20,1522.0,7.61,7.61,7.61,7.61
08/07/20,10023.0,7.71,7.71,7.71,7.71
28/07/20,1582368.0,7.89,7.9,7.9,7.89
29/07/20,1975000.0,7.9,7.9,7.9,7.9
30/07/20,790.0,7.9,7.9,7.9,7.9
04/08/20,380000.0,7.6,7.6,7.6,7.6
12/08/20,23560.0,7.6,7.6,7.6,7.6
17/08/20,2142440.0,7.6,7.6,7.6,7.6
28/08/20,3945.0,7.89,7.89,7.89,7.89
18/09/20,1578.0,7.89,7.89,7.89,7.89
14/10/20,113661.0,7.11,7.89,7.89,7.05
16/10/20,789.0,7.89,7.89,7.89,7.89
21/10/20,789.0,7.89,7.89,7.89,7.89
22/10/20,844760.0,7.07,7.38,7.38,7.07
23/10/20,98344.0,7.79,7.06,7.79,7.06
26/10/20,359019.0,7.05,7.05,7.07,7.05
27/10/20,12180.0,7.45,7.05,7.45,7.05
29/10/20,35040.0,7.05,7.0,7.05,7.0
30/10/20,712245.0,7.0,7.0,7.0,6.6
03/11/20,11200.0,7.0,7.0,7.0,7.0
04/11/20,85917.0,6.65,6.89,6.89,6.65
06/11/20,2100.0,7.0,7.0,7.0,7.0
09/11/20,69825.0,6.65,6.65,6.65,6.65
10/11/20,9398.0,7.24,7.1,7.24,7.1
11/11/20,85572.0,6.64,6.8,6.8,6.64
13/11/20,41430.0,6.8,6.7,6.8,6.7
16/11/20,101230.0,7.24,6.75,7.24,6.7
17/11/20,14894.0,6.77,6.77,6.77,6.77
18/11/20,294131.0,6.77,6.66,7.19,6.66
19/11/20,55944.0,6.66,6.66,6.66,6.66
20/11/20,8026.0,6.66,7.0,7.0,6.66
23/11/20,44630.0,6.7,6.9,6.9,6.7
24/11/20,30756.0,6.99,6.99,6.99,6.99
26/11/20,28660.0,6.9,6.7,6.9,6.7
27/11/20,28914.0,6.71,6.95,6.95,6.71
03/12/20,30150.0,6.7,6.7,6.7,6.7
04/12/20,41610.0,6.7,6.8,6.9,6.7
07/12/20,2720.0,6.8,6.8,6.8,6.8
09/12/20,690.0,6.9,6.9,6.9,6.9
10/12/20,8170.0,6.8,6.9,6.9,6.8
11/12/20,27600.0,6.9,6.9,6.9,6.9
15/12/20,17130.0,6.85,6.9,6.9,6.85
16/12/20,89337.0,6.9,7.0,7.0,6.9
17/12/20,60264.0,7.0,7.3,7.39,7.0
18/12/20,72785.0,7.15,7.2,7.44,7.15
21/12/20,21000.0,7.0,7.0,7.0,7.0
22/12/20,8970.0,6.9,6.9,6.9,6.9
23/12/20,690.0,6.9,6.9,6.9,6.9
28/12/20,14119.0,6.71,6.99,6.99,6.71
29/12/20,295579.0,6.7,7.4,7.4,6.7
04/01/21,14520.0,7.0,7.0,7.0,6.8
05/01/21,13690.0,6.71,6.98,6.98,6.71
06/01/21,51648.0,6.71,6.7,6.72,6.7
07/01/21,679077.0,6.71,6.79,6.8,6.7
08/01/21,100762.0,6.71,6.8,7.0,6.7
11/01/21,6710.0,6.8,6.7,6.8,6.7
