Date,Value,Open,Close,High,Low
03/01/20,59350.0,0.31,0.31,0.32,0.31
06/01/20,99400.0,0.32,0.325,0.325,0.315
07/01/20,29250.0,0.325,0.325,0.325,0.325
09/01/20,32400.0,0.325,0.315,0.325,0.315
10/01/20,3100.0,0.31,0.31,0.31,0.31
14/01/20,412550.0,0.31,0.335,0.34,0.31
15/01/20,387450.0,0.325,0.345,0.355,0.325
16/01/20,92800.0,0.345,0.33,0.345,0.325
17/01/20,3450.0,0.345,0.345,0.345,0.345
21/01/20,52400.0,0.33,0.335,0.335,0.325
22/01/20,26852750.0,0.335,0.365,0.385,0.335
23/01/20,3464350.0,0.375,0.38,0.41,0.37
24/01/20,328550.0,0.37,0.365,0.37,0.36
27/01/20,159850.0,0.355,0.345,0.355,0.34
28/01/20,38500.0,0.35,0.35,0.35,0.35
29/01/20,158400.0,0.34,0.335,0.34,0.335
30/01/20,256200.0,0.33,0.31,0.33,0.3
31/01/20,115150.0,0.32,0.32,0.32,0.315
03/02/20,40300.0,0.31,0.31,0.31,0.31
04/02/20,38400.0,0.32,0.32,0.32,0.32
05/02/20,174750.0,0.32,0.31,0.32,0.31
07/02/20,45850.0,0.305,0.31,0.31,0.305
10/02/20,73200.0,0.305,0.305,0.305,0.305
11/02/20,27900.0,0.31,0.31,0.31,0.31
12/02/20,186050.0,0.305,0.305,0.305,0.305
13/02/20,116400.0,0.31,0.305,0.31,0.305
14/02/20,74400.0,0.31,0.31,0.31,0.31
17/02/20,40300.0,0.31,0.31,0.31,0.31
18/02/20,44800.0,0.32,0.32,0.32,0.32
19/02/20,15900.0,0.315,0.32,0.32,0.315
20/02/20,148900.0,0.32,0.31,0.32,0.31
21/02/20,6200.0,0.31,0.31,0.31,0.31
24/02/20,61200.0,0.31,0.305,0.31,0.305
26/02/20,221700.0,0.305,0.29,0.305,0.29
27/02/20,58000.0,0.29,0.29,0.29,0.29
02/03/20,475600.0,0.285,0.27,0.285,0.265
03/03/20,157600.0,0.27,0.3,0.3,0.27
04/03/20,3578700.0,0.295,0.325,0.37,0.295
05/03/20,658800.0,0.325,0.34,0.34,0.325
06/03/20,390200.0,0.34,0.31,0.34,0.305
09/03/20,452050.0,0.33,0.27,0.33,0.27
10/03/20,114500.0,0.27,0.27,0.295,0.27
