Date,Value,Open,Close,High,Low
02/01/20,154067.0,57.5,57.5,57.5,57.45
03/01/20,119582.0,57.5,57.5,57.5,57.1
06/01/20,41895.0,57.5,57.3,57.5,57.3
07/01/20,56801.5,57.3,57.5,57.5,57.3
08/01/20,6334.0,57.5,58.4,58.4,57.5
09/01/20,1168.0,58.4,58.4,58.4,58.4
10/01/20,67467.5,57.4,57.1,57.4,57.05
14/01/20,52143.0,57.2,58.2,58.2,57.1
15/01/20,9860.0,58.0,58.0,58.0,58.0
16/01/20,59981.5,57.8,58.0,58.0,57.0
17/01/20,1277532.5,58.0,57.8,58.0,57.8
20/01/20,601642.5,58.25,58.0,58.45,58.0
21/01/20,451208.0,58.45,58.7,59.25,58.45
22/01/20,679508.5,58.7,58.6,59.15,58.25
23/01/20,759704.5,59.2,58.8,59.2,58.6
24/01/20,554087.0,59.0,59.2,59.25,58.85
27/01/20,2327854.5,59.25,60.05,60.5,59.25
28/01/20,721717.0,54.9,54.0,54.9,50.35
29/01/20,56300.5,54.0,54.6,57.0,54.0
30/01/20,163413.0,55.9,53.3,55.9,53.3
31/01/20,274511.0,56.85,53.4,56.85,53.0
03/02/20,245123.5,53.0,53.45,53.45,52.0
04/02/20,96301.0,53.0,51.6,53.0,51.55
05/02/20,126836.0,51.8,51.5,55.65,51.4
06/02/20,32030.0,51.5,51.75,51.75,51.5
10/02/20,62915.5,52.0,51.85,52.0,51.85
11/02/20,62716.5,51.85,51.5,54.3,51.5
12/02/20,9290.0,51.6,51.7,51.7,51.6
13/02/20,16512.0,51.6,51.6,51.6,51.6
14/02/20,23254.0,53.8,51.5,53.8,51.5
17/02/20,541.0,54.1,54.1,54.1,54.1
19/02/20,49917.0,53.8,53.4,53.8,51.7
20/02/20,43430.0,51.7,51.8,51.8,51.7
21/02/20,97609.0,51.7,52.45,52.5,51.35
24/02/20,24395.5,52.2,52.15,52.2,51.8
26/02/20,963295.0,51.35,51.2,53.4,51.2
27/02/20,71539.0,51.3,51.0,51.3,51.0
28/02/20,119109.0,50.5,50.0,52.2,50.0
02/03/20,87920.0,50.0,50.0,51.0,49.0
03/03/20,24865.0,51.9,50.4,51.9,50.0
05/03/20,18143.5,50.35,51.4,51.4,50.0
06/03/20,36535.0,50.05,50.05,50.05,50.0
09/03/20,184868.5,50.05,49.5,50.05,46.0
10/03/20,38530.0,47.0,49.3,49.4,47.0
11/03/20,24500.0,49.0,49.0,49.0,49.0
12/03/20,93540.0,49.0,45.1,49.0,45.1
13/03/20,75240.0,45.0,43.95,45.0,34.05
16/03/20,60585.0,43.95,40.15,43.95,40.1
19/03/20,74545.0,40.15,38.0,40.15,38.0
20/03/20,315095.0,36.55,36.0,39.0,36.0
25/03/20,213715.0,36.05,34.2,36.15,34.2
26/03/20,70660.0,38.95,38.5,40.0,36.0
27/03/20,26095.0,38.5,45.75,46.15,38.5
30/03/20,40330.0,45.4,44.65,45.4,44.65
01/04/20,17960.0,44.9,44.9,44.9,44.9
02/04/20,25490.0,42.5,42.45,42.5,42.45
03/04/20,101710.0,42.45,42.0,42.45,42.0
06/04/20,4200.0,42.0,42.0,42.0,42.0
07/04/20,13185.0,43.95,43.95,43.95,43.95
08/04/20,34780.0,43.5,43.45,43.5,43.45
13/04/20,12900.0,43.0,43.0,43.0,43.0
14/04/20,68780.0,43.0,43.0,43.0,42.95
15/04/20,78150.0,42.5,44.0,44.0,42.1
16/04/20,57135.0,43.95,43.95,43.95,43.95
20/04/20,59680.0,43.0,42.5,43.0,42.5
21/04/20,84150.0,42.5,42.0,42.5,42.0
22/04/20,209045.0,42.5,41.0,42.5,41.0
23/04/20,535580.0,41.1,40.7,41.1,40.7
24/04/20,103735.0,41.2,41.0,42.45,41.0
27/04/20,333670.0,41.0,40.1,41.0,40.1
28/04/20,149830.0,40.5,40.5,40.5,40.45
29/04/20,259160.0,42.45,42.5,42.5,42.45
30/04/20,621890.0,42.5,43.9,43.9,42.5
04/05/20,81800.0,43.1,43.0,43.25,43.0
05/05/20,8690.0,43.45,43.45,43.45,43.45
06/05/20,17140.0,43.45,42.65,43.45,42.65
07/05/20,25590.0,42.65,42.65,42.65,42.65
08/05/20,124540.0,42.7,42.7,43.5,42.7
11/05/20,247590.0,42.7,42.7,42.7,42.65
12/05/20,47160.0,42.7,43.0,43.5,42.0
14/05/20,73395.0,43.45,43.45,43.45,42.6
15/05/20,97290.0,42.1,42.15,42.5,42.1
19/05/20,34095.0,42.0,43.45,43.45,42.0
21/05/20,86985.0,43.5,43.5,43.5,43.45
22/05/20,142035.0,43.45,43.0,43.5,42.95
26/05/20,211030.0,43.5,43.05,43.5,43.0
28/05/20,34800.0,43.5,43.5,43.5,43.5
29/05/20,43500.0,43.5,43.5,43.5,43.5
01/06/20,35150.0,43.5,44.0,44.0,43.5
02/06/20,30800.0,44.0,44.0,44.0,44.0
03/06/20,145410.0,44.0,44.25,44.25,44.0
04/06/20,71660.0,44.8,52.0,53.0,44.8
05/06/20,906526.5,52.0,48.0,52.0,47.5
08/06/20,151830.0,49.3,49.0,49.3,48.8
09/06/20,38895.0,46.3,49.25,49.45,46.3
10/06/20,48660.0,48.5,48.3,49.0,48.3
11/06/20,90405.0,48.0,47.2,48.85,47.15
15/06/20,193105.0,48.35,47.0,48.35,47.0
16/06/20,47100.0,47.1,47.1,47.1,47.1
17/06/20,28275.0,47.25,47.1,47.25,47.1
18/06/20,9465.0,47.15,47.5,47.5,47.15
19/06/20,43420.0,49.45,48.25,49.45,48.0
22/06/20,53820.0,48.2,49.0,49.0,48.2
23/06/20,28780.0,48.05,47.9,48.05,47.9
24/06/20,24250.0,47.9,49.3,49.3,47.9
25/06/20,14775.0,49.25,49.25,49.25,49.25
26/06/20,97605.0,49.25,48.8,49.25,48.6
29/06/20,125525.0,48.5,48.45,48.5,48.05
30/06/20,43630.0,48.5,48.15,49.0,48.15
01/07/20,72305.0,48.3,48.2,48.3,48.15
02/07/20,33830.0,48.2,48.95,48.95,48.05
03/07/20,91635.0,48.95,48.0,48.95,48.0
06/07/20,360330.0,48.95,47.2,48.95,47.0
07/07/20,522230.0,47.2,47.0,47.5,47.0
08/07/20,423195.0,47.25,47.85,47.85,47.0
09/07/20,28710.0,47.85,47.85,47.85,47.85
10/07/20,9590.0,47.95,47.95,47.95,47.95
13/07/20,62360.0,47.95,47.95,48.0,47.95
14/07/20,9590.0,47.95,47.95,47.95,47.95
15/07/20,57590.0,47.95,48.0,48.0,47.95
17/07/20,499135.0,47.3,47.15,48.0,47.0
20/07/20,56760.0,47.5,47.2,47.5,47.2
21/07/20,245180.0,47.5,47.05,48.0,47.05
22/07/20,33570.0,47.95,47.95,48.0,47.95
23/07/20,61185.0,47.1,47.05,47.1,47.05
24/07/20,9470.0,47.2,47.5,47.5,47.2
