Date,Value,Open,Close,High,Low
02/01/20,72394.0,10.08,10.0,10.08,9.86
03/01/20,341138.0,10.08,10.06,10.08,10.0
06/01/20,486815.0,10.0,10.0,10.0,9.85
07/01/20,9024.0,10.06,10.0,10.06,10.0
08/01/20,65960.0,10.02,10.0,10.02,9.85
09/01/20,59234.0,9.86,10.0,10.0,9.86
10/01/20,36460.0,9.85,10.0,10.0,9.85
14/01/20,38790.0,9.62,9.98,9.98,9.6
15/01/20,112000.0,10.0,10.0,10.0,10.0
16/01/20,8833.0,9.97,9.62,9.97,9.62
17/01/20,50226.0,9.61,9.96,9.96,9.61
20/01/20,2169253.0,9.96,10.0,10.0,9.62
21/01/20,76484.0,9.61,9.91,9.91,9.61
22/01/20,49427.0,9.62,9.95,9.95,9.62
23/01/20,60894.0,9.85,9.95,9.95,9.66
24/01/20,20531.0,9.67,9.95,9.95,9.67
27/01/20,1334432.0,9.95,9.94,9.95,9.6
28/01/20,192134.0,9.71,9.93,9.93,9.48
29/01/20,18512.0,9.61,9.7,9.8,9.61
30/01/20,69153.0,9.8,9.9,9.94,9.75
31/01/20,71805.0,9.85,9.8,9.85,9.8
03/02/20,19400.0,9.7,9.7,9.7,9.7
04/02/20,1761578.0,9.8,9.9,9.9,9.8
05/02/20,130332.0,9.9,9.95,9.97,9.62
06/02/20,89146.0,9.96,9.94,9.96,9.8
07/02/20,49261.0,9.99,9.97,9.99,9.8
10/02/20,510812.0,9.97,10.0,10.0,9.9
11/02/20,331469.0,10.0,9.99,10.0,9.8
12/02/20,145567.0,10.0,9.77,10.0,9.61
13/02/20,178560.0,9.66,9.7,9.87,9.61
14/02/20,58384.0,9.75,9.74,9.75,9.7
17/02/20,104876.0,9.75,9.7,9.79,9.62
18/02/20,93294.0,9.94,9.8,9.94,9.7
19/02/20,102695.0,9.8,9.7,9.8,9.65
20/02/20,122625.0,9.7,9.7,9.7,9.64
21/02/20,192736.0,9.7,9.7,9.7,9.63
24/02/20,955559.0,9.64,9.4,9.65,9.4
26/02/20,607340.0,9.7,9.4,9.7,9.0
27/02/20,31068.0,9.5,9.68,9.68,9.4
28/02/20,97246.0,9.05,9.9,9.9,8.8
