Date,Value,Open,Close,High,Low
02/01/20,845908.0,11.94,12.0,12.0,11.6
03/01/20,350812.0,11.62,12.0,12.0,11.62
06/01/20,69180.0,12.0,11.9,12.0,11.72
07/01/20,768568.0,11.9,12.0,12.0,11.72
08/01/20,76896.0,11.76,11.9,11.9,11.76
09/01/20,518640.0,11.88,11.9,11.9,11.8
10/01/20,405052.0,11.7,11.98,11.98,11.7
14/01/20,258610.0,11.9,11.98,11.98,11.88
15/01/20,366500.0,11.8,12.0,12.0,11.8
16/01/20,296046.0,11.96,12.0,12.0,11.94
17/01/20,186696.0,12.0,12.0,12.0,11.82
20/01/20,199932.0,11.94,11.98,11.98,11.94
21/01/20,1002946.0,12.0,11.92,12.0,11.72
22/01/20,119890.0,11.7,11.98,11.98,11.7
23/01/20,518868.0,11.8,11.98,11.98,11.78
24/01/20,434352.0,11.72,11.96,11.98,11.72
27/01/20,256388.0,11.8,11.94,11.94,11.78
28/01/20,660500.0,11.92,11.92,11.92,11.74
29/01/20,207362.0,11.9,11.94,11.94,11.9
30/01/20,332162.0,11.94,11.94,11.94,11.62
31/01/20,768646.0,11.8,11.9,11.92,11.3
03/02/20,576302.0,11.9,11.9,11.9,11.44
04/02/20,1241534.0,11.3,11.84,11.84,11.3
05/02/20,653942.0,11.84,11.84,11.84,11.54
06/02/20,901540.0,11.84,11.84,11.84,11.56
07/02/20,1674810.0,11.6,11.94,11.94,11.6
10/02/20,440170.0,11.62,11.9,11.9,11.62
11/02/20,309808.0,11.7,11.9,11.9,11.68
12/02/20,923820.0,11.52,11.76,11.76,11.46
13/02/20,440034.0,11.32,11.86,11.86,11.32
14/02/20,363272.0,11.86,11.9,11.9,11.6
17/02/20,469004.0,11.66,11.84,11.84,11.64
18/02/20,905974.0,11.58,11.8,11.8,11.58
19/02/20,1242734.0,11.58,11.8,11.8,11.5
20/02/20,690696.0,11.58,11.8,11.8,11.58
21/02/20,2027100.0,11.6,11.78,11.78,11.6
24/02/20,1230688.0,11.32,11.2,11.6,11.2
26/02/20,3715048.0,11.2,10.86,11.2,10.28
27/02/20,3917666.0,10.62,10.68,10.68,10.56
28/02/20,1135860.0,10.62,10.62,10.62,10.38
02/03/20,2660684.0,10.42,10.24,10.42,10.12
03/03/20,107960.0,10.36,10.5,10.5,10.36
04/03/20,748600.0,10.2,10.48,10.48,10.2
05/03/20,1717896.0,10.18,10.5,10.5,10.18
06/03/20,1912594.0,10.22,10.4,10.5,10.22
09/03/20,499326.0,10.24,10.18,10.24,10.0
10/03/20,1504636.0,10.0,10.08,10.08,10.0
11/03/20,561495.0,9.55,10.0,10.16,9.55
12/03/20,1976320.0,9.52,9.88,9.94,9.5
13/03/20,2529087.0,9.0,9.64,9.8,6.61
16/03/20,2439274.0,9.6,9.77,9.8,8.8
19/03/20,278676.0,9.5,9.45,9.5,9.3
20/03/20,3675416.0,9.0,9.7,9.7,9.0
