Date,Value,Open,Close,High,Low
02/01/20,134030.0,0.8,0.84,0.84,0.78
03/01/20,313780.0,0.82,0.84,0.85,0.8
06/01/20,31200.0,0.85,0.86,0.88,0.85
07/01/20,1309190.0,0.88,1.01,1.03,0.85
08/01/20,848780.0,1.0,1.02,1.05,0.95
09/01/20,567710.0,1.01,1.02,1.02,0.97
10/01/20,203730.0,0.99,0.98,1.02,0.98
14/01/20,144790.0,0.98,0.97,0.98,0.96
15/01/20,313810.0,0.97,1.0,1.01,0.94
16/01/20,770190.0,0.96,1.04,1.05,0.96
17/01/20,816900.0,1.05,1.04,1.07,1.01
20/01/20,2210800.0,1.04,1.11,1.11,1.01
21/01/20,16259740.0,1.12,1.27,1.35,1.12
22/01/20,33955370.0,1.5,1.4,1.56,1.33
23/01/20,7547430.0,1.41,1.3,1.48,1.26
24/01/20,6743450.0,1.31,1.25,1.35,1.19
27/01/20,8687700.0,1.22,1.26,1.4,1.14
28/01/20,3247720.0,1.29,1.14,1.3,1.14
29/01/20,2357330.0,1.16,1.14,1.24,1.1
30/01/20,2799100.0,1.21,1.08,1.23,1.06
31/01/20,3525710.0,1.12,1.0,1.12,0.91
03/02/20,16259230.0,0.99,1.5,1.5,0.91
04/02/20,54826250.0,1.74,1.29,1.8,1.21
05/02/20,14279780.0,1.36,1.38,1.46,1.28
06/02/20,8107050.0,1.38,1.33,1.43,1.3
07/02/20,6294950.0,1.33,1.2,1.36,1.19
10/02/20,9129560.0,1.2,1.34,1.37,1.2
11/02/20,5383370.0,1.34,1.28,1.37,1.24
12/02/20,2020730.0,1.28,1.24,1.31,1.23
13/02/20,4584690.0,1.24,1.14,1.27,1.1
14/02/20,2089350.0,1.14,1.15,1.24,1.14
17/02/20,2993670.0,1.15,1.21,1.25,1.12
18/02/20,984930.0,1.21,1.17,1.25,1.15
19/02/20,508570.0,1.17,1.2,1.23,1.15
20/02/20,939690.0,1.22,1.17,1.22,1.15
21/02/20,1357630.0,1.16,1.17,1.17,1.13
24/02/20,2190800.0,1.17,1.06,1.17,1.06
26/02/20,1459830.0,1.05,1.05,1.06,1.0
27/02/20,1048620.0,1.05,1.08,1.15,1.02
28/02/20,1127020.0,1.07,1.08,1.08,1.0
02/03/20,1246800.0,1.08,1.04,1.08,1.0
03/03/20,1224300.0,1.05,1.06,1.09,1.02
04/03/20,1011690.0,1.05,1.0,1.06,0.96
05/03/20,360330.0,1.0,1.0,1.04,0.99
06/03/20,593280.0,1.0,0.96,1.01,0.96
09/03/20,1385020.0,0.95,0.81,0.95,0.81
10/03/20,689190.0,0.78,0.86,0.88,0.72
11/03/20,659840.0,0.85,0.83,0.92,0.83
12/03/20,803040.0,0.83,0.71,0.83,0.71
13/03/20,505540.0,0.7,0.71,0.71,0.5
16/03/20,49350.0,0.7,0.66,0.7,0.66
19/03/20,102300.0,0.62,0.56,0.63,0.55
20/03/20,75300.0,0.57,0.55,0.58,0.55
23/03/20,213570.0,0.56,0.63,0.63,0.56
24/03/20,102530.0,0.63,0.67,0.7,0.6
25/03/20,648850.0,0.74,0.74,0.77,0.6
26/03/20,1321110.0,0.78,0.83,0.85,0.77
27/03/20,842210.0,0.86,0.78,0.88,0.76
30/03/20,332080.0,0.7,0.73,0.75,0.67
31/03/20,595830.0,0.75,0.75,0.78,0.7
01/04/20,188490.0,0.73,0.78,0.78,0.71
02/04/20,144150.0,0.77,0.76,0.77,0.73
03/04/20,54550.0,0.78,0.76,0.78,0.74
06/04/20,146650.0,0.74,0.77,0.77,0.73
07/04/20,471030.0,0.78,0.78,0.81,0.76
08/04/20,543450.0,0.76,0.79,0.8,0.74
13/04/20,860560.0,0.8,0.81,0.88,0.76
14/04/20,902590.0,0.82,0.91,0.92,0.82
15/04/20,1040900.0,0.95,0.97,0.98,0.9
16/04/20,4649550.0,0.97,1.1,1.1,0.9
17/04/20,5929660.0,1.13,1.11,1.2,1.04
20/04/20,2583640.0,1.12,1.08,1.12,1.0
21/04/20,1648230.0,1.1,1.04,1.1,1.01
22/04/20,1299270.0,1.04,1.06,1.09,1.01
23/04/20,1060910.0,1.08,1.04,1.08,1.03
24/04/20,555340.0,1.04,1.06,1.06,1.03
27/04/20,42409330.0,1.07,1.34,1.46,1.07
28/04/20,14916460.0,1.35,1.24,1.39,1.1
29/04/20,5206690.0,1.22,1.22,1.3,1.18
30/04/20,2410240.0,1.26,1.22,1.29,1.2
04/05/20,2535690.0,1.22,1.15,1.22,1.11
05/05/20,6049370.0,1.16,1.24,1.28,1.16
06/05/20,2708090.0,1.24,1.2,1.26,1.18
07/05/20,1635110.0,1.2,1.19,1.22,1.16
08/05/20,2651450.0,1.2,1.24,1.26,1.17
11/05/20,1650240.0,1.26,1.2,1.26,1.18
12/05/20,2237360.0,1.14,1.21,1.22,1.14
13/05/20,1323100.0,1.2,1.18,1.2,1.15
14/05/20,2984060.0,1.17,1.11,1.17,1.1
15/05/20,1652530.0,1.11,1.15,1.19,1.1
18/05/20,7288870.0,1.16,1.26,1.27,1.11
19/05/20,17189160.0,1.29,1.35,1.37,1.28
20/05/20,5468660.0,1.33,1.28,1.33,1.24
21/05/20,17603810.0,1.28,1.36,1.41,1.28
22/05/20,4725820.0,1.36,1.34,1.37,1.3
26/05/20,6004710.0,1.36,1.25,1.36,1.21
27/05/20,4576700.0,1.23,1.28,1.28,1.16
28/05/20,2854070.0,1.27,1.26,1.34,1.24
29/05/20,1834530.0,1.23,1.26,1.26,1.2
01/06/20,1324320.0,1.26,1.24,1.26,1.21
02/06/20,5099090.0,1.25,1.34,1.34,1.22
03/06/20,3881120.0,1.35,1.3,1.38,1.27
04/06/20,4922440.0,1.32,1.36,1.38,1.28
05/06/20,8981140.0,1.4,1.34,1.44,1.27
08/06/20,3212970.0,1.39,1.37,1.39,1.34
09/06/20,16405030.0,1.37,1.53,1.53,1.34
