Date,Value,Open,Close,High,Low
02/01/20,931500.0,0.34,0.34,0.345,0.325
03/01/20,6813650.0,0.345,0.36,0.37,0.335
06/01/20,1038950.0,0.36,0.35,0.36,0.345
07/01/20,4465500.0,0.35,0.365,0.375,0.35
08/01/20,1325250.0,0.37,0.365,0.375,0.355
09/01/20,2280000.0,0.365,0.35,0.365,0.345
10/01/20,2157500.0,0.35,0.34,0.355,0.34
14/01/20,1688550.0,0.345,0.345,0.35,0.34
15/01/20,5366000.0,0.345,0.365,0.37,0.345
16/01/20,15047150.0,0.365,0.395,0.41,0.36
17/01/20,8677650.0,0.405,0.385,0.41,0.385
20/01/20,3722150.0,0.385,0.39,0.395,0.37
21/01/20,4597900.0,0.39,0.375,0.395,0.37
22/01/20,2667400.0,0.38,0.39,0.395,0.37
23/01/20,19673600.0,0.395,0.42,0.42,0.38
24/01/20,25325150.0,0.42,0.4,0.445,0.39
27/01/20,3473750.0,0.4,0.41,0.415,0.39
28/01/20,6207000.0,0.41,0.375,0.415,0.375
29/01/20,2182800.0,0.375,0.37,0.385,0.37
30/01/20,7810150.0,0.37,0.35,0.37,0.34
31/01/20,3984400.0,0.345,0.33,0.345,0.315
03/02/20,5119700.0,0.325,0.31,0.325,0.3
04/02/20,4174700.0,0.315,0.335,0.34,0.315
05/02/20,2034300.0,0.34,0.325,0.34,0.32
06/02/20,1912750.0,0.33,0.335,0.345,0.33
07/02/20,1319700.0,0.335,0.325,0.34,0.325
10/02/20,1479650.0,0.325,0.33,0.33,0.32
11/02/20,635200.0,0.325,0.33,0.33,0.32
12/02/20,1235200.0,0.325,0.315,0.33,0.315
13/02/20,938050.0,0.32,0.315,0.32,0.31
14/02/20,2252900.0,0.315,0.31,0.32,0.3
17/02/20,1123950.0,0.315,0.31,0.32,0.31
18/02/20,388200.0,0.315,0.315,0.315,0.305
19/02/20,379350.0,0.315,0.32,0.32,0.31
20/02/20,1526000.0,0.31,0.315,0.32,0.305
21/02/20,568550.0,0.31,0.31,0.315,0.305
24/02/20,1837500.0,0.315,0.3,0.315,0.3
26/02/20,2296450.0,0.3,0.29,0.305,0.28
27/02/20,953900.0,0.285,0.29,0.295,0.28
28/02/20,4567700.0,0.285,0.275,0.285,0.27
02/03/20,489100.0,0.27,0.27,0.27,0.26
03/03/20,1020400.0,0.275,0.26,0.28,0.255
04/03/20,2518100.0,0.26,0.285,0.285,0.26
05/03/20,1549600.0,0.28,0.28,0.285,0.27
06/03/20,4200700.0,0.28,0.275,0.28,0.265
09/03/20,1376410.0,0.265,0.235,0.265,0.235
10/03/20,1594510.0,0.234,0.225,0.234,0.206
11/03/20,916910.0,0.226,0.23,0.248,0.226
12/03/20,1225320.0,0.227,0.22,0.23,0.21
13/03/20,587760.0,0.206,0.21,0.21,0.181
16/03/20,166450.0,0.21,0.2,0.21,0.185
19/03/20,405980.0,0.182,0.185,0.2,0.17
20/03/20,369530.0,0.196,0.19,0.196,0.185
23/03/20,291340.0,0.19,0.176,0.19,0.173
24/03/20,302990.0,0.18,0.178,0.18,0.176
25/03/20,774870.0,0.18,0.185,0.19,0.18
26/03/20,405980.0,0.191,0.209,0.21,0.19
27/03/20,763950.0,0.22,0.202,0.22,0.195
30/03/20,81320.0,0.202,0.195,0.202,0.19
31/03/20,220020.0,0.202,0.2,0.203,0.195
01/04/20,161890.0,0.2,0.196,0.2,0.195
02/04/20,121760.0,0.196,0.192,0.2,0.191
03/04/20,167790.0,0.196,0.195,0.198,0.195
06/04/20,149730.0,0.198,0.201,0.201,0.195
07/04/20,317540.0,0.201,0.2,0.205,0.2
08/04/20,104370.0,0.2,0.2,0.205,0.2
13/04/20,460380.0,0.2,0.212,0.212,0.197
14/04/20,620960.0,0.212,0.21,0.215,0.202
15/04/20,1933130.0,0.21,0.219,0.22,0.21
16/04/20,505180.0,0.219,0.21,0.219,0.205
17/04/20,586870.0,0.215,0.21,0.215,0.204
