Date,Value,Open,Close,High,Low
02/01/20,950370.0,0.59,0.57,0.59,0.56
03/01/20,1850230.0,0.58,0.6,0.6,0.57
06/01/20,446340.0,0.6,0.57,0.6,0.57
07/01/20,3102660.0,0.59,0.57,0.6,0.57
08/01/20,728240.0,0.58,0.58,0.59,0.57
09/01/20,1006470.0,0.59,0.58,0.59,0.57
10/01/20,2581440.0,0.58,0.59,0.6,0.58
14/01/20,2581880.0,0.58,0.6,0.61,0.58
15/01/20,2854820.0,0.61,0.6,0.61,0.59
16/01/20,5808890.0,0.59,0.58,0.6,0.57
17/01/20,2203160.0,0.58,0.58,0.59,0.57
20/01/20,890170.0,0.58,0.58,0.59,0.57
21/01/20,5383860.0,0.57,0.55,0.58,0.55
22/01/20,3693600.0,0.56,0.55,0.57,0.54
23/01/20,951690.0,0.55,0.55,0.56,0.55
24/01/20,7853470.0,0.55,0.56,0.59,0.55
27/01/20,2717290.0,0.58,0.56,0.58,0.56
28/01/20,1305430.0,0.57,0.56,0.57,0.55
29/01/20,2002500.0,0.56,0.56,0.57,0.56
30/01/20,216840.0,0.57,0.56,0.58,0.56
31/01/20,2212040.0,0.56,0.54,0.56,0.53
03/02/20,4963660.0,0.53,0.5,0.53,0.455
04/02/20,6511460.0,0.52,0.495,0.52,0.495
05/02/20,3176650.0,0.495,0.495,0.5,0.495
06/02/20,931500.0,0.5,0.495,0.5,0.495
07/02/20,1912800.0,0.495,0.485,0.5,0.485
10/02/20,1821700.0,0.49,0.49,0.49,0.485
11/02/20,147283500.0,0.495,0.5,0.51,0.495
12/02/20,240331940.0,0.53,0.51,0.59,0.5
13/02/20,8837150.0,0.52,0.51,0.53,0.51
14/02/20,18612060.0,0.52,0.55,0.56,0.52
17/02/20,7598130.0,0.55,0.52,0.55,0.52
18/02/20,11658080.0,0.53,0.52,0.54,0.52
19/02/20,4904890.0,0.52,0.53,0.53,0.51
20/02/20,2975530.0,0.53,0.52,0.53,0.52
21/02/20,31423980.0,0.52,0.55,0.57,0.52
24/02/20,9580300.0,0.55,0.55,0.56,0.53
26/02/20,12666150.0,0.54,0.53,0.55,0.51
27/02/20,9886000.0,0.53,0.53,0.54,0.53
28/02/20,10043110.0,0.52,0.52,0.53,0.51
02/03/20,24666780.0,0.52,0.52,0.53,0.51
03/03/20,13974980.0,0.475,0.475,0.495,0.465
04/03/20,2466850.0,0.46,0.46,0.485,0.45
05/03/20,4056400.0,0.475,0.47,0.475,0.465
06/03/20,3119200.0,0.465,0.445,0.465,0.445
09/03/20,3625950.0,0.445,0.38,0.445,0.37
10/03/20,2509200.0,0.38,0.37,0.39,0.3
11/03/20,2668550.0,0.37,0.37,0.38,0.35
12/03/20,8967350.0,0.37,0.33,0.37,0.325
13/03/20,3504750.0,0.325,0.34,0.35,0.305
16/03/20,2414500.0,0.315,0.33,0.33,0.3
19/03/20,2128150.0,0.3,0.29,0.31,0.28
20/03/20,465750.0,0.315,0.3,0.315,0.29
23/03/20,3287550.0,0.3,0.26,0.3,0.255
24/03/20,3576600.0,0.26,0.26,0.275,0.26
25/03/20,2166450.0,0.275,0.295,0.295,0.27
26/03/20,2242350.0,0.29,0.305,0.32,0.285
27/03/20,2817600.0,0.31,0.31,0.325,0.295
30/03/20,916950.0,0.3,0.295,0.31,0.28
31/03/20,392650.0,0.31,0.305,0.315,0.295
01/04/20,571650.0,0.305,0.3,0.305,0.29
02/04/20,611200.0,0.3,0.3,0.3,0.295
03/04/20,483250.0,0.3,0.3,0.3,0.285
06/04/20,1139300.0,0.3,0.3,0.3,0.29
07/04/20,2078450.0,0.3,0.3,0.31,0.295
08/04/20,1967550.0,0.3,0.3,0.305,0.295
13/04/20,3253050.0,0.31,0.305,0.31,0.295
14/04/20,4518800.0,0.3,0.31,0.315,0.295
15/04/20,4445850.0,0.315,0.33,0.33,0.315
16/04/20,1867850.0,0.335,0.32,0.335,0.315
17/04/20,1083450.0,0.325,0.315,0.33,0.315
20/04/20,1852850.0,0.32,0.315,0.33,0.315
21/04/20,4330650.0,0.325,0.315,0.325,0.3
22/04/20,1727550.0,0.305,0.315,0.315,0.305
23/04/20,1195600.0,0.305,0.315,0.32,0.305
24/04/20,1851650.0,0.31,0.315,0.315,0.305
27/04/20,1849850.0,0.32,0.315,0.32,0.305
28/04/20,1512950.0,0.315,0.315,0.32,0.305
29/04/20,635550.0,0.31,0.31,0.315,0.305
30/04/20,1396950.0,0.31,0.315,0.32,0.31
04/05/20,2448300.0,0.315,0.315,0.315,0.305
05/05/20,884950.0,0.32,0.315,0.32,0.31
06/05/20,1464600.0,0.31,0.315,0.315,0.31
07/05/20,675300.0,0.31,0.31,0.31,0.305
08/05/20,195750.0,0.315,0.31,0.315,0.305
11/05/20,1891150.0,0.31,0.3,0.31,0.3
12/05/20,48800.0,0.305,0.305,0.305,0.305
13/05/20,937800.0,0.305,0.305,0.31,0.3
14/05/20,758300.0,0.305,0.295,0.305,0.295
15/05/20,1774500.0,0.3,0.3,0.305,0.295
18/05/20,499500.0,0.3,0.3,0.3,0.295
19/05/20,1848350.0,0.305,0.3,0.305,0.3
20/05/20,999000.0,0.3,0.3,0.3,0.3
21/05/20,200700.0,0.3,0.295,0.3,0.295
22/05/20,746050.0,0.295,0.295,0.3,0.29
26/05/20,842750.0,0.295,0.29,0.295,0.275
27/05/20,180050.0,0.29,0.285,0.29,0.28
28/05/20,1905750.0,0.29,0.29,0.305,0.285
29/05/20,1909300.0,0.29,0.29,0.3,0.29
01/06/20,952600.0,0.305,0.3,0.305,0.295
02/06/20,1626100.0,0.3,0.295,0.3,0.29
03/06/20,2846050.0,0.295,0.29,0.3,0.29
04/06/20,8293600.0,0.295,0.32,0.32,0.29
05/06/20,20343450.0,0.315,0.34,0.36,0.3
08/06/20,13206450.0,0.36,0.36,0.37,0.35
09/06/20,7199200.0,0.36,0.37,0.375,0.345
10/06/20,3286800.0,0.37,0.35,0.37,0.345
11/06/20,7207100.0,0.36,0.345,0.37,0.335
15/06/20,4583700.0,0.335,0.325,0.34,0.32
16/06/20,1720700.0,0.335,0.34,0.34,0.33
17/06/20,2712250.0,0.34,0.34,0.345,0.335
18/06/20,3090400.0,0.335,0.34,0.34,0.33
19/06/20,2688750.0,0.34,0.335,0.34,0.33
22/06/20,3475550.0,0.335,0.33,0.335,0.325
23/06/20,2101400.0,0.33,0.34,0.35,0.325
24/06/20,2261850.0,0.34,0.34,0.345,0.335
25/06/20,6143100.0,0.34,0.325,0.34,0.315
26/06/20,2747650.0,0.325,0.325,0.335,0.32
29/06/20,1172700.0,0.32,0.315,0.32,0.31
30/06/20,1351300.0,0.325,0.315,0.325,0.315
01/07/20,222450.0,0.315,0.32,0.32,0.31
02/07/20,685950.0,0.32,0.32,0.32,0.31
03/07/20,680500.0,0.315,0.315,0.32,0.31
06/07/20,617300.0,0.315,0.32,0.32,0.315
07/07/20,1859450.0,0.325,0.32,0.33,0.315
08/07/20,1293150.0,0.315,0.315,0.32,0.31
09/07/20,2092950.0,0.315,0.315,0.315,0.31
10/07/20,2203550.0,0.32,0.315,0.32,0.3
13/07/20,555500.0,0.31,0.315,0.315,0.3
14/07/20,3912600.0,0.32,0.3,0.325,0.3
15/07/20,2951150.0,0.305,0.305,0.31,0.29
16/07/20,3676950.0,0.305,0.31,0.315,0.3
17/07/20,131000.0,0.31,0.31,0.31,0.3
20/07/20,812600.0,0.31,0.315,0.315,0.305
21/07/20,437800.0,0.31,0.31,0.31,0.305
22/07/20,2778900.0,0.31,0.31,0.315,0.305
23/07/20,3309100.0,0.31,0.305,0.315,0.3
24/07/20,1083600.0,0.3,0.3,0.305,0.295
27/07/20,2487700.0,0.295,0.3,0.3,0.295
28/07/20,650450.0,0.305,0.3,0.305,0.295
29/07/20,198000.0,0.3,0.295,0.3,0.295
30/07/20,660950.0,0.3,0.3,0.3,0.295
03/08/20,2610200.0,0.295,0.285,0.295,0.285
04/08/20,1616500.0,0.29,0.285,0.295,0.285
05/08/20,701050.0,0.285,0.295,0.295,0.28
06/08/20,471250.0,0.29,0.29,0.29,0.285
07/08/20,246250.0,0.295,0.295,0.295,0.29
10/08/20,867200.0,0.29,0.3,0.3,0.285
11/08/20,1644700.0,0.29,0.295,0.3,0.285
12/08/20,1379400.0,0.295,0.29,0.295,0.285
13/08/20,1343600.0,0.285,0.29,0.29,0.285
14/08/20,1085850.0,0.29,0.285,0.29,0.285
17/08/20,751500.0,0.29,0.29,0.29,0.285
18/08/20,1583250.0,0.285,0.285,0.295,0.285
19/08/20,1525600.0,0.295,0.295,0.295,0.285
20/08/20,5497750.0,0.295,0.29,0.295,0.285
24/08/20,3703850.0,0.295,0.29,0.295,0.285
25/08/20,311700.0,0.285,0.285,0.29,0.285
26/08/20,5491000.0,0.29,0.29,0.295,0.285
27/08/20,474450.0,0.285,0.285,0.29,0.285
28/08/20,4196450.0,0.29,0.295,0.295,0.285
01/09/20,5710700.0,0.3,0.31,0.315,0.295
02/09/20,3551350.0,0.315,0.315,0.325,0.305
03/09/20,13449950.0,0.315,0.32,0.335,0.31
04/09/20,5563900.0,0.32,0.325,0.335,0.32
07/09/20,4698450.0,0.33,0.33,0.335,0.32
08/09/20,8147250.0,0.33,0.33,0.335,0.325
09/09/20,6812600.0,0.335,0.33,0.335,0.325
10/09/20,6751600.0,0.33,0.32,0.33,0.315
11/09/20,664650.0,0.32,0.32,0.325,0.315
14/09/20,2239550.0,0.32,0.315,0.32,0.315
15/09/20,1406100.0,0.315,0.32,0.325,0.315
16/09/20,2741700.0,0.325,0.32,0.325,0.32
17/09/20,1695000.0,0.32,0.325,0.325,0.32
18/09/20,1587100.0,0.32,0.32,0.325,0.315
21/09/20,3851900.0,0.32,0.32,0.32,0.315
22/09/20,1724900.0,0.315,0.32,0.32,0.31
23/09/20,4584600.0,0.315,0.315,0.32,0.315
24/09/20,465950.0,0.315,0.315,0.315,0.31
25/09/20,2559850.0,0.315,0.315,0.32,0.31
28/09/20,4855800.0,0.315,0.31,0.315,0.305
29/09/20,29695650.0,0.305,0.315,0.32,0.305
30/09/20,2700850.0,0.315,0.31,0.315,0.305
01/10/20,1403400.0,0.31,0.305,0.315,0.305
02/10/20,1927050.0,0.305,0.305,0.31,0.305
05/10/20,2794450.0,0.31,0.305,0.315,0.3
06/10/20,1437800.0,0.3,0.3,0.305,0.3
07/10/20,1842300.0,0.305,0.305,0.31,0.3
08/10/20,2040450.0,0.31,0.305,0.31,0.3
09/10/20,2866300.0,0.305,0.315,0.315,0.305
12/10/20,1705050.0,0.315,0.31,0.315,0.31
13/10/20,11537900.0,0.315,0.32,0.335,0.305
14/10/20,5060600.0,0.325,0.32,0.33,0.32
15/10/20,2341550.0,0.325,0.315,0.325,0.315
16/10/20,3944200.0,0.315,0.315,0.315,0.305
19/10/20,4141650.0,0.315,0.32,0.325,0.305
20/10/20,2212600.0,0.325,0.32,0.325,0.315
21/10/20,12249700.0,0.325,0.335,0.34,0.32
22/10/20,9223150.0,0.335,0.345,0.35,0.335
23/10/20,4949600.0,0.345,0.34,0.35,0.335
26/10/20,4982400.0,0.34,0.345,0.345,0.335
27/10/20,6571950.0,0.345,0.34,0.35,0.33
28/10/20,5608050.0,0.335,0.335,0.335,0.325
29/10/20,5019600.0,0.33,0.325,0.33,0.32
30/10/20,4062800.0,0.325,0.32,0.325,0.32
03/11/20,6571050.0,0.32,0.33,0.34,0.32
04/11/20,27748900.0,0.345,0.355,0.36,0.34
05/11/20,15008950.0,0.36,0.355,0.36,0.345
06/11/20,31536100.0,0.36,0.375,0.385,0.355
09/11/20,30403150.0,0.38,0.385,0.4,0.375
10/11/20,17542850.0,0.395,0.375,0.395,0.37
11/11/20,7758050.0,0.38,0.385,0.385,0.37
13/11/20,8913750.0,0.385,0.39,0.39,0.375
16/11/20,21258600.0,0.385,0.415,0.42,0.385
17/11/20,10873700.0,0.42,0.42,0.425,0.405
18/11/20,6108050.0,0.415,0.41,0.415,0.405
19/11/20,11701300.0,0.41,0.415,0.42,0.395
20/11/20,17888500.0,0.42,0.43,0.445,0.405
23/11/20,7923700.0,0.435,0.435,0.445,0.43
24/11/20,9499450.0,0.44,0.43,0.445,0.425
25/11/20,4817300.0,0.435,0.425,0.44,0.42
26/11/20,12030900.0,0.425,0.41,0.425,0.405
27/11/20,4920650.0,0.41,0.415,0.42,0.405
01/12/20,4056400.0,0.405,0.415,0.43,0.405
02/12/20,4129100.0,0.41,0.415,0.425,0.405
03/12/20,2161850.0,0.41,0.415,0.42,0.41
04/12/20,5156150.0,0.415,0.42,0.42,0.405
07/12/20,6380650.0,0.42,0.415,0.42,0.41
09/12/20,13559900.0,0.415,0.405,0.42,0.395
10/12/20,3139800.0,0.41,0.41,0.41,0.4
11/12/20,11059250.0,0.4,0.42,0.425,0.4
14/12/20,6029800.0,0.42,0.425,0.43,0.42
15/12/20,27061950.0,0.43,0.445,0.465,0.43
16/12/20,25063150.0,0.455,0.47,0.475,0.445
17/12/20,53411550.0,0.475,0.495,0.53,0.47
18/12/20,14631200.0,0.49,0.485,0.51,0.475
21/12/20,5791950.0,0.485,0.49,0.49,0.485
22/12/20,17220100.0,0.485,0.455,0.49,0.45
23/12/20,5350850.0,0.45,0.47,0.475,0.44
28/12/20,8409600.0,0.455,0.46,0.46,0.445
29/12/20,8392900.0,0.46,0.445,0.46,0.44
04/01/21,7797150.0,0.44,0.455,0.475,0.44
05/01/21,6644050.0,0.455,0.46,0.465,0.45
06/01/21,11219150.0,0.47,0.46,0.485,0.46
07/01/21,3852450.0,0.46,0.47,0.475,0.46
08/01/21,19161950.0,0.47,0.5,0.52,0.465
11/01/21,26790020.0,0.53,0.54,0.55,0.51
