Date,Value,Open,Close,High,Low
02/01/20,1263400.0,1.18,1.2,1.2,1.18
03/01/20,335360.0,1.2,1.28,1.29,1.2
06/01/20,256450.0,1.28,1.28,1.29,1.22
07/01/20,141350.0,1.27,1.24,1.28,1.21
08/01/20,45640.0,1.24,1.24,1.24,1.22
09/01/20,204900.0,1.18,1.24,1.24,1.17
10/01/20,265740.0,1.24,1.24,1.24,1.18
14/01/20,218770.0,1.16,1.2,1.27,1.16
15/01/20,179930.0,1.26,1.18,1.26,1.18
16/01/20,124660.0,1.18,1.26,1.26,1.17
17/01/20,125290.0,1.24,1.23,1.24,1.2
20/01/20,17240.0,1.23,1.25,1.25,1.23
21/01/20,255770.0,1.24,1.24,1.24,1.15
22/01/20,48600.0,1.2,1.26,1.26,1.2
23/01/20,214710.0,1.26,1.2,1.27,1.2
24/01/20,192250.0,1.2,1.23,1.24,1.19
27/01/20,125240.0,1.21,1.19,1.23,1.18
28/01/20,708520.0,1.24,1.23,1.24,1.13
29/01/20,173240.0,1.22,1.22,1.22,1.22
30/01/20,92460.0,1.2,1.17,1.2,1.17
31/01/20,241550.0,1.1,1.19,1.2,1.1
03/02/20,32840.0,1.19,1.15,1.19,1.15
04/02/20,30070.0,1.2,1.19,1.2,1.11
05/02/20,242480.0,1.19,1.15,1.19,1.08
06/02/20,464090.0,1.14,1.18,1.18,1.11
07/02/20,151920.0,1.11,1.12,1.15,1.1
10/02/20,257690.0,1.1,1.17,1.18,1.1
11/02/20,103750.0,1.12,1.17,1.17,1.1
12/02/20,53820.0,1.16,1.13,1.16,1.13
13/02/20,83760.0,1.11,1.14,1.14,1.11
14/02/20,54630.0,1.13,1.14,1.14,1.13
17/02/20,177730.0,1.12,1.09,1.12,1.08
18/02/20,26440.0,1.09,1.11,1.11,1.09
19/02/20,33020.0,1.12,1.1,1.12,1.1
20/02/20,66320.0,1.08,1.08,1.12,1.08
21/02/20,1100.0,1.1,1.1,1.1,1.1
24/02/20,88180.0,1.08,1.09,1.09,1.05
26/02/20,48610.0,1.1,1.07,1.1,1.05
28/02/20,1070.0,1.07,1.07,1.07,1.07
02/03/20,92950.0,1.03,1.01,1.03,1.01
03/03/20,134220.0,1.05,1.0,1.05,1.0
04/03/20,822650.0,1.05,1.04,1.15,0.99
05/03/20,23620.0,1.06,1.02,1.06,1.02
06/03/20,158570.0,1.0,0.99,1.03,0.99
