Date,Value,Open,Close,High,Low
02/01/20,2867980.0,2.98,2.94,3.0,2.92
03/01/20,4530590.0,2.94,2.92,2.98,2.9
06/01/20,1825970.0,2.97,2.93,2.97,2.85
07/01/20,4162520.0,2.93,3.01,3.01,2.91
08/01/20,31934730.0,3.01,2.97,3.01,2.92
09/01/20,866320.0,2.99,2.95,3.03,2.95
10/01/20,2011690.0,2.95,2.92,2.99,2.92
14/01/20,2110610.0,2.91,2.9,2.91,2.85
15/01/20,2241380.0,2.93,2.85,2.93,2.83
16/01/20,1269700.0,2.84,2.83,2.88,2.83
17/01/20,10240690.0,2.85,2.83,2.92,2.82
20/01/20,19993590.0,2.83,2.68,2.84,2.66
21/01/20,4990490.0,2.68,2.6,2.68,2.5
22/01/20,2146240.0,2.59,2.58,2.59,2.5
23/01/20,2643890.0,2.54,2.68,2.68,2.54
24/01/20,8097190.0,2.68,2.72,2.74,2.67
27/01/20,1508540.0,2.72,2.67,2.72,2.62
28/01/20,3616980.0,2.65,2.58,2.65,2.58
29/01/20,1532640.0,2.6,2.61,2.66,2.6
30/01/20,8990720.0,2.64,2.67,2.67,2.6
31/01/20,3782290.0,2.68,2.55,2.74,2.52
03/02/20,2373500.0,2.55,2.5,2.55,2.48
04/02/20,632390.0,2.48,2.5,2.5,2.45
05/02/20,1048970.0,2.5,2.66,2.66,2.5
06/02/20,2781070.0,2.66,2.77,2.77,2.66
07/02/20,2462500.0,2.79,2.78,2.81,2.73
10/02/20,11230150.0,2.78,2.7,2.78,2.7
11/02/20,1633410.0,2.7,2.61,2.7,2.61
12/02/20,1529470.0,2.61,2.56,2.62,2.56
13/02/20,2816970.0,2.54,2.5,2.56,2.5
14/02/20,1476760.0,2.55,2.5,2.55,2.5
17/02/20,509000.0,2.48,2.5,2.54,2.47
18/02/20,267580.0,2.48,2.46,2.5,2.46
19/02/20,628760.0,2.46,2.48,2.53,2.46
20/02/20,759360.0,2.58,2.49,2.58,2.49
21/02/20,3817240.0,2.55,2.49,2.57,2.48
24/02/20,3345180.0,2.55,2.35,2.55,2.35
26/02/20,7678520.0,2.35,2.19,2.35,2.16
27/02/20,3886380.0,2.19,2.19,2.21,2.1
28/02/20,49225300.0,2.14,2.0,2.14,2.0
02/03/20,7961960.0,2.01,2.0,2.07,1.95
03/03/20,1219320.0,2.0,2.09,2.1,2.0
04/03/20,415010.0,2.1,2.1,2.1,2.03
05/03/20,1706030.0,2.08,2.11,2.27,2.08
06/03/20,620290.0,2.11,2.14,2.18,2.11
09/03/20,2090520.0,2.09,1.94,2.09,1.92
10/03/20,959150.0,1.94,1.96,2.0,1.9
11/03/20,21558880.0,2.0,2.0,2.03,1.98
12/03/20,3305860.0,2.0,1.88,2.0,1.88
13/03/20,2097290.0,1.84,1.82,1.86,1.66
16/03/20,788800.0,1.62,1.7,1.72,1.61
19/03/20,1468120.0,1.6,1.49,1.6,1.1
20/03/20,1991310.0,1.5,1.5,1.5,1.4
23/03/20,777890.0,1.44,1.43,1.44,1.4
24/03/20,391410.0,1.5,1.55,1.55,1.45
25/03/20,632800.0,1.56,1.58,1.59,1.5
26/03/20,1179890.0,1.53,1.69,1.7,1.51
27/03/20,1564410.0,1.75,1.78,1.94,1.68
30/03/20,977590.0,1.71,1.7,1.83,1.7
31/03/20,238260.0,1.76,1.76,1.76,1.75
01/04/20,3205570.0,1.76,1.62,1.8,1.57
02/04/20,2138380.0,1.63,1.56,1.63,1.53
03/04/20,4758910.0,1.66,1.5,1.66,1.5
06/04/20,1896730.0,1.54,1.55,1.57,1.54
07/04/20,2786660.0,1.56,1.55,1.65,1.54
08/04/20,4422520.0,1.57,1.5,1.57,1.5
13/04/20,1554290.0,1.51,1.49,1.51,1.49
14/04/20,5397470.0,1.57,1.52,1.57,1.52
