Date,Value,Open,Close,High,Low
02/01/20,517200.0,2.08,2.09,2.11,2.04
03/01/20,1019490.0,2.1,2.17,2.18,2.05
06/01/20,986680.0,2.17,2.16,2.17,2.08
07/01/20,2825660.0,2.16,2.18,2.18,2.11
08/01/20,2333900.0,2.18,2.2,2.24,2.12
09/01/20,912540.0,2.2,2.18,2.23,2.17
10/01/20,578790.0,2.19,2.16,2.19,2.13
14/01/20,1153540.0,2.15,2.16,2.17,2.1
15/01/20,896340.0,2.2,2.17,2.24,2.17
16/01/20,1327820.0,2.18,2.21,2.24,2.17
17/01/20,3683660.0,2.24,2.26,2.27,2.19
20/01/20,1612130.0,2.28,2.22,2.31,2.22
21/01/20,2906870.0,2.2,2.18,2.22,2.15
22/01/20,437620.0,2.18,2.24,2.24,2.16
23/01/20,1117250.0,2.24,2.24,2.25,2.2
24/01/20,1237550.0,2.24,2.24,2.29,2.2
27/01/20,839900.0,2.22,2.17,2.25,2.17
28/01/20,2240240.0,2.12,2.11,2.17,2.08
29/01/20,1027970.0,2.11,2.08,2.11,2.06
30/01/20,595160.0,2.06,2.06,2.08,2.05
31/01/20,1485330.0,2.07,2.05,2.07,2.03
03/02/20,970760.0,2.04,2.03,2.06,2.02
04/02/20,812960.0,2.04,2.05,2.05,2.03
05/02/20,551260.0,2.04,2.03,2.04,2.02
06/02/20,975280.0,2.04,2.04,2.06,2.02
07/02/20,421590.0,2.06,2.04,2.06,2.03
10/02/20,543450.0,2.08,2.06,2.08,2.04
11/02/20,908350.0,2.05,2.05,2.05,2.04
12/02/20,899590.0,2.05,2.08,2.08,2.04
13/02/20,1172840.0,2.08,2.05,2.08,2.04
14/02/20,208300.0,2.05,2.08,2.09,2.05
17/02/20,252890.0,2.06,2.11,2.11,2.05
18/02/20,29520.0,2.12,2.1,2.12,2.08
19/02/20,184670.0,2.07,2.05,2.07,2.05
20/02/20,894720.0,2.06,2.04,2.09,2.04
21/02/20,49690.0,2.06,2.08,2.09,2.05
24/02/20,162230.0,2.05,2.06,2.08,2.05
26/02/20,2537320.0,2.04,2.06,2.06,2.02
27/02/20,385490.0,2.05,2.06,2.08,2.05
28/02/20,468190.0,2.05,2.1,2.12,2.05
02/03/20,1400380.0,2.09,2.05,2.09,2.04
03/03/20,162000.0,2.05,2.05,2.08,2.05
04/03/20,2152440.0,2.05,2.06,2.06,2.04
05/03/20,4262660.0,2.06,2.06,2.09,2.05
06/03/20,3620610.0,2.07,2.05,2.08,2.05
09/03/20,5461690.0,2.05,2.05,2.06,2.04
10/03/20,939030.0,2.05,2.03,2.05,2.03
11/03/20,728290.0,2.04,2.05,2.05,2.03
12/03/20,7285630.0,2.04,1.42,2.04,1.3
13/03/20,1178750.0,1.3,1.8,1.89,1.08
16/03/20,33390.0,1.69,1.7,1.7,1.5
19/03/20,186500.0,1.65,1.64,1.65,1.55
20/03/20,22850.0,1.63,1.62,1.65,1.5
23/03/20,67200.0,1.5,1.6,1.62,1.45
25/03/20,46500.0,1.6,1.7,1.7,1.6
30/03/20,86300.0,1.7,1.69,1.7,1.69
31/03/20,75790.0,1.75,1.71,1.75,1.6
01/04/20,42560.0,1.7,1.7,1.71,1.7
02/04/20,1700.0,1.7,1.7,1.7,1.7
03/04/20,6800.0,1.7,1.7,1.7,1.7
06/04/20,41920.0,1.73,1.73,1.74,1.55
07/04/20,8650.0,1.73,1.73,1.73,1.73
08/04/20,17310.0,1.73,1.74,1.74,1.73
13/04/20,10450.0,1.74,1.75,1.75,1.74
14/04/20,34900.0,1.74,1.75,1.75,1.74
15/04/20,81490.0,1.6,1.74,1.77,1.6
16/04/20,55590.0,1.74,1.74,1.77,1.63
17/04/20,70880.0,1.72,1.73,1.73,1.72
20/04/20,19200.0,1.74,1.77,1.77,1.74
