Date,Value,Open,Close,High,Low
03/01/20,301125.0,4.88,4.86,4.89,4.86
06/01/20,223320.0,4.99,4.85,4.99,4.84
07/01/20,727360.0,4.88,4.85,4.9,4.84
08/01/20,6413140.0,4.84,4.84,4.94,4.84
09/01/20,33950.0,4.85,4.85,4.85,4.85
10/01/20,1659400.0,4.84,4.7,4.84,4.7
14/01/20,1278770.0,4.8,4.7,4.8,4.7
15/01/20,1698880.0,4.8,4.8,4.8,4.75
16/01/20,330760.0,4.72,4.8,4.8,4.71
17/01/20,67060.0,4.79,4.79,4.79,4.79
20/01/20,850980.0,4.74,4.7,4.74,4.7
21/01/20,23750.0,4.75,4.75,4.75,4.75
22/01/20,921330.0,4.71,4.7,4.71,4.7
24/01/20,103500.0,4.71,4.7,4.71,4.7
27/01/20,188040.0,4.7,4.74,4.74,4.7
28/01/20,42390.0,4.71,4.71,4.71,4.71
29/01/20,4710.0,4.71,4.71,4.71,4.71
30/01/20,83540.0,4.96,4.82,4.98,4.82
31/01/20,752510.0,4.75,4.7,4.75,4.7
03/02/20,70530.0,4.71,4.7,4.71,4.7
06/02/20,103720.0,4.7,4.71,4.75,4.7
07/02/20,76920.0,4.9,4.71,4.9,4.71
10/02/20,47100.0,4.71,4.71,4.71,4.71
11/02/20,141300.0,4.71,4.71,4.71,4.71
12/02/20,38932460.0,4.71,4.72,5.26,4.71
13/02/20,292170.0,4.72,4.71,4.72,4.71
14/02/20,18920.0,4.73,4.73,4.73,4.73
18/02/20,153370.0,4.8,4.8,4.8,4.74
20/02/20,292820.0,4.8,4.8,4.82,4.8
21/02/20,917000.0,4.8,4.8,4.85,4.8
24/02/20,5088010.0,4.81,4.8,4.81,4.8
26/02/20,9600.0,4.8,4.8,4.8,4.8
27/02/20,9790.0,4.8,4.99,4.99,4.8
28/02/20,18950.0,4.76,4.73,4.76,4.73
02/03/20,5208540.0,4.73,4.7,4.73,4.7
03/03/20,9760.0,4.88,4.88,4.88,4.88
04/03/20,4850.0,4.85,4.85,4.85,4.85
06/03/20,712500.0,4.75,4.75,4.75,4.75
