Date,Value,Open,Close,High,Low
02/01/20,5300.0,5.3,5.3,5.3,5.3
03/01/20,46615.0,5.3,5.3,5.3,5.2
06/01/20,50164.0,5.3,5.28,5.3,5.28
07/01/20,69714.0,5.3,5.28,5.3,5.25
08/01/20,7920.0,5.28,5.28,5.28,5.28
09/01/20,95932.0,5.28,5.28,5.28,5.2
10/01/20,100008.0,5.28,5.28,5.3,5.24
14/01/20,42260.0,5.3,5.28,5.3,5.28
15/01/20,67880.0,5.3,5.29,5.3,5.2
16/01/20,7358578.0,5.2,5.3,5.3,5.2
17/01/20,26500.0,5.3,5.3,5.3,5.3
20/01/20,18550.0,5.3,5.3,5.3,5.3
21/01/20,10600.0,5.3,5.3,5.3,5.3
22/01/20,29670.0,5.2,5.3,5.3,5.2
23/01/20,612764.0,5.3,5.3,5.3,5.12
24/01/20,94440.0,5.3,5.24,5.3,5.24
27/01/20,246080.0,5.2,5.2,5.2,5.12
29/01/20,1004.0,5.02,5.02,5.02,5.02
30/01/20,323952.0,5.05,5.2,5.2,5.02
31/01/20,155330.0,5.15,5.02,5.19,5.02
03/02/20,76830.0,5.02,5.05,5.05,5.0
04/02/20,41615.0,5.01,5.33,5.33,5.01
05/02/20,533.0,5.33,5.33,5.33,5.33
06/02/20,1058.0,5.29,5.29,5.29,5.29
07/02/20,76459994.0,5.25,5.29,5.29,5.25
10/02/20,15870.0,5.29,5.29,5.29,5.29
13/02/20,74343.0,5.29,5.23,5.29,5.23
14/02/20,101151.0,5.05,5.2,5.23,5.05
18/02/20,25950.0,5.05,5.1,5.2,5.05
19/02/20,5654.0,5.24,5.1,5.25,5.1
20/02/20,55428.0,5.2,5.26,5.26,5.1
24/02/20,15690.0,5.2,5.26,5.26,5.2
26/02/20,500.0,5.0,5.0,5.0,5.0
27/02/20,1000.0,5.0,5.0,5.0,5.0
28/02/20,126613.0,5.0,5.0,5.26,5.0
02/03/20,46000.0,5.0,5.0,5.0,5.0
03/03/20,143490.0,5.0,5.0,5.0,4.98
04/03/20,10000.0,5.0,5.0,5.0,5.0
05/03/20,30394.0,4.95,5.0,5.0,4.95
06/03/20,6000.0,5.0,5.0,5.0,5.0
09/03/20,43436.0,5.0,5.0,5.0,4.91
10/03/20,116819.0,4.91,5.0,5.0,4.9
11/03/20,98265.0,5.0,4.98,5.0,4.75
13/03/20,131900.0,4.61,4.94,4.95,4.6
19/03/20,172260.0,4.7,4.62,4.7,4.4
20/03/20,113290.0,4.5,4.6,4.6,4.0
23/03/20,97050.0,4.3,4.6,4.6,4.0
24/03/20,69190.0,4.3,4.69,4.69,4.3
25/03/20,157990.0,4.4,4.5,4.5,4.01
26/03/20,379230.0,4.5,4.5,4.69,4.28
27/03/20,21500.0,4.3,4.3,4.3,4.3
30/03/20,193790.0,4.5,4.29,4.5,4.08
31/03/20,51360.0,4.69,4.3,4.69,4.23
01/04/20,674990.0,4.11,4.51,4.55,4.1
02/04/20,260250.0,4.35,4.4,4.4,4.3
03/04/20,4400.0,4.4,4.4,4.4,4.4
06/04/20,226270.0,4.35,4.42,4.42,4.35
07/04/20,26480.0,4.41,4.42,4.42,4.41
08/04/20,444040.0,4.52,4.52,4.52,4.35
13/04/20,99600.0,4.51,4.54,4.55,4.51
14/04/20,168840.0,4.5,4.51,4.54,4.4
15/04/20,99120.0,4.51,4.51,4.51,4.41
16/04/20,67650.0,4.51,4.51,4.51,4.51
17/04/20,40590.0,4.51,4.51,4.51,4.51
20/04/20,31550.0,4.35,4.5,4.6,4.35
21/04/20,39770.0,4.35,4.5,4.51,4.35
22/04/20,13500.0,4.5,4.5,4.5,4.5
23/04/20,22500.0,4.5,4.5,4.5,4.5
24/04/20,40490.0,4.5,4.5,4.5,4.49
27/04/20,13500.0,4.5,4.5,4.5,4.5
29/04/20,439600.0,4.36,4.35,4.4,4.35
30/04/20,61490.0,4.4,4.49,4.49,4.35
04/05/20,3450070.0,4.49,4.35,4.49,4.34
06/05/20,728900.0,4.49,4.5,4.5,4.49
07/05/20,18000.0,4.5,4.5,4.5,4.5
12/05/20,9000.0,4.5,4.5,4.5,4.5
13/05/20,42280.0,4.26,4.21,4.26,4.21
15/05/20,8980.0,4.49,4.49,4.49,4.49
18/05/20,13350.0,4.45,4.45,4.45,4.45
20/05/20,8980.0,4.49,4.49,4.49,4.49
28/05/20,17790.0,4.4,4.5,4.5,4.4
29/05/20,4500.0,4.5,4.5,4.5,4.5
01/06/20,17540.0,4.27,4.5,4.5,4.27
03/06/20,18000.0,4.5,4.5,4.5,4.5
04/06/20,49340.0,4.49,4.48,4.49,4.48
05/06/20,79450.0,4.49,4.47,4.49,4.25
08/06/20,35840.0,4.48,4.48,4.48,4.48
09/06/20,31160.0,4.4,4.41,4.47,4.4
10/06/20,13460.0,4.48,4.48,4.5,4.48
15/06/20,44000.0,4.4,4.4,4.4,4.4
17/06/20,9000.0,4.5,4.5,4.5,4.5
19/06/20,83600.0,4.4,4.4,4.4,4.4
22/06/20,27000.0,4.5,4.5,4.5,4.5
23/06/20,122930.0,4.4,4.31,4.4,4.31
24/06/20,21750000.0,4.35,4.35,4.35,4.35
29/06/20,4490.0,4.49,4.49,4.49,4.49
30/06/20,21754320.0,4.35,4.32,4.35,4.32
01/07/20,11228390.0,4.35,4.44,4.48,4.35
02/07/20,48030.0,4.41,4.35,4.41,4.35
06/07/20,21250.0,4.25,4.25,4.25,4.25
08/07/20,4250.0,4.25,4.25,4.25,4.25
10/07/20,34420.0,4.35,4.25,4.35,4.25
14/07/20,17140.0,4.25,4.39,4.39,4.25
15/07/20,155230.0,4.21,4.2,4.21,4.01
16/07/20,454190.0,4.21,4.2,4.25,4.2
17/07/20,283990.0,4.13,4.03,4.13,4.01
20/07/20,20210.0,4.05,4.03,4.05,4.03
21/07/20,8400.0,4.04,4.36,4.36,4.04
22/07/20,4250.0,4.25,4.25,4.25,4.25
23/07/20,16120.0,4.03,4.03,4.03,4.03
24/07/20,8170.0,4.03,4.14,4.14,4.03
29/07/20,37520.0,4.14,4.2,4.2,4.14
30/07/20,143540.0,4.3,4.4,4.45,4.3
03/08/20,190400.0,4.3,4.4,4.4,4.3
04/08/20,17840.0,4.48,4.4,4.48,4.4
06/08/20,2380770.0,4.48,4.54,4.54,4.48
07/08/20,3259520.0,4.54,4.54,4.54,4.5
10/08/20,17950.0,4.5,4.45,4.5,4.45
11/08/20,38340.0,4.26,4.26,4.26,4.26
13/08/20,102240.0,4.26,4.26,4.26,4.26
14/08/20,17000.0,4.25,4.25,4.25,4.25
17/08/20,4300.0,4.3,4.3,4.3,4.3
18/08/20,4450.0,4.45,4.45,4.45,4.45
19/08/20,4450.0,4.45,4.45,4.45,4.45
20/08/20,26440.0,4.44,4.4,4.44,4.4
24/08/20,4440.0,4.44,4.44,4.44,4.44
26/08/20,17710.0,4.39,4.44,4.44,4.39
27/08/20,9004500.0,4.5,4.5,4.5,4.5
28/08/20,9013530.0,4.5,4.5,4.53,4.5
01/09/20,8850.0,4.33,4.52,4.52,4.33
03/09/20,13590.0,4.53,4.53,4.53,4.53
04/09/20,13710.0,4.53,4.59,4.59,4.53
07/09/20,323020.0,4.5,4.47,4.7,4.47
08/09/20,58110.0,4.47,4.47,4.47,4.47
09/09/20,31940.0,4.5,4.72,4.72,4.5
10/09/20,68890.0,4.5,4.98,4.98,4.5
11/09/20,13720.0,4.56,4.6,4.6,4.56
14/09/20,50400.0,4.58,4.59,4.6,4.57
15/09/20,70970.0,4.79,4.72,4.79,4.6
17/09/20,51210.0,4.67,4.58,4.69,4.58
23/09/20,32830.0,4.69,4.69,4.69,4.69
24/09/20,79740.0,4.65,4.7,4.7,4.65
25/09/20,67190.0,4.8,4.79,4.8,4.79
28/09/20,14320.0,4.79,4.77,4.79,4.76
01/10/20,38230.0,4.76,4.79,4.79,4.76
02/10/20,9580.0,4.79,4.79,4.79,4.79
06/10/20,202760.0,4.61,4.61,4.62,4.6
07/10/20,333740.0,4.77,4.77,4.77,4.7
08/10/20,4770.0,4.77,4.77,4.77,4.77
09/10/20,294000.0,4.9,4.9,4.9,4.9
12/10/20,58880.0,4.9,4.93,4.95,4.9
13/10/20,9900.0,4.95,4.95,4.95,4.95
14/10/20,74250.0,4.95,4.95,4.95,4.95
16/10/20,33040.0,4.61,4.93,4.94,4.61
19/10/20,44370.0,4.93,4.93,4.93,4.93
20/10/20,986000.0,4.93,4.93,4.93,4.93
21/10/20,1587500.0,4.93,4.93,4.95,4.93
22/10/20,4930.0,4.93,4.93,4.93,4.93
23/10/20,4930.0,4.93,4.93,4.93,4.93
26/10/20,44530.0,4.95,4.93,4.95,4.93
28/10/20,4810.0,4.81,4.81,4.81,4.81
29/10/20,23490.0,4.7,4.69,4.7,4.69
30/10/20,75400.0,4.71,4.71,4.72,4.71
03/11/20,24080.0,4.72,4.84,4.84,4.72
04/11/20,1006750.0,4.85,4.84,4.85,4.84
06/11/20,14440.0,4.84,4.8,4.84,4.8
09/11/20,133990.0,4.8,4.78,4.8,4.72
10/11/20,56940.0,4.76,4.7,4.78,4.7
11/11/20,4830.0,4.83,4.83,4.83,4.83
16/11/20,129700.0,4.81,4.76,4.82,4.74
17/11/20,28550.0,4.76,4.76,4.76,4.75
18/11/20,28660.0,4.78,4.77,4.78,4.77
20/11/20,6905020.0,4.77,4.74,4.78,4.74
23/11/20,19320.0,4.83,4.83,4.83,4.83
24/11/20,62300.0,4.8,4.8,4.8,4.75
26/11/20,9560.0,4.78,4.78,4.78,4.78
27/11/20,61300.0,4.75,4.7,4.75,4.7
01/12/20,686200.0,4.7,4.7,4.7,4.7
02/12/20,73300.0,4.62,4.7,4.7,4.5
03/12/20,33440.0,4.79,4.7,4.79,4.7
04/12/20,79780.0,4.66,4.7,4.7,4.66
07/12/20,155100.0,4.7,4.7,4.7,4.7
09/12/20,194910.0,4.7,4.67,4.7,4.51
11/12/20,9540.0,4.75,4.79,4.79,4.75
14/12/20,629890.0,4.7,4.7,4.79,4.7
15/12/20,9320.0,4.66,4.66,4.66,4.66
16/12/20,27960.0,4.66,4.66,4.66,4.66
17/12/20,55670.0,4.63,4.74,4.74,4.63
18/12/20,168100.0,4.66,4.73,4.73,4.5
21/12/20,950250.0,4.78,4.59,4.78,4.51
22/12/20,27410.0,4.6,4.55,4.6,4.53
23/12/20,45250.0,4.53,4.6,4.6,4.51
28/12/20,122630.0,4.54,4.56,4.56,4.54
29/12/20,153770.0,4.52,4.55,4.55,4.52
04/01/21,36400.0,4.55,4.55,4.55,4.55
05/01/21,9060.0,4.53,4.53,4.53,4.53
06/01/21,79800.0,4.7,4.69,4.7,4.69
07/01/21,20087940.0,4.77,4.7,4.77,4.7
08/01/21,137420.0,4.55,4.6,4.6,4.54
11/01/21,64620.0,4.7,4.6,4.7,4.6
