Date,Value,Open,Close,High,Low
02/01/20,59440.0,2.95,2.99,2.99,2.95
08/01/20,17940.0,2.99,2.99,2.99,2.99
10/01/20,33010.0,2.73,2.73,2.98,2.73
20/01/20,5440.0,2.72,2.72,2.72,2.72
30/01/20,5500.0,2.75,2.75,2.75,2.75
04/02/20,10970.0,2.75,2.72,2.75,2.72
10/02/20,8390.0,2.79,2.8,2.8,2.79
11/02/20,27500.0,2.75,2.75,2.75,2.75
12/02/20,114740.0,2.74,2.8,2.8,2.74
20/02/20,60280.0,2.74,2.74,2.74,2.74
21/02/20,974700.0,2.7,2.7,2.7,2.7
28/02/20,76850.0,2.65,2.65,2.65,2.65
02/03/20,78600.0,2.62,2.62,2.62,2.62
09/03/20,95790.0,2.62,2.58,2.62,2.58
12/03/20,80640.0,2.52,2.52,2.52,2.52
13/03/20,258000.0,2.5,2.48,2.5,2.48
16/03/20,55200.0,2.4,2.4,2.4,2.4
23/03/20,180000.0,2.4,2.4,2.4,2.4
25/03/20,7800.0,2.6,2.6,2.6,2.6
30/03/20,5200.0,2.6,2.6,2.6,2.6
27/04/20,19500.0,2.4,2.5,2.5,2.4
04/05/20,14140.0,2.36,2.35,2.36,2.35
05/05/20,14500.0,2.9,2.9,2.9,2.9
28/05/20,57210.0,2.85,2.88,2.88,2.85
01/06/20,5180.0,2.59,2.59,2.59,2.59
03/06/20,251000.0,2.51,2.51,2.51,2.51
11/06/20,17600.0,2.51,2.54,2.54,2.51
16/06/20,13240.0,2.64,2.65,2.65,2.64
18/06/20,108340.0,2.65,2.5,2.65,2.5
19/06/20,804210.0,2.15,2.7,2.7,2.15
25/06/20,66710.0,2.73,2.8,2.8,2.73
30/06/20,56100.0,2.8,2.81,2.81,2.8
09/07/20,14000.0,2.8,2.8,2.8,2.8
10/07/20,31360.0,2.62,2.61,2.62,2.61
21/07/20,2270.0,2.27,2.27,2.27,2.27
12/08/20,10640.0,2.66,2.66,2.66,2.66
14/08/20,20800.0,2.6,2.6,2.6,2.6
08/09/20,52000.0,2.6,2.6,2.6,2.6
09/09/20,78000.0,2.6,2.6,2.6,2.6
10/09/20,78000.0,2.6,2.6,2.6,2.6
15/09/20,78000.0,2.6,2.6,2.6,2.6
16/09/20,78000.0,2.6,2.6,2.6,2.6
17/09/20,103820.0,2.6,2.48,2.6,2.2
18/09/20,85580.0,2.48,2.6,2.6,2.45
23/09/20,104100.0,2.6,2.61,2.61,2.6
16/10/20,24870.0,2.42,2.59,2.59,2.41
20/10/20,2590.0,2.59,2.59,2.59,2.59
17/11/20,5040.0,2.52,2.52,2.52,2.52
19/11/20,37190.0,2.61,2.98,2.98,2.6
23/11/20,0.0,0.0,0.0,0.0,0.0
24/11/20,17500.0,2.5,2.5,2.5,2.5
25/11/20,2800.0,2.8,2.8,2.8,2.8
02/12/20,642970.0,2.89,3.0,3.0,2.89
04/12/20,488630.0,2.99,3.0,3.0,2.99
07/12/20,8970.0,2.99,2.99,2.99,2.99
09/12/20,17640.0,2.94,2.94,2.94,2.94
10/12/20,383970.0,2.99,3.0,3.0,2.99
11/12/20,23200.0,2.9,2.9,2.9,2.9
14/12/20,455750.0,2.95,3.0,3.0,2.95
17/12/20,698800.0,2.98,3.0,3.0,2.98
18/12/20,2160000.0,3.0,3.0,3.0,3.0
21/12/20,24080.0,3.01,3.01,3.01,3.01
22/12/20,23640.0,2.98,2.9,2.98,2.9
23/12/20,668730.0,2.93,3.0,3.0,2.93
29/12/20,33490.0,3.03,3.05,3.05,3.03
04/01/21,450000.0,3.0,3.0,3.0,3.0
07/01/21,48000.0,3.0,3.0,3.0,3.0
08/01/21,336000.0,3.0,3.0,3.0,3.0
11/01/21,18000.0,3.0,3.0,3.0,3.0
