Date,Value,Open,Close,High,Low
02/01/20,120440.0,23.9,23.5,23.9,23.5
03/01/20,3783610.0,23.6,23.5,23.6,23.5
06/01/20,2251485.0,23.45,22.4,23.45,22.4
07/01/20,638815.0,22.45,22.4,22.45,22.4
08/01/20,270520.0,22.4,22.25,22.45,22.25
09/01/20,272510.0,22.3,23.0,23.0,22.3
10/01/20,461825.0,22.75,22.75,22.75,22.75
14/01/20,641910.0,22.5,22.85,22.85,22.5
15/01/20,305420.0,23.0,22.6,23.0,22.6
16/01/20,177945.0,22.6,22.45,22.6,22.45
17/01/20,117520.0,23.0,22.55,23.0,22.55
20/01/20,636470.0,22.5,22.45,22.5,22.45
21/01/20,185920.0,22.4,22.4,22.4,22.4
22/01/20,331915.0,22.35,22.25,22.35,22.25
23/01/20,429900.0,22.25,22.15,22.25,22.1
24/01/20,1374840.0,22.15,22.0,22.2,21.95
27/01/20,831600.0,22.0,22.0,22.0,22.0
28/01/20,510415.0,22.0,22.0,22.1,22.0
29/01/20,1138815.0,21.95,22.0,22.0,21.0
30/01/20,468630.0,21.1,21.05,21.7,21.05
31/01/20,848615.0,22.0,20.0,23.4,20.0
03/02/20,3850943.0,20.0,20.0,20.8,19.1
05/02/20,1213660.0,20.1,20.5,20.6,20.1
06/02/20,268690.0,20.65,20.7,20.7,20.65
10/02/20,136670.0,20.75,20.7,20.75,20.7
11/02/20,1337220.0,20.7,20.7,20.7,20.7
12/02/20,24995.0,20.95,20.7,21.0,20.7
13/02/20,464530.0,20.6,20.5,20.7,20.5
17/02/20,1973105.0,20.7,20.85,21.0,20.7
18/02/20,1138820.0,21.95,20.5,21.95,20.4
19/02/20,5226080.0,20.75,20.5,20.75,20.45
20/02/20,6828440.0,20.6,20.5,21.6,20.45
21/02/20,24066155.0,20.5,20.45,20.5,20.45
24/02/20,1202195.0,20.5,20.4,20.5,20.25
26/02/20,502922.0,20.2,19.6,20.2,19.5
27/02/20,89660.0,19.9,20.0,20.0,19.9
28/02/20,26678622.0,19.7,19.68,20.0,19.68
02/03/20,16143444.0,19.68,19.68,19.7,19.68
03/03/20,231552.0,19.68,19.8,19.8,19.68
04/03/20,416514.0,19.8,19.98,19.98,19.8
05/03/20,21866.0,19.82,19.9,19.9,19.82
06/03/20,389524.0,20.0,19.8,20.0,19.74
09/03/20,1169972.0,19.74,19.0,19.9,18.52
10/03/20,1261060.0,19.0,19.0,19.3,18.8
11/03/20,76090.0,19.3,19.0,19.3,19.0
12/03/20,1495060.0,19.0,18.4,19.0,18.4
13/03/20,1458446.0,18.4,18.2,18.5,17.5
16/03/20,820890.0,17.5,17.0,17.5,17.0
19/03/20,679906.0,17.0,15.6,17.0,15.5
20/03/20,243514.0,15.62,17.0,17.0,14.0
23/03/20,39780.0,17.0,16.5,17.0,16.5
24/03/20,1650.0,16.5,16.5,16.5,16.5
25/03/20,1395630.0,16.5,16.9,18.1,16.5
26/03/20,360298.0,16.98,17.0,17.0,16.5
27/03/20,181164.0,17.0,17.5,17.5,17.0
30/03/20,339800.0,17.3,17.0,17.5,16.0
31/03/20,202044.0,16.6,17.1,17.1,16.5
01/04/20,90510.0,17.0,17.2,17.2,17.0
02/04/20,246568.0,17.1,16.8,17.1,16.8
03/04/20,2929580.0,16.7,17.1,17.1,16.7
06/04/20,97238.0,17.68,17.4,17.68,17.3
07/04/20,613496.0,17.68,17.68,17.68,17.68
08/04/20,598150.0,17.6,17.0,17.6,17.0
13/04/20,73270.0,17.5,17.3,17.5,17.3
14/04/20,354966.0,17.7,17.5,17.98,17.5
15/04/20,3613746.0,17.66,17.6,18.0,17.6
16/04/20,66860.0,17.6,17.5,17.6,17.5
17/04/20,60340.0,17.5,17.78,17.78,17.5
20/04/20,51862.0,17.28,17.34,17.34,17.28
21/04/20,469320.0,17.36,16.14,17.36,16.14
22/04/20,120680.0,17.28,17.28,17.28,17.0
23/04/20,7180.0,17.98,17.94,17.98,17.94
24/04/20,610264.0,17.94,17.52,17.94,17.5
27/04/20,423564.0,17.52,17.5,17.52,17.5
28/04/20,651544.0,17.3,16.82,17.3,16.82
29/04/20,162450.0,17.0,16.6,17.0,16.5
30/04/20,758198.0,17.0,16.6,17.1,16.5
04/05/20,9079498.0,16.6,16.5,16.6,16.5
05/05/20,435012.0,16.54,16.52,16.84,16.5
06/05/20,1628920.0,16.6,17.02,17.04,16.5
07/05/20,938192.0,17.1,16.6,17.1,16.6
08/05/20,922398.0,16.6,16.98,16.98,16.6
11/05/20,948154.0,16.72,16.76,16.78,16.68
12/05/20,751342.0,16.9,16.5,16.98,16.5
13/05/20,375822.0,16.6,16.4,16.6,16.4
14/05/20,448814.0,16.76,16.2,16.76,16.2
15/05/20,2642118.0,16.2,15.9,16.46,15.9
18/05/20,31959572.0,16.5,15.9,16.5,15.9
19/05/20,89268.0,16.0,15.8,16.02,15.8
20/05/20,274960.0,15.82,15.62,15.82,15.62
21/05/20,224806.0,16.2,15.42,16.2,15.2
22/05/20,138780.0,15.52,15.4,15.54,15.4
26/05/20,445618.0,15.2,14.54,15.2,14.5
27/05/20,221350.0,14.82,15.98,15.98,14.8
28/05/20,381800.0,16.0,16.2,16.2,16.0
29/05/20,2369364.0,16.48,16.5,16.5,16.3
01/06/20,354346.0,16.5,16.3,16.7,16.3
02/06/20,913838.0,16.7,16.5,16.7,16.4
03/06/20,301591030.0,16.5,20.7,21.85,16.5
04/06/20,3153356.0,20.7,20.25,20.7,19.2
05/06/20,1825165.0,20.3,19.8,20.35,19.2
08/06/20,1967709.0,19.8,19.22,20.25,19.0
09/06/20,1690684.0,19.22,19.1,19.22,18.6
10/06/20,942700.0,19.1,18.72,19.1,18.7
11/06/20,565930.0,18.72,18.5,18.72,17.02
15/06/20,1484286.0,17.98,17.8,17.98,17.02
16/06/20,1663284.0,17.8,18.44,18.5,17.8
17/06/20,275700.0,18.6,18.2,18.6,18.2
18/06/20,109846.0,18.04,18.0,18.12,17.98
19/06/20,2053632.0,18.0,17.1,18.1,17.06
22/06/20,8395250.0,17.12,17.6,17.6,16.52
23/06/20,1500488.0,17.6,17.0,17.6,17.0
24/06/20,1050616.0,17.58,16.78,17.58,16.78
25/06/20,10292.0,17.42,17.1,17.42,17.1
26/06/20,458012.0,17.0,17.0,17.12,17.0
29/06/20,259222.0,17.0,16.94,17.0,16.8
30/06/20,624552.0,16.98,16.96,17.0,16.9
01/07/20,211856.0,16.96,16.96,16.96,16.92
02/07/20,1123796.0,16.96,16.96,16.96,16.9
03/07/20,1868306.0,16.96,17.06,17.16,16.96
06/07/20,470326.0,17.2,17.04,17.2,17.0
07/07/20,985550.0,17.2,17.16,17.2,17.1
08/07/20,2144870.0,17.16,17.08,17.16,17.0
09/07/20,32486.0,17.18,17.08,17.18,17.02
10/07/20,1207402.0,17.08,17.06,17.1,17.04
13/07/20,686762.0,17.16,16.8,17.16,16.8
14/07/20,92534.0,16.8,17.1,17.1,16.7
15/07/20,28658.0,16.72,17.0,17.1,16.72
16/07/20,116058.0,16.82,16.82,16.82,16.82
17/07/20,54510.0,17.1,17.0,17.1,17.0
20/07/20,88296.0,17.0,17.1,17.1,16.96
21/07/20,10260.0,17.1,17.1,17.1,17.1
22/07/20,17100.0,17.1,17.1,17.1,17.1
23/07/20,2173646.0,17.1,16.7,17.1,16.7
24/07/20,284420.0,16.7,16.7,16.7,16.6
27/07/20,394930.0,16.58,16.02,16.7,16.02
28/07/20,524986.0,16.04,16.04,16.04,16.0
29/07/20,351920.0,16.1,16.0,16.1,16.0
30/07/20,217036.0,15.96,15.94,15.96,15.94
03/08/20,243280.0,15.94,15.6,16.58,15.52
04/08/20,516372.0,15.6,15.72,15.72,15.6
05/08/20,87954.0,15.72,15.72,15.98,15.6
06/08/20,1037670.0,16.06,15.78,16.06,15.74
07/08/20,130488.0,16.98,15.9,16.98,15.9
