Date,Value,Open,Close,High,Low
02/01/20,43109710.0,27.3,29.0,29.0,27.2
03/01/20,99996515.0,28.85,29.5,29.8,28.1
06/01/20,44757335.0,29.4,28.75,29.4,28.3
07/01/20,61707175.0,28.75,28.5,29.0,28.35
08/01/20,27161035.0,28.4,28.1,28.45,27.7
09/01/20,71429335.0,28.1,27.55,28.2,27.5
10/01/20,83619285.0,27.5,27.15,27.5,26.85
14/01/20,60997645.0,27.15,27.75,27.75,27.05
15/01/20,48466105.0,27.75,27.6,28.1,27.25
16/01/20,36644540.0,27.65,27.2,27.8,27.1
17/01/20,36587105.0,27.2,27.7,27.75,27.15
20/01/20,76037500.0,27.6,26.2,27.9,26.2
21/01/20,55582395.0,26.4,27.0,27.1,26.05
22/01/20,32188120.0,27.0,27.85,27.9,26.3
23/01/20,65868955.0,27.85,28.35,28.35,27.15
24/01/20,16794245.0,28.35,28.3,28.35,27.6
27/01/20,42431455.0,28.3,27.6,28.3,27.6
28/01/20,41128780.0,27.5,27.2,27.55,26.85
29/01/20,28469950.0,27.0,26.95,27.0,26.8
30/01/20,105003510.0,26.95,26.5,27.15,26.4
31/01/20,59432050.0,26.5,25.5,26.95,25.25
03/02/20,44233075.0,25.25,24.25,25.3,24.25
04/02/20,26456255.0,24.25,25.15,25.9,24.25
05/02/20,9446245.0,25.2,25.25,25.75,25.2
06/02/20,20662905.0,25.5,25.9,25.9,25.25
07/02/20,24336110.0,25.9,25.25,25.9,25.25
10/02/20,53501240.0,25.25,24.65,25.4,24.6
11/02/20,11468000.0,24.55,24.75,24.85,24.45
12/02/20,13003690.0,24.75,24.65,25.0,24.6
13/02/20,16219940.0,24.65,24.7,24.7,24.4
14/02/20,25513280.0,24.7,24.5,25.45,24.5
17/02/20,12031685.0,24.5,24.6,25.4,24.25
18/02/20,18162540.0,24.55,24.6,25.3,24.55
19/02/20,99897250.0,25.15,25.2,25.85,24.7
20/02/20,41606940.0,25.2,25.6,25.85,25.2
21/02/20,61894845.0,25.9,25.3,25.9,25.15
24/02/20,39855485.0,24.7,25.0,25.3,24.6
26/02/20,56197010.0,24.95,23.65,24.95,23.0
27/02/20,30256450.0,23.7,23.4,24.95,23.4
28/02/20,66457550.0,23.1,21.3,23.55,21.3
02/03/20,63960730.0,21.6,21.75,22.75,21.5
03/03/20,111428570.0,22.2,23.0,23.2,22.2
04/03/20,32659350.0,23.1,24.5,24.5,22.45
