Date,Value,Open,Close,High,Low
02/01/20,4391808.0,79.8,79.95,79.95,77.9
03/01/20,24130437.5,79.95,80.1,80.1,78.5
06/01/20,35275691.5,80.0,79.0,80.0,77.75
07/01/20,29427547.0,79.0,79.0,79.05,78.3
08/01/20,20874131.5,78.3,78.5,79.0,77.5
09/01/20,6781846.5,78.55,79.45,79.5,78.55
10/01/20,30569916.0,79.1,79.5,79.5,79.0
14/01/20,29149154.0,79.4,79.0,79.5,77.8
15/01/20,52861559.5,79.2,78.0,79.2,77.5
16/01/20,6714986.0,77.8,77.55,79.0,77.4
17/01/20,2116007.0,77.55,78.3,78.3,77.5
20/01/20,6604917.0,78.3,78.5,78.55,76.95
21/01/20,3048960.5,78.0,79.0,79.0,77.95
22/01/20,35828836.0,79.2,78.05,79.2,77.55
23/01/20,20055981.5,78.05,78.0,79.0,77.75
24/01/20,9364094.0,79.5,79.0,79.5,77.0
27/01/20,3217897.0,79.5,79.0,79.5,75.6
28/01/20,2638578.5,79.25,79.2,79.3,77.5
29/01/20,7817776.5,79.2,77.6,79.2,76.85
30/01/20,54722495.0,79.0,77.6,79.0,76.25
31/01/20,24661920.0,77.6,77.05,78.0,76.8
03/02/20,6630740.0,76.25,76.25,77.0,76.25
04/02/20,23643265.0,76.25,77.6,77.6,75.6
05/02/20,5291274.5,77.6,76.0,77.6,76.0
06/02/20,31698179.5,75.75,77.6,77.6,75.75
07/02/20,41780630.5,76.5,77.55,77.65,76.5
10/02/20,12779747.0,77.55,76.7,77.55,76.15
11/02/20,40251056.0,75.5,75.2,75.65,74.55
12/02/20,22201206.5,74.5,73.65,74.7,73.65
13/02/20,7222576.5,73.65,72.7,73.8,72.0
14/02/20,41779943.0,71.6,71.65,74.5,71.6
17/02/20,6278265.5,72.0,71.0,73.9,71.0
18/02/20,13686383.5,71.0,71.4,72.0,71.0
19/02/20,30625357.0,71.0,71.3,71.4,71.0
20/02/20,12504802.0,71.2,72.4,73.5,71.1
21/02/20,4127371.0,72.5,72.35,72.6,72.35
24/02/20,13497554.0,72.1,71.0,72.1,70.8
26/02/20,14498279.0,71.1,70.55,71.1,70.15
27/02/20,10766825.0,70.55,70.55,70.55,69.9
28/02/20,17576162.5,69.8,66.6,69.8,64.95
02/03/20,16048915.0,66.6,65.0,66.6,63.3
03/03/20,53583820.5,69.95,62.0,69.95,61.75
04/03/20,38706382.5,62.25,61.5,63.1,61.2
05/03/20,15258777.0,64.55,61.5,64.55,61.5
06/03/20,27660665.0,61.4,61.5,62.25,61.2
09/03/20,33928087.5,60.15,57.0,60.15,56.7
10/03/20,66022639.5,57.0,56.0,57.95,55.15
11/03/20,23744986.5,57.0,54.6,57.55,53.5
12/03/20,47053461.0,54.7,52.0,54.75,48.0
13/03/20,7403279.5,48.1,54.0,57.0,48.0
16/03/20,2626755.5,54.0,51.35,54.0,50.0
19/03/20,14211247.5,50.0,46.1,50.0,44.0
20/03/20,16558040.0,45.05,49.95,50.0,45.05
23/03/20,12357885.0,49.8,49.9,50.0,48.0
24/03/20,14328385.0,49.0,49.0,49.95,48.0
25/03/20,21922695.0,52.0,51.45,53.95,50.3
26/03/20,87135510.0,51.45,52.2,53.2,51.45
27/03/20,50093900.5,52.5,54.5,55.8,52.5
30/03/20,32070421.5,54.55,58.95,58.95,54.35
31/03/20,36552837.5,57.0,57.0,57.8,55.0
01/04/20,8141957.5,57.0,57.2,57.2,55.15
02/04/20,47234245.0,57.0,54.9,57.0,54.8
03/04/20,33377309.5,54.9,56.0,56.85,54.85
06/04/20,15503838.0,57.0,64.0,64.0,56.1
07/04/20,15541580.0,63.0,61.45,63.0,61.0
08/04/20,88749873.5,61.95,61.5,61.95,58.5
13/04/20,8675614.0,61.5,61.5,62.0,59.0
14/04/20,20697895.5,61.5,64.0,64.1,59.8
15/04/20,53932751.5,64.1,64.95,65.7,63.9
16/04/20,24676304.5,64.95,58.5,64.95,55.05
17/04/20,33286988.0,59.5,61.0,62.0,59.5
20/04/20,29588002.5,62.7,61.4,62.7,60.95
21/04/20,22862330.0,61.1,60.8,61.1,60.2
22/04/20,23799019.0,60.8,60.2,60.9,59.0
23/04/20,28680731.0,61.35,61.3,61.95,60.95
24/04/20,28992740.0,61.6,60.8,61.6,60.8
27/04/20,18437250.5,60.8,62.0,62.0,60.5
28/04/20,38133931.0,63.0,62.5,64.5,62.25
29/04/20,103121466.5,62.0,64.95,65.0,62.0
30/04/20,47573889.0,65.55,67.0,69.5,65.55
04/05/20,30904311.0,67.0,65.0,67.05,64.7
05/05/20,101176008.5,66.5,65.95,66.5,65.0
06/05/20,39582260.5,66.0,66.45,67.5,65.9
07/05/20,51502015.0,67.0,66.5,67.0,66.0
08/05/20,11649514.0,67.0,66.45,67.0,66.45
11/05/20,6230274.5,66.45,66.45,66.95,66.2
12/05/20,49730105.5,66.9,66.5,66.9,66.3
13/05/20,84890952.5,66.95,67.05,67.95,66.6
