Date,Value,Open,Close,High,Low
02/01/20,449110.0,2.1,2.1,2.18,2.1
03/01/20,157360.0,2.12,2.06,2.13,2.06
06/01/20,204480.0,2.1,2.12,2.12,2.1
07/01/20,504530.0,2.06,2.03,2.12,2.03
08/01/20,140030.0,2.13,2.08,2.13,2.05
09/01/20,525800.0,2.12,2.12,2.14,2.12
10/01/20,93270.0,2.1,2.09,2.14,2.09
14/01/20,576110.0,2.09,2.15,2.18,2.07
15/01/20,109290.0,2.09,2.11,2.11,2.09
16/01/20,182090.0,2.11,2.13,2.13,2.11
17/01/20,12780.0,2.13,2.13,2.13,2.13
20/01/20,52410.0,2.09,2.12,2.12,2.09
21/01/20,370280.0,2.09,2.08,2.09,2.07
22/01/20,2084520.0,2.1,2.07,2.1,2.07
23/01/20,16820.0,2.1,2.08,2.12,2.08
24/01/20,76810.0,2.1,2.08,2.1,2.05
27/01/20,37170.0,2.07,2.06,2.07,2.05
28/01/20,51360.0,2.06,2.05,2.06,2.05
29/01/20,143250.0,2.07,2.09,2.09,2.07
30/01/20,26780.0,2.06,2.06,2.06,2.06
31/01/20,182510.0,2.06,2.06,2.06,2.04
03/02/20,279810.0,2.06,2.05,2.06,2.05
04/02/20,83200.0,2.08,2.08,2.08,2.08
05/02/20,107000.0,2.09,2.07,2.1,2.07
06/02/20,386980.0,2.08,2.08,2.09,2.08
07/02/20,29070.0,2.07,2.08,2.08,2.07
10/02/20,659810.0,2.08,2.13,2.13,2.07
11/02/20,301980.0,2.13,2.07,2.14,2.07
12/02/20,295440.0,2.1,2.08,2.12,2.08
13/02/20,1828550.0,2.1,2.02,2.1,2.0
14/02/20,5624040.0,2.0,2.07,2.08,1.9
17/02/20,483660.0,1.91,1.96,2.0,1.9
18/02/20,315330.0,1.94,1.96,1.96,1.94
19/02/20,950770.0,1.95,1.9,1.95,1.9
20/02/20,293500.0,1.96,2.04,2.05,1.95
21/02/20,65520.0,2.05,2.05,2.05,2.03
24/02/20,11750.0,1.96,1.95,1.96,1.95
26/02/20,528840.0,1.95,1.9,1.95,1.9
27/02/20,19290.0,1.9,1.94,1.94,1.9
28/02/20,167210.0,1.95,1.92,1.95,1.92
02/03/20,145230.0,1.92,1.91,1.92,1.91
03/03/20,29700.0,1.98,1.98,1.98,1.98
04/03/20,19780.0,1.98,1.97,1.98,1.97
05/03/20,78750.0,1.96,1.97,1.97,1.96
06/03/20,19500.0,1.95,1.95,1.95,1.95
09/03/20,1145120.0,1.91,1.88,1.91,1.88
10/03/20,367630.0,1.83,1.8,1.83,1.63
11/03/20,100820.0,1.93,1.82,1.93,1.81
12/03/20,392390.0,1.82,1.7,1.82,1.7
13/03/20,1689800.0,1.76,1.7,1.88,1.7
16/03/20,30680.0,1.7,1.78,1.78,1.7
19/03/20,84430.0,1.7,1.51,1.7,1.51
20/03/20,4680.0,1.51,1.55,1.62,1.51
23/03/20,964310.0,1.53,1.45,1.54,1.44
24/03/20,148900.0,1.5,1.6,1.6,1.5
25/03/20,748040.0,1.6,1.58,1.6,1.58
26/03/20,504820.0,1.58,1.57,1.58,1.45
27/03/20,510260.0,1.57,1.5,1.57,1.5
30/03/20,468200.0,1.5,1.48,1.5,1.48
31/03/20,1480.0,1.48,1.48,1.48,1.48
01/04/20,744640.0,1.48,1.44,1.5,1.44
02/04/20,564330.0,1.45,1.42,1.56,1.41
03/04/20,92850.0,1.45,1.46,1.5,1.44
06/04/20,506050.0,1.52,1.5,1.52,1.49
07/04/20,341510.0,1.52,1.5,1.53,1.5
08/04/20,269820.0,1.5,1.52,1.52,1.5
13/04/20,37450.0,1.5,1.5,1.5,1.49
14/04/20,25990.0,1.53,1.54,1.54,1.52
15/04/20,666950.0,1.54,1.52,1.54,1.52
16/04/20,521350.0,1.52,1.5,1.55,1.5
17/04/20,1863300.0,1.5,1.47,1.54,1.4
20/04/20,55750.0,1.5,1.52,1.53,1.5
21/04/20,117080.0,1.48,1.52,1.52,1.46
22/04/20,166280.0,1.5,1.5,1.5,1.45
23/04/20,410950.0,1.51,1.53,1.56,1.51
24/04/20,195910.0,1.55,1.54,1.55,1.54
27/04/20,39000.0,1.5,1.5,1.5,1.5
28/04/20,10770.0,1.54,1.53,1.54,1.53
29/04/20,32020.0,1.54,1.54,1.54,1.47
30/04/20,165080.0,1.5,1.52,1.54,1.5
04/05/20,264810.0,1.52,1.52,1.53,1.5
05/05/20,427150.0,1.53,1.51,1.54,1.51
06/05/20,161660.0,1.53,1.51,1.53,1.51
07/05/20,61200.0,1.53,1.53,1.53,1.53
11/05/20,93150.0,1.51,1.52,1.54,1.51
12/05/20,199800.0,1.53,1.5,1.53,1.5
13/05/20,104440.0,1.54,1.5,1.54,1.5
14/05/20,94500.0,1.5,1.5,1.5,1.5
15/05/20,54060.0,1.5,1.5,1.53,1.5
18/05/20,192700.0,1.49,1.47,1.49,1.45
19/05/20,171920.0,1.46,1.45,1.47,1.45
20/05/20,430520.0,1.44,1.48,1.48,1.42
21/05/20,143230.0,1.5,1.49,1.5,1.42
22/05/20,1460.0,1.46,1.46,1.46,1.46
26/05/20,56240.0,1.49,1.44,1.49,1.43
27/05/20,23110.0,1.45,1.44,1.45,1.44
28/05/20,43710.0,1.41,1.41,1.41,1.41
01/06/20,20720.0,1.48,1.48,1.48,1.48
02/06/20,17330.0,1.42,1.45,1.46,1.42
03/06/20,284260.0,1.49,1.48,1.49,1.48
04/06/20,155960.0,1.48,1.51,1.51,1.48
05/06/20,199930.0,1.51,1.52,1.52,1.5
08/06/20,210800.0,1.54,1.56,1.56,1.53
09/06/20,280290.0,1.58,1.68,1.68,1.58
10/06/20,163760.0,1.68,1.63,1.68,1.62
11/06/20,168520.0,1.59,1.53,1.61,1.53
15/06/20,126210.0,1.58,1.54,1.58,1.53
17/06/20,1550.0,1.55,1.55,1.55,1.55
18/06/20,54040.0,1.55,1.54,1.55,1.54
19/06/20,28200.0,1.54,1.58,1.58,1.54
22/06/20,175620.0,1.6,1.52,1.6,1.52
23/06/20,57920.0,1.52,1.55,1.55,1.51
24/06/20,4730.0,1.59,1.55,1.59,1.55
25/06/20,1550.0,1.55,1.55,1.55,1.55
26/06/20,9210.0,1.51,1.58,1.59,1.51
29/06/20,34570.0,1.55,1.58,1.6,1.51
30/06/20,274940.0,1.57,1.6,1.6,1.57
01/07/20,107420.0,1.63,1.57,1.63,1.57
02/07/20,275120.0,1.6,1.61,1.62,1.6
03/07/20,161590.0,1.59,1.6,1.6,1.59
06/07/20,558900.0,1.62,1.62,1.62,1.62
07/07/20,74600.0,1.58,1.6,1.6,1.58
08/07/20,238560.0,1.63,1.61,1.63,1.61
09/07/20,591370.0,1.63,1.64,1.68,1.6
10/07/20,265330.0,1.54,1.6,1.66,1.54
13/07/20,36070.0,1.58,1.55,1.58,1.55
14/07/20,12400.0,1.55,1.55,1.55,1.55
15/07/20,1196090.0,1.55,1.51,1.55,1.5
16/07/20,316890.0,1.55,1.51,1.55,1.51
20/07/20,38780.0,1.55,1.58,1.58,1.55
22/07/20,6200.0,1.55,1.55,1.55,1.55
23/07/20,46590.0,1.58,1.55,1.58,1.55
24/07/20,3100.0,1.55,1.55,1.55,1.55
27/07/20,6200.0,1.55,1.55,1.55,1.55
28/07/20,34060.0,1.55,1.51,1.55,1.51
03/08/20,81540.0,1.51,1.51,1.51,1.51
04/08/20,95090.0,1.5,1.51,1.51,1.5
05/08/20,360000.0,1.5,1.5,1.5,1.5
06/08/20,632590.0,1.55,1.55,1.55,1.49
07/08/20,27900.0,1.55,1.55,1.55,1.55
10/08/20,102800.0,1.5,1.58,1.58,1.5
11/08/20,87090.0,1.59,1.52,1.59,1.51
12/08/20,120750.0,1.52,1.59,1.59,1.52
13/08/20,193900.0,1.51,1.59,1.59,1.51
17/08/20,3040.0,1.52,1.52,1.52,1.52
18/08/20,124850.0,1.53,1.55,1.55,1.53
19/08/20,136350.0,1.55,1.53,1.55,1.53
20/08/20,18360.0,1.53,1.53,1.53,1.53
24/08/20,12160.0,1.52,1.52,1.52,1.52
25/08/20,1921330.0,1.52,1.52,1.53,1.52
27/08/20,12230.0,1.52,1.53,1.53,1.52
28/08/20,27580.0,1.57,1.52,1.57,1.52
01/09/20,4630.0,1.53,1.55,1.55,1.53
02/09/20,4650.0,1.55,1.55,1.55,1.55
04/09/20,10850.0,1.55,1.55,1.55,1.55
07/09/20,126220.0,1.55,1.52,1.55,1.52
08/09/20,4560.0,1.52,1.52,1.52,1.52
09/09/20,512240.0,1.52,1.52,1.52,1.52
11/09/20,6080.0,1.52,1.52,1.52,1.52
14/09/20,1510.0,1.51,1.51,1.51,1.51
15/09/20,935080.0,1.54,1.5,1.54,1.5
16/09/20,1500.0,1.5,1.5,1.5,1.5
17/09/20,1560.0,1.56,1.56,1.56,1.56
