Date,Value,Open,Close,High,Low
07/01/20,217440.0,1.78,1.84,1.84,1.78
08/01/20,177050.0,1.8,1.75,1.8,1.75
10/01/20,10560.0,1.76,1.76,1.76,1.76
14/01/20,8750.0,1.75,1.75,1.75,1.75
15/01/20,1760.0,1.76,1.76,1.76,1.76
16/01/20,136850.0,1.72,1.71,1.72,1.71
20/01/20,324210.0,1.73,1.68,1.73,1.68
23/01/20,406610.0,1.66,1.62,1.66,1.61
24/01/20,37410.0,1.8,1.76,1.8,1.76
27/01/20,8800.0,1.7,1.8,1.8,1.7
30/01/20,1700.0,1.7,1.7,1.7,1.7
31/01/20,291880.0,1.78,1.6,1.78,1.6
03/02/20,8000.0,1.6,1.6,1.6,1.6
05/02/20,3360.0,1.68,1.68,1.68,1.68
07/02/20,3360.0,1.68,1.68,1.68,1.68
10/02/20,21180.0,1.52,1.5,1.52,1.5
11/02/20,7550.0,1.51,1.51,1.51,1.51
17/02/20,147450.0,1.53,1.52,1.53,1.52
18/02/20,167200.0,1.52,1.52,1.52,1.52
19/02/20,167200.0,1.52,1.52,1.52,1.52
26/02/20,3020.0,1.51,1.51,1.51,1.51
28/02/20,1500.0,1.5,1.5,1.5,1.5
03/03/20,13520.0,1.51,1.5,1.51,1.5
09/03/20,115500.0,1.5,1.5,1.5,1.5
10/03/20,41000.0,1.5,1.45,1.5,1.45
13/03/20,2860.0,1.43,1.43,1.43,1.43
16/03/20,14250.0,1.42,1.43,1.43,1.42
19/03/20,22820.0,1.42,1.43,1.43,1.42
23/03/20,80800.0,1.42,1.38,1.42,1.38
24/03/20,1380.0,1.38,1.38,1.38,1.38
26/03/20,13800.0,1.38,1.38,1.38,1.38
27/03/20,5460.0,1.36,1.38,1.38,1.36
08/04/20,27630.0,1.42,1.36,1.42,1.36
14/04/20,37040.0,1.49,1.5,1.55,1.49
15/04/20,169150.0,1.37,1.35,1.38,1.35
16/04/20,227500.0,1.38,1.3,1.38,1.3
20/04/20,36860.0,1.32,1.3,1.32,1.3
23/04/20,9730.0,1.39,1.39,1.39,1.39
24/04/20,37810.0,1.39,1.43,1.44,1.38
27/04/20,380400.0,1.35,1.3,1.35,1.3
29/04/20,119310.0,1.43,1.4,1.43,1.4
30/04/20,24140.0,1.42,1.42,1.42,1.42
04/05/20,45610.0,1.44,1.49,1.49,1.44
05/05/20,59630.0,1.52,1.49,1.52,1.49
06/05/20,8940.0,1.49,1.49,1.49,1.49
07/05/20,25280.0,1.41,1.4,1.41,1.4
11/05/20,8480.0,1.41,1.41,1.42,1.41
13/05/20,29320.0,1.4,1.32,1.4,1.32
14/05/20,13730.0,1.4,1.36,1.4,1.36
18/05/20,125760.0,1.36,1.29,1.36,1.29
20/05/20,12850.0,1.29,1.28,1.29,1.28
26/05/20,212840.0,1.33,1.48,1.5,1.33
27/05/20,51330.0,1.49,1.38,1.49,1.33
28/05/20,114380.0,1.33,1.43,1.43,1.29
29/05/20,64070.0,1.43,1.4,1.48,1.4
01/06/20,130170.0,1.33,1.35,1.39,1.3
03/06/20,21450.0,1.36,1.46,1.46,1.36
04/06/20,15550.0,1.4,1.43,1.43,1.4
05/06/20,744000.0,1.52,1.56,1.6,1.48
08/06/20,194910.0,1.62,1.65,1.65,1.62
09/06/20,3340.0,1.67,1.67,1.67,1.67
10/06/20,78950.0,1.67,1.6,1.67,1.6
11/06/20,55090.0,1.51,1.56,1.6,1.51
15/06/20,57600.0,1.6,1.6,1.6,1.6
16/06/20,41510.0,1.6,1.6,1.6,1.59
17/06/20,16300.0,1.64,1.62,1.64,1.62
18/06/20,29310.0,1.62,1.62,1.65,1.62
19/06/20,4830.0,1.61,1.61,1.61,1.61
22/06/20,16100.0,1.61,1.61,1.61,1.61
24/06/20,19290.0,1.61,1.6,1.61,1.6
26/06/20,52620.0,1.6,1.59,1.6,1.59
29/06/20,36450.0,1.53,1.51,1.53,1.51
30/06/20,72850.0,1.53,1.52,1.53,1.51
01/07/20,15000.0,1.5,1.5,1.5,1.5
02/07/20,4620.0,1.54,1.54,1.54,1.54
10/07/20,27480.0,1.46,1.42,1.46,1.42
13/07/20,13060.0,1.44,1.46,1.46,1.44
14/07/20,28330.0,1.51,1.47,1.51,1.47
15/07/20,3020.0,1.51,1.51,1.51,1.51
21/07/20,13320.0,1.48,1.48,1.48,1.48
22/07/20,14900.0,1.48,1.48,1.5,1.48
23/07/20,30250.0,1.52,1.48,1.53,1.48
27/07/20,196680.0,1.49,1.33,1.49,1.33
28/07/20,174340.0,1.48,1.49,1.56,1.48
29/07/20,44560.0,1.49,1.41,1.49,1.41
30/07/20,7050.0,1.41,1.41,1.41,1.41
03/08/20,26600.0,1.4,1.4,1.4,1.4
04/08/20,46200.0,1.4,1.4,1.4,1.4
05/08/20,12600.0,1.4,1.4,1.4,1.4
07/08/20,138550.0,1.41,1.48,1.66,1.41
10/08/20,128550.0,1.5,1.6,1.64,1.5
11/08/20,22230.0,1.56,1.59,1.59,1.56
12/08/20,6360.0,1.59,1.59,1.59,1.59
13/08/20,224750.0,1.67,1.63,1.67,1.63
14/08/20,298050.0,1.62,1.65,1.69,1.6
17/08/20,131850.0,1.63,1.66,1.66,1.6
26/08/20,271760.0,1.65,1.57,1.65,1.57
27/08/20,1560.0,1.56,1.56,1.56,1.56
28/08/20,1650.0,1.65,1.65,1.65,1.65
01/09/20,71720.0,1.63,1.63,1.63,1.63
02/09/20,32970.0,1.57,1.57,1.57,1.57
04/09/20,1170800.0,1.56,1.72,1.72,1.48
07/09/20,1792360.0,1.48,1.94,1.95,1.48
08/09/20,4085440.0,2.09,1.99,2.36,1.94
09/09/20,254070.0,1.98,1.9,1.99,1.9
10/09/20,309090.0,1.9,1.84,1.94,1.76
11/09/20,348650.0,1.89,1.95,1.98,1.89
14/09/20,1301760.0,1.95,1.96,2.1,1.86
15/09/20,656880.0,1.96,1.97,2.03,1.91
16/09/20,538120.0,1.95,1.95,2.04,1.94
17/09/20,547420.0,1.89,1.95,1.97,1.89
18/09/20,246150.0,1.89,1.87,1.93,1.86
21/09/20,168240.0,1.86,1.8,1.89,1.71
22/09/20,222440.0,1.8,1.83,1.85,1.77
23/09/20,19930.0,1.81,1.78,1.82,1.78
24/09/20,30040.0,1.78,1.76,1.78,1.76
25/09/20,31620.0,1.76,1.76,1.76,1.75
28/09/20,85150.0,1.75,1.71,1.75,1.71
29/09/20,117110.0,1.71,1.68,1.71,1.68
30/09/20,52080.0,1.68,1.68,1.68,1.68
01/10/20,164120.0,1.79,1.68,1.81,1.68
02/10/20,127610.0,1.7,1.86,1.88,1.7
05/10/20,153350.0,1.88,1.79,1.88,1.78
06/10/20,21450.0,1.79,1.78,1.8,1.78
07/10/20,11880.0,1.7,1.69,1.7,1.69
08/10/20,78710.0,1.73,1.76,1.76,1.73
09/10/20,22890.0,1.75,1.82,1.82,1.75
13/10/20,8550.0,1.71,1.71,1.71,1.71
14/10/20,75150.0,1.78,1.72,1.78,1.72
15/10/20,165790.0,1.72,1.83,1.85,1.72
19/10/20,15840.0,1.78,1.75,1.78,1.75
20/10/20,23220.0,1.8,1.77,1.8,1.77
