Date,Value,Open,Close,High,Low
02/01/20,18520.0,9.26,9.26,9.26,9.26
03/01/20,956756.0,8.96,8.8,8.96,8.8
06/01/20,612570.0,8.81,8.74,8.81,8.74
07/01/20,620641.0,8.77,9.25,9.25,8.71
08/01/20,1486588.0,9.25,8.73,9.25,8.7
09/01/20,57650364.0,9.15,9.05,9.42,8.9
10/01/20,449841.0,9.12,9.08,9.43,9.08
14/01/20,3157925.0,9.39,9.43,9.48,9.35
15/01/20,39585.0,9.45,9.44,9.45,9.28
16/01/20,334725.0,9.1,9.35,9.35,9.1
17/01/20,1302305.0,9.22,9.39,9.39,9.14
20/01/20,1287460.0,9.18,9.2,9.2,9.18
21/01/20,203556.0,9.11,9.2,9.2,9.03
22/01/20,1164856.0,9.18,9.04,9.2,9.04
23/01/20,1372724.0,9.18,8.99,9.2,8.93
24/01/20,149215.0,9.0,9.19,9.19,9.0
27/01/20,2340645.0,9.2,9.2,9.44,9.2
28/01/20,256740.0,9.2,9.19,9.2,9.11
29/01/20,108152.0,9.09,9.08,9.09,9.08
30/01/20,601165.0,9.1,9.09,9.25,9.09
31/01/20,1016936.0,9.09,8.75,9.09,8.75
03/02/20,484000.0,8.8,8.8,8.8,8.8
04/02/20,531766.0,8.8,8.8,8.8,8.73
05/02/20,382521.0,8.73,8.99,9.0,8.73
06/02/20,167214.0,8.99,8.99,8.99,8.99
07/02/20,9690.0,8.8,8.9,8.9,8.8
10/02/20,44350.0,8.87,8.87,8.87,8.87
11/02/20,1715676.0,9.1,8.7,9.24,8.7
12/02/20,112970.0,8.69,8.69,8.69,8.69
13/02/20,30885.0,8.7,8.99,8.99,8.7
14/02/20,178987.0,8.95,8.98,8.98,8.66
17/02/20,8082.0,8.98,8.98,8.98,8.98
18/02/20,149900.0,8.85,8.8,8.85,8.8
19/02/20,814936.0,8.96,8.76,8.96,8.74
20/02/20,17460.0,8.73,8.73,8.73,8.73
24/02/20,508369.0,8.73,9.2,9.2,8.73
27/02/20,341055.0,8.9,8.9,8.9,8.76
28/02/20,220479.0,8.75,8.75,8.75,8.72
02/03/20,105570.0,8.9,8.65,8.9,8.65
03/03/20,32005.0,8.65,8.65,8.65,8.65
04/03/20,143220.0,8.64,8.6,8.64,8.6
05/03/20,27970.0,8.6,8.9,8.9,8.6
06/03/20,15520.0,8.9,8.31,8.9,8.31
09/03/20,114825.0,8.25,7.05,8.25,7.05
10/03/20,117793.0,6.97,6.97,6.97,6.97
12/03/20,35854.0,6.9,6.75,6.97,6.75
16/03/20,44147.0,8.48,8.49,8.49,8.48
19/03/20,518295.0,5.0,5.75,6.0,5.0
20/03/20,91000.0,7.0,6.2,7.0,6.0
25/03/20,3600.0,6.0,6.0,6.0,6.0
26/03/20,99103.0,6.0,5.91,6.0,5.8
27/03/20,10060.0,6.5,6.0,6.5,6.0
30/03/20,30000.0,6.0,5.4,6.0,5.4
31/03/20,44856.0,5.42,5.4,5.42,5.4
01/04/20,1110.0,5.5,5.6,5.6,5.5
06/04/20,168006.0,5.6,5.03,5.6,5.02
07/04/20,78185.0,5.75,5.75,5.75,5.74
08/04/20,53500.0,5.75,5.75,5.8,5.75
15/04/20,2925.0,5.85,5.85,5.85,5.85
16/04/20,8176.0,5.84,5.84,5.84,5.84
21/04/20,15658.0,5.79,5.79,5.84,5.79
22/04/20,15388.0,5.3,5.32,5.32,5.3
27/04/20,1560.0,5.2,5.2,5.2,5.2
29/04/20,54113.0,5.21,5.2,5.21,5.2
30/04/20,514.0,5.14,5.14,5.14,5.14
04/05/20,7420.0,5.6,5.8,5.8,5.6
05/05/20,117740.0,5.8,5.8,5.8,5.8
06/05/20,590.0,5.9,5.9,5.9,5.9
07/05/20,4138.0,5.9,5.98,5.98,5.9
08/05/20,26558.0,5.9,5.98,5.98,5.9
13/05/20,22440.0,5.61,5.61,5.61,5.61
15/05/20,1196.0,5.98,5.98,5.98,5.98
18/05/20,11347.0,5.99,5.97,5.99,5.97
19/05/20,75946.0,5.98,5.98,5.98,5.98
29/05/20,314524.0,5.5,5.4,5.5,5.13
01/06/20,7020.0,5.4,5.4,5.4,5.4
05/06/20,625520.0,5.25,5.25,5.25,4.51
08/06/20,116440.0,5.24,5.25,5.25,5.24
09/06/20,116364.0,5.38,5.39,5.39,5.38
10/06/20,46895.0,5.0,5.33,5.35,5.0
11/06/20,57780.0,5.4,5.4,5.4,5.4
15/06/20,3640.0,5.2,5.2,5.2,5.2
17/06/20,8670.0,5.1,5.1,5.1,5.1
18/06/20,57228.0,5.02,5.02,5.02,5.02
19/06/20,53189.0,5.02,5.02,5.02,5.01
22/06/20,26052.0,5.02,5.01,5.02,5.0
23/06/20,20712.0,5.02,5.03,5.03,4.85
24/06/20,56530.0,5.03,5.0,5.03,5.0
25/06/20,4810.0,4.81,4.81,4.81,4.81
29/06/20,1448800.0,4.83,5.0,5.9,3.7
01/07/20,26132.0,4.65,4.67,4.67,4.65
02/07/20,1933410.0,4.65,5.04,5.04,4.65
03/07/20,1411210.0,3.66,5.01,5.01,3.66
06/07/20,2013290.0,5.28,5.07,5.28,4.5
07/07/20,1515.0,5.05,5.05,5.05,5.05
08/07/20,3535.0,5.05,5.05,5.05,5.05
10/07/20,1515.0,5.05,5.05,5.05,5.05
13/07/20,1502.0,5.04,4.99,5.04,4.99
14/07/20,1512690.0,4.05,5.0,5.0,4.05
15/07/20,2988.0,4.98,4.98,4.98,4.98
20/07/20,9750.0,4.95,4.8,4.95,4.8
21/07/20,4900.0,4.9,4.9,4.9,4.9
23/07/20,94750.0,4.51,4.51,4.52,4.51
29/07/20,37760.0,4.01,4.5,4.5,4.01
30/07/20,35980.0,4.5,4.49,4.5,4.49
03/08/20,17480.0,4.04,4.48,4.48,4.04
04/08/20,8090.0,4.02,4.07,4.07,4.02
05/08/20,140620.0,4.06,4.74,4.96,4.06
11/08/20,23300.0,4.5,4.7,4.7,4.5
12/08/20,62680.0,4.95,4.93,4.95,4.5
13/08/20,27380.0,4.5,4.88,4.88,4.5
14/08/20,98490.0,4.69,4.69,4.69,4.69
17/08/20,4870.0,4.87,4.87,4.87,4.87
18/08/20,9740.0,4.87,4.87,4.87,4.87
20/08/20,4860.0,4.86,4.86,4.86,4.86
25/08/20,13560.0,4.52,4.52,4.52,4.52
27/08/20,4500.0,4.5,4.5,4.5,4.5
28/08/20,13500.0,4.5,4.5,4.5,4.5
01/09/20,9000.0,4.5,4.5,4.5,4.5
03/09/20,22000.0,4.4,4.4,4.4,4.4
04/09/20,18970.0,4.77,4.6,4.8,4.6
07/09/20,77940.0,4.33,4.33,4.33,4.33
08/09/20,43400.0,4.34,4.34,4.34,4.34
09/09/20,8600.0,4.3,4.3,4.3,4.3
14/09/20,43200.0,4.32,4.32,4.32,4.32
15/09/20,64800.0,4.32,4.32,4.32,4.32
17/09/20,142340.0,4.32,4.3,4.32,4.3
18/09/20,16800.0,4.2,4.2,4.2,4.2
21/09/20,30100.0,4.3,4.3,4.3,4.3
22/09/20,25200.0,4.2,4.2,4.2,4.2
23/09/20,184230.0,4.0,4.01,4.02,3.46
24/09/20,12480.0,4.16,4.16,4.16,4.16
25/09/20,8340.0,4.17,4.17,4.17,4.17
28/09/20,3940.0,3.94,3.94,3.94,3.94
29/09/20,15760.0,3.94,3.94,3.94,3.94
30/09/20,400000.0,3.95,4.05,4.05,3.95
01/10/20,868480.0,4.0,4.17,4.17,3.95
02/10/20,412510.0,4.17,4.17,4.17,3.95
05/10/20,497440.0,3.91,4.19,4.19,3.91
06/10/20,221110.0,4.19,4.19,4.19,4.0
07/10/20,420730.0,3.98,4.19,4.19,3.98
08/10/20,413760.0,4.14,4.16,4.16,4.01
09/10/20,1474600.0,4.02,4.35,4.35,3.97
12/10/20,227600.0,4.22,4.2,4.22,4.2
13/10/20,386010.0,4.11,4.2,4.2,4.11
14/10/20,424200.0,4.2,4.2,4.2,4.05
15/10/20,392160.0,4.12,4.2,4.2,4.12
16/10/20,474450.0,4.2,4.12,4.2,4.12
19/10/20,460450.0,4.13,4.18,4.18,4.12
20/10/20,587580.0,4.15,4.13,4.15,4.13
22/10/20,498770.0,4.17,4.2,4.2,4.17
23/10/20,306400.0,4.2,4.2,4.2,4.16
26/10/20,33450.0,4.2,4.17,4.2,4.17
27/10/20,65920.0,4.17,4.1,4.17,4.1
28/10/20,71380.0,4.2,4.19,4.2,4.19
29/10/20,155280.0,4.2,4.2,4.2,4.19
03/11/20,16690.0,4.18,4.16,4.18,4.16
04/11/20,487740.0,4.16,4.2,4.2,4.0
05/11/20,41000.0,4.1,4.1,4.1,4.1
06/11/20,8200.0,4.1,4.1,4.1,4.1
09/11/20,285390.0,4.19,4.2,4.2,4.19
10/11/20,647680.0,4.2,4.49,4.58,4.2
11/11/20,318430.0,4.49,4.4,4.49,4.32
13/11/20,147990.0,4.4,4.4,4.4,4.31
16/11/20,82650.0,4.35,4.35,4.35,4.35
17/11/20,177990.0,4.32,4.36,4.4,4.31
18/11/20,335430.0,4.36,4.45,4.45,4.36
19/11/20,335870.0,4.47,4.65,4.7,4.47
20/11/20,583150.0,4.79,4.85,4.88,4.65
23/11/20,500310.0,4.83,4.71,4.85,4.58
24/11/20,169130.0,4.72,4.9,4.9,4.72
25/11/20,725540.0,4.95,5.3,5.3,4.85
26/11/20,477714.0,5.29,5.1,5.3,5.1
27/11/20,246560.0,5.2,4.98,5.2,4.98
01/12/20,208380.0,4.81,5.0,5.0,4.81
02/12/20,75082.0,4.92,4.91,5.0,4.85
03/12/20,444600.0,5.0,5.1,5.49,5.0
04/12/20,214765.0,5.23,5.06,5.23,5.01
07/12/20,33830.0,5.07,5.15,5.15,5.07
09/12/20,634996.0,5.17,5.37,6.0,5.17
10/12/20,469287.0,5.39,5.71,5.79,5.35
11/12/20,125038.0,5.71,5.59,5.79,5.53
14/12/20,248747.0,5.7,5.9,5.9,5.7
15/12/20,275448.0,5.98,6.16,6.25,5.98
16/12/20,352115.0,6.2,6.49,6.49,6.1
17/12/20,215555.0,6.5,6.2,6.5,6.2
18/12/20,470866.0,6.24,6.55,6.8,6.24
21/12/20,444281.0,6.55,6.5,6.55,6.25
22/12/20,493692.0,6.49,6.12,6.49,6.02
