Date,Value,Open,Close,High,Low
02/01/20,350068670.0,42.0,42.25,42.25,41.0
03/01/20,493804680.0,41.85,42.8,43.35,41.6
06/01/20,227674035.0,42.7,42.2,42.7,41.95
07/01/20,309259875.0,42.0,42.0,42.05,41.6
08/01/20,347184675.0,41.6,41.45,41.85,41.45
09/01/20,261330225.0,41.5,42.0,42.2,41.45
10/01/20,700334770.0,42.0,42.0,42.4,41.65
14/01/20,1042955485.0,41.5,41.05,41.5,39.65
15/01/20,588151950.0,40.9,40.7,40.95,40.5
16/01/20,406983505.0,40.65,40.4,40.65,40.05
17/01/20,276088945.0,40.9,40.7,41.9,40.25
20/01/20,393734220.0,40.7,39.75,40.7,39.75
21/01/20,443510935.0,40.45,40.0,40.45,39.5
22/01/20,459076800.0,40.0,40.2,40.8,40.0
23/01/20,691621855.0,40.1,40.7,41.3,40.0
24/01/20,321592710.0,41.15,40.8,41.35,40.8
27/01/20,75243775.0,40.75,41.0,41.5,40.55
28/01/20,353482695.0,41.0,39.75,41.0,39.75
29/01/20,708516225.0,39.7,40.0,40.4,39.7
30/01/20,275772395.0,40.0,40.0,40.7,40.0
31/01/20,540279830.0,40.0,38.9,40.35,38.9
03/02/20,578668260.0,39.0,38.9,39.05,38.75
04/02/20,546912135.0,39.0,38.9,39.4,38.55
05/02/20,687803620.0,39.0,39.6,39.6,38.65
06/02/20,395725350.0,39.8,41.95,41.95,39.65
07/02/20,563486585.0,41.05,42.35,42.8,40.7
10/02/20,1363164245.0,42.2,42.3,42.35,41.0
11/02/20,492379735.0,42.3,42.7,43.0,41.5
12/02/20,1138961885.0,42.45,42.3,42.55,42.05
13/02/20,328726125.0,42.05,42.25,42.25,41.3
14/02/20,1189166665.0,42.05,41.7,42.25,41.5
17/02/20,981128170.0,41.45,41.7,41.7,40.6
18/02/20,968526370.0,41.6,41.7,41.7,40.75
19/02/20,367378750.0,41.1,41.1,41.5,40.85
20/02/20,404273375.0,41.1,41.65,42.05,41.05
21/02/20,274574850.0,41.65,41.3,41.75,41.0
24/02/20,419536450.0,40.5,40.1,40.5,40.0
26/02/20,859562565.0,39.6,39.3,39.6,38.15
27/02/20,558813770.0,38.8,39.05,39.35,38.7
28/02/20,748531945.0,38.35,38.3,38.4,38.0
02/03/20,476052830.0,38.1,38.7,39.4,38.0
03/03/20,399800885.0,39.45,39.0,39.9,39.0
04/03/20,566409770.0,39.0,39.5,39.5,38.5
05/03/20,1174556755.0,39.5,39.5,39.5,39.2
06/03/20,304338055.0,38.65,38.55,39.1,38.5
09/03/20,391454170.0,38.5,36.1,38.5,36.1
10/03/20,1008234935.0,34.75,35.5,36.95,34.75
11/03/20,384708390.0,36.0,34.8,36.85,34.8
12/03/20,830215175.0,34.75,30.9,34.75,29.55
13/03/20,972686710.0,28.0,30.0,32.2,27.0
16/03/20,624831160.0,29.4,28.5,29.65,27.1
19/03/20,955410010.0,25.0,27.0,27.5,19.9
20/03/20,587372150.0,27.0,26.0,28.4,25.0
23/03/20,343947720.0,23.5,24.7,25.0,23.4
24/03/20,521934200.0,25.4,25.5,26.85,25.1
25/03/20,482341645.0,26.95,27.0,27.85,26.0
26/03/20,665785685.0,28.25,31.0,31.0,27.35
27/03/20,430607955.0,31.1,28.5,32.45,28.5
30/03/20,377980485.0,28.0,27.35,28.0,26.1
31/03/20,669725360.0,28.05,28.4,28.7,27.2
01/04/20,334364935.0,28.4,28.3,29.85,28.05
02/04/20,277417945.0,27.9,29.6,29.6,27.5
03/04/20,211316060.0,29.15,29.0,29.4,28.6
06/04/20,304091420.0,29.05,30.15,30.15,28.5
07/04/20,456054050.0,31.0,31.1,31.6,30.2
08/04/20,543295560.0,30.5,29.2,31.0,29.15
13/04/20,248980890.0,29.4,30.1,30.1,28.6
14/04/20,216878950.0,30.1,30.9,30.9,29.65
15/04/20,486384235.0,30.9,31.9,31.95,30.5
16/04/20,572980835.0,30.35,29.55,31.0,29.55
17/04/20,430081130.0,30.65,31.95,31.95,30.3
20/04/20,248690115.0,31.95,31.5,31.95,30.5
21/04/20,369503490.0,30.95,30.0,30.95,30.0
22/04/20,236124120.0,29.5,29.7,29.9,29.1
23/04/20,254802130.0,30.2,30.25,30.45,30.05
24/04/20,465182705.0,30.25,28.65,30.25,27.5
27/04/20,393390050.0,28.95,28.8,28.95,27.6
28/04/20,203261260.0,28.8,29.7,29.7,28.7
29/04/20,181694165.0,29.75,30.95,31.0,29.15
30/04/20,404748825.0,31.0,31.0,31.05,30.05
04/05/20,265802225.0,29.25,30.4,30.4,28.75
05/05/20,201145930.0,30.4,30.05,31.15,29.9
06/05/20,201735960.0,30.1,30.0,30.5,29.55
07/05/20,332665950.0,30.2,30.9,31.3,30.05
08/05/20,298350190.0,31.0,31.0,31.3,30.5
11/05/20,50517755.0,31.0,30.65,31.2,30.55
12/05/20,510902295.0,30.4,29.6,30.65,29.6
13/05/20,239217015.0,29.55,28.55,30.0,28.4
14/05/20,204316385.0,28.55,30.6,30.6,28.1
15/05/20,241051440.0,30.05,29.0,30.15,29.0
18/05/20,167627760.0,29.5,29.8,29.85,28.5
19/05/20,121329700.0,29.7,29.5,30.0,29.2
20/05/20,112888775.0,29.8,29.65,29.9,29.3
21/05/20,567594595.0,29.4,28.95,29.5,28.75
22/05/20,168077200.0,29.0,29.0,29.25,28.55
26/05/20,133078590.0,29.0,29.5,29.5,28.75
27/05/20,521451600.0,29.3,29.8,29.8,28.8
28/05/20,299826085.0,29.8,29.5,29.8,29.15
29/05/20,815054590.0,29.6,30.15,30.15,29.2
01/06/20,445632690.0,29.8,31.75,31.75,29.5
02/06/20,457612415.0,31.65,32.0,32.5,31.1
03/06/20,300045750.0,32.4,33.5,33.5,31.7
04/06/20,694235955.0,33.45,33.95,34.3,33.25
05/06/20,434450075.0,33.5,32.9,34.0,32.0
08/06/20,774934725.0,33.3,33.4,34.2,33.1
09/06/20,416427620.0,33.4,33.5,34.15,33.1
10/06/20,396109475.0,33.55,33.0,33.85,31.9
11/06/20,787954420.0,32.8,33.25,33.25,31.9
15/06/20,340501465.0,32.3,30.65,32.75,30.65
16/06/20,259466315.0,31.7,31.0,31.95,30.6
17/06/20,457539175.0,31.45,31.0,31.65,30.7
18/06/20,102304710.0,31.0,32.0,32.0,31.0
19/06/20,952275675.0,31.9,31.45,32.95,31.4
22/06/20,120845355.0,31.7,32.2,32.2,31.2
23/06/20,144209085.0,31.95,31.7,31.95,31.6
24/06/20,163428030.0,31.5,31.0,31.85,31.0
25/06/20,800750125.0,30.9,31.2,31.3,30.45
26/06/20,422089280.0,31.5,31.6,31.6,30.05
29/06/20,148711810.0,31.0,31.9,31.9,30.7
30/06/20,182781315.0,31.95,31.85,32.05,31.35
01/07/20,196626505.0,31.85,32.35,32.5,31.3
02/07/20,280628995.0,32.3,33.05,33.7,32.0
03/07/20,605420040.0,33.1,33.4,33.4,32.85
06/07/20,235448630.0,33.4,32.7,33.4,32.65
07/07/20,226512770.0,32.6,31.5,32.75,31.5
08/07/20,162673450.0,31.5,31.75,32.05,31.2
09/07/20,167204030.0,31.75,30.5,31.85,30.5
10/07/20,158199120.0,30.8,31.9,32.0,30.05
13/07/20,96313205.0,31.75,31.2,31.75,31.1
14/07/20,122468270.0,31.2,31.6,31.75,31.2
15/07/20,773707200.0,31.5,31.7,31.7,31.15
16/07/20,93601405.0,31.75,32.7,32.7,31.75
17/07/20,285894280.0,32.45,31.2,32.45,30.9
20/07/20,144992060.0,31.2,31.7,31.9,30.8
21/07/20,359233030.0,31.25,31.0,31.3,30.75
22/07/20,757473300.0,31.1,30.9,31.3,30.9
23/07/20,293003870.0,31.15,30.5,31.15,29.95
24/07/20,415114735.0,30.3,30.5,30.5,30.05
27/07/20,168406325.0,30.5,30.3,30.7,30.0
28/07/20,104122370.0,30.3,31.1,31.2,30.0
29/07/20,134848415.0,31.0,30.5,31.05,30.3
30/07/20,195490545.0,30.5,30.0,30.9,30.0
03/08/20,549620340.0,29.5,28.55,29.5,28.2
04/08/20,409455575.0,28.2,28.45,29.1,28.2
05/08/20,299933890.0,28.55,29.0,29.3,28.5
06/08/20,125163135.0,29.15,29.45,29.45,28.5
07/08/20,243340265.0,29.8,29.0,29.8,29.0
10/08/20,70918810.0,29.2,29.7,29.85,29.2
11/08/20,285691200.0,29.8,30.25,30.8,29.8
12/08/20,274651480.0,30.8,30.0,30.8,29.85
13/08/20,144639260.0,30.2,31.0,31.0,30.05
14/08/20,691068535.0,30.6,31.0,31.0,30.1
17/08/20,82208520.0,31.05,31.4,31.4,30.2
18/08/20,229417945.0,31.4,32.0,32.0,31.0
19/08/20,319799985.0,31.9,31.0,31.9,31.0
20/08/20,149399265.0,31.1,31.0,31.15,30.0
24/08/20,348764315.0,30.95,30.0,31.1,30.0
25/08/20,293635215.0,30.0,30.05,30.3,29.5
26/08/20,424387990.0,29.75,29.5,30.05,29.5
27/08/20,113460320.0,29.5,29.5,29.95,29.5
28/08/20,532857540.0,29.5,29.2,29.8,29.2
01/09/20,405941625.0,29.9,28.5,29.95,28.5
02/09/20,589256125.0,28.9,28.05,28.95,28.0
03/09/20,507906145.0,28.1,27.95,28.4,27.7
04/09/20,264579070.0,28.15,27.95,28.2,27.65
07/09/20,178020055.0,28.0,28.85,28.95,28.0
08/09/20,229034730.0,29.0,29.15,29.45,28.95
09/09/20,332727960.0,29.3,28.3,29.3,28.3
10/09/20,263065195.0,28.8,28.25,28.85,28.25
11/09/20,164267940.0,28.45,28.35,28.8,28.25
14/09/20,482144655.0,28.45,28.85,28.95,28.3
15/09/20,280602005.0,28.95,28.5,29.0,28.35
16/09/20,224380480.0,28.55,28.5,28.9,28.5
17/09/20,236875095.0,28.5,28.5,28.65,28.0
