Date,Value,Open,Close,High,Low
02/01/20,8310.0,0.75,0.81,0.81,0.75
03/01/20,11280.0,0.81,0.81,0.81,0.75
06/01/20,16660.0,0.75,0.8,0.8,0.75
07/01/20,12800.0,0.8,0.8,0.8,0.8
08/01/20,2310.0,0.77,0.77,0.77,0.77
09/01/20,13550.0,0.79,0.8,0.8,0.79
10/01/20,84820.0,0.77,0.79,0.79,0.75
14/01/20,1049390.0,0.81,0.79,0.82,0.76
15/01/20,42520.0,0.8,0.81,0.82,0.8
17/01/20,1316140.0,0.81,0.84,0.89,0.77
20/01/20,61240.0,0.84,0.84,0.84,0.8
21/01/20,482440.0,0.79,0.8,0.84,0.76
22/01/20,870280.0,0.77,0.82,0.88,0.76
23/01/20,2041080.0,0.82,0.85,0.95,0.82
24/01/20,482700.0,0.88,0.88,0.92,0.85
27/01/20,334870.0,0.86,0.84,0.88,0.8
28/01/20,21850.0,0.82,0.81,0.83,0.8
29/01/20,24330.0,0.81,0.84,0.84,0.81
30/01/20,41670.0,0.81,0.84,0.84,0.81
31/01/20,74900.0,0.8,0.82,0.84,0.79
03/02/20,46640.0,0.79,0.82,0.82,0.79
04/02/20,48200.0,0.79,0.79,0.8,0.79
05/02/20,112000.0,0.79,0.77,0.8,0.77
06/02/20,304510.0,0.78,0.82,0.84,0.78
07/02/20,5620.0,0.81,0.8,0.81,0.8
10/02/20,336480.0,0.77,0.81,0.84,0.77
11/02/20,10530.0,0.81,0.81,0.81,0.81
12/02/20,49190.0,0.78,0.78,0.83,0.78
13/02/20,7800.0,0.78,0.78,0.78,0.78
14/02/20,1640.0,0.82,0.82,0.82,0.82
17/02/20,21890.0,0.82,0.8,0.82,0.77
19/02/20,810.0,0.81,0.81,0.81,0.81
20/02/20,65830.0,0.77,0.78,0.78,0.77
21/02/20,22420.0,0.77,0.8,0.8,0.77
24/02/20,20580.0,0.79,0.79,0.8,0.77
26/02/20,133030.0,0.77,0.79,0.79,0.76
27/02/20,149700.0,0.79,0.82,0.82,0.79
28/02/20,523780.0,0.81,0.83,0.84,0.81
02/03/20,1188640.0,0.83,0.86,0.92,0.82
03/03/20,391770.0,0.86,0.82,0.86,0.78
04/03/20,516490.0,0.8,0.8,0.86,0.78
05/03/20,188970.0,0.77,0.8,0.8,0.77
06/03/20,8441800.0,0.8,0.84,0.96,0.8
09/03/20,1810080.0,0.83,0.73,0.83,0.72
10/03/20,633810.0,0.71,0.72,0.72,0.65
11/03/20,368930.0,0.74,0.73,0.77,0.72
12/03/20,65240.0,0.7,0.65,0.74,0.65
13/03/20,175140.0,0.52,0.71,0.73,0.52
16/03/20,18120.0,0.64,0.68,0.68,0.62
19/03/20,29260.0,0.56,0.66,0.66,0.56
20/03/20,11120.0,0.65,0.7,0.7,0.65
23/03/20,35870.0,0.65,0.69,0.69,0.6
24/03/20,30770.0,0.61,0.66,0.67,0.61
25/03/20,83340.0,0.61,0.62,0.65,0.61
26/03/20,32350.0,0.66,0.67,0.67,0.65
27/03/20,58770.0,0.7,0.63,0.7,0.62
30/03/20,37900.0,0.63,0.63,0.64,0.63
31/03/20,7560.0,0.63,0.63,0.63,0.63
01/04/20,79970.0,0.61,0.6,0.65,0.6
02/04/20,50400.0,0.6,0.6,0.6,0.6
03/04/20,6450.0,0.6,0.59,0.6,0.58
07/04/20,90430.0,0.64,0.67,0.68,0.62
08/04/20,73470.0,0.62,0.68,0.68,0.62
13/04/20,12740.0,0.61,0.67,0.67,0.6
14/04/20,47400.0,0.68,0.68,0.69,0.63
15/04/20,14200.0,0.71,0.71,0.71,0.71
16/04/20,28820.0,0.68,0.72,0.72,0.68
20/04/20,33810.0,0.63,0.72,0.72,0.61
27/04/20,221010.0,0.69,0.68,0.69,0.63
28/04/20,67380.0,0.65,0.65,0.65,0.64
29/04/20,342350.0,0.64,0.64,0.64,0.6
30/04/20,16560.0,0.63,0.65,0.65,0.63
04/05/20,17860.0,0.64,0.67,0.67,0.63
05/05/20,177740.0,0.66,0.68,0.72,0.65
06/05/20,105020.0,0.64,0.67,0.68,0.64
07/05/20,52280.0,0.67,0.68,0.7,0.67
08/05/20,18380.0,0.7,0.68,0.7,0.68
11/05/20,27200.0,0.68,0.68,0.68,0.68
12/05/20,1400.0,0.7,0.7,0.7,0.7
14/05/20,12920.0,0.68,0.68,0.68,0.68
15/05/20,2040.0,0.68,0.68,0.68,0.68
18/05/20,47280.0,0.68,0.66,0.68,0.66
19/05/20,4000.0,0.65,0.65,0.69,0.65
20/05/20,11560.0,0.68,0.68,0.68,0.68
21/05/20,20770.0,0.67,0.67,0.67,0.67
26/05/20,46230.0,0.67,0.67,0.67,0.67
28/05/20,13200.0,0.66,0.66,0.66,0.66
29/05/20,13650.0,0.65,0.65,0.65,0.65
02/06/20,74750.0,0.65,0.65,0.65,0.65
03/06/20,2600.0,0.65,0.65,0.65,0.65
04/06/20,2040.0,0.7,0.65,0.7,0.65
08/06/20,47490.0,0.63,0.66,0.66,0.63
09/06/20,200300.0,0.66,0.65,0.66,0.65
10/06/20,26000.0,0.65,0.65,0.65,0.65
11/06/20,24370.0,0.65,0.64,0.65,0.64
15/06/20,20500.0,0.66,0.64,0.66,0.64
16/06/20,169020.0,0.63,0.64,0.64,0.6
17/06/20,61920.0,0.64,0.66,0.66,0.64
18/06/20,138970.0,0.63,0.65,0.65,0.62
19/06/20,7440.0,0.62,0.62,0.62,0.62
22/06/20,44620.0,0.63,0.65,0.65,0.63
23/06/20,111790.0,0.62,0.64,0.64,0.61
24/06/20,31640.0,0.62,0.62,0.64,0.62
26/06/20,8700.0,0.62,0.64,0.64,0.62
30/06/20,190850.0,0.64,0.61,0.64,0.6
01/07/20,12810.0,0.61,0.61,0.61,0.61
02/07/20,15860.0,0.61,0.61,0.61,0.61
03/07/20,13470.0,0.61,0.64,0.64,0.61
06/07/20,68530.0,0.61,0.63,0.63,0.61
07/07/20,163660.0,0.64,0.66,0.7,0.64
09/07/20,11660.0,0.64,0.65,0.65,0.64
13/07/20,36420.0,0.68,0.66,0.68,0.62
14/07/20,2721410.0,0.68,0.65,0.84,0.65
15/07/20,250690.0,0.65,0.63,0.65,0.63
16/07/20,870230.0,0.62,0.68,0.71,0.61
17/07/20,248610.0,0.66,0.66,0.71,0.66
20/07/20,42290.0,0.64,0.69,0.69,0.64
22/07/20,22070.0,0.64,0.7,0.7,0.64
23/07/20,28530.0,0.67,0.68,0.68,0.66
27/07/20,487500.0,0.69,0.66,0.71,0.65
28/07/20,55620.0,0.67,0.66,0.72,0.65
29/07/20,15440.0,0.72,0.65,0.72,0.65
30/07/20,32310.0,0.65,0.65,0.67,0.65
03/08/20,18920.0,0.72,0.7,0.72,0.7
05/08/20,70110.0,0.69,0.66,0.7,0.66
06/08/20,86610.0,0.64,0.65,0.69,0.64
07/08/20,660.0,0.66,0.66,0.66,0.66
10/08/20,205390.0,0.65,0.65,0.7,0.65
11/08/20,141990.0,0.7,0.65,0.7,0.65
12/08/20,95850.0,0.68,0.69,0.7,0.67
13/08/20,2080.0,0.7,0.69,0.7,0.69
14/08/20,112900.0,0.68,0.67,0.68,0.67
17/08/20,81600.0,0.68,0.68,0.68,0.68
19/08/20,36720.0,0.68,0.68,0.68,0.68
20/08/20,34000.0,0.68,0.68,0.68,0.68
24/08/20,10200.0,0.68,0.68,0.68,0.68
26/08/20,1300.0,0.65,0.65,0.65,0.65
07/09/20,9240.0,0.66,0.66,0.66,0.66
08/09/20,69120.0,0.64,0.64,0.64,0.64
09/09/20,152960.0,0.64,0.64,0.64,0.63
10/09/20,87380.0,0.62,0.65,0.65,0.62
11/09/20,9950.0,0.62,0.65,0.65,0.62
14/09/20,6300.0,0.63,0.63,0.63,0.63
16/09/20,150730.0,0.64,0.66,0.7,0.64
18/09/20,3350.0,0.67,0.67,0.67,0.67
23/09/20,36000.0,0.64,0.65,0.65,0.64
24/09/20,2480.0,0.62,0.62,0.62,0.62
28/09/20,620.0,0.62,0.62,0.62,0.62
29/09/20,29760.0,0.62,0.62,0.62,0.62
30/09/20,4540.0,0.65,0.64,0.65,0.64
01/10/20,144650.0,0.62,0.6,0.63,0.6
02/10/20,158500.0,0.64,0.63,0.64,0.61
05/10/20,67510.0,0.61,0.62,0.63,0.61
06/10/20,50840.0,0.62,0.62,0.62,0.62
07/10/20,66960.0,0.62,0.62,0.62,0.62
08/10/20,20400.0,0.6,0.6,0.6,0.6
09/10/20,172280.0,0.62,0.64,0.64,0.62
12/10/20,96000.0,0.64,0.64,0.64,0.64
15/10/20,65500.0,0.65,0.66,0.66,0.65
16/10/20,1390920.0,0.63,0.68,0.72,0.63
19/10/20,575930.0,0.68,0.68,0.7,0.67
20/10/20,120570.0,0.69,0.68,0.69,0.66
21/10/20,7480.0,0.68,0.68,0.68,0.68
23/10/20,349860.0,0.67,0.67,0.67,0.65
26/10/20,33660.0,0.66,0.66,0.66,0.66
27/10/20,44830.0,0.66,0.66,0.66,0.65
28/10/20,99300.0,0.65,0.66,0.66,0.65
29/10/20,101110.0,0.67,0.66,0.67,0.64
30/10/20,765810.0,0.64,0.7,0.7,0.64
03/11/20,147030.0,0.7,0.71,0.71,0.69
04/11/20,756950.0,0.71,0.74,0.77,0.71
05/11/20,321480.0,0.74,0.73,0.74,0.71
06/11/20,410590.0,0.73,0.76,0.76,0.72
09/11/20,100130.0,0.76,0.75,0.76,0.72
10/11/20,39210.0,0.75,0.74,0.75,0.73
11/11/20,137970.0,0.72,0.74,0.74,0.71
13/11/20,250470.0,0.72,0.74,0.74,0.71
16/11/20,872070.0,0.75,0.7,0.75,0.7
17/11/20,170430.0,0.73,0.73,0.73,0.71
18/11/20,125610.0,0.74,0.74,0.74,0.72
19/11/20,451560.0,0.73,0.71,0.73,0.7
20/11/20,234370.0,0.71,0.7,0.71,0.7
23/11/20,18200.0,0.7,0.7,0.7,0.7
24/11/20,67410.0,0.7,0.71,0.71,0.7
25/11/20,134360.0,0.7,0.69,0.7,0.69
26/11/20,23130.0,0.7,0.71,0.71,0.7
