Date,Value,Open,Close,High,Low
02/01/20,837058.0,8.45,8.4,8.48,8.2
03/01/20,1085581.0,8.4,8.43,8.49,8.33
06/01/20,1034192.0,8.49,8.48,8.49,8.44
07/01/20,1446447.0,8.49,8.69,8.69,8.49
08/01/20,2381436.0,8.79,8.72,8.93,8.5
09/01/20,1031016.0,8.69,8.7,8.7,8.53
10/01/20,2800236.0,8.88,8.8,8.88,8.75
14/01/20,836285.0,8.77,8.78,8.79,8.54
15/01/20,1816020.0,8.78,8.81,8.84,8.78
16/01/20,2007760.0,8.82,8.83,8.83,8.6
17/01/20,1943758.0,8.83,8.81,8.85,8.71
20/01/20,1505755.0,8.81,8.81,8.84,8.8
21/01/20,1488533.0,8.8,8.78,8.8,8.73
22/01/20,871335.0,8.78,8.78,8.78,8.7
23/01/20,813000.0,8.8,8.84,8.85,8.72
24/01/20,1693438.0,8.84,9.1,9.2,8.84
27/01/20,2484171.0,9.24,9.32,9.63,9.11
28/01/20,1167802.0,9.3,9.14,9.3,8.85
29/01/20,3502831.0,9.22,9.35,9.39,9.1
30/01/20,2963830.0,9.39,9.36,9.39,9.1
31/01/20,1436908.0,9.36,9.21,9.37,8.9
03/02/20,1317722.0,9.21,9.1,9.21,8.9
04/02/20,671224.0,9.15,9.16,9.2,9.15
05/02/20,1710279.0,9.16,9.17,9.2,9.0
06/02/20,480840.0,9.2,9.1,9.29,9.1
07/02/20,1891902.0,9.1,9.1,9.2,9.0
10/02/20,1417944.0,9.1,9.25,9.3,9.1
11/02/20,293647.0,9.29,9.16,9.29,9.15
12/02/20,2335077.0,9.28,9.2,9.5,9.2
13/02/20,923194.0,9.47,9.15,9.47,9.1
14/02/20,1600489.0,9.15,9.11,9.2,9.09
17/02/20,494092.0,9.12,9.12,9.35,9.12
18/02/20,343185.0,9.15,9.17,9.31,9.12
19/02/20,242880.0,9.17,9.28,9.28,9.12
20/02/20,593756.0,9.28,9.28,9.3,9.25
21/02/20,1134107.0,9.3,9.29,9.34,9.25
24/02/20,1452686.0,9.26,9.26,9.3,9.16
26/02/20,5830007.0,9.26,9.0,9.26,8.51
27/02/20,825746.0,9.05,8.81,9.05,8.81
28/02/20,1868818.0,8.81,8.7,8.81,8.56
02/03/20,492293.0,8.7,8.95,9.2,8.7
03/03/20,557199.0,8.97,8.78,8.98,8.77
04/03/20,2187396.0,9.0,8.78,9.0,8.78
05/03/20,179872.0,8.76,8.9,8.98,8.76
06/03/20,1742917.0,8.9,8.83,8.9,8.78
09/03/20,2016460.0,8.85,8.4,8.87,8.25
10/03/20,2740125.0,8.28,8.1,8.4,7.51
11/03/20,1210594.0,8.19,7.9,8.45,7.9
12/03/20,1945501.0,8.13,7.5,8.13,7.5
13/03/20,4061020.0,7.5,7.37,7.55,6.91
16/03/20,2052827.0,7.2,7.01,7.36,6.94
19/03/20,2395556.0,7.01,6.71,7.01,6.5
20/03/20,728718.0,6.8,6.9,6.9,6.71
23/03/20,543231.0,6.9,6.85,7.02,6.85
24/03/20,561655.0,7.01,7.22,7.23,7.01
25/03/20,2364356.0,7.4,8.0,8.17,7.4
26/03/20,1767940.0,8.3,8.1,8.3,8.1
27/03/20,535121.0,8.28,8.0,8.28,7.88
30/03/20,442561.0,7.88,8.14,8.15,7.6
31/03/20,830503.0,8.01,8.05,8.2,7.8
01/04/20,1873824.0,8.1,8.05,8.14,7.71
02/04/20,236679.0,7.9,8.0,8.03,7.73
03/04/20,1081063.0,7.81,7.95,7.95,7.71
06/04/20,1797448.0,7.95,7.95,8.03,7.55
07/04/20,1523742.0,7.95,7.92,7.95,7.72
08/04/20,1405427.0,7.92,7.77,7.92,7.77
13/04/20,273540.0,7.77,7.95,7.95,7.77
14/04/20,701689.0,7.95,8.05,8.05,7.95
15/04/20,1576575.0,8.1,8.05,8.1,8.03
16/04/20,316069.0,8.05,8.0,8.05,7.96
17/04/20,230607.0,8.0,8.0,8.05,7.97
20/04/20,93631.0,8.0,8.0,8.05,8.0
21/04/20,1151698.0,8.01,7.98,8.01,7.9
22/04/20,71134.0,8.0,7.98,8.0,7.98
23/04/20,905529.0,7.99,7.96,7.99,7.5
24/04/20,237642.0,7.9,7.95,7.95,7.8
27/04/20,135787.0,7.8,7.94,7.94,7.8
28/04/20,135237.0,7.95,7.9,7.97,7.88
29/04/20,209851.0,7.9,7.83,7.96,7.82
30/04/20,290241.0,7.88,7.98,7.98,7.88
04/05/20,235771.0,7.97,7.9,7.97,7.89
05/05/20,234847.0,7.9,7.88,7.9,7.82
06/05/20,407552.0,7.82,7.81,7.89,7.8
07/05/20,715008.0,7.82,7.8,7.82,7.75
08/05/20,8455668.0,7.89,8.2,8.3,7.89
11/05/20,4017993.0,8.25,8.38,8.5,8.24
12/05/20,1675230.0,8.4,8.36,8.4,8.28
13/05/20,2220615.0,8.36,8.14,8.36,8.11
14/05/20,1976377.0,8.14,8.15,8.21,8.05
15/05/20,3727677.0,8.15,8.2,8.28,8.15
18/05/20,3018590.0,8.25,8.14,8.29,8.14
19/05/20,1328915.0,7.9,7.85,7.9,7.8
20/05/20,1103057.0,7.9,7.9,7.9,7.86
21/05/20,334967.0,7.9,7.88,7.9,7.75
22/05/20,2182296.0,7.82,7.76,7.82,7.76
26/05/20,2089279.0,7.76,7.62,7.79,7.5
27/05/20,767512.0,7.51,7.63,7.63,7.5
28/05/20,406658.0,7.72,7.72,7.72,7.63
29/05/20,342616.0,7.72,7.89,7.96,7.72
01/06/20,538898.0,7.9,7.98,7.98,7.89
02/06/20,587001.0,8.0,8.03,8.1,7.98
03/06/20,1359359.0,8.05,8.1,8.2,8.03
04/06/20,694626.0,8.11,8.08,8.17,8.0
05/06/20,1751060.0,8.08,8.0,8.16,8.0
08/06/20,1007845.0,8.05,8.01,8.1,8.0
09/06/20,404812.0,8.1,8.13,8.13,8.1
10/06/20,689049.0,8.2,8.16,8.2,8.05
11/06/20,390057.0,8.11,8.1,8.16,8.1
15/06/20,1201578.0,8.1,8.05,8.1,7.97
16/06/20,523469.0,8.05,8.1,8.15,7.95
17/06/20,1133304.0,8.12,8.1,8.2,7.99
18/06/20,780261.0,8.1,8.06,8.1,7.95
19/06/20,1224366.0,8.09,8.08,8.11,7.96
22/06/20,499714.0,8.08,8.05,8.08,7.95
23/06/20,771281.0,8.04,8.0,8.04,7.98
24/06/20,142843.0,8.0,8.03,8.09,7.99
25/06/20,379568.0,8.0,8.05,8.07,7.99
26/06/20,158507.0,8.05,8.03,8.07,8.02
29/06/20,2547856.0,8.0,8.0,8.0,7.9
30/06/20,847179.0,8.0,8.0,8.03,7.9
01/07/20,1333928.0,8.0,8.0,8.04,7.9
02/07/20,1086117.0,8.0,8.03,8.04,7.9
03/07/20,349985.0,8.03,8.0,8.05,8.0
06/07/20,532537.0,8.05,8.03,8.05,8.02
07/07/20,430434.0,8.02,8.03,8.03,8.0
08/07/20,331878.0,8.03,8.03,8.03,8.0
09/07/20,1412549.0,8.0,8.0,8.0,7.99
10/07/20,1509430.0,8.03,8.02,8.03,7.99
13/07/20,1199148.0,8.01,8.18,8.18,8.01
14/07/20,3657067.0,8.2,8.05,8.24,8.0
15/07/20,2780981.0,8.15,7.95,8.15,7.95
16/07/20,923596.0,8.0,8.0,8.11,7.95
17/07/20,1964728.0,8.0,8.0,8.08,7.9
20/07/20,149594.0,8.0,8.06,8.07,8.0
21/07/20,132881.0,8.06,8.05,8.07,8.03
