Date,Value,Open,Close,High,Low
02/01/20,485900.0,0.6,0.6,0.6,0.59
03/01/20,905840.0,0.62,0.6,0.63,0.6
06/01/20,1793260.0,0.59,0.6,0.6,0.59
07/01/20,535340.0,0.6,0.59,0.6,0.59
08/01/20,984110.0,0.59,0.6,0.61,0.59
09/01/20,382200.0,0.61,0.61,0.61,0.59
10/01/20,1199020.0,0.61,0.61,0.63,0.6
14/01/20,1404530.0,0.61,0.61,0.62,0.6
15/01/20,13116530.0,0.6,0.61,0.61,0.6
16/01/20,2349630.0,0.61,0.61,0.63,0.6
17/01/20,9862720.0,0.61,0.61,0.63,0.61
20/01/20,3592060.0,0.61,0.61,0.62,0.6
21/01/20,1368380.0,0.61,0.62,0.62,0.6
22/01/20,887230.0,0.62,0.61,0.62,0.6
23/01/20,1306270.0,0.61,0.61,0.61,0.6
24/01/20,9860280.0,0.61,0.62,0.64,0.61
27/01/20,8412470.0,0.63,0.63,0.64,0.61
28/01/20,4520110.0,0.63,0.63,0.65,0.62
29/01/20,4256360.0,0.64,0.61,0.64,0.61
30/01/20,2772160.0,0.61,0.61,0.62,0.6
31/01/20,4290890.0,0.6,0.61,0.62,0.6
03/02/20,2443580.0,0.6,0.6,0.61,0.59
04/02/20,639530.0,0.6,0.61,0.61,0.59
05/02/20,798690.0,0.61,0.61,0.62,0.6
06/02/20,3183720.0,0.62,0.6,0.62,0.59
07/02/20,685680.0,0.6,0.59,0.6,0.59
10/02/20,286800.0,0.59,0.6,0.6,0.59
11/02/20,2917990.0,0.59,0.58,0.6,0.57
12/02/20,640410.0,0.58,0.57,0.58,0.57
13/02/20,592740.0,0.57,0.58,0.59,0.57
14/02/20,462740.0,0.57,0.57,0.58,0.57
17/02/20,385160.0,0.58,0.57,0.58,0.57
18/02/20,297280.0,0.58,0.59,0.59,0.58
19/02/20,90330.0,0.59,0.59,0.6,0.59
20/02/20,202450.0,0.59,0.57,0.59,0.57
21/02/20,1118650.0,0.57,0.57,0.59,0.56
24/02/20,1930040.0,0.57,0.57,0.58,0.57
26/02/20,2667330.0,0.56,0.56,0.56,0.55
27/02/20,873720.0,0.55,0.55,0.56,0.55
28/02/20,715930.0,0.55,0.52,0.55,0.52
02/03/20,231380.0,0.55,0.54,0.55,0.53
03/03/20,357770.0,0.54,0.53,0.54,0.52
04/03/20,784710.0,0.52,0.52,0.53,0.52
05/03/20,1309350.0,0.53,0.52,0.53,0.52
06/03/20,320930.0,0.52,0.52,0.53,0.52
09/03/20,801860.0,0.51,0.45,0.51,0.44
10/03/20,1557050.0,0.45,0.45,0.46,0.43
11/03/20,11726350.0,0.45,0.49,0.5,0.45
12/03/20,1384150.0,0.49,0.44,0.49,0.43
13/03/20,2945150.0,0.43,0.435,0.435,0.38
16/03/20,357450.0,0.41,0.4,0.43,0.4
19/03/20,1005450.0,0.395,0.39,0.405,0.375
20/03/20,1001800.0,0.4,0.395,0.44,0.39
23/03/20,557650.0,0.38,0.39,0.39,0.36
24/03/20,348000.0,0.4,0.4,0.4,0.4
25/03/20,577750.0,0.4,0.395,0.41,0.39
26/03/20,977950.0,0.4,0.41,0.415,0.4
27/03/20,1316500.0,0.41,0.405,0.43,0.4
30/03/20,361050.0,0.41,0.4,0.41,0.395
31/03/20,2706850.0,0.405,0.4,0.405,0.395
01/04/20,1783200.0,0.395,0.395,0.4,0.39
02/04/20,2849200.0,0.4,0.395,0.4,0.39
03/04/20,1395950.0,0.4,0.395,0.4,0.395
06/04/20,386750.0,0.395,0.385,0.395,0.38
07/04/20,295700.0,0.395,0.39,0.395,0.39
08/04/20,1006450.0,0.395,0.385,0.395,0.38
13/04/20,388000.0,0.38,0.385,0.385,0.38
14/04/20,6018050.0,0.38,0.375,0.38,0.365
15/04/20,7403600.0,0.375,0.375,0.375,0.365
16/04/20,3661200.0,0.375,0.375,0.375,0.365
17/04/20,10831050.0,0.375,0.385,0.395,0.37
20/04/20,16358300.0,0.39,0.38,0.395,0.37
21/04/20,5025400.0,0.38,0.375,0.38,0.37
22/04/20,10814550.0,0.37,0.345,0.375,0.32
23/04/20,4596950.0,0.355,0.345,0.355,0.34
24/04/20,3371950.0,0.35,0.355,0.36,0.335
27/04/20,2462100.0,0.35,0.345,0.35,0.34
28/04/20,1680450.0,0.34,0.345,0.345,0.335
29/04/20,1792300.0,0.35,0.35,0.35,0.335
30/04/20,1975500.0,0.345,0.345,0.35,0.34
04/05/20,1513400.0,0.34,0.34,0.345,0.34
05/05/20,2333550.0,0.335,0.35,0.35,0.335
06/05/20,762150.0,0.345,0.35,0.35,0.34
07/05/20,842950.0,0.34,0.35,0.35,0.34
08/05/20,475650.0,0.35,0.345,0.35,0.34
11/05/20,768700.0,0.34,0.34,0.35,0.335
12/05/20,831700.0,0.335,0.33,0.34,0.33
13/05/20,1174600.0,0.33,0.32,0.335,0.32
14/05/20,1024300.0,0.32,0.325,0.33,0.32
15/05/20,1182800.0,0.325,0.325,0.335,0.315
18/05/20,2016050.0,0.325,0.295,0.325,0.285
19/05/20,988300.0,0.3,0.3,0.305,0.285
20/05/20,419300.0,0.3,0.31,0.31,0.295
21/05/20,284400.0,0.31,0.305,0.315,0.3
22/05/20,1429250.0,0.305,0.3,0.305,0.29
26/05/20,2455050.0,0.29,0.29,0.295,0.28
27/05/20,198350.0,0.29,0.285,0.29,0.28
28/05/20,569750.0,0.285,0.29,0.295,0.28
29/05/20,2683200.0,0.29,0.28,0.29,0.28
01/06/20,496350.0,0.28,0.295,0.295,0.28
02/06/20,1793200.0,0.295,0.29,0.295,0.285
03/06/20,1577200.0,0.295,0.29,0.295,0.285
04/06/20,4812500.0,0.3,0.295,0.31,0.285
05/06/20,4433100.0,0.3,0.32,0.32,0.3
08/06/20,4133450.0,0.33,0.335,0.335,0.325
09/06/20,4730900.0,0.33,0.32,0.33,0.31
10/06/20,1312550.0,0.325,0.31,0.325,0.31
11/06/20,1424150.0,0.31,0.315,0.32,0.305
15/06/20,1572850.0,0.305,0.3,0.305,0.3
16/06/20,660100.0,0.3,0.31,0.31,0.3
17/06/20,737400.0,0.305,0.31,0.31,0.3
18/06/20,10301100.0,0.305,0.31,0.31,0.3
19/06/20,2313750.0,0.31,0.31,0.31,0.3
22/06/20,2163900.0,0.315,0.3,0.32,0.3
23/06/20,407300.0,0.3,0.31,0.31,0.3
24/06/20,975250.0,0.31,0.31,0.31,0.3
25/06/20,783300.0,0.305,0.3,0.305,0.295
26/06/20,429100.0,0.305,0.305,0.31,0.295
29/06/20,758750.0,0.305,0.3,0.305,0.3
30/06/20,129100.0,0.3,0.3,0.305,0.295
01/07/20,329150.0,0.3,0.3,0.305,0.295
02/07/20,528450.0,0.3,0.305,0.305,0.3
03/07/20,465350.0,0.3,0.305,0.305,0.3
06/07/20,288650.0,0.3,0.305,0.305,0.3
07/07/20,774400.0,0.305,0.3,0.31,0.3
