Date,Value,Open,Close,High,Low
02/01/20,9770070.0,163.8,164.0,164.0,160.0
03/01/20,26971543.0,164.0,164.0,164.0,161.8
06/01/20,27113649.0,163.1,165.0,165.0,160.0
07/01/20,27115071.0,165.0,164.0,165.0,161.1
08/01/20,14764961.0,163.0,161.0,163.8,160.9
09/01/20,51648388.0,160.9,159.0,161.9,159.0
10/01/20,54029983.0,160.0,158.5,161.5,158.5
14/01/20,32819393.0,158.5,157.3,159.5,156.4
15/01/20,39101816.0,157.0,151.6,157.5,151.6
16/01/20,33315422.0,151.6,152.8,153.0,149.3
17/01/20,33726456.0,152.8,152.5,152.8,150.0
20/01/20,35651883.0,152.5,148.1,152.6,146.0
21/01/20,41265262.0,148.1,148.1,150.5,147.4
22/01/20,35232937.0,148.1,148.2,148.8,145.8
23/01/20,13392535.0,148.2,148.5,148.5,146.0
24/01/20,22102794.0,145.7,150.0,150.0,144.2
27/01/20,12492385.0,149.8,147.4,149.8,147.1
28/01/20,25531843.0,148.0,147.0,149.6,143.9
29/01/20,32453332.0,149.8,143.3,149.8,143.3
30/01/20,21721137.0,143.3,142.7,145.9,142.7
31/01/20,39102274.0,144.1,139.8,145.0,137.8
03/02/20,54957830.0,139.0,136.6,139.0,132.0
04/02/20,70695001.0,135.0,131.5,137.2,131.5
05/02/20,58226549.0,132.5,132.1,137.9,132.0
06/02/20,16057830.0,132.2,132.3,138.0,132.2
07/02/20,6612321.0,132.5,134.5,136.0,132.5
10/02/20,33357775.0,134.5,134.0,135.5,132.9
11/02/20,23007935.0,135.0,135.1,136.0,135.0
12/02/20,24366422.0,136.1,133.0,136.1,131.8
13/02/20,13581822.0,134.0,136.0,136.0,131.0
14/02/20,26152793.0,136.0,132.7,136.0,132.7
17/02/20,10936897.0,132.7,133.0,134.0,132.6
18/02/20,6079480.0,133.2,135.0,135.0,131.1
19/02/20,13620983.0,131.1,132.4,134.9,131.1
20/02/20,21959937.0,132.4,133.0,133.5,132.4
21/02/20,23869920.0,135.0,133.0,135.0,132.8
24/02/20,21793150.0,133.0,132.4,133.0,131.1
26/02/20,39101028.0,131.9,130.0,131.9,120.0
27/02/20,27772077.0,129.9,131.9,131.9,125.4
28/02/20,57167450.0,129.9,126.2,129.9,125.0
02/03/20,23953890.0,126.2,128.0,128.0,124.6
03/03/20,10304285.0,130.0,128.6,130.0,128.0
04/03/20,33519704.0,128.0,126.5,128.0,125.1
05/03/20,17721513.0,126.5,126.0,127.5,125.7
06/03/20,20828925.0,126.0,125.5,127.8,125.0
09/03/20,19532474.0,125.5,125.0,125.5,119.4
10/03/20,35142551.0,120.0,119.5,120.2,118.2
11/03/20,20200332.0,120.0,119.5,122.5,119.1
12/03/20,33573328.0,119.0,110.0,119.0,98.0
13/03/20,25633741.0,109.0,109.5,110.0,98.0
16/03/20,20458581.0,108.0,92.0,108.0,92.0
19/03/20,39226764.5,89.0,72.5,89.05,72.5
20/03/20,50711265.5,74.0,83.0,84.0,73.5
23/03/20,21411275.5,83.0,83.15,83.15,80.55
24/03/20,22232138.0,84.8,86.4,87.9,83.2
25/03/20,29283209.0,88.0,87.0,90.0,86.8
26/03/20,56196422.0,88.5,88.8,90.0,88.5
27/03/20,27901106.0,90.0,90.0,96.0,89.0
30/03/20,8612557.0,90.0,91.4,91.45,87.2
31/03/20,37614581.5,91.4,91.5,96.15,90.0
01/04/20,27135336.0,94.85,92.0,94.85,91.4
02/04/20,13391508.0,92.0,92.0,92.0,90.8
03/04/20,20339188.0,93.0,93.0,95.0,92.6
06/04/20,31656183.0,95.0,93.0,95.2,93.0
07/04/20,53909246.5,95.2,93.05,97.0,93.0
08/04/20,13732374.5,95.2,94.5,95.5,94.05
13/04/20,24726227.5,95.0,94.95,97.0,94.5
14/04/20,97580385.5,96.0,95.0,100.0,94.9
15/04/20,168362436.0,98.8,102.2,105.5,97.95
16/04/20,52288322.0,104.1,100.5,104.9,100.0
17/04/20,60278858.5,101.0,100.0,101.0,99.0
