Date,Value,Open,Close,High,Low
02/01/20,1665885.5,85.0,84.5,85.0,84.0
03/01/20,22370693.5,84.05,84.0,85.0,83.8
06/01/20,6038686.0,84.0,83.0,84.05,82.25
07/01/20,7857597.0,82.3,81.5,82.3,81.0
08/01/20,22003472.0,81.55,83.0,83.0,80.0
09/01/20,21403454.0,83.0,80.0,83.0,80.0
10/01/20,11233840.5,80.0,79.5,80.5,79.45
14/01/20,21139830.5,79.5,79.5,80.0,79.05
15/01/20,20473882.0,79.5,75.0,79.6,73.5
16/01/20,21468872.5,74.6,75.0,75.0,73.6
17/01/20,23695056.5,73.6,73.4,75.0,72.05
20/01/20,24280825.5,73.0,72.0,73.0,70.5
21/01/20,58881872.5,70.5,70.75,71.5,70.0
22/01/20,21031827.0,70.75,71.45,73.35,70.75
23/01/20,11564895.0,71.5,73.0,73.0,71.5
24/01/20,7761163.5,73.0,78.0,78.0,73.0
27/01/20,5914744.5,76.05,73.9,76.15,73.9
28/01/20,6387427.0,73.9,73.5,75.0,73.0
29/01/20,19819440.5,73.8,74.2,74.85,73.0
30/01/20,3708655.5,74.2,74.0,74.2,73.1
31/01/20,27270235.5,74.0,72.9,74.0,72.5
03/02/20,9853025.5,72.9,73.5,73.5,70.5
04/02/20,23231321.0,73.5,78.0,78.0,72.5
05/02/20,7565796.0,73.4,78.0,78.0,73.4
06/02/20,5043103.0,77.0,77.35,77.55,75.1
07/02/20,2808415.0,75.9,77.9,77.9,75.75
10/02/20,4538242.5,77.9,78.0,78.0,76.2
11/02/20,4962834.5,78.0,77.0,78.0,76.8
12/02/20,2758638.5,76.5,75.85,76.9,75.4
13/02/20,20200710.5,75.2,76.0,76.35,75.0
14/02/20,20003221.0,75.95,75.0,75.95,75.0
17/02/20,20067055.5,75.0,75.7,75.75,74.7
18/02/20,20146079.0,74.85,76.6,76.6,74.0
19/02/20,19891641.5,75.0,74.5,76.45,74.5
20/02/20,19983274.5,74.0,75.9,76.2,74.0
21/02/20,19715792.0,75.35,74.0,75.35,74.0
24/02/20,19483191.5,73.95,73.25,74.0,72.55
26/02/20,19191169.0,72.5,73.0,73.4,69.15
27/02/20,18807371.0,72.0,70.7,72.0,69.0
28/02/20,15874832.0,70.2,73.0,73.0,68.85
02/03/20,7880869.5,69.3,71.9,72.95,69.3
03/03/20,19089335.5,72.8,71.5,72.8,70.3
04/03/20,19051811.0,70.4,71.7,72.35,70.4
05/03/20,21159497.0,70.2,70.5,71.6,70.2
06/03/20,5956447.0,70.5,70.05,71.6,69.7
09/03/20,18071674.5,68.85,68.5,68.85,63.05
10/03/20,18476933.5,68.0,67.0,68.0,63.4
11/03/20,6370017.5,64.7,67.0,70.0,64.7
12/03/20,8023960.0,66.9,61.8,66.9,60.0
13/03/20,18085893.0,60.0,58.5,65.0,58.0
16/03/20,7802424.0,58.6,49.0,58.6,49.0
19/03/20,21449165.0,51.95,45.0,51.95,45.0
20/03/20,26665265.0,44.5,46.0,49.0,44.5
23/03/20,35901955.0,46.5,46.6,47.0,45.95
24/03/20,40427240.0,47.3,48.0,48.5,46.6
25/03/20,3711720.0,50.0,49.1,50.85,49.0
26/03/20,12578655.0,49.65,49.1,53.0,47.5
27/03/20,26878160.0,49.5,51.0,53.0,46.5
30/03/20,14834434.0,50.5,47.0,50.8,47.0
31/03/20,19872900.0,50.0,50.0,50.0,46.5
01/04/20,19344312.0,50.0,50.0,51.6,47.7
02/04/20,15863255.0,50.2,49.5,50.2,48.0
03/04/20,15400430.0,50.0,49.4,50.65,48.55
06/04/20,10059565.0,50.5,50.0,50.5,49.5
07/04/20,20124765.0,53.0,54.0,56.0,52.9
08/04/20,15113406.5,55.5,54.0,55.5,53.8
13/04/20,22980107.5,55.45,55.0,58.5,55.0
14/04/20,19391177.0,55.5,57.1,58.2,55.5
15/04/20,31097831.0,59.0,58.4,61.45,58.1
16/04/20,27353086.5,59.25,58.1,60.0,57.65
17/04/20,38687311.5,59.0,58.0,59.5,57.5
20/04/20,35067269.0,59.9,59.0,59.9,58.0
21/04/20,37196341.5,59.0,58.0,59.0,57.75
22/04/20,9682857.0,59.2,59.0,59.2,55.0
23/04/20,17049970.5,59.3,58.4,59.5,58.0
24/04/20,19860791.0,59.0,57.7,59.0,57.0
27/04/20,18854730.5,58.3,57.75,58.3,57.5
28/04/20,112423192.5,58.0,58.4,58.5,57.55
29/04/20,9080146.5,59.9,59.0,60.0,58.7
30/04/20,11261932.5,59.05,59.0,61.0,58.95
04/05/20,20619578.5,58.9,59.0,59.0,57.6
05/05/20,42546390.5,59.0,58.0,59.0,57.95
06/05/20,5159842.0,57.95,58.8,59.15,57.95
07/05/20,7378866.5,58.9,58.55,58.9,58.2
08/05/20,11320273.5,58.95,59.0,59.0,58.0
11/05/20,13074441.5,59.5,64.0,64.5,59.15
12/05/20,17461783.5,64.9,63.2,65.0,62.0
13/05/20,4671624.5,64.0,63.5,64.0,61.95
14/05/20,6985266.5,63.5,61.5,63.5,61.5
15/05/20,7031962.0,62.9,60.5,62.9,60.05
18/05/20,35659252.0,62.0,60.0,62.05,60.0
19/05/20,39728004.0,61.0,62.0,62.0,60.95
20/05/20,58343085.5,62.0,63.0,64.0,60.95
21/05/20,16644484.0,62.5,62.15,63.5,62.05
22/05/20,99212384.5,63.5,62.0,63.5,62.0
26/05/20,26912894.0,62.0,61.35,64.0,60.8
27/05/20,16423131.5,61.35,61.75,61.85,61.35
28/05/20,1861161.0,62.0,62.95,63.8,61.8
29/05/20,17783341.5,62.95,63.9,64.75,62.8
01/06/20,2595990.5,63.9,64.5,64.65,63.2
02/06/20,5005558.0,64.0,64.65,64.7,63.2
03/06/20,7428919.0,64.65,67.7,67.7,64.65
04/06/20,9982701.5,67.8,71.5,71.5,67.8
05/06/20,21062915.5,71.5,70.0,71.5,70.0
08/06/20,6455192.5,70.1,73.0,73.0,70.05
09/06/20,4700930.0,73.0,72.1,73.0,70.15
10/06/20,140869328.5,72.5,70.0,72.5,70.0
11/06/20,3575509.0,70.0,70.0,70.0,67.0
15/06/20,23061515.0,69.8,70.0,70.0,67.25
16/06/20,72685196.5,70.5,69.65,72.4,69.0
17/06/20,5726238.0,69.95,68.8,69.95,68.5
18/06/20,3567809.5,68.8,68.3,68.9,68.0
19/06/20,15928765.0,67.85,67.0,68.0,67.0
22/06/20,3642951.0,67.0,68.0,68.65,66.2
23/06/20,3995517.5,68.0,68.15,68.85,68.0
24/06/20,5308076.0,68.5,68.5,68.8,67.25
25/06/20,3666983.0,68.5,68.5,68.5,67.05
26/06/20,25336455.0,67.2,68.5,68.5,67.2
29/06/20,5850318.5,68.5,68.5,68.5,67.0
30/06/20,5641518.5,68.5,69.45,69.45,68.0
01/07/20,22883193.5,69.45,69.5,69.5,68.2
02/07/20,2869296.5,69.5,70.0,70.0,69.0
03/07/20,3081617.0,70.0,70.5,71.0,69.5
06/07/20,3036298.5,70.5,70.5,70.5,70.0
07/07/20,18497077.0,70.5,70.0,70.5,67.1
08/07/20,850751.0,69.7,69.8,69.9,69.45
09/07/20,18571252.5,70.0,69.8,70.0,69.8
10/07/20,18449994.5,69.0,69.1,70.2,68.8
13/07/20,6107986.5,69.5,69.0,69.5,68.9
14/07/20,18040895.5,68.7,68.05,69.4,67.1
15/07/20,18216959.0,67.1,65.05,68.05,65.05
