Date,Value,Open,Close,High,Low
10/01/20,22010.0,2.21,2.2,2.21,2.2
23/01/20,77090.0,2.01,2.1,2.1,2.0
27/01/20,16010.0,2.01,2.0,2.01,2.0
28/01/20,8400.0,2.1,2.1,2.1,2.1
29/01/20,40000.0,2.0,2.0,2.0,2.0
30/01/20,4020.0,2.01,2.01,2.01,2.01
11/02/20,8030.0,2.02,2.0,2.02,2.0
14/02/20,24010.0,2.01,2.0,2.01,2.0
19/02/20,16280.0,2.05,2.02,2.05,2.02
05/03/20,8000.0,2.0,2.0,2.0,2.0
09/03/20,130000.0,2.0,2.0,2.0,2.0
16/03/20,140600.0,1.9,1.9,1.9,1.9
16/04/20,3560.0,1.78,1.78,1.78,1.78
17/04/20,1990.0,1.99,1.99,1.99,1.99
29/05/20,1790.0,1.79,1.79,1.79,1.79
08/06/20,3580.0,1.79,1.79,1.79,1.79
09/06/20,1800.0,1.8,1.8,1.8,1.8
22/06/20,9000.0,1.8,1.8,1.8,1.8
23/06/20,72000.0,1.8,1.8,1.8,1.8
25/06/20,36000.0,1.8,1.8,1.8,1.8
29/06/20,38210.0,1.81,1.82,1.82,1.81
06/07/20,36200.0,1.81,1.81,1.81,1.81
07/07/20,3640.0,1.82,1.82,1.82,1.82
08/07/20,3900.0,1.95,1.95,1.95,1.95
13/07/20,184620.0,1.81,1.81,1.81,1.81
03/08/20,16290.0,1.81,1.81,1.81,1.81
07/08/20,37000.0,1.85,1.85,1.85,1.85
10/08/20,10870.0,1.82,1.81,1.82,1.81
03/09/20,94650.0,1.82,1.83,1.83,1.82
04/09/20,3640.0,1.82,1.82,1.82,1.82
22/09/20,32760.0,1.82,1.82,1.82,1.82
23/09/20,1820.0,1.82,1.82,1.82,1.82
28/09/20,5460.0,1.82,1.82,1.82,1.82
14/10/20,7280.0,1.82,1.82,1.82,1.82
16/10/20,9100.0,1.82,1.82,1.82,1.82
30/10/20,187160.0,1.9,2.0,2.0,1.9
17/11/20,276900.0,1.95,1.95,1.95,1.95
19/11/20,15600.0,1.95,1.95,1.95,1.95
20/11/20,59330.0,1.92,1.9,1.92,1.9
23/11/20,26630.0,1.91,1.9,1.91,1.9
25/11/20,158940.0,1.9,1.89,1.9,1.89
26/11/20,220000.0,2.0,2.0,2.0,2.0
07/12/20,14800.0,1.83,1.99,1.99,1.83
10/12/20,5580.0,1.86,1.86,1.86,1.86
15/12/20,18350.0,1.84,1.83,1.84,1.83
16/12/20,20350.0,1.84,1.95,1.95,1.84
17/12/20,15600.0,1.95,1.95,1.95,1.95
18/12/20,817180.0,1.99,2.16,2.3,1.99
21/12/20,20920.0,2.1,2.06,2.1,2.06
22/12/20,374640.0,1.87,1.81,1.87,1.81
29/12/20,50050.0,1.86,1.85,1.86,1.85
04/01/21,5550.0,1.85,1.85,1.85,1.85
08/01/21,7440.0,1.86,1.86,1.86,1.86
