Date,Value,Open,Close,High,Low
02/01/20,71587600.0,193.0,186.6,194.9,186.2
03/01/20,108860477.0,190.2,189.0,192.8,186.3
06/01/20,45017966.0,189.0,186.0,189.0,185.5
07/01/20,61915069.0,186.0,189.0,189.0,186.0
08/01/20,77451618.0,186.1,186.0,189.0,186.0
09/01/20,116366270.0,186.0,187.0,187.8,185.8
10/01/20,101913996.0,187.0,186.0,188.0,185.0
14/01/20,96617989.0,188.0,192.0,192.0,185.2
15/01/20,107676671.0,192.0,185.0,192.0,185.0
16/01/20,87830634.0,185.0,187.5,190.0,185.0
17/01/20,55655400.0,185.4,191.0,191.0,185.4
20/01/20,30222874.0,190.8,186.0,190.8,185.6
21/01/20,36827589.0,189.0,185.6,189.0,185.0
22/01/20,46828891.0,185.0,186.8,187.0,182.1
23/01/20,77782650.0,185.0,188.9,188.9,185.0
24/01/20,17781153.0,188.0,190.0,190.0,186.1
27/01/20,14382240.0,190.0,188.5,190.0,186.0
28/01/20,30882671.0,187.5,187.0,189.0,186.5
29/01/20,209370596.0,186.5,183.5,186.6,182.1
30/01/20,63719064.0,182.3,180.0,186.7,180.0
31/01/20,56015920.0,180.0,177.0,180.0,177.0
03/02/20,74164692.0,177.0,168.6,177.7,168.1
04/02/20,61075073.0,169.0,171.9,175.4,169.0
05/02/20,48040162.0,172.5,176.0,176.9,172.5
06/02/20,47808032.0,176.0,179.0,179.9,176.0
07/02/20,187626849.0,179.0,175.0,179.0,173.9
10/02/20,27534239.0,175.1,173.2,179.0,172.9
11/02/20,26794380.0,173.2,173.1,174.9,172.9
12/02/20,48232040.0,173.1,173.1,174.9,173.0
13/02/20,75471237.0,173.2,170.5,175.0,169.1
14/02/20,28228160.0,175.0,170.0,175.0,170.0
17/02/20,20332952.0,172.9,171.0,173.0,170.2
18/02/20,23818205.0,170.5,170.0,174.9,170.0
19/02/20,89224884.0,170.2,170.9,173.9,170.0
20/02/20,105526165.0,170.9,173.1,174.0,170.9
21/02/20,13769259.0,173.8,170.2,173.8,170.2
24/02/20,125719093.0,170.0,161.0,170.0,161.0
26/02/20,82918107.0,160.6,156.0,160.6,153.0
27/02/20,64605655.0,157.0,163.9,164.9,157.0
28/02/20,102960562.0,160.8,154.4,163.0,154.4
02/03/20,75247489.0,154.6,158.8,160.7,154.0
03/03/20,63257648.0,158.8,154.4,160.8,154.4
04/03/20,66924512.0,154.5,155.6,156.8,153.5
05/03/20,65349543.0,158.0,154.0,159.0,154.0
06/03/20,92791439.0,154.0,148.1,154.9,145.3
09/03/20,122716727.0,144.9,132.8,144.9,127.0
10/03/20,122904571.0,130.0,139.0,144.9,126.0
11/03/20,114294109.0,140.0,136.1,143.0,136.1
12/03/20,103812892.0,135.8,126.0,135.8,126.0
13/03/20,140461308.0,118.5,126.0,127.9,112.3
16/03/20,51756816.0,115.0,119.0,122.5,113.0
19/03/20,62713096.0,111.0,102.5,111.0,79.3
20/03/20,46526796.0,104.7,115.0,124.9,103.0
23/03/20,62560030.0,108.4,103.0,108.4,101.5
24/03/20,47322517.0,108.0,103.6,108.0,102.0
25/03/20,27593255.0,107.0,109.0,113.0,105.6
26/03/20,135978372.0,111.0,108.0,117.7,107.0
27/03/20,113765663.0,115.0,106.8,115.5,106.3
30/03/20,69489750.5,105.0,101.5,105.0,99.5
31/03/20,68447642.0,105.0,107.0,109.0,104.7
01/04/20,24018976.0,107.5,112.3,112.3,106.0
02/04/20,16154184.0,109.0,111.6,112.0,108.1
03/04/20,100559070.0,111.4,108.5,111.9,107.1
06/04/20,86673063.0,109.0,106.0,109.0,105.2
07/04/20,85156260.0,109.0,107.0,112.5,107.0
08/04/20,50940381.0,107.0,105.0,111.0,105.0
13/04/20,92039939.0,107.2,102.0,107.3,102.0
14/04/20,170909590.0,103.0,101.1,107.0,101.1
15/04/20,166230536.0,105.0,105.0,108.0,103.0
16/04/20,139414537.0,107.0,103.0,110.0,103.0
17/04/20,71224310.0,106.0,104.5,108.0,104.4
20/04/20,48863279.0,107.7,104.8,107.7,104.8
21/04/20,46194897.0,105.0,104.0,106.0,103.0
22/04/20,57265044.0,103.4,103.2,104.2,102.0
23/04/20,121688505.0,104.0,105.0,106.8,103.5
24/04/20,35729060.0,106.0,102.0,106.0,102.0
27/04/20,42097056.0,103.4,100.5,103.5,100.5
28/04/20,50753773.0,101.5,102.0,103.0,101.5
29/04/20,101051136.0,104.4,103.0,106.0,103.0
30/04/20,31830289.0,105.9,103.4,105.9,103.1
04/05/20,58380183.0,103.5,102.0,105.9,101.0
05/05/20,17701094.0,103.9,102.2,104.0,102.1
06/05/20,59517598.0,103.5,104.0,105.3,103.1
07/05/20,39329727.0,104.0,101.0,104.1,101.0
08/05/20,31946268.0,101.7,100.6,102.9,100.5
11/05/20,59794819.0,101.0,100.1,101.9,100.1
12/05/20,30253374.0,101.0,100.0,101.2,100.0
13/05/20,216292980.5,90.5,92.0,95.0,90.5
14/05/20,113646281.0,92.9,92.0,92.95,91.0
15/05/20,49729740.0,92.05,91.1,92.9,91.1
18/05/20,61826482.5,91.2,90.5,93.0,90.5
19/05/20,127997763.5,91.3,86.15,92.45,86.0
20/05/20,73843796.0,86.55,85.25,87.5,84.8
21/05/20,46305904.5,85.25,85.8,86.4,85.25
22/05/20,98417493.0,86.1,82.75,86.95,82.2
26/05/20,228057904.0,82.75,77.1,82.75,77.0
27/05/20,169116170.5,77.95,78.1,78.5,77.2
28/05/20,304261600.5,80.0,84.15,85.85,78.5
29/05/20,1972484593.5,86.0,81.7,89.4,81.7
01/06/20,486694543.5,84.0,89.0,91.45,83.5
02/06/20,349905919.0,91.0,96.6,97.45,90.6
03/06/20,456470266.0,97.6,102.0,103.5,97.6
04/06/20,471024654.0,105.0,101.0,108.9,99.75
05/06/20,291907386.0,101.2,102.5,106.0,101.2
08/06/20,398806884.0,108.0,111.5,114.8,106.5
09/06/20,278733866.0,113.0,108.1,114.0,107.0
10/06/20,283598046.0,108.2,102.5,108.4,102.5
11/06/20,116784054.0,102.0,103.5,106.0,100.0
15/06/20,119117620.0,100.5,100.2,103.4,100.1
16/06/20,58657122.0,101.2,103.5,105.4,101.2
17/06/20,131627630.0,104.5,103.2,105.8,102.8
18/06/20,59766199.0,103.5,103.0,103.9,100.5
19/06/20,92041424.0,103.0,102.3,104.0,102.3
22/06/20,54092685.0,102.3,104.1,104.1,101.3
23/06/20,341107733.0,104.1,108.0,110.9,103.6
24/06/20,167335593.0,110.0,108.8,110.5,106.1
25/06/20,92602326.0,107.8,105.0,107.8,102.8
26/06/20,44439816.0,105.1,106.5,106.8,104.2
29/06/20,81821036.0,105.9,104.0,105.9,102.5
30/06/20,98219340.0,104.0,103.0,104.0,102.0
01/07/20,34874346.0,103.1,104.8,104.8,102.5
02/07/20,114081201.0,104.8,107.5,107.8,103.5
03/07/20,98011433.0,108.0,109.4,111.7,108.0
06/07/20,33954677.0,109.4,105.7,109.4,105.3
07/07/20,104959306.0,105.7,103.7,107.2,103.5
08/07/20,108106862.0,103.5,102.5,103.6,101.5
09/07/20,84311414.0,103.0,102.5,103.5,102.1
10/07/20,102242825.0,103.4,101.0,103.4,100.6
13/07/20,34920410.0,101.3,102.5,102.5,101.0
14/07/20,20880882.0,103.0,101.7,103.0,101.1
15/07/20,97001704.0,102.0,100.0,102.0,99.0
16/07/20,70006006.5,100.0,100.0,102.2,99.8
17/07/20,27230200.5,100.0,100.0,100.0,98.15
20/07/20,28204837.5,100.4,100.0,100.4,99.25
21/07/20,47634799.0,100.3,99.85,100.3,99.8
22/07/20,24376028.5,99.9,99.05,100.0,99.05
23/07/20,57245722.0,99.0,100.0,100.0,96.5
24/07/20,21092289.0,99.4,97.7,99.4,97.0
27/07/20,67168496.0,97.7,93.0,97.7,92.1
28/07/20,57287509.5,93.0,92.1,93.0,91.5
29/07/20,30607715.5,92.1,92.0,93.0,91.8
30/07/20,47413273.5,92.0,92.0,95.55,91.9
03/08/20,78573199.0,91.0,87.2,91.0,87.1
04/08/20,22232870.5,87.3,89.15,89.45,87.3
05/08/20,82533387.5,89.25,88.5,90.1,88.0
